# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.286
metadata : {}


# id : NWRW1800000032.286.1.1
‘내신 절대평가’ 전국서 반발

‘내신	‘/SS+내신/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“이명박	“/SS+이명박/NNP
정부	정부/NNG
4년	4/SN+년/NNB
동안	동안/NNG
자사고	자사고/NNG
입시	입시/NNG
명문고를	명문고/NNG+를/JKO
대거	대거/MAG
양산해	양산/NNG+하/XSV+아/EC
기존의	기존/NNG+의/JKG
특목고와	특목고/NNG+와/JKB
함께	함께/MAG
고교	고교/NNG
교육을	교육/NNG+을/JKO
서열화·계층화시켜왔다”며	서열/NNG+화/XSN+·/SP+계층/NNG+화/XSN+시키/XSV+어/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
상황에서	상황/NNG+에서/JKB
(고교	(/SS+고교/NNG
내신의)	내신/NNG+의/JKG+)/SS
절대평가	절대/NNG+평가/NNG
전환은	전환/NNG+은/JX
자사고와	자사고/NNG+와/JC
특목고	특목고/NNG
살리기	살리/VV+기/ETN
방안이	방안/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
고교등급제	고교/NNG+등급/NNG+제/XSN
도입과	도입/NNG+과/JC
학생	학생/NNG
유치에	유치/NNG+에/JKB
혈안이	혈안/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
주요	주요/NNG
대학들의	대학/NNG+들/XSN+의/JKG
욕구까지	욕구/NNG+까지/JX
충족하는	충족/NNG+하/XSV+는/ETM
내신	내신/NNG
무력화	무력/NNG+화/XSN
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.7.1
이홍동 경기도교육청 대변인도 “일부 대학들이 절대평가를 악용해 특정 학교 학생을 골라 선발하는 경향이 증가할 수 있다”며 “실패한 자사고 정책을 재고하고, 특목고 본연의 모습을 찾는 등의 보완 조처가 있어야 한다”고 요구했다.

이홍동	이홍동/NNP
경기도교육청	경기도교육청/NNP
대변인도	대변인/NNG+도/JX
“일부	“/SS+일부/NNG
대학들이	대학/NNG+들/XSN+이/JKS
절대평가를	절대/NNG+평가/NNG+를/JKO
악용해	악용/NNG+하/XSV+아/EC
특정	특정/NNG
학교	학교/NNG
학생을	학생/NNG+을/JKO
골라	고르/VV+아/EC
선발하는	선발/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
증가할	증가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“실패한	“/SS+실패/NNG+하/XSV+ㄴ/ETM
자사고	자사고/NNG
정책을	정책/NNG+을/JKO
재고하고,	재고/NNG+하/XSV+고/EC+,/SP
특목고	특목고/NNG
본연의	본연/NNG+의/JKG
모습을	모습/NNG+을/JKO
찾는	찾/VV+는/ETM
등의	등/NNB+의/JKG
보완	보완/NNG
조처가	조처/NNG+가/JKS
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.7.2
전북도교육청도 14일 보도자료를 내어 “내신 빗장이 풀리면 일반고와 농산어촌 고교는 더욱 어려워지게 될 것”이라고 우려했다.

전북도교육청도	전북도교육청/NNP+도/JX
14일	14/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“내신	“/SS+내신/NNG
빗장이	빗장/NNG+이/JKS
풀리면	풀리/VV+면/EC
일반고와	일반고/NNG+와/JKB
농산어촌	농산어촌/NNG
고교는	고교/NNG+는/JX
더욱	더욱/MAG
어려워지게	어렵/VA+어/EC+지/VX+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.8.1
학교 현장에서도 우려가 잇따랐다.

학교	학교/NNG
현장에서도	현장/NNG+에서/JKB+도/JX
우려가	우려/NNG+가/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.8.2
전인수 경남 밀양고 교장은 “시범시행을 해보고 농어촌지역 학교에 어떤 영향을 주는지 등을 충분히 검토해야 한다”며 “내신이라는 장점이 사라지면 농어촌 학교를 이탈하는 현상도 심해져 교육여건이 더욱 나빠질 것”이라고 걱정했다.

전인수	전인수/NNP
경남	경남/NNP
밀양고	밀양고/NNP
교장은	교장/NNG+은/JX
“시범시행을	“/SS+시범/NNG+시행/NNG+을/JKO
해보고	하/VV+아/EC+보/VX+고/EC
농어촌지역	농어촌/NNG+지역/NNG
학교에	학교/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
주는지	주/VV+는지/EF
등을	등/NNB+을/JKO
충분히	충분히/MAG
검토해야	검토/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“내신이라는	“/SS+내신/NNG+이/VCP+라는/ETM
장점이	장점/NNG+이/JKS
사라지면	사라지/VV+면/EC
농어촌	농어촌/NNG
학교를	학교/NNG+를/JKO
이탈하는	이탈/NNG+하/XSV+는/ETM
현상도	현상/NNG+도/JX
심해져	심하/VA+아/EC+지/VX+어/EC
교육여건이	교육/NNG+여건/NNG+이/JKS
더욱	더욱/MAG
나빠질	나빠지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
걱정했다.	걱정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.8.3
임성엄 강원 평창고 교장은 “내신 절대평가가 도입되면 농산어촌 고교를 나와 수도권 대학에 진학하기 더욱 힘들어질 것”이라고 말했다.

임성엄	임성엄/NNP
강원	강원/NNP
평창고	평창고/NNP
교장은	교장/NNG+은/JX
“내신	“/SS+내신/NNG
절대평가가	절대/NNG+평가/NNG+가/JKS
도입되면	도입/NNG+되/XSV+면/EC
농산어촌	농산어촌/NNG
고교를	고교/NNG+를/JKO
나와	나오/VV+아/EC
수도권	수도/NNG+권/XSN
대학에	대학/NNG+에/JKB
진학하기	진학/NNG+하/XSV+기/ETN
더욱	더욱/MAG
힘들어질	힘들어지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


