# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.20
metadata : {}


# id : NWRW1800000032.20.1.1
주식 배당금 ‘이건희’ 위에 ‘홍석현’

주식	주식/NNG
당기순이익	당기/NNG+순이익/NNG
3조2900억원을	3/SN+조/NR+2900/SN+억/NR+원/NNB+을/JKO
기록했는데,	기록/NNG+하/XSV+았/EP+는데/EC+,/SP
순이익보다	순이익/NNG+보다/JKB
많은	많/VA+은/ETM
3조3600억원을	3/SN+조/NR+3600/SN+억/NR+원/NNB+을/JKO
배당했다.	배당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.4.2
이 회사의 배당성향(배당금을 당기순이익으로 나눈 값)은 최근 3년간 40%대 수준이었으나 올해는 102%로 급격히 증가했다.

이	이/MMD
회사의	회사/NNG+의/JKG
배당성향(배당금을	배당/NNG+성향/NNG+(/SS+배당금/NNG+을/JKO
당기순이익으로	당기/NNG+순이익/NNG+으로/JKB
나눈	나누/VV+ㄴ/ETM
값)은	값/NNG+)/SS+은/JX
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
40%대	40/SN+%/SW+대/XSN
수준이었으나	수준/NNG+이/VCP+었/EP+으나/EC
올해는	올해/NNG+는/JX
102%로	102/SN+%/SW+로/JKB
급격히	급격히/MAG
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.4.3
언론계에서는 홍 회장의 배당금 일부가 중앙일보사 종합편성채널의 설립 자금으로 흘러들어간 것으로 보고 있다.

언론계에서는	언론/NNG+계/XSN+에서/JKB+는/JX
홍	홍/NNP
회장의	회장/NNG+의/JKG
배당금	배당금/NNG
일부가	일부/NNG+가/JKS
중앙일보사	중앙일보사/NNP
종합편성채널의	종합/NNG+편성/NNG+채널/NNG+의/JKG
설립	설립/NNG
자금으로	자금/NNG+으로/JKB
흘러들어간	흘러들/VV+어/EC+가/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.20.5.1
9일 재벌닷컴이 지난달 말까지 현금배당(중간배당 포함)을 결의한 12월 결산 비상장사 1688곳을 조사한 결과, 100억원 이상을 기록한 배당부자는 지난해보다 8명이 늘어난 14명이었다.

9일	9/SN+일/NNB
재벌닷컴이	재벌닷컴/NNP+이/JKS
지난달	지난달/NNG
말까지	말/NNB+까지/JX
현금배당(중간배당	현금/NNG+배당/NNG+(/SS+중간/NNG+배당/NNG
포함)을	포함/NNG+)/SS+을/JKO
결의한	결의/NNG+하/XSV+ㄴ/ETM
12월	12/SN+월/NNB
결산	결산/NNG
비상장사	비상장사/NNG
1688곳을	1688/SN+곳/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
100억원	100/SN+억/NR+원/NNB
이상을	이상/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
배당부자는	배당/NNG+부자/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
8명이	8/SN+명/NNB+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
14명이었다.	14/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.20.5.2
1억원 이상의 배당금 수령자는 지난해 237명에서 578명으로 늘었다.

1억원	1/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
배당금	배당금/NNG
수령자는	수령자/NNG+는/JX
지난해	지난해/NNG
237명에서	237/SN+명/NNB+에서/JKB
578명으로	578/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.20.6.1
비상장사의 경우 배당성향이 대개 10~15%인데, 이들 고배당 회사 중 상당수는 순이익보다 더 많은 액수를 배당해 기업가치 훼손이 우려된다.

비상장사의	비상장사/NNG+의/JKG
경우	경우/NNG
배당성향이	배당/NNG+성향/NNG+이/JKS
대개	대개/MAG
10~15%인데,	10/SN+~/SO+15/SN+%/SW+이/VCP+ㄴ데/EC+,/SP
이들	이/NP+들/XSN
고배당	고/XPN+배당/NNG
회사	회사/NNG
중	중/NNB
상당수는	상당수/NNG+는/JX
순이익보다	순이익/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
액수를	액수/NNG+를/JKO
배당해	배당/NNG+하/XSV+아/EC
기업가치	기업/NNG+가치/NNG
훼손이	훼손/NNG+이/JKS
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.20.6.2
올해 비상장사 배당금이 100억원 이상을 기록한 14명 중 절반인 7명이 순이익보다 많은 배당금을 받았다.

올해	올해/NNG
비상장사	비상장사/NNG
배당금이	배당금/NNG+이/JKS
100억원	100/SN+억/NR+원/NNB
이상을	이상/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
14명	14/SN+명/NNB
중	중/NNB
절반인	절반/NNG+이/VCP+ㄴ/ETM
7명이	7/SN+명/NNB+이/JKS
순이익보다	순이익/NNG+보다/JKB
많은	많/VA+은/ETM
배당금을	배당금/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.6.3
심지어 적자를 낸 회사의 대주주도 100억원이 넘는 배당을 받은 것으로 조사됐다.

심지어	심지어/MAG
적자를	적자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
회사의	회사/NNG+의/JKG
대주주도	대/XPN+주주/NNG+도/JX
100억원이	100/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
배당을	배당/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.20.7.1
박의근 보나에스 대표이사는 의약품 도매업체인 보나에스에서 590억원의 배당금을 받아 재벌 총수들을 제치고 2위에 올라섰다.

박의근	박의근/NNP
보나에스	보나에스/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
의약품	의약품/NNG
도매업체인	도매업체/NNG+이/VCP+ㄴ/ETM
보나에스에서	보나에스/NNP+에서/JKB
590억원의	590/SN+억/NR+원/NNB+의/JKG
배당금을	배당금/NNG+을/JKO
받아	받/VV+아/EC
재벌	재벌/NNG
총수들을	총수/NNG+들/XSN+을/JKO
제치고	제치/VV+고/EC
2위에	2/SN+위/NNB+에/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.20.7.2
지난해 무배당이었던 보나에스는 올해 순이익(229억원)의 2.6배를 배당했다.

지난해	지난해/NNG
무배당이었던	무/XPN+배당/NNG+이/VCP+었/EP+던/ETM
보나에스는	보나에스/NNP+는/JX
올해	올해/NNG
순이익(229억원)의	순이익/NNG+(/SS+229/SN+억/NR+원/NNB+)/SS+의/JKG
2.6배를	2/SN+./SP+6/SN+배/NNG+를/JKO
배당했다.	배당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.7.3
또 고 정순영 전 성우그룹 회장의 차남인 정몽석 회장도 70%의 지분을 보유한 현대종합금속에서 올해 560억원의 배당금을 받았다.

또	또/MAG
고	고/MMA
정순영	정순영/NNP
전	전/MMD
성우그룹	성우그룹/NNP
회장의	회장/NNG+의/JKG
차남인	차남/NNG+이/VCP+ㄴ/ETM
정몽석	정몽석/NNP
회장도	회장/NNG+도/JX
70%의	70/SN+%/SW+의/JKG
지분을	지분/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
현대종합금속에서	현대종합금속/NNP+에서/JKB
올해	올해/NNG
560억원의	560/SN+억/NR+원/NNB+의/JKG
배당금을	배당금/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.7.4
현대종합금속은 지난해 무배당에서 올해는 순이익의 2배가 넘는 800억원을 대주주에게 배당금으로 지급했다.

현대종합금속은	현대종합금속/NNP+은/JX
지난해	지난해/NNG
무배당에서	무/XPN+배당/NNG+에서/JKB
올해는	올해/NNG+는/JX
순이익의	순이익/NNG+의/JKG
2배가	2/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
800억원을	800/SN+억/NR+원/NNB+을/JKO
대주주에게	대/XPN+주주/NNG+에게/JKB
배당금으로	배당금/NNG+으로/JKB
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.8.1
일본 산요 프로젝터 수입업체인 유환미디어의 유영대 대표는 지난해 이 회사가 7억원의 적자를 냈는데도 전년보다 12배가량 많은 121억원의 배당금을 받았다.

일본	일본/NNP
산요	산요/NNP
프로젝터	프로젝터/NNG
수입업체인	수입업체/NNG+이/VCP+ㄴ/ETM
유환미디어의	유환미디어/NNP+의/JKG
유영대	유영대/NNP
대표는	대표/NNG+는/JX
지난해	지난해/NNG
이	이/MMD
회사가	회사/NNG+가/JKS
7억원의	7/SN+억/NR+원/NNB+의/JKG
적자를	적자/NNG+를/JKO
냈는데도	내/VV+었/EP+는데/EC+도/JX
전년보다	전년/NNG+보다/JKB
12배가량	12/SN+배/NNG+가량/XSN
많은	많/VA+은/ETM
121억원의	121/SN+억/NR+원/NNB+의/JKG
배당금을	배당금/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.8.2
1970년대 율산그룹 신화의 주인공 신선호 센트럴시티 회장은 올해 229억원의 배당금을 받아 배당부자 4위에 올랐다.

1970년대	1970/SN+년대/NNB
율산그룹	율산그룹/NNP
신화의	신화/NNG+의/JKG
주인공	주인공/NNG
신선호	신선호/NNP
센트럴시티	센트럴시티/NNP
회장은	회장/NNG+은/JX
올해	올해/NNG
229억원의	229/SN+억/NR+원/NNB+의/JKG
배당금을	배당금/NNG+을/JKO
받아	받/VV+아/EC
배당부자	배당/NNG+부자/NNG
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


