# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.179
metadata : {}


# id : NWRW1800000041.179.1.1
“해양클러스터, 바다영토 확장 첨병”

“해양클러스터,	“/SS+해양/NNG+클러스터/NNG+,/SP
“지난해 9월 부산 동삼혁신지구(61만6000m² 규모) 안에 20년 숙원인 제2캠퍼스 조성 공사를 시작했습니다.

“지난해	“/SS+지난해/NNG
9월	9/SN+월/NNB
부산	부산/NNP
동삼혁신지구(61만6000m²	동삼혁신지구/NNP+(/SS+61/SN+만/NR+6000/SN+m²/SW
규모)	규모/NNG+)/SS
안에	안/NNG+에/JKB
20년	20/SN+년/NNB
숙원인	숙원/NNG+이/VCP+ㄴ/ETM
제2캠퍼스	제/XPN+2/SN+캠퍼스/NNG
조성	조성/NNG
공사를	공사/NNG+를/JKO
시작했습니다.	시작/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000041.179.8.2
2017년 준공되면 그동안의 시설 부족 현상이 말끔히 해소될 것으로 보입니다.

2017년	2017/SN+년/NNB
준공되면	준공/NNG+되/XSV+면/EC
그동안의	그동안/NNG+의/JKG
시설	시설/NNG
부족	부족/NNG
현상이	현상/NNG+이/JKS
말끔히	말끔히/MAG
해소될	해소/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보입니다.	보이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000041.179.8.3
지난해 3월 아시아 최초로 문을 연 해양과학기술대학원은 석사급 이상의 해양 전문 인력을 키워낼 요람입니다.

지난해	지난해/NNG
3월	3/SN+월/NNB
아시아	아시아/NNP
최초로	최초/NNG+로/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
해양과학기술대학원은	해양과학기술대학원/NNP+은/JX
석사급	석사급/NNG
이상의	이상/NNG+의/JKG
해양	해양/NNG
전문	전문/NNG
인력을	인력/NNG+을/JKO
키워낼	키우/VV+어/EC+내/VX+ㄹ/ETM
요람입니다.	요람/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000041.179.8.4
지난해 처음 14명, 올해 15명의 신입생을 받았는데 이들 중에는 서울대 연세대 고려대 출신 우수 학생도 포함돼 있습니다.

지난해	지난해/NNG
처음	처음/NNG
14명,	14/SN+명/NNB+,/SP
올해	올해/NNG
15명의	15/SN+명/NNB+의/JKG
신입생을	신입/NNG+생/XSN+을/JKO
받았는데	받/VV+았/EP+는데/EC
이들	이/NP+들/XSN
중에는	중/NNB+에/JKB+는/JX
서울대	서울대/NNP
연세대	연세대/NNP
고려대	고려대/NNP
출신	출신/NNG
우수	우수/NNG
학생도	학생/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000041.179.8.5
과학기술 분야의 최고 대학원이 KAIST라면, 이 대학원을 해양수산 분야의 최고 대학원으로 만들겠습니다.”

과학기술	과학/NNG+기술/NNG
분야의	분야/NNG+의/JKG
최고	최고/NNG
대학원이	대학원/NNG+이/JKS
KAIST라면,	KAIST/SL+이/VCP+라면/EC+,/SP
이	이/MMD
대학원을	대학원/NNG+을/JKO
해양수산	해양/NNG+수산/NNG
대학원으로	대학원/NNG+으로/JKB
만들겠습니다.”	만들/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.179.9.1
한국해양대는 부산울산경남(부울경) 지역 전체 대학 중 최저 등록금, 부울경 4년제 대학 중 취업률 1위, 전국 4년제 국·공립대 중 1인당 장학금 수혜율 3위, 교육역량강화사업 6년 연속 선정 등을 기록하고 있다.

한국해양대는	한국해양대/NNP+는/JX
부산울산경남(부울경)	부산/NNP+울산/NNP+경남/NNP+(/SS+부울경/NNP+)/SS
지역	지역/NNG
전체	전체/NNG
대학	대학/NNG
중	중/NNB
최저	최저/NNG
등록금,	등록금/NNG+,/SP
부울경	부울경/NNP
4년제	4/SN+년/NNB+제/XSN
취업률	취업/NNG+률/XSN
1위,	1/SN+위/NNB+,/SP
전국	전국/NNG
국·공립대	국·공립대/NNG
1인당	1/SN+인/NNG+당/XSN
장학금	장학금/NNG
수혜율	수혜/NNG+율/XSN
3위,	3/SN+위/NNB+,/SP
교육역량강화사업	교육/NNG+역량/NNG+강화/NNG+사업/NNG
6년	6/SN+년/NNB
연속	연속/NNG
선정	선정/NNG
등을	등/NNB+을/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.179.9.2
대학발전기금도 현금 53억 원 등 124억 원을 갖고 있다.

대학발전기금도	대학/NNG+발전/NNG+기금/NNG+도/JX
현금	현금/NNG
53억	53/SN+억/NR
원	원/NNB
등	등/NNB
124억	124/SN+억/NR
원을	원/NNB+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.179.10.1
박 총장은 2012년부터 해양클러스터 기관장 협의회 초대 회장을 맡고 있다.

박	박/NNP
총장은	총장/NNG+은/JX
2012년부터	2012/SN+년/NNB+부터/JX
해양클러스터	해양/NNG+클러스터/NNG
기관장	기관장/NNG
협의회	협의회/NNG
초대	초대/NNG
회장을	회장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.179.10.2
해양클러스터는 한국해양과학기술원(KIOST)을 비롯해 국립해양박물관, 국립해양조사원 등 전국에 산재됐던 9개 해양 관련 기관을 동삼혁신지구에 모으는 프로젝트다.

해양클러스터는	해양/NNG+클러스터/NNG+는/JX
한국해양과학기술원(KIOST)을	한국해양과학기술원/NNP+(/SS+KIOST/SL+)/SS+을/JKO
비롯해	비롯하/VV+아/EC
국립해양박물관,	국립해양박물관/NNP+,/SP
국립해양조사원	국립/NNG+해양/NNG+조사원/NNG
등	등/NNB
전국에	전국/NNG+에/JKB
산재됐던	산재/NNG+되/XSV+었/EP+던/ETM
9개	9/SN+개/NNB
해양	해양/NNG
관련	관련/NNG
기관을	기관/NNG+을/JKO
동삼혁신지구에	동삼혁신지구/NNP+에/JKB
모으는	모으/VV+는/ETM
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.179.11.1
박 총장은 “클러스터가 완성되면 민·관·산·학·연의 연계를 통해 해양산업의 비약적 발전을 이룰 수 있다.

박	박/NNP
총장은	총장/NNG+은/JX
“클러스터가	“/SS+클러스터/NNG+가/JKS
완성되면	완성/NNG+되/XSV+면/EC
민·관·산·학·연의	민·관·산·학·연/NNG+의/JKG
연계를	연계/NNG+를/JKO
통해	통하/VV+아/EC
해양산업의	해양/NNG+산업/NNG+의/JKG
비약적	비약/NNG+적/XSN
발전을	발전/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.179.11.2
시너지 효과를 내기 위해 각 기관과 발전 방안을 논의하고 있다”고 말했다.

시너지	시너지/NNG
효과를	효과/NNG+를/JKO
내기	내/VV+기/ETN
위해	위하/VV+아/EC
각	각/MMD
기관과	기관/NNG+과/JKB
발전	발전/NNG
방안을	방안/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.12.1
한국해양대는 올해 해사대 입학정원이 30명 증원됐고 2015년엔 90명 증원이 예상된다.

한국해양대는	한국해양대/NNP+는/JX
올해	올해/NNG
해사대	해사대/NNG
입학정원이	입학/NNG+정원/NNG+이/JKS
30명	30/SN+명/NNB
증원됐고	증원/NNG+되/XSV+었/EP+고/EC
2015년엔	2015/SN+년/NNB+에/JKB+ㄴ/JX
90명	90/SN+명/NNB
증원이	증원/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.179.12.2
전국 대학 정원이 대체로 감축되고 있는 상황에서 이례적인 일이다.

전국	전국/NNG
대학	대학/NNG
정원이	정원/NNG+이/JKS
대체로	대체로/MAG
감축되고	감축/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.179.13.1
그는 “올해와 내년의 정원 증원은 학교와 업계의 끈질긴 요구, 선주협회와 해양수산부, 정치권과 지역인사들이 함께 만들어낸 성과”라고 자평했다.

그는	그/NP+는/JX
“올해와	“/SS+올해/NNG+와/JC
내년의	내년/NNG+의/JKG
정원	정원/NNG
증원은	증원/NNG+은/JX
학교와	학교/NNG+와/JC
업계의	업계/NNG+의/JKG
끈질긴	끈질기/VA+ㄴ/ETM
요구,	요구/NNG+,/SP
선주협회와	선주협회/NNP+와/JC
해양수산부,	해양/NNG+수산부/NNG+,/SP
정치권과	정치/NNG+권/XSN+과/JC
지역인사들이	지역/NNG+인사/NNG+들/XSN+이/JKS
함께	함께/MAG
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
성과”라고	성과/NNG+”/SS+라고/JKQ
자평했다.	자평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.13.2
그에 따르면 현재 일본은 해사 분야 인력 양성을 등한시해 한국 인력들이 선박 관리를 해줄 정도로 어려운 상황이라고 덧붙였다.

그에	그/NP+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
일본은	일본/NNP+은/JX
해사	해사/NNG
분야	분야/NNG
인력	인력/NNG
양성을	양성/NNG+을/JKO
등한시해	등한시/NNG+하/XSV+아/EC
한국	한국/NNP
인력들이	인력/NNG+들/XSN+이/JKS
선박	선박/NNG
관리를	관리/NNG+를/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
어려운	어렵/VA+ㄴ/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.179.13.3
한국도 일본의 전철을 밟지 않기 위해선 해사 관련 인력 양성에 보다 힘을 쏟아야 한다고 강조했다.

한국도	한국/NNP+도/JX
일본의	일본/NNP+의/JKG
전철을	전철/NNG+을/JKO
밟지	밟/VV+지/EC
않기	않/VX+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
해사	해사/NNG
관련	관련/NNG
인력	인력/NNG
양성에	양성/NNG+에/JKB
보다	보다/MAG
힘을	힘/NNG+을/JKO
쏟아야	쏟/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.14.1
박 총장은 한국해양대의 글로벌화를 강조했다.

박	박/NNP
총장은	총장/NNG+은/JX
한국해양대의	한국해양대/NNP+의/JKG
글로벌화를	글로벌/NNG+화/XSN+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.14.2
특히 개발도상국을 상대로 한 한국해양대 교육 과정의 수출 등을 계속 진행할 방침이다.

특히	특히/MAG
개발도상국을	개발/NNG+도상국/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
한국해양대	한국해양대/NNP
교육	교육/NNG
과정의	과정/NNG+의/JKG
수출	수출/NNG
등을	등/NNB+을/JKO
계속	계속/MAG
진행할	진행/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.179.15.1
그는 “외국 대학과의 교류협력, 외국인 유학생 유치 및 지원, 한국국제협력단 및 공적개발원조 사업 등을 통해 본교의 해기 교육을 수출하고 있다”며 “지난해 85명을 포함해 2010년 이후 242명을 해외 대학에 교환학생으로 파견했다”고 말했다.

그는	그/NP+는/JX
“외국	“/SS+외국/NNG
대학과의	대학/NNG+과/JKB+의/JKG
교류협력,	교류/NNG+협력/NNG+,/SP
외국인	외국인/NNG
유학생	유학/NNG+생/XSN
유치	유치/NNG
및	및/MAG
지원,	지원/NNG+,/SP
한국국제협력단	한국국제협력단/NNP
공적개발원조	공/NNG+적/XSN+개발/NNG+원조/NNG
사업	사업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
본교의	본교/NNG+의/JKG
해기	해기/NNG
교육을	교육/NNG+을/JKO
수출하고	수출/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“지난해	“/SS+지난해/NNG
85명을	85/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
2010년	2010/SN+년/NNB
이후	이후/NNG
242명을	242/SN+명/NNB+을/JKO
해외	해외/NNG
대학에	대학/NNG+에/JKB
교환학생으로	교환/NNG+학생/NNG+으로/JKB
파견했다”고	파견/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.16.1
박 총장은 인터뷰 말미에 해양 산업에 대한 국민들의 인식 변화를 요구했다.

박	박/NNP
총장은	총장/NNG+은/JX
인터뷰	인터뷰/NNG
말미에	말미/NNG+에/JKB
해양	해양/NNG
산업에	산업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민들의	국민/NNG+들/XSN+의/JKG
인식	인식/NNG
변화를	변화/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.17.1
“국민이나 부산 시민들조차 바다에서 일한다고 하면 아직도 좀 낮춰보는 인식이 많습니다.

“국민이나	“/SS+국민/NNG+이나/JC
부산	부산/NNP
시민들조차	시민/NNG+들/XSN+조차/JX
바다에서	바다/NNG+에서/JKB
일한다고	일/NNG+하/XSV+ㄴ다고/EC
하면	하/VV+면/EC
아직도	아직/MAG+도/JX
좀	좀/MAG
낮춰보는	낮추/VV+어/EC+보/VX+는/ETM
인식이	인식/NNG+이/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000041.179.17.2
하지만 3면이 바다인 우리나라에서 해양산업은 블루오션일 뿐 아니라 첨단산업의 집결지가 되고 있습니다.

하지만	하지만/MAJ
3면이	3/SN+면/NNG+이/JKS
바다인	바다/NNG+이/VCP+ㄴ/ETM
우리나라에서	우리나라/NNG+에서/JKB
해양산업은	해양/NNG+산업/NNG+은/JX
블루오션일	블루오션/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
첨단산업의	첨단/NNG+산업/NNG+의/JKG
집결지가	집결지/NNG+가/JKC
되고	되/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000041.179.17.3
한국해양대 등을 통한 해양 관련 인력 양성으로 바다를 우리의 또 다른 영토와 산업기지로 만드는 작업이 필요합니다.”

한국해양대	한국해양대/NNP
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
해양	해양/NNG
관련	관련/NNG
인력	인력/NNG
양성으로	양성/NNG+으로/JKB
바다를	바다/NNG+를/JKO
우리의	우리/NP+의/JKG
또	또/MAG
다른	다른/MMD
영토와	영토/NNG+와/JC
산업기지로	산업/NNG+기지/NNG+로/JKB
만드는	만들/VV+는/ETM
작업이	작업/NNG+이/JKS
필요합니다.”	필요/NNG+하/XSA+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000041.179.18.1
약력

약력	약력/NNG


# id : NWRW1800000041.179.19.1
△1957년 출생

△1957년	△/SW+1957/SN+년/NNB
출생	출생/NNG


# id : NWRW1800000041.179.20.1
△1981년 한국해양대 기관학과 졸업

△1981년	△/SW+1981/SN+년/NNB
한국해양대	한국해양대/NNP
기관학과	기관학/NNG+과/NNG
졸업	졸업/NNG


# id : NWRW1800000041.179.21.1
△1988년 서울대 대학원 해양학과 석사

△1988년	△/SW+1988/SN+년/NNB
서울대	서울대/NNP
대학원	대학원/NNG
해양학과	해양학과/NNG
석사	석사/NNG


# id : NWRW1800000041.179.22.1
△1992년 영국 런던대(UCL) 대학원 해양공학 박사

△1992년	△/SW+1992/SN+년/NNB
영국	영국/NNP
런던대(UCL)	런던대/NNP+(/SS+UCL/SL+)/SS
대학원	대학원/NNG
해양공학	해양/NNG+공학/NNG
박사	박사/NNG


# id : NWRW1800000041.179.23.1
△1987∼2012년 한국해양대 교수

△1987∼2012년	△/SW+1987/SN+∼/SO+2012/SN+년/NNB
한국해양대	한국해양대/NNP
교수	교수/NNG


