# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.231
metadata : {}


# id : NWRW1800000033.231.1.1
[런던 올림픽 D-2 ]“청년실업 신음 속 올림픽 돈 잔치… 폐막 뒤가 걱정”

[런던	[/SS+런던/NNP
30대	30/SN+대/NNB
젊은이	젊은이/NNG
30여	30/SN+여/XSN
명과	명/NNB+과/JKB
만나	만나/VV+아/EC
올림픽에	올림픽/NNG+에/JKB
무관심한	무/XPN+관심/NNG+하/XSA+ㄴ/ETM
세태를	세태/NNG+를/JKO
들여다봤다.	들여다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.6.1
영국 20, 30대들은 올림픽에 대해 심드렁한 반응을 보였다.

영국	영국/NNP
20,	20/SN+,/SP
30대들은	30/SN+대/NNB+들/XSN+은/JX
올림픽에	올림픽/NNG+에/JKB
대해	대하/VV+아/EC
심드렁한	심드렁하/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.231.6.2
자원봉사자 등 올림픽에 관여하고 있는 5명을 제외하면 ‘경기장을 직접 방문할 생각이 있다’는 의사를 밝힌 사람이 한 명도 없었다.

자원봉사자	자원봉사자/NNG
등	등/NNB
올림픽에	올림픽/NNG+에/JKB
관여하고	관여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
5명을	5/SN+명/NNB+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
‘경기장을	‘/SS+경기장/NNG+을/JKO
직접	직접/MAG
방문할	방문/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
있다’는	있/VA+다/EF+’/SS+는/ETM
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
한	한/MMN
명도	명/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.231.6.3
케이팝(K-pop·한국대중가요) 열성 팬이라는 대학생 애나 토치 씨(19)는 “TV 중계는 보겠지만 비싼 돈을 주고 올림픽경기장을 갈 생각은 전혀 없다.

케이팝(K-pop·한국대중가요)	케이팝/NNG+(/SS+K/SL+-/SO+pop/SL+·/SP+한국/NNP+대중가요/NNG+)/SS
열성	열성/NNG
팬이라는	팬/NNG+이/VCP+라는/ETM
대학생	대학/NNG+생/XSN
애나	애나/NNP
토치	토치/NNP
씨(19)는	씨/NNB+(/SS+19/SN+)/SS+는/JX
“TV	“/SS+TV/SL
중계는	중계/NNG+는/JX
보겠지만	보/VV+겠/EP+지만/EC
비싼	비싸/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
주고	주/VV+고/EC
올림픽경기장을	올림픽/NNG+경기장/NNG+을/JKO
갈	가/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.231.6.4
차라리 그 돈을 아껴서 나중에 샤이니 콘서트에 가겠다”고 말했다.

차라리	차라리/MAG
그	그/MMD
돈을	돈/NNG+을/JKO
아껴서	아끼/VV+어서/EC
나중에	나중/NNG+에/JKB
샤이니	샤이니/NNP
콘서트에	콘서트/NNG+에/JKB
가겠다”고	가/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.7.1
20, 30대의 불만은 경제와 교통에 집중됐다.

20,	20/SN+,/SP
30대의	30/SN+대/NNB+의/JKG
불만은	불만/NNG+은/JX
경제와	경제/NNG+와/JC
교통에	교통/NNG+에/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.231.8.1
올림픽의 경제효과에 대한 회의적인 목소리가 많았다.

올림픽의	올림픽/NNG+의/JKG
경제효과에	경제/NNG+효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
목소리가	목소리/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.231.8.2
유럽 경제위기와 구직난 속에서 올림픽이 국가경제에 악영향을 끼칠 수 있다는 얘기였다.

유럽	유럽/NNP
경제위기와	경제/NNG+위기/NNG+와/JC
구직난	구직난/NNG
속에서	속/NNG+에서/JKB
올림픽이	올림픽/NNG+이/JKS
국가경제에	국가/NNG+경제/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.231.8.3
배관공 필 미첼 씨(22)는 “음식, 차비, 공공서비스 등 물가는 모조리 올랐는데 임금만 그대로다.

배관공	배관공/NNG
필	필/NNP
미첼	미첼/NNP
씨(22)는	씨/NNB+(/SS+22/SN+)/SS+는/JX
“음식,	“/SS+음식/NNG+,/SP
차비,	차비/NNG+,/SP
공공서비스	공공/NNG+서비스/NNG
등	등/NNB
물가는	물가/NNG+는/JX
모조리	모조리/MAG
올랐는데	오르/VV+았/EP+는데/EC
임금만	임금/NNG+만/JX
그대로다.	그대로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.231.8.4
삶이 팍팍해졌다”고 말했다.

삶이	삶/NNG+이/JKS
팍팍해졌다”고	팍팍하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.8.5
회사원 데이브 포스터 씨(27)는 “정부가 청년실업이라는 큰 문제를 뒤로 미루고 올림픽에 돈을 낭비하고 있다.

회사원	회사원/NNG
데이브	데이브/NNP
포스터	포스터/NNP
씨(27)는	씨/NNB+(/SS+27/SN+)/SS+는/JX
“정부가	“/SS+정부/NNG+가/JKS
청년실업이라는	청년/NNG+실업/NNG+이/VCP+라는/ETM
큰	크/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
뒤로	뒤/NNG+로/JKB
미루고	미루/VV+고/EC
올림픽에	올림픽/NNG+에/JKB
돈을	돈/NNG+을/JKO
낭비하고	낭비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.231.8.6
폐막 후 경기침체가 올까 두렵다”고 꼬집었다.

폐막	폐막/NNG
후	후/NNG
경기침체가	경기/NNG+침체/NNG+가/JKS
올까	오/VV+ㄹ까/EF
두렵다”고	두렵/VA+다/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.231.9.1
피부에 직접 와 닿는 교통체증에 대한 불만도 많았다.

피부에	피부/NNG+에/JKB
직접	직접/MAG
와	오/VV+아/EC
닿는	닿/VV+는/ETM
교통체증에	교통/NNG+체증/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만도	불만/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.231.9.2
특히 조직위가 원활한 대회 운영을 위해 주요 간선도로에 설치한 ‘올림픽 라인’에 대한 원성이 컸다.

특히	특히/MAG
조직위가	조직위/NNG+가/JKS
원활한	원활/NNG+하/XSA+ㄴ/ETM
대회	대회/NNG
운영을	운영/NNG+을/JKO
위해	위하/VV+아/EC
주요	주요/NNG
간선도로에	간선/NNG+도로/NNG+에/JKB
설치한	설치/NNG+하/XSV+ㄴ/ETM
‘올림픽	‘/SS+올림픽/NNG
라인’에	라인/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
원성이	원성/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.231.9.3
올림픽 라인은 행사 관련 차량을 우선적으로 통과시키는 차로다.

올림픽	올림픽/NNG
라인은	라인/NNG+은/JX
행사	행사/NNG
관련	관련/NNG
차량을	차량/NNG+을/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
통과시키는	통과/NNG+시키/XSV+는/ETM
차로다.	차로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.231.9.4
회사원 제임스 로드니 씨(29)는 “런던은 길이 좁다.

회사원	회사원/NNG
제임스	제임스/NNP
로드니	로드니/NNP
씨(29)는	씨/NNB+(/SS+29/SN+)/SS+는/JX
“런던은	“/SS+런던/NNP+은/JX
길이	길/NNG+이/JKS
좁다.	좁/VA+다/EF+./SF


# id : NWRW1800000033.231.9.5
왕복 3, 4차로 도로가 대부분인데 1차로를 막으니 교통체증이 훨씬 심해졌다”며 “더구나 130파운드(약 23만 원)에 이르는 올림픽 라인 위반 벌금은 말도 안 된다”고 말했다.

왕복	왕복/NNG
3,	3/SN+,/SP
4차로	4/SN+차로/NNG
도로가	도로/NNG+가/JKS
대부분인데	대/XPN+부분/NNG+이/VCP+ㄴ데/EC
1차로를	1/SN+차로/NNG+를/JKO
막으니	막/VV+으니/EC
교통체증이	교통/NNG+체증/NNG+이/JKS
훨씬	훨씬/MAG
심해졌다”며	심하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+며/EC
“더구나	“/SS+더구나/MAG
130파운드(약	130/SN+파운드/NNB+(/SS+약/MMA
23만	23/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
이르는	이르/VV+는/ETM
올림픽	올림픽/NNG
라인	라인/NNG
위반	위반/NNG
벌금은	벌금/NNG+은/JX
말도	말/NNG+도/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.10.1
테러에 대한 공포도 달갑지 않다.

테러에	테러/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공포도	공포/NNG+도/JX
달갑지	달갑/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.231.10.2
대학생 제니퍼 마셜 씨(23)는 “거리에 군인이 너무 많다.

대학생	대학/NNG+생/XSN
제니퍼	제니퍼/NNP
마셜	마셜/NNP
씨(23)는	씨/NNB+(/SS+23/SN+)/SS+는/JX
“거리에	“/SS+거리/NNG+에/JKB
군인이	군인/NNG+이/JKS
너무	너무/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.231.10.3
올림픽이 도대체 뭔데….

올림픽이	올림픽/NNG+이/JKS
도대체	도대체/MAG
뭔데….	뭐/NP+이/VCP+ㄴ데/EC+…/SE+./SF


# id : NWRW1800000033.231.10.4
우리가 왜 테러의 공포에 시달려야 하는지 모르겠다”고 한탄했다.

우리가	우리/NP+가/JKS
왜	왜/MAG
테러의	테러/NNG+의/JKG
공포에	공포/NNG+에/JKB
시달려야	시달리/VV+어야/EC
하는지	하/VX+는지/EC
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
한탄했다.	한탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.11.1
한편 국내에 세계적인 현상으로 소개되고 있는 케이팝에 대한 런던 청년들의 관심에는 시각차가 존재하는 것으로 나타났다.

한편	한편/MAG
국내에	국내/NNG+에/JKB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
현상으로	현상/NNG+으로/JKB
소개되고	소개/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
케이팝에	케이팝/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
런던	런던/NNP
청년들의	청년/NNG+들/XSN+의/JKG
관심에는	관심/NNG+에/JKB+는/JX
시각차가	시각차/NNG+가/JKS
존재하는	존재/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.11.2
한국어로 자신의 이름을 쓸 정도로 열광적인 팬도 있었지만 대부분은 케이팝의 존재 자체를 몰랐다.

한국어로	한국어/NNP+로/JKB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
열광적인	열광/NNG+적/XSN+이/VCP+ㄴ/ETM
팬도	팬/NNG+도/JX
있었지만	있/VA+었/EP+지만/EC
대부분은	대/XPN+부분/NNG+은/JX
케이팝의	케이팝/NNG+의/JKG
존재	존재/NNG
자체를	자체/NNG+를/JKO
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.12.1
내셔널갤러리 앞 화단에서 만난 회사원 소피 로 씨(30)의 말은 영국 20, 30대의 분위기를 단적으로 보여줬다.

내셔널갤러리	내셔널갤러리/NNP
앞	앞/NNG
화단에서	화단/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
회사원	회사원/NNG
소피	소피/NNP
로	로/NNP
씨(30)의	씨/NNB+(/SS+30/SN+)/SS+의/JKG
말은	말/NNG+은/JX
영국	영국/NNP
20,	20/SN+,/SP
30대의	30/SN+대/NNB+의/JKG
분위기를	분위기/NNG+를/JKO
단적으로	단적/NNG+으로/JKB
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.231.12.2
“젊은층 사이에서 농담처럼 하는 말이 있다.

“젊은층	“/SS+젊/VA+은/ETM+층/NNG
사이에서	사이/NNG+에서/JKB
농담처럼	농담/NNG+처럼/JKB
하는	하/VV+는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.231.12.3
올림픽이 다가와서 좋은 것은 날씨가 화창해졌다는 것뿐이라고.

올림픽이	올림픽/NNG+이/JKS
다가와서	다가오/VV+아서/EC
좋은	좋/VA+은/ETM
것은	것/NNB+은/JX
날씨가	날씨/NNG+가/JKS
화창해졌다는	화창하/VA+아/EC+지/VX+었/EP+다는/ETM
것뿐이라고.	것/NNB+뿐/JX+이/VCP+라고/EF+./SF


# id : NWRW1800000033.231.12.4
만약 계속 이상 저온현상과 흐린 날씨가 계속됐다면 젊은이들의 올림픽 무관심은 더 커졌을 것이다.”

만약	만약/MAG
계속	계속/MAG
이상	이상/NNG
저온현상과	저온/NNG+현상/NNG+과/JC
흐린	흐리/VA+ㄴ/ETM
날씨가	날씨/NNG+가/JKS
계속됐다면	계속/NNG+되/XSV+었/EP+다면/EC
젊은이들의	젊은이/NNG+들/XSN+의/JKG
올림픽	올림픽/NNG
무관심은	무/XPN+관심/NNG+은/JX
더	더/MAG
커졌을	커지/VV+었/EP+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


