# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.349
metadata : {}


# id : NWRW1800000037.349.1.1
黨대표 김한길 만든 내조대표 최명길

黨대표	黨/SH+대표/NNG
드라마 녹화 틈틈이 대의원들한테 직접 전화를 걸어 “저, 최명길입니다”라고 인사를 하기도 했다.

드라마	드라마/NNG
녹화	녹화/NNG
틈틈이	틈틈이/MAG
대의원들한테	대의원/NNG+들/XSN+한테/JKB
직접	직접/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
“저,	“/SS+저/IC+,/SP
최명길입니다”라고	최명길/NNP+이/VCP+ㅂ니다/EF+”/SS+라고/JKQ
인사를	인사/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.349.5.1
민주당을 상징하는 노란색 재킷과 노란색 매니큐어는 최 씨의 트레이드마크.

민주당을	민주당/NNP+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
노란색	노란색/NNG
재킷과	재킷/NNG+과/JC
매니큐어는	매니큐어/NNG+는/JX
최	최/NNP
씨의	씨/NNB+의/JKG
트레이드마크.	트레이드마크/NNG+./SF


# id : NWRW1800000037.349.5.2
대의원들의 기념사진 촬영, 사인 요구에 적극 호응해 김 대표 측에선 “일등공신”이라는 평가가 나온다.

대의원들의	대의원/NNG+들/XSN+의/JKG
기념사진	기념사진/NNG
촬영,	촬영/NNG+,/SP
사인	사인/NNG
요구에	요구/NNG+에/JKB
적극	적극/NNG
호응해	호응/NNG+하/XSV+아/EC
김	김/NNP
대표	대표/NNG
측에선	측/NNB+에서/JKB+ㄴ/JX
“일등공신”이라는	“/SS+일등/NNG+공신/NNG+”/SS+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.349.5.3
김 대표는 사석에서 “행사 때마다 ‘최명길 씨 오셨어요’라고 묻는 사람이 많아 ‘최명길 남편 김한길입니다’라고 인사를 하는 적이 많다.

김	김/NNP
대표는	대표/NNG+는/JX
사석에서	사석/NNG+에서/JKB
“행사	“/SS+행사/NNG
때마다	때/NNG+마다/JX
‘최명길	‘/SS+최명길/NNP
씨	씨/NNB
오셨어요’라고	오/VV+시/EP+었/EP+어요/EF+’/SS+라고/JKQ
묻는	묻/VV+는/ETM
사람이	사람/NNG+이/JKS
많아	많/VA+아/EC
남편	남편/NNG
김한길입니다’라고	김한길/NNP+이/VCP+ㅂ니다/EF+’/SS+라고/JKQ
인사를	인사/NNG+를/JKO
하는	하/VV+는/ETM
적이	적/NNB+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.349.5.4
내가 최명길 씨 외조를 아주 잘하고 있다”는 농담을 한다.

내가	내/NP+가/JKS
최명길	최명길/NNP
씨	씨/NNB
외조를	외조/NNG+를/JKO
아주	아주/MAG
잘하고	잘/MAG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
농담을	농담/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.349.6.1
2001년 10월 서울 구로을 국회의원 보궐선거에 여당 후보로 나선 김 대표를 위해 둘째아들을 출산한 지 보름 만에 퉁퉁 부은 모습으로 거리를 누빈 것은 유명한 일화.

2001년	2001/SN+년/NNB
10월	10/SN+월/NNB
서울	서울/NNP
구로을	구로을/NNP
국회의원	국회/NNG+의원/NNG
보궐선거에	보궐/NNG+선거/NNG+에/JKB
여당	여당/NNG
후보로	후보/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
김	김/NNP
대표를	대표/NNG+를/JKO
위해	위하/VV+아/EC
둘째아들을	둘째/NR+아들/NNG+을/JKO
출산한	출산/NNG+하/XSV+ㄴ/ETM
지	지/NNB
보름	보름/NNG
만에	만/NNB+에/JKB
퉁퉁	퉁퉁/MAG
부은	붓/VV+은/ETM
모습으로	모습/NNG+으로/JKB
거리를	거리/NNG+를/JKO
누빈	누비/VV+ㄴ/ETM
것은	것/NNB+은/JX
유명한	유명/NNG+하/XSA+ㄴ/ETM
일화.	일화/NNG+./SF


# id : NWRW1800000037.349.6.2
두 사람 사이에는 아들 둘을 두고 있다.

두	두/MMN
사람	사람/NNG
사이에는	사이/NNG+에/JKB+는/JX
아들	아들/NNG
둘을	둘/NR+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.349.6.3
김 대표가 당시 선거에서 낙선하자 드라마 ‘명성황후’ 주연을 맡기로 하고 받은 계약금으로 최고급 승용차를 구입해 선물하면서 “이 정도 일로 절대 기 죽지 말라”고 격려했다고 한다.

김	김/NNP
대표가	대표/NNG+가/JKS
당시	당시/NNG
선거에서	선거/NNG+에서/JKB
낙선하자	낙선/NNG+하/XSV+자/EC
드라마	드라마/NNG
‘명성황후’	‘/SS+명성황후/NNP+’/SS
주연을	주연/NNG+을/JKO
맡기로	맡/VV+기/ETN+로/JKB
하고	하/VV+고/EC
받은	받/VV+은/ETM
계약금으로	계약금/NNG+으로/JKB
최고급	최/XPN+고급/NNG
승용차를	승용차/NNG+를/JKO
구입해	구입/NNG+하/XSV+아/EC
선물하면서	선물/NNG+하/XSV+면서/EC
“이	“/SS+이/MMD
정도	정도/NNG
일로	일/NNG+로/JKB
절대	절대/MAG
기	기/NNG
죽지	죽/VV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
격려했다고	격려/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.349.7.1
배우 출신 정당 대표 부인은 2003년 민주당 대표였던 ‘미스터 쓴소리’ 조순형 전 대표(7선·78)의 부인인 연극배우 김금지 씨(71)가 원조 격이다.

배우	배우/NNG
출신	출신/NNG
정당	정당/NNG
대표	대표/NNG
부인은	부인/NNG+은/JX
2003년	2003/SN+년/NNB
민주당	민주당/NNP
대표였던	대표/NNG+이/VCP+었/EP+던/ETM
‘미스터	‘/SS+미스터/NNG
쓴소리’	쓴소리/NNG+’/SS
조순형	조순형/NNP
전	전/MMD
대표(7선·78)의	대표/NNG+(/SS+7/SN+선/NNB+·/SP+78/SN+)/SS+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
연극배우	연극배우/NNG
김금지	김금지/NNP
씨(71)가	씨/NNB+(/SS+71/SN+)/SS+가/JKS
원조	원조/NNG
격이다.	격/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.349.7.2
30여 년간 구둣가게를 운영하며 남편을 대신해 가계를 책임졌다.

30여	30/SN+여/XSN
년간	년/NNB+간/XSN
구둣가게를	구둣가게/NNG+를/JKO
운영하며	운영/NNG+하/XSV+며/EC
남편을	남편/NNG+을/JKO
대신해	대신/NNG+하/XSV+아/EC
가계를	가계/NNG+를/JKO
책임졌다.	책임지/VV+었/EP+다/EF+./SF


