# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.143
metadata : {}


# id : NWRW1800000049.143.1.1
청춘 주제 책 고르고 대형 그라피티 함께 만들어요

청춘	청춘/NNG
보내는	보내/VV+는/ETM
격려와	격려/NNG+와/JC
응원을	응원/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
50여	50/SN+여/XSN
종의	종/NNG+의/JKG
책도	책/NNG+도/JX
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.143.5.4
‘이상한 나라의 앨리스 트럼프카드’와 조향제 등 책과 관련된 생활용품인 ‘굿즈’도 진열된다.

‘이상한	‘/SS+이상/NNG+하/XSA+ㄴ/ETM
나라의	나라/NNG+의/JKG
앨리스	앨리스/NNP
트럼프카드’와	트럼프/NNG+카드/NNG+’/SS+와/JC
조향제	조향제/NNG
등	등/NNB
책과	책/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
생활용품인	생활용품/NNG+이/VCP+ㄴ/ETM
‘굿즈’도	‘/SS+굿즈/NNG+’/SS+도/JX
진열된다.	진열/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.5.5
북카페 소셜네트워크서비스(SNS) 이벤트에 참여한 방문객에게는 현장에서 도서 할인 교환권을 증정한다.

북카페	북카페/NNG
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
이벤트에	이벤트/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
방문객에게는	방문객/NNG+에게/JKB+는/JX
현장에서	현장/NNG+에서/JKB
도서	도서/NNG
할인	할인/NNG
교환권을	교환/NNG+권/XSN+을/JKO
증정한다.	증정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.5.6
투명한 컨테이너 외관은 디스플레이 기능을 갖춰 청춘을 향한 응원과 격려, 희망의 메시지도 접할 수 있다.

투명한	투명/NNG+하/XSA+ㄴ/ETM
컨테이너	컨테이너/NNG
외관은	외관/NNG+은/JX
디스플레이	디스플레이/NNG
기능을	기능/NNG+을/JKO
갖춰	갖추/VV+어/EC
청춘을	청춘/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
응원과	응원/NNG+과/JC
격려,	격려/NNG+,/SP
희망의	희망/NNG+의/JKG
메시지도	메시지/NNG+도/JX
접할	접하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.143.5.7
북카페 운영 시간은 오전 11시 반부터 오후 6시까지.

북카페	북카페/NNG
운영	운영/NNG
시간은	시간/NNG+은/JX
오전	오전/NNG
11시	11/SN+시/NNB
반부터	반/NNG+부터/JX
오후	오후/NNG
6시까지.	6/SN+시/NNB+까지/JX+./SF


# id : NWRW1800000049.143.6.1
12월 1일 서울 청계광장에서 대통령직속 청년위원회와 함께 진행하는 ‘청춘과 하이파이브’ 프로젝트는 폭 10m, 높이 2.4m의 대형 캔버스에 그라피티 형태의 미술작품을 제작하는 아트 퍼포먼스다.

12월	12/SN+월/NNB
1일	1/SN+일/NNB
서울	서울/NNP
청계광장에서	청계광장/NNP+에서/JKB
대통령직속	대통령/NNG+직속/NNG
청년위원회와	청년/NNG+위원회/NNG+와/JKB
함께	함께/MAG
진행하는	진행/NNG+하/XSV+는/ETM
‘청춘과	‘/SS+청춘/NNG+과/JKB
하이파이브’	하이파이브/NNG+’/SS
프로젝트는	프로젝트/NNG+는/JX
폭	폭/NNG
10m,	10/SN+m/SW+,/SP
높이	높이/NNG
2.4m의	2/SN+./SP+4/SN+m/SW+의/JKG
대형	대형/NNG
캔버스에	캔버스/NNG+에/JKB
그라피티	그라피티/NNG
형태의	형태/NNG+의/JKG
미술작품을	미술/NNG+작품/NNG+을/JKO
제작하는	제작/NNG+하/XSV+는/ETM
아트	아트/NNG
퍼포먼스다.	퍼포먼스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.143.6.2
사람의 손바닥이나 손바닥 모양의 도장을 캔버스에 찍는 모자이크 방식으로 진행한다.

사람의	사람/NNG+의/JKG
손바닥이나	손바닥/NNG+이나/JC
손바닥	손바닥/NNG
모양의	모양/NNG+의/JKG
도장을	도장/NNG+을/JKO
캔버스에	캔버스/NNG+에/JKB
찍는	찍/VV+는/ETM
모자이크	모자이크/NNG
방식으로	방식/NNG+으로/JKB
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.7.1
프로젝트에는 최민주 일러스트&디자인 대표와 청년위원회 청년문화예술기획단 소속의 청년작가 10여 명이 참여한다.

프로젝트에는	프로젝트/NNG+에/JKB+는/JX
최민주	최민주/NNP
일러스트&디자인	일러스트&디자인/NNP
대표와	대표/NNG+와/JC
청년위원회	청년/NNG+위원회/NNG
청년문화예술기획단	청년/NNG+문화/NNG+예술/NNG+기획단/NNG
소속의	소속/NNG+의/JKG
청년작가	청년/NNG+작가/NNG
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.7.2
최 대표는 ‘남이섬 대문 일러스트’, ‘상상꿀벌 프로젝트’, ‘대한민국상상엑스포’ 등에 참여한 중견 일러스트레이터다.

최	최/NNP
대표는	대표/NNG+는/JX
‘남이섬	‘/SS+남이섬/NNP
대문	대문/NNG
일러스트’,	일러스트/NNG+’/SS+,/SP
‘상상꿀벌	‘/SS+상상/NNG+꿀벌/NNG
프로젝트’,	프로젝트/NNG+’/SS+,/SP
‘대한민국상상엑스포’	‘/SS+대한민국/NNP+상상/NNG+엑스포/NNG+’/SS
등에	등/NNB+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
중견	중견/NNG
일러스트레이터다.	일러스트레이터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.143.8.1
이 행사는 시민들이 직접 손바닥이나 손도장에 페인트를 묻혀 캔버스를 채우는 방식으로 작가들과 함께 작업을 진행한다.

이	이/MMD
행사는	행사/NNG+는/JX
시민들이	시민/NNG+들/XSN+이/JKS
직접	직접/MAG
손바닥이나	손바닥/NNG+이나/JC
손도장에	손도장/NNG+에/JKB
페인트를	페인트/NNG+를/JKO
묻혀	묻히/VV+어/EC
캔버스를	캔버스/NNG+를/JKO
채우는	채우/VV+는/ETM
방식으로	방식/NNG+으로/JKB
작가들과	작가/NNG+들/XSN+과/JKB
함께	함께/MAG
작업을	작업/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.8.2
완성한 작품은 서울 마포구 매봉산로 동아디지털미디어센터(DDMC) 로비에 전시된다.

완성한	완성/NNG+하/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
서울	서울/NNP
마포구	마포구/NNP
매봉산로	매봉산로/NNP
동아디지털미디어센터(DDMC)	동아디지털미디어센터/NNP+(/SS+DDMC/SL+)/SS
로비에	로비/NNG+에/JKB
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.8.3
행사는 이날 오전 11시에 시작한다.

행사는	행사/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
11시에	11/SN+시/NNB+에/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.8.4
작품 제작 과정은 동영상으로 촬영해 채널A 홈페이지, SNS 등을 통해 공유할 예정이다.

작품	작품/NNG
제작	제작/NNG
과정은	과정/NNG+은/JX
동영상으로	동영상/NNG+으로/JKB
촬영해	촬영/NNG+하/XSV+아/EC
채널A	채널A/NNP
홈페이지,	홈페이지/NNG+,/SP
SNS	SNS/SL
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
공유할	공유/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.143.8.5
제작에 참여한 시민이 행사 장소에서 사진을 촬영해 SNS에 올리면 푸짐한 경품도 받을 수 있다.

제작에	제작/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
시민이	시민/NNG+이/JKS
행사	행사/NNG
장소에서	장소/NNG+에서/JKB
사진을	사진/NNG+을/JKO
촬영해	촬영/NNG+하/XSV+아/EC
SNS에	SNS/SL+에/JKB
올리면	올리/VV+면/EC
푸짐한	푸짐하/VA+ㄴ/ETM
경품도	경품/NNG+도/JX
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.143.8.6
채널A와 청년위원회는 “다 함께 캔버스를 채워나가는 방식을 통해 청년들에게 희망과 응원, 격려의 메시지를 전하고 싶다”고 말했다.

채널A와	채널A/NNP+와/JC
청년위원회는	청년/NNG+위원회/NNG+는/JX
“다	“/SS+다/MAG
함께	함께/MAG
캔버스를	캔버스/NNG+를/JKO
채워나가는	채우/VV+어/EC+나가/VX+는/ETM
방식을	방식/NNG+을/JKO
통해	통하/VV+아/EC
청년들에게	청년/NNG+들/XSN+에게/JKB
희망과	희망/NNG+과/JC
응원,	응원/NNG+,/SP
격려의	격려/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
전하고	전하/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


