# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.269
metadata : {}


# id : NWRW1800000053.269.1.1
[홍수영의 뉴스룸]끝내 보수의 샛별은 빛나지 않는가

[홍수영의	[/SS+홍수영/NNP+의/JKG
빠졌다고	빠지/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.269.2.6
그러나 ‘친박(친박근혜) 상왕 정치’에 대한 우려를 말끔히 씻으려면 ‘맏형’들이 총대를 멜 필요가 있다.

그러나	그러나/MAJ
‘친박(친박근혜)	‘/SS+친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
상왕	상왕/NNG
정치’에	정치/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
우려를	우려/NNG+를/JKO
말끔히	말끔히/MAG
씻으려면	씻/VV+으려면/EC
‘맏형’들이	‘/SS+맏/XPN+형/NNG+’/SS+들/XSN+이/JKS
총대를	총대/NNG+를/JKO
멜	메/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.269.2.7
그렇게 하는 게 정치적 순리였다.

그렇게	그렇/VA+게/EC
하는	하/VV+는/ETM
게	거/NNB+이/JKS
정치적	정치/NNG+적/XSN
순리였다.	순리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.269.3.1
백의종군을 선언한 바른정당 유승민 전 대선 후보처럼 한국당 홍준표 전 대선 후보도 잠시 숨을 고르면 했다.

백의종군을	백의종군/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
바른정당	바른정당/NNP
유승민	유승민/NNP
전	전/MMD
대선	대선/NNG
후보처럼	후보/NNG+처럼/JKB
한국당	한국당/NNP
홍준표	홍준표/NNP
후보도	후보/NNG+도/JX
잠시	잠시/MAG
숨을	숨/NNG+을/JKO
고르면	고르/VV+면/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.269.3.2
어떤 명분을 내걸든 대선 후보를 지낸 인물이 당권을 위한 이전투구의 한가운데 서는 모습은 보고 싶지 않았다.

어떤	어떤/MMD
명분을	명분/NNG+을/JKO
내걸든	내걸/VV+든/EC
대선	대선/NNG
후보를	후보/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
인물이	인물/NNG+이/JKS
당권을	당권/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이전투구의	이전투구/NNG+의/JKG
한가운데	한/XPN+가운데/NNG
서는	서/VV+는/ETM
모습은	모습/NNG+은/JX
보고	보/VV+고/EC
싶지	싶/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.269.3.3
보수 정당은 지난 10년 동안 친이(친이명박)-친박, 친박-비박으로 갈려 홍역을 치렀다.

보수	보수/NNG
정당은	정당/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
친이(친이명박)-친박,	친/XPN+이/NNP+(/SS+친/XPN+이명박/NNP+)/SS+-/SO+친/XPN+박/NNP+,/SP
친박-비박으로	친/XPN+박/NNP+-/SO+비/XPN+박/NNP+으로/JKB
갈려	갈리/VV+어/EC
홍역을	홍역/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.269.3.4
그런 한국당이 또다시 사람을 중심으로 헤쳐 모여 ‘시즌3’를 찍는 일은 없으면 했다.

그런	그런/MMD
한국당이	한국당/NNP+이/JKS
또다시	또다시/MAG
사람을	사람/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
헤쳐	헤치/VV+어/EC
모여	모이/VV+어/EC
‘시즌3’를	‘/SS+시즌/NNG+3/SN+’/SS+를/JKO
찍는	찍/VV+는/ETM
일은	일/NNG+은/JX
없으면	없/VA+으면/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.269.3.5
보수 진영의 지혜를 모두 끌어 모아도 모자랄 판에 ‘친홍(친홍준표)’이란 소(小)계파의 탄생은 유예되는 게 좋았다.

보수	보수/NNG
진영의	진영/NNG+의/JKG
지혜를	지혜/NNG+를/JKO
모두	모두/MAG
끌어	끌/VV+어/EC
모아도	모으/VV+아도/EC
모자랄	모자라/VV+ㄹ/ETM
판에	판/NNB+에/JKB
‘친홍(친홍준표)’이란	‘/SS+친/XPN+홍/NNP+(/SS+친/XPN+홍준표/NNP+)/SS+’/SS+이/VCP+란/ETM
소(小)계파의	소/NA+(/SS+小/SH+)/SS+계파/NNG+의/JKG
탄생은	탄생/NNG+은/JX
유예되는	유예/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.269.4.1
친박 핵심도, 전 대선 후보도 비운 자리에는 ‘보수의 샛별’이 자랄 수 있도록 땅을 다졌으면 했다.

친박	친/XPN+박/NNP
핵심도,	핵심/NNG+도/JX+,/SP
전	전/MMD
대선	대선/NNG
후보도	후보/NNG+도/JX
비운	비우/VV+ㄴ/ETM
자리에는	자리/NNG+에/JKB+는/JX
‘보수의	‘/SS+보수/NNG+의/JKG
샛별’이	샛별/NNG+’/SS+이/JKS
자랄	자라/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
땅을	땅/NNG+을/JKO
다졌으면	다지/VV+었/EP+으면/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.269.4.2
2인자를 키우지 않은 박 전 대통령의 ‘공포정치’ 탓에 엉뚱하게 최순실만 컸고 막상 대선에서는 선수 기근에 시달리지 않았던가.

2인자를	2인자/NNG+를/JKO
키우지	키우/VV+지/EC
않은	않/VX+은/ETM
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
‘공포정치’	‘/SS+공포/NNG+정치/NNG+’/SS
탓에	탓/NNG+에/JKB
엉뚱하게	엉뚱하/VA+게/EC
최순실만	최순실/NNP+만/JX
컸고	크/VA+었/EP+고/EC
막상	막상/MAG
대선에서는	대선/NNG+에서/JKB+는/JX
선수	선수/NNG
기근에	기근/NNG+에/JKB
시달리지	시달리/VV+지/EC
않았던가.	않/VX+았/EP+던가/EF+./SF


# id : NWRW1800000053.269.5.1
과도기 체제로 흙을 먹고 토해내며 땅을 비옥하게 만드는 ‘지렁이형 대표’는 어떤가.

과도기	과도기/NNG
체제로	체제/NNG+로/JKB
흙을	흙/NNG+을/JKO
먹고	먹/VV+고/EC
토해내며	토하/VV+아/EC+내/VX+며/EC
땅을	땅/NNG+을/JKO
비옥하게	비옥/NNG+하/XSA+게/EC
만드는	만들/VV+는/ETM
‘지렁이형	‘/SS+지렁이/NNG+형/XSN
대표’는	대표/NNG+’/SS+는/JX
어떤가.	어떻/VA+ㄴ가/EF+./SF


# id : NWRW1800000053.269.5.2
그 땅에서 이제 보수도 최소 5인조의 아이돌 그룹을 키우는 거다.

그	그/MMD
땅에서	땅/NNG+에서/JKB
이제	이제/MAG
보수도	보수/NNG+도/JX
최소	최소/NNG
5인조의	5/SN+인/NNG+조/NNG+의/JKG
아이돌	아이돌/NNG
그룹을	그룹/NNG+을/JKO
키우는	키우/VV+는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.5.3
초·재선 의원들이 선언한 ‘정풍운동’이 그 씨앗이면 했다.

초·재선	초·재선/NNG
의원들이	의원/NNG+들/XSN+이/JKS
선언한	선언/NNG+하/XSV+ㄴ/ETM
‘정풍운동’이	‘/SS+정풍/NNG+운동/NNG+’/SS+이/JKS
그	그/MMD
씨앗이면	씨앗/NNG+이/VCP+면/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.269.5.4
순응과 보신이 습관이 된 ‘친박돌이’들의 정치적 독립선언이 당 체질 개선의 출발점이라는 취지에서다.

순응과	순응/NNG+과/JC
보신이	보신/NNG+이/JKS
습관이	습관/NNG+이/JKC
된	되/VV+ㄴ/ETM
‘친박돌이’들의	‘/SS+친박돌이/NNG+’/SS+들/XSN+의/JKG
정치적	정치/NNG+적/XSN
독립선언이	독립/NNG+선언/NNG+이/JKS
당	당/NNG
체질	체질/NNG
개선의	개선/NNG+의/JKG
출발점이라는	출발점/NNG+이/VCP+라는/ETM
취지에서다.	취지/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.6.1
한국당의 상황을 모르는 생뚱맞은 소리라고 하는 사람도 있을 수 있다.

한국당의	한국당/NNP+의/JKG
상황을	상황/NNG+을/JKO
모르는	모르/VV+는/ETM
생뚱맞은	생뚱맞/VA+은/ETM
소리라고	소리/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
사람도	사람/NNG+도/JX
있을	있/VA+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.269.6.2
하지만 이는 어디 가서 명함 내밀기가 망설여진다는 30, 40대 당직자와 보좌진들의 얘기다.

하지만	하지만/MAJ
이는	이/NP+는/JX
어디	어디/NP
가서	가/VV+아서/EC
명함	명함/NNG
내밀기가	내밀/VV+기/ETN+가/JKS
망설여진다는	망설이/VV+어/EC+지/VX+ㄴ다는/ETM
30,	30/SN+,/SP
40대	40/SN+대/NNB
당직자와	당직자/NNG+와/JC
보좌진들의	보좌진/NNG+들/XSN+의/JKG
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.6.3
‘낙하산 의원’들보다 더 오랜 기간 보수 정당을 지켜온 이들의 탄식 섞인 희망사항이다.

‘낙하산	‘/SS+낙하산/NNG
의원’들보다	의원/NNG+’/SS+들/XSN+보다/JKB
더	더/MAG
오랜	오랜/MMA
기간	기간/NNG
보수	보수/NNG
정당을	정당/NNG+을/JKO
지켜온	지키/VV+어/EC+오/VX+ㄴ/ETM
이들의	이/NNB+들/XSN+의/JKG
탄식	탄식/NNG
섞인	섞이/VV+ㄴ/ETM
희망사항이다.	희망/NNG+사항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.7.1
하지만 한국당이 당권 레이스에 본격 돌입한 지금, 이런 희망은 그저 상상에 그칠 조짐이다.

하지만	하지만/MAJ
한국당이	한국당/NNP+이/JKS
당권	당권/NNG
레이스에	레이스/NNG+에/JKB
본격	본격/NNG
돌입한	돌입/NNG+하/XSV+ㄴ/ETM
지금,	지금/NNG+,/SP
이런	이런/MMD
희망은	희망/NNG+은/JX
그저	그저/MAG
상상에	상상/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.7.2
중진을 향해 호기롭게 “입 닥치라”고 했던 초·재선은 ‘대안이 없다’는 현실론으로 뿔뿔이 흩어졌다.

중진을	중진/NNG+을/JKO
향해	향하/VV+아/EC
호기롭게	호기/NNG+롭/XSA+게/EC
“입	“/SS+입/NNG
닥치라”고	닥치/VV+라/EF+”/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
초·재선은	초·재선/NNG+은/JX
‘대안이	‘/SS+대안/NNG+이/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
현실론으로	현실/NNG+론/XSN+으로/JKB
뿔뿔이	뿔뿔이/MAG
흩어졌다.	흩어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.269.7.3
체질 개선도 만만찮아 보인다.

체질	체질/NNG
개선도	개선/NNG+도/JX
만만찮아	만만찮/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.269.7.4
한 초선은 최근 당 연찬회에 2012년 민주통합당(현 더불어민주당)의 대선 패배 보고서를 함께 읽자며 200부 넘게 준비해 갔다가 배포도 못 했다고 한다.

한	한/MMN
초선은	초선/NNG+은/JX
최근	최근/NNG
당	당/NNG
연찬회에	연찬회/NNG+에/JKB
2012년	2012/SN+년/NNB
민주통합당(현	민주통합당/NNP+(/SS+현/MMD
더불어민주당)의	더불어민주당/NNP+)/SS+의/JKG
대선	대선/NNG
패배	패배/NNG
보고서를	보고서/NNG+를/JKO
함께	함께/MAG
읽자며	읽/VV+자며/EC
200부	200/SN+부/NNB
넘게	넘/VV+게/EC
준비해	준비/NNG+하/XSV+아/EC
갔다가	가/VX+았/EP+다가/EC
배포도	배포/NNG+도/JX
못	못/MAG
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.269.7.5
그는 “타산지석 삼을 대목이 많았는데 지도부가 ‘남의 당 얘기를 뭣 하러 돌려 보느냐’고 막더라.

그는	그/NP+는/JX
“타산지석	“/SS+타산지석/NNG
삼을	삼/VV+을/ETM
대목이	대목/NNG+이/JKS
많았는데	많/VA+았/EP+는데/EC
지도부가	지도부/NNG+가/JKS
‘남의	‘/SS+남/NNG+의/JKG
당	당/NNG
얘기를	얘기/NNG+를/JKO
뭣	뭣/NP
하러	하/VV+러/EC
돌려	돌리/VV+어/EC
보느냐’고	보/VX+느냐/EF+’/SS+고/JKQ
막더라.	막/VV+더라/EF+./SF


# id : NWRW1800000053.269.7.6
우리가 순치(馴致)돼 있잖느냐”며 자조했다.

우리가	우리/NP+가/JKS
순치(馴致)돼	순치/NNG+(/SS+馴致/SH+)/SS+되/XSV+어/EC
있잖느냐”며	있/VX+잖느냐/EF+”/SS+며/EC
자조했다.	자조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.269.8.1
홍 전 후보는 결국 “호랑이 등에서 내릴 수 없는 입장이 됐다”며 18일로 당 대표 출마 기자회견 일정을 공지했다.

홍	홍/NNP
전	전/MMD
후보는	후보/NNG+는/JX
결국	결국/MAG
“호랑이	“/SS+호랑이/NNG
등에서	등/NNG+에서/JKB
내릴	내리/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
입장이	입장/NNG+이/JKC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
18일로	18/SN+일/NNB+로/JKB
당	당/NNG
대표	대표/NNG
출마	출마/NNG
기자회견	기자/NNG+회견/NNG
일정을	일정/NNG+을/JKO
공지했다.	공지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.269.8.2
친박들은 여전히 정치적 책임을 지는 이 하나 없이 ‘포스트 친박’ 체제에서 살길을 찾느라 바쁘다.

친박들은	친/XPN+박/NNP+들/XSN+은/JX
여전히	여전히/MAG
정치적	정치/NNG+적/XSN
책임을	책임/NNG+을/JKO
지는	지/VV+는/ETM
이	이/NNB
하나	하나/NR
없이	없이/MAG
‘포스트	‘/SS+포스트/NNG
친박’	친/XPN+박/NNP+’/SS
체제에서	체제/NNG+에서/JKB
살길을	살길/NNG+을/JKO
찾느라	찾/VV+느라/EC
바쁘다.	바쁘/VA+다/EF+./SF


# id : NWRW1800000053.269.8.3
당 지지율은 한 자릿수로 쪼그라들었는데 대다수는 여전히 부자가 몸을 사리듯 한다.

당	당/NNG
지지율은	지지/NNG+율/XSN+은/JX
한	한/MMN
자릿수로	자릿수/NNG+로/JKB
쪼그라들었는데	쪼그라들/VV+었/EP+는데/EC
대다수는	대/XPN+다수/NNG+는/JX
여전히	여전히/MAG
부자가	부자/NNG+가/JKS
몸을	몸/NNG+을/JKO
사리듯	사리/VV+듯/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.269.8.4
보수 재건은 한국당의 기득권을 되찾자는 게 아니다.

보수	보수/NNG
재건은	재건/NNG+은/JX
한국당의	한국당/NNP+의/JKG
기득권을	기득/NNG+권/XSN+을/JKO
되찾자는	되찾/VV+자는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.269.8.5
건강한 보수가 있어야 진보에도 건강한 긴장감을 불어넣을 수 있다.

건강한	건강/NNG+하/XSA+ㄴ/ETM
보수가	보수/NNG+가/JKS
있어야	있/VA+어야/EC
진보에도	진보/NNG+에/JKB+도/JX
긴장감을	긴장감/NNG+을/JKO
불어넣을	불어넣/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.269.8.6
한국당은 이대로 ‘영남 자민련’으로 주저앉을 것인가.

한국당은	한국당/NNP+은/JX
이대로	이대로/MAG
‘영남	‘/SS+영남/NNP
자민련’으로	자민련/NNP+’/SS+으로/JKB
주저앉을	주저앉/VV+을/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000053.269.8.7
한국당의 나락은 끝이 없어 보인다.

한국당의	한국당/NNP+의/JKG
나락은	나락/NNG+은/JX
끝이	끝/NNG+이/JKS
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


