# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.2
metadata : {}


# id : NWRW1800000030.2.1.1
'아이패드 앱'은 3주만에 다운로드 4만건

'아이패드	'/SS+아이패드/NNP
앱을 실행하면 스마트폰보다 3배 이상 큰 화면에 맞게 시원하게 편집된 조선미디어그룹의 뉴스 콘텐츠를 실시간으로 접할 수 있다.

앱을	앱/NNG+을/JKO
실행하면	실행/NNG+하/XSV+면/EC
스마트폰보다	스마트폰/NNG+보다/JKB
3배	3/SN+배/NNG
이상	이상/NNG
큰	크/VA+ㄴ/ETM
화면에	화면/NNG+에/JKB
맞게	맞/VV+게/EC
시원하게	시원하/VA+게/EC
편집된	편집/NNG+되/XSV+ㄴ/ETM
조선미디어그룹의	조선미디어그룹/NNP+의/JKG
뉴스	뉴스/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
실시간으로	실시간/NNG+으로/JKB
접할	접하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.2.8.1
지난 7일 출시된 조선일보의 아이패드 앱도 사용자들의 큰 호응 속에 다운로드 4만건 돌파를 눈앞에 두고 있다.

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
조선일보의	조선일보/NNP+의/JKG
아이패드	아이패드/NNP
앱도	앱/NNG+도/JX
사용자들의	사용자/NNG+들/XSN+의/JKG
큰	크/VA+ㄴ/ETM
호응	호응/NNG
속에	속/NNG+에/JKB
다운로드	다운로드/NNG
4만건	4/SN+만/NR+건/NNB
돌파를	돌파/NNG+를/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.2.8.2
타의 추종을 불허할 정도로 사용자가 급속하게 늘고 있는 것이다.

타의	타/NNG+의/JKG
추종을	추종/NNG+을/JKO
불허할	불허/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
사용자가	사용자/NNG+가/JKS
급속하게	급속/NNG+하/XSA+게/EC
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.2.8.3
조선일보 앱은 국내 앱스토어 뉴스부문 인기 순위에서도 여전히 상위권을 유지하고 있다.

조선일보	조선일보/NNP
앱은	앱/NNG+은/JX
국내	국내/NNG
앱스토어	앱스토어/NNG
뉴스부문	뉴스/NNG+부문/NNG
인기	인기/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
여전히	여전히/MAG
상위권을	상위/NNG+권/XSN+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.2.9.1
조선일보는 초기 문제점과 사용자 의견을 바탕으로 앱 출시 1주일 만에 업데이트 버전을 내놨고, 다음 달 초에 2차 업데이트를 실시할 예정이다.

조선일보는	조선일보/NNP+는/JX
초기	초기/NNG
문제점과	문제점/NNG+과/JC
사용자	사용자/NNG
의견을	의견/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
앱	앱/NNG
출시	출시/NNG
1주일	1/SN+주일/NNB
만에	만/NNB+에/JKB
업데이트	업데이트/NNG
버전을	버전/NNG+을/JKO
내놨고,	내놓/VV+았/EP+고/EC+,/SP
다음	다음/NNG
달	달/NNG
초에	초/NNB+에/JKB
2차	2/SN+차/NNB
업데이트를	업데이트/NNG+를/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.2.10.1
조선일보는 아이패드와 갤럭시탭 앱에 이어 상반기에 출시되는 LG전자의 안드로이드 계열 태블릿PC '옵티머스 패드'(8.9인치)에 최적화된 뉴스 앱도 개발할 예정이다.

조선일보는	조선일보/NNP+는/JX
아이패드와	아이패드/NNP+와/JC
갤럭시탭	갤럭시탭/NNP
앱에	앱/NNG+에/JKB
이어	잇/VV+어/EC
상반기에	상반기/NNG+에/JKB
출시되는	출시/NNG+되/XSV+는/ETM
LG전자의	LG전자/NNP+의/JKG
안드로이드	안드로이드/NNG
계열	계열/NNG
태블릿PC	태블릿/NNG+PC/SL
'옵티머스	'/SS+옵티머스/NNP
패드'(8.9인치)에	패드/NNP+'/SS+(/SS+8/SN+./SP+9/SN+인치/NNB+)/SS+에/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
뉴스	뉴스/NNG
앱도	앱/NNG+도/JX
개발할	개발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.2.10.2
이를 통해 태블릿PC 사용자가 7인치, 8.9인치, 9.7인치 등 어떤 크기의 PC를 사용하더라도 각 기기에 맞게 최적화된 형태로 조선미디어그룹의 뉴스 콘텐츠를 접할 수 있는 환경을 구축할 계획이다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
태블릿PC	태블릿/NNG+PC/SL
사용자가	사용자/NNG+가/JKS
7인치,	7/SN+인치/NNB+,/SP
8.9인치,	8/SN+./SP+9/SN+인치/NNB+,/SP
9.7인치	9/SN+./SP+7/SN+인치/NNB
등	등/NNB
어떤	어떤/MMD
크기의	크기/NNG+의/JKG
PC를	PC/SL+를/JKO
사용하더라도	사용/NNG+하/XSV+더라도/EC
각	각/MMD
기기에	기기/NNG+에/JKB
맞게	맞/VV+게/EC
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
형태로	형태/NNG+로/JKB
조선미디어그룹의	조선미디어그룹/NNP+의/JKG
뉴스	뉴스/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
접할	접하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
구축할	구축/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


