# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.407
metadata : {}


# id : NWRW1800000046.407.1.1
기업 구조조정 지원하는 '원샷법' 처리 못해

기업	기업/NNG
의원들은	의원/NNG+들/XSN+은/JX
국회	국회/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"(원샷법은)	"/SS+(/SS+원샷법/NNG+은/JX+)/SS
재벌의	재벌/NNG+의/JKG
지배	지배/NNG
구조	구조/NNG
강화에	강화/NNG+에/JKB
악용될	악용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"정부·여당이	"/SS+정부/NNG+·/SP+여당/NNG+이/JKS
직권	직권/NNG
상정을	상정/NNG+을/JKO
통해	통하/VV+아/EC
날치기를	날치기/NNG+를/JKO
시도한다면	시도/NNG+하/XSV+ㄴ다면/EC
'필리버스터'(합법적	'/SS+필리버스터/NNG+'/SS+(/SS+합법/NNG+적/XSN
의사	의사/NNG
진행	진행/NNG
방해)를	방해/NNG+)/SS+를/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.407.6.1
정부와 여당이 추진 중인 원샷법은 '과잉 공급' 업종에 한해 사업 재편을 지원하는 5년 한시법이다.

정부와	정부/NNG+와/JC
여당이	여당/NNG+이/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
원샷법은	원샷법/NNG+은/JX
'과잉	'/SS+과잉/NNG
공급'	공급/NNG+'/SS
업종에	업종/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
사업	사업/NNG
재편을	재편/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
5년	5/SN+년/NNB
한시법이다.	한시법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.407.6.2
현재 선진국보다 까다로운 인수·합병(M&A) 절차를 간소화하고, 지원 대상 기업에 세제 혜택을 주는 게 골자다.

현재	현재/MAG
선진국보다	선진국/NNG+보다/JKB
까다로운	까다롭/VA+ㄴ/ETM
인수·합병(M&A)	인수/NNG+·/SP+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
절차를	절차/NNG+를/JKO
간소화하고,	간소/NNG+화/XSN+하/XSV+고/EC+,/SP
지원	지원/NNG
대상	대상/NNG
기업에	기업/NNG+에/JKB
세제	세제/NNG
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
게	거/NNB+이/JKS
골자다.	골자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.407.6.3
중소·중견기업에 대해서는 R&D(연구·개발)·경영 자금도 지원한다.

중소·중견기업에	중소/NNG+·/SP+중견/NNG+기업/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
R&D(연구·개발)·경영	R/SL+&/SW+D/SL+(/SS+연구/NNG+·/SP+개발/NNG+)/SS+·/SP+경영/NNG
자금도	자금/NNG+도/JX
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.407.6.4
정부와 재계는 조선·철강·화학처럼 부실이 심한 업종의 사업 맞바꾸기 등을 통해 업계 전체가 회생할 기회를 줄 수 있다고 주장한다.

정부와	정부/NNG+와/JC
재계는	재계/NNG+는/JX
조선·철강·화학처럼	조선/NNG+·/SP+철강/NNG+·/SP+화학/NNG+처럼/JKB
부실이	부실/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
업종의	업종/NNG+의/JKG
사업	사업/NNG
맞바꾸기	맞바꾸/VV+기/ETN
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
업계	업계/NNG
전체가	전체/NNG+가/JKS
회생할	회생/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.407.7.1
원샷법 모델인 일본의 '산업경쟁력강화법'은 지원 대상이나 범위가 우리 법안보다 훨씬 넓다.

원샷법	원샷법/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
일본의	일본/NNP+의/JKG
'산업경쟁력강화법'은	'/SS+산업/NNG+경쟁력/NNG+강화/NNG+법/NNG+'/SS+은/JX
지원	지원/NNG
대상이나	대상/NNG+이나/JC
범위가	범위/NNG+가/JKS
우리	우리/NP
법안보다	법안/NNG+보다/JKB
훨씬	훨씬/MAG
넓다.	넓/VA+다/EF+./SF


# id : NWRW1800000046.407.7.2
'국제 경쟁력을 높일 수 있는 모든 기업'을 지원 대상으로 한다.

'국제	'/SS+국제/NNG
경쟁력을	경쟁력/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
기업'을	기업/NNG+'/SS+을/JKO
지원	지원/NNG
대상으로	대상/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.407.7.3
세제·금융 지원도 대기업과 중소기업을 가리지 않는다.

세제·금융	세제/NNG+·/SP+금융/NNG
지원도	지원/NNG+도/JX
대기업과	대/XPN+기업/NNG+과/JC
중소기업을	중소기업/NNG+을/JKO
가리지	가리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.407.7.4
일본의 원샷법은 야당인 민주당 의원들까지 만장일치로 찬성했다.

일본의	일본/NNP+의/JKG
원샷법은	원샷법/NNG+은/JX
야당인	야당/NNG+이/VCP+ㄴ/ETM
민주당	민주당/NNP
의원들까지	의원/NNG+들/XSN+까지/JX
만장일치로	만장일치/NNG+로/JKB
찬성했다.	찬성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.407.7.5
반면 우리나라에선 올 7월 9일 새누리당 이현재 의원이 발의한 입법안이 다섯 달 넘게 소관 상임위 법안심사소위도 통과하지 못했다.

반면	반면/NNG
우리나라에선	우리나라/NNG+에서/JKB+ㄴ/JX
올	올/NNG
7월	7/SN+월/NNB
9일	9/SN+일/NNB
새누리당	새누리당/NNP
이현재	이현재/NNP
의원이	의원/NNG+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
입법안이	입법안/NNG+이/JKS
다섯	다섯/NR
달	달/NNB
넘게	넘/VV+게/EC
소관	소관/NNG
상임위	상임위/NNG
법안심사소위도	법안/NNG+심사/NNG+소위/NNG+도/JX
통과하지	통과/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.407.8.1
강성천 산업부 산업정책관은 "원샷법 주요 내용은 미국·일본 등 선진국에선 이미 일반법에 들어갈 만큼 글로벌 스탠더드"라며 "대기업 악용을 막기 위해 민관 합동 심의위원회가 지원 대상을 정하도록 하는 등 '4중 방지 장치'도 마련돼 있다"고 말했다.

강성천	강성천/NNP
산업부	산업부/NNG
산업정책관은	산업/NNG+정책관/NNG+은/JX
"원샷법	"/SS+원샷법/NNG
주요	주요/NNG
내용은	내용/NNG+은/JX
미국·일본	미국/NNP+·/SP+일본/NNP
등	등/NNB
선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
이미	이미/MAG
일반법에	일반법/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
만큼	만큼/NNB
글로벌	글로벌/NNG
스탠더드"라며	스탠더드/NNG+"/SS+이/VCP+라며/EC
"대기업	"/SS+대/XPN+기업/NNG
악용을	악용/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
민관	민관/NNG
합동	합동/NNG
심의위원회가	심의/NNG+위원회/NNG+가/JKS
지원	지원/NNG
대상을	대상/NNG+을/JKO
정하도록	정하/VV+도록/EC
하는	하/VX+는/ETM
'4중	'/SS+4중/NNG
방지	방지/NNG
장치'도	장치/NNG+'/SS+도/JX
마련돼	마련/NNG+되/XSV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


