# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.117
metadata : {}


# id : NWRW1800000041.117.1.1
[로비에서]출판 표준계약서, 작가-출판사 모두 윈윈 하려면…

[로비에서]출판	[/SS+로비/NNG+에서/JKB+]/SS+출판/NNG
저작자의 권리 존중 없이는 훌륭한 콘텐츠를 얻을 수 없고, 독불장군식으로 내 권리만 고집해서는 좋은 책을 만들어 줄 출판사를 잃는다는 자명한 진리를 출판사와 저작자 모두 깨닫지 못하면 어렵게 만든 표준계약서도 생명 없는 한낱 종잇장으로 전락해 버릴지도 모른다.

저작자의	저작자/NNG+의/JKG
권리	권리/NNG
존중	존중/NNG
없이는	없이/MAG+는/JX
훌륭한	훌륭하/VA+ㄴ/ETM
콘텐츠를	콘텐츠/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
독불장군식으로	독불장군식/NNG+으로/JKB
내	나/NP+의/JKG
권리만	권리/NNG+만/JX
고집해서는	고집/NNG+하/XSV+아서/EC+는/JX
좋은	좋/VA+은/ETM
책을	책/NNG+을/JKO
만들어	만들/VV+어/EC
줄	주/VX+ㄹ/ETM
출판사를	출판사/NNG+를/JKO
잃는다는	잃/VV+는다는/ETM
자명한	자명하/VA+ㄴ/ETM
진리를	진리/NNG+를/JKO
출판사와	출판사/NNG+와/JC
저작자	저작자/NNG
모두	모두/MAG
깨닫지	깨닫/VV+지/EC
못하면	못하/VX+면/EC
어렵게	어렵/VA+게/EC
만든	만들/VV+ㄴ/ETM
표준계약서도	표준/NNG+계약서/NNG+도/JX
생명	생명/NNG
없는	없/VA+는/ETM
한낱	한낱/MAG
종잇장으로	종잇장/NNG+으로/JKB
전락해	전락/NNG+하/XSV+아/EC
버릴지도	버리/VX+ㄹ지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


