# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.295
metadata : {}


# id : NWRW1800000022.295.1.1
[MARKET&MONEY] 땅값 4개월째 오름세… "수도권 상승세 막기 힘들 듯"

[MARKET&MONEY]	[/SS+MARKET/SL+&/SW+MONEY/SL+]/SS
# id : NWRW1800000022.295.4.1
하지만 모든 땅값이 오르는 것은 아니다.

하지만	하지만/MAJ
모든	모든/MMN
땅값이	땅값/NNG+이/JKS
오르는	오르/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.295.4.2
지방 주택 가격은 제자리이지만 수도권 주택 가격만 뛰는 것처럼 땅값도 수도권만 뛰고 있다.

지방	지방/NNG
주택	주택/NNG
가격은	가격/NNG+은/JX
제자리이지만	제자리/NNG+이/VCP+지만/EC
수도권	수도/NNG+권/XSN
가격만	가격/NNG+만/JX
뛰는	뛰/VV+는/ETM
것처럼	것/NNB+처럼/JKB
땅값도	땅값/NNG+도/JX
수도권만	수도/NNG+권/XSN+만/JX
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.295.4.3
서울(0.28%)·인천(0.31%)·경기(0.3%) 등의 땅값 상승폭은 컸지만 지방의 땅값은 여전히 0.03~0.12% 오르는 데 그쳤다.

서울(0.28%)·인천(0.31%)·경기(0.3%)	서울/NNP+(/SS+0/SN+./SP+28/SN+%/SW+)/SS+·/SP+인천/NNP+(/SS+0/SN+./SP+31/SN+%/SW+)/SS+·/SP+경기/NNP+(/SS+0/SN+./SP+3/SN+%/SW+)/SS
등의	등/NNB+의/JKG
땅값	땅값/NNG
상승폭은	상승/NNG+폭/NNG+은/JX
컸지만	크/VA+었/EP+지만/EC
지방의	지방/NNG+의/JKG
땅값은	땅값/NNG+은/JX
여전히	여전히/MAG
0.03~0.12%	0/SN+./SP+03/SN+~/SO+0/SN+./SP+12/SN+%/SW
오르는	오르/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.295.4.4
땅값이 많이 오른 곳은 정부의 개발 계획과도 밀접한 연관이 있다.

땅값이	땅값/NNG+이/JKS
많이	많이/MAG
오른	오르/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
정부의	정부/NNG+의/JKG
개발	개발/NNG
계획과도	계획/NNG+과/JKB+도/JX
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
연관이	연관/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.295.5.1
땅값이 가장 많이 오른 경기도 하남시는 '미사 주택시범지구' 지정 여파로 전달 대비 0.9% 상승했다.

땅값이	땅값/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
오른	오르/VV+ㄴ/ETM
경기도	경기도/NNP
하남시는	하남시/NNP+는/JX
'미사	'/SS+미사/NNP
주택시범지구'	주택/NNG+시범/NNG+지구/NNG+'/SS
지정	지정/NNG
여파로	여파/NNG+로/JKB
전달	전달/NNG
대비	대비/NNG
0.9%	0/SN+./SP+9/SN+%/SW
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.295.6.1
안산시 단원구는 해양체험 관광단지 개발에 대한 기대감으로 0.68%, 부천 소사구가 뉴타운(소사지구)과 주택 재개발(계수 범박지구) 사업 영향으로 0.55% 올랐다.

안산시	안산시/NNP
단원구는	단원구/NNP+는/JX
해양체험	해양/NNG+체험/NNG
관광단지	관광/NNG+단지/NNG
개발에	개발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
0.68%,	0/SN+./SP+68/SN+%/SW+,/SP
부천	부천/NNP
소사구가	소사구/NNP+가/JKS
뉴타운(소사지구)과	뉴타운/NNG+(/SS+소사지구/NNP+)/SS+과/JC
주택	주택/NNG
재개발(계수	재/XPN+개발/NNG+(/SS+계수/NNP
범박지구)	범박지구/NNP+)/SS
사업	사업/NNG
영향으로	영향/NNG+으로/JKB
0.55%	0/SN+./SP+55/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.295.7.1
정부는 주택 가격이 지나치게 뛰고 있다는 지적이 나오는 상황에서 땅값까지 덩달아 오르는 것을 우려하고 있다.

정부는	정부/NNG+는/JX
주택	주택/NNG
가격이	가격/NNG+이/JKS
지나치게	지나치/VA+게/EC
뛰고	뛰/VV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나오는	나오/VV+는/ETM
상황에서	상황/NNG+에서/JKB
땅값까지	땅값/NNG+까지/JX
덩달아	덩달/VV+아/EC
오르는	오르/VV+는/ETM
것을	것/NNB+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.295.7.2
그러나 전문가들은 정부가 수도권에서 주택을 대량으로 공급하는 정책을 펼치는 이상 수도권 땅값 상승세는 막기 어려울 것으로 보고 있다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
정부가	정부/NNG+가/JKS
수도권에서	수도/NNG+권/XSN+에서/JKB
주택을	주택/NNG+을/JKO
대량으로	대량/NNG+으로/JKB
공급하는	공급/NNG+하/XSV+는/ETM
정책을	정책/NNG+을/JKO
펼치는	펼치/VV+는/ETM
이상	이상/NNG
수도권	수도/NNG+권/XSN
땅값	땅값/NNG
상승세는	상승세/NNG+는/JX
막기	막/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.295.8.1
박재룡 삼성경제연구소 수석연구원은 "지난 노무현 정부 당시 균형개발을 목표로 행정중심도시 혁신도시 정책을 발표하면서 지방 땅값이 뛰었다"며 "이명박 정부가 수도권 중심의 주택 공급 정책을 펼치는 이상 수도권 땅값 상승은 피하기 어려울 것"이라고 말했다.

박재룡	박재룡/NNP
삼성경제연구소	삼성경제연구소/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
노무현	노무현/NNP
정부	정부/NNG
당시	당시/NNG
균형개발을	균형/NNG+개발/NNG+을/JKO
목표로	목표/NNG+로/JKB
행정중심도시	행정/NNG+중심/NNG+도시/NNG
혁신도시	혁신/NNG+도시/NNG
정책을	정책/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
지방	지방/NNG
땅값이	땅값/NNG+이/JKS
뛰었다"며	뛰/VV+었/EP+다/EF+"/SS+며/EC
"이명박	"/SS+이명박/NNP
정부가	정부/NNG+가/JKS
수도권	수도/NNG+권/XSN
중심의	중심/NNG+의/JKG
주택	주택/NNG
공급	공급/NNG
펼치는	펼치/VV+는/ETM
이상	이상/NNG
땅값	땅값/NNG
상승은	상승/NNG+은/JX
피하기	피하/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.295.8.2
특히 정부가 주택단지로 개발하기로 한 서울 인근의 그린벨트 지역에는 지속적으로 땅을 구입하려는 매수자들이 몰려 땅값이 뛸 수밖에 없다는 진단이다.

특히	특히/MAG
정부가	정부/NNG+가/JKS
주택단지로	주택/NNG+단지/NNG+로/JKB
개발하기로	개발/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
서울	서울/NNP
인근의	인근/NNG+의/JKG
그린벨트	그린벨트/NNG
지역에는	지역/NNG+에/JKB+는/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
땅을	땅/NNG+을/JKO
구입하려는	구입/NNG+하/XSV+려는/ETM
매수자들이	매수자/NNG+들/XSN+이/JKS
몰려	몰리/VV+어/EC
땅값이	땅값/NNG+이/JKS
뛸	뛰/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
진단이다.	진단/NNG+이/VCP+다/EF+./SF


