# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.268
metadata : {}


# id : NWRW1800000028.268.1.1
벨기에 ‘3%고용’ 안할땐 벌금 /미·영선 세제지원·임금보조도

벨기에	벨기에/NNP
지난해 9월부턴 민간기업의 노하우와 전문성이 가미된 ‘플렉서블 뉴딜’로 진화해 프로그램이 한층 다양해졌다.

지난해	지난해/NNG
9월부턴	9/SN+월/NNB+부터/JX+ㄴ/JX
민간기업의	민간/NNG+기업/NNG+의/JKG
노하우와	노하우/NNG+와/JC
전문성이	전문/NNG+성/XSN+이/JKS
가미된	가미/NNG+되/XSV+ㄴ/ETM
‘플렉서블	‘/SS+플렉서블/NNG
뉴딜’로	뉴딜/NNG+’/SS+로/JKB
진화해	진화/NNG+하/XSV+아/EC
프로그램이	프로그램/NNG+이/JKS
한층	한층/MAG
다양해졌다.	다양/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


