# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.52
metadata : {}


# id : NWRW1800000026.52.1.1
[도서] 칠레의 밤

[도서]	[/SS+도서/NNG+]/SS
때문에	때문/NNB+에/JKB
이바카체라는	이바카체/NNP+이/VCP+라는/ETM
필명으로	필명/NNG+으로/JKB
문학평론가	문학/NNG+평론가/NNG
활동을	활동/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
양심과	양심/NNG+과/JC
기회주의	기회주의/NNG
사이에서	사이/NNG+에서/JKB
끊임없이	끊임없이/MAG
서성이는	서성이/VV+는/ETM
회색인간이었던	회색/NNG+인간/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.52.5.4
그의 이런 태도는 피노체트 정권의 고문실로 이용되던 어느 여성 문인의 저택에서 열리는 문단 모임에 참석하는 행태를 통해 다시 한 번 드러난다.

그의	그/NP+의/JKG
이런	이런/MMD
태도는	태도/NNG+는/JX
피노체트	피노체트/NNP
정권의	정권/NNG+의/JKG
고문실로	고문실/NNG+로/JKB
이용되던	이용/NNG+되/XSV+던/ETM
어느	어느/MMD
여성	여성/NNG
문인의	문인/NNG+의/JKG
저택에서	저택/NNG+에서/JKB
열리는	열리/VV+는/ETM
문단	문단/NNG
모임에	모임/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
행태를	행태/NNG+를/JKO
통해	통하/VV+아/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.52.5.5
그의 삶은 적극적으로 사악하지도 않지만 비겁하다는 비난 또한 피할 수 없었다.

그의	그/NP+의/JKG
삶은	삶/NNG+은/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
사악하지도	사악/NNG+하/XSA+지/EC+도/JX
않지만	않/VX+지만/EC
비겁하다는	비겁하/VA+다는/ETM
비난	비난/NNG
또한	또한/MAG
피할	피하/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.52.5.6
죽음을 앞둔 그는 자신이 알면서도 선택하지 못한 양심의 거울 앞에서 괴로워한다.

죽음을	죽음/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
그는	그/NP+는/JX
자신이	자신/NNG+이/JKS
알면서도	알/VV+면서/EC+도/JX
선택하지	선택/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
양심의	양심/NNG+의/JKG
거울	거울/NNG
앞에서	앞/NNG+에서/JKB
괴로워한다.	괴로워하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.52.5.7
소설 속에 등장하는 '늙다리 청년'은 그의 내면에 도사린 양심을 상징한다.

소설	소설/NNG
속에	속/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
'늙다리	'/SS+늙다리/NNG
청년'은	청년/NNG+'/SS+은/JX
그의	그/NP+의/JKG
내면에	내면/NNG+에/JKB
도사린	도사리/VV+ㄴ/ETM
양심을	양심/NNG+을/JKO
상징한다.	상징/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.52.5.8
죽음 앞에서 그는 자신을 지켜보는 늙다리 청년 때문에 괴로웠다고 실토한다.

죽음	죽음/NNG
앞에서	앞/NNG+에서/JKB
그는	그/NP+는/JX
자신을	자신/NNG+을/JKO
지켜보는	지켜보/VV+는/ETM
늙다리	늙다리/NNG
청년	청년/NNG
때문에	때문/NNB+에/JKB
괴로웠다고	괴롭/VA+었/EP+다고/EC
실토한다.	실토/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.52.6.1
고대 그리스 신화에서 시작해 보카치오와 단테를 거쳐 유럽의 현대 문학에 이르는 방대한 독서를 바탕으로 펼치는 문학과 정치와 삶에 대한 지적이고도 세련된 은유와 통찰이 빛나는 소설이다.

고대	고대/NNG
그리스	그리스/NNP
신화에서	신화/NNG+에서/JKB
시작해	시작/NNG+하/XSV+아/EC
보카치오와	보카치오/NNP+와/JC
단테를	단테/NNP+를/JKO
거쳐	거치/VV+어/EC
유럽의	유럽/NNP+의/JKG
현대	현대/NNG
문학에	문학/NNG+에/JKB
이르는	이르/VV+는/ETM
방대한	방대하/VA+ㄴ/ETM
독서를	독서/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
펼치는	펼치/VV+는/ETM
문학과	문학/NNG+과/JC
정치와	정치/NNG+와/JC
삶에	삶/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지적이고도	지/NNG+적/XSN+이/VCP+고도/EC
세련된	세련/NNG+되/XSA+ㄴ/ETM
은유와	은유/NNG+와/JC
통찰이	통찰/NNG+이/JKS
빛나는	빛나/VV+는/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


