# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.323
metadata : {}


# id : NWRW1800000033.323.1.1
[北 로켓발사 실패 이후]北 실패가 한국 미사일 사거리 연장 막나?

[北	[/SS+北/SH
정부 당국자는 15일 “SPI 회의는 원래 전시작전통제권 전환을 포함한 양국 간의 일반적인 동맹 이슈들을 다루는 자리”라며 “미사일 사거리 연장 문제가 여기서 정식으로 논의되기는 어려울 것”이라고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
15일	15/SN+일/NNB
“SPI	“/SS+SPI/SL
회의는	회의/NNG+는/JX
원래	원래/MAG
전시작전통제권	전시/NNG+작전/NNG+통제/NNG+권/XSN
전환을	전환/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
양국	양국/NNG
간의	간/NNB+의/JKG
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
동맹	동맹/NNG
이슈들을	이슈/NNG+들/XSN+을/JKO
다루는	다루/VV+는/ETM
자리”라며	자리/NNG+”/SS+이/VCP+라며/EC
“미사일	“/SS+미사일/NNG
사거리	사거리/NNG
연장	연장/NNG
문제가	문제/NNG+가/JKS
여기서	여기/NP+서/JKB
정식으로	정식/NNG+으로/JKB
논의되기는	논의/NNG+되/XSV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.323.5.1
정부는 SPI 회의가 아닌 다른 논의의 장을 마련해 협상에 나서겠다는 태도지만 미국 측은 “북한 상황을 지켜보며 조금만 기다려 보자”는 취지의 답변만 되풀이하는 것으로 전해졌다.

정부는	정부/NNG+는/JX
SPI	SPI/SL
회의가	회의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
논의의	논의/NNG+의/JKG
장을	장/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
협상에	협상/NNG+에/JKB
나서겠다는	나서/VV+겠/EP+다는/ETM
태도지만	태도/NNG+이/VCP+지만/EC
미국	미국/NNP
측은	측/NNB+은/JX
“북한	“/SS+북한/NNP
상황을	상황/NNG+을/JKO
지켜보며	지켜보/VV+며/EC
조금만	조금/NNG+만/JX
기다려	기다리/VV+어/EC
보자”는	보/VX+자/EF+”/SS+는/ETM
취지의	취지/NNG+의/JKG
답변만	답변/NNG+만/JX
되풀이하는	되풀이/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.323.5.2
10월에 예정된 한미 연례안보협의회(SCM)가 있지만 이는 시기적으로 너무 늦은 데다 한미 양국이 모두 대선을 앞둔 시점이어서 진전을 기대하기도 어렵다.

10월에	10/SN+월/NNB+에/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
한미	한미/NNP
연례안보협의회(SCM)가	연례/NNG+안보/NNG+협의회/NNG+(/SS+SCM/SL+)/SS+가/JKS
있지만	있/VA+지만/EC
이는	이/NP+는/JX
시기적으로	시기/NNG+적/XSN+으로/JKB
너무	너무/MAG
늦은	늦/VA+은/ETM
데다	데/NNB+다/JX
양국이	양국/NNG+이/JKS
모두	모두/MAG
대선을	대선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
시점이어서	시점/NNG+이/VCP+어서/EC
진전을	진전/NNG+을/JKO
기대하기도	기대/NNG+하/XSV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000033.323.6.1
미국의 이런 태도는 지난달 말 한미 정상회담에서도 감지됐다.

미국의	미국/NNP+의/JKG
이런	이런/MMD
태도는	태도/NNG+는/JX
지난달	지난달/NNG
말	말/NNB
한미	한미/NNP
정상회담에서도	정상/NNG+회담/NNG+에서/JKB+도/JX
감지됐다.	감지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.6.2
당시 버락 오바마 대통령은 “여러 기술적 문제도 있고 군사적으로도 논의할 게 많다”고 말했다.

당시	당시/NNG
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
“여러	“/SS+여러/MMN
기술적	기술/NNG+적/XSN
문제도	문제/NNG+도/JX
있고	있/VA+고/EC
군사적으로도	군사/NNG+적/XSN+으로/JKB+도/JX
논의할	논의/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.323.6.3
사거리를 대폭 연장할 경우 중국 등 주변국의 반발을 살 수 있다는 점 때문으로 보인다.

사거리를	사거리/NNG+를/JKO
대폭	대폭/MAG
연장할	연장/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
중국	중국/NNP
등	등/NNB
주변국의	주변국/NNG+의/JKG
반발을	반발/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점	점/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.323.7.1
그러나 외교통상부 당국자는 “사거리 연장은 언젠가는 반드시 해야 할 일”이라며 “북한의 로켓 발사가 실패했다고 해서 달라질 사안이 아니다”라고 강조했다.

그러나	그러나/MAJ
외교통상부	외교/NNG+통상부/NNG
당국자는	당국자/NNG+는/JX
“사거리	“/SS+사거리/NNG
연장은	연장/NNG+은/JX
언젠가는	언젠가/MAG+는/JX
반드시	반드시/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“북한의	“/SS+북한/NNP+의/JKG
로켓	로켓/NNG
발사가	발사/NNG+가/JKS
실패했다고	실패/NNG+하/XSV+았/EP+다고/EC
해서	하/VV+아서/EC
달라질	달라지/VV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.323.8.1
한편 군사전문지 ‘제인연감’을 발간하는 IHS는 14일 북한 로켓 발사를 주제로 연 전화회의에서 “북한 동창리 로켓 발사시설이 이란 미사일 시설과 상당한 유사점이 있다”고 밝혔다.

한편	한편/MAG
군사전문지	군사/NNG+전문지/NNG
‘제인연감’을	‘/SS+제인연감/NNP+’/SS+을/JKO
발간하는	발간/NNG+하/XSV+는/ETM
IHS는	IHS/SL+는/JX
14일	14/SN+일/NNB
북한	북한/NNP
로켓	로켓/NNG
발사를	발사/NNG+를/JKO
주제로	주제/NNG+로/JKB
연	열/VV+ㄴ/ETM
전화회의에서	전화/NNG+회의/NNG+에서/JKB
“북한	“/SS+북한/NNP
동창리	동창리/NNP
발사시설이	발사/NNG+시설/NNG+이/JKS
이란	이란/NNP
미사일	미사일/NNG
시설과	시설/NNG+과/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
유사점이	유사점/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.8.2
위성사진 전문가 앨리슨 푸치오니 씨는 “동창리 시험장이 이란의 샤히드 헤마트 실험시설과 상당히 유사하다”며 “(함경북도의) 무수단리 발사장도 마찬가지”라고 밝혔다.

위성사진	위성/NNG+사진/NNG
전문가	전문가/NNG
앨리슨	앨리슨/NNP
푸치오니	푸치오니/NNP
씨는	씨/NNB+는/JX
“동창리	“/SS+동창리/NNP
시험장이	시험장/NNG+이/JKS
이란의	이란/NNP+의/JKG
샤히드	샤히드/NNP
헤마트	헤마트/NNP
실험시설과	실험/NNG+시설/NNG+과/JKB
상당히	상당히/MAG
유사하다”며	유사/NNG+하/XSA+다/EF+”/SS+며/EC
“(함경북도의)	“/SS+(/SS+함경북도/NNP+의/JKG+)/SS
무수단리	무수단리/NNP
발사장도	발사장/NNG+도/JX
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.9.1
북한이 외신기자들의 동창리 방문 직전에 군사시설을 치운 흔적도 포착됐다.

북한이	북한/NNP+이/JKS
외신기자들의	외신/NNG+기자/NNG+들/XSN+의/JKG
동창리	동창리/NNP
방문	방문/NNG
직전에	직전/NNG+에/JKB
군사시설을	군사/NNG+시설/NNG+을/JKO
치운	치우/VV+ㄴ/ETM
흔적도	흔적/NNG+도/JX
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.9.2
2월 말의 동창리 위성사진에는 최소 100명 이상의 군인들과 건설장비, 군용차량 등이 포착됐다.

2월	2/SN+월/NNB
말의	말/NNB+의/JKG
동창리	동창리/NNP
위성사진에는	위성/NNG+사진/NNG+에/JKB+는/JX
최소	최소/NNG
100명	100/SN+명/NNB
이상의	이상/NNG+의/JKG
군인들과	군인/NNG+들/XSN+과/JC
건설장비,	건설/NNG+장비/NNG+,/SP
군용차량	군용/NNG+차량/NNG
등이	등/NNB+이/JKS
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.9.3
일부 군인은 텐트를 치고 생활하기도 했다.

일부	일부/NNG
군인은	군인/NNG+은/JX
텐트를	텐트/NNG+를/JKO
치고	치/VV+고/EC
생활하기도	생활/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.323.9.4
하지만 3월 말 위성사진에는 군 막사와 장비가 모두 치워졌다.

하지만	하지만/MAJ
3월	3/SN+월/NNB
말	말/NNB
위성사진에는	위성/NNG+사진/NNG+에/JKB+는/JX
군	군/NNG
막사와	막사/NNG+와/JC
장비가	장비/NNG+가/JKS
모두	모두/MAG
치워졌다.	치우/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.323.9.5
IHS 측은 “위성 발사가 군사용이 아닌 민간용임을 부각하려는 것”이라고 말했다.

IHS	IHS/SL
측은	측/NNB+은/JX
“위성	“/SS+위성/NNG
발사가	발사/NNG+가/JKS
군사용이	군사/NNG+용/XSN+이/JKC
아닌	아니/VCN+ㄴ/ETM
민간용임을	민간/NNG+용/XSN+이/VCP+ㅁ/ETN+을/JKO
부각하려는	부각/NNG+하/XSV+려는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


