# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.34
metadata : {}


# id : NWRW1800000026.34.1.1
[수도권Ⅱ] 가평 겨울축제 "화천 산천어축제 물렀거라";송어 얼음낚시로 대박 지난 주말까지 61만명 방문 지역경제 유발효과 엄청

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
화천의 산천어에 맞서 가평은 송어 얼음낚시로 겨루고 있다.

화천의	화천/NNP+의/JKG
산천어에	산천어/NNG+에/JKB
맞서	맞서/VV+어/EC
가평은	가평/NNP+은/JX
송어	송어/NNG
얼음낚시로	얼음낚시/NNG+로/JKB
겨루고	겨루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.3.1
◆겨울축제 벤치마킹해 추진

◆겨울축제	◆/SW+겨울/NNG+축제/NNG
벤치마킹해	벤치마킹/NNG+하/XSV+아/EC
추진	추진/NNG


# id : NWRW1800000026.34.4.1
자라섬 겨울축제는 작년 1월 소박하게 시작됐다.

자라섬	자라섬/NNP
겨울축제는	겨울/NNG+축제/NNG+는/JX
작년	작년/NNG
1월	1/SN+월/NNB
소박하게	소박하/VA+게/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.4.2
축제기간도 9일에 불과했다.

축제기간도	축제/NNG+기간/NNG+도/JX
9일에	9/SN+일/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.34.4.3
그러나 올해는 기간도 늘리고 프로그램도 확충해 겨울 축제시장에 본격 진입했다.

그러나	그러나/MAJ
올해는	올해/NNG+는/JX
기간도	기간/NNG+도/JX
늘리고	늘리/VV+고/EC
프로그램도	프로그램/NNG+도/JX
확충해	확충/NNG+하/XSV+아/EC
겨울	겨울/NNG
축제시장에	축제/NNG+시장/NNG+에/JKB
본격	본격/NNG
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.4.4
이 축제는 2007년 4월 재선거로 취임한 이진용 군수의 공약에서 시작됐다.

이	이/MMD
축제는	축제/NNG+는/JX
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
재선거로	재/XPN+선거/NNG+로/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
이진용	이진용/NNP
군수의	군수/NNG+의/JKG
공약에서	공약/NNG+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.4.5
이 군수는 당시 "지역 특성에 부합하고 관광객들에게 매력을 주는 겨울축제를 개발해 소득을 창출하고 지역경제 활성화에 기여하겠다"고 밝혔다.

이	이/NNP
군수는	군수/NNG+는/JX
당시	당시/NNG
"지역	"/SS+지역/NNG
특성에	특성/NNG+에/JKB
부합하고	부합/NNG+하/XSV+고/EC
관광객들에게	관광객/NNG+들/XSN+에게/JKB
매력을	매력/NNG+을/JKO
주는	주/VV+는/ETM
겨울축제를	겨울/NNG+축제/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
소득을	소득/NNG+을/JKO
창출하고	창출/NNG+하/XSV+고/EC
지역경제	지역/NNG+경제/NNG
활성화에	활성/NNG+화/XSN+에/JKB
기여하겠다"고	기여/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.4.6
이어 준비작업이 1년 남짓 진행됐다.

이어	이어/MAG
준비작업이	준비/NNG+작업/NNG+이/JKS
1년	1/SN+년/NNB
남짓	남짓/NNB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.4.7
2008년 겨울에는 포천 동장군축제, 화천 산천어축제, 춘천 얼음성 별빛축제, 태백산 눈축제를 두루 방문해 벤치마킹에 나섰다.

2008년	2008/SN+년/NNB
겨울에는	겨울/NNG+에/JKB+는/JX
포천	포천/NNP
동장군축제,	동장군/NNG+축제/NNG+,/SP
화천	화천/NNP
산천어축제,	산천어/NNG+축제/NNG+,/SP
춘천	춘천/NNP
얼음성	얼음/NNG+성/NNG
별빛축제,	별빛/NNG+축제/NNG+,/SP
태백산	태백산/NNP
눈축제를	눈/NNG+축제/NNG+를/JKO
두루	두루/MAG
방문해	방문/NNG+하/XSV+아/EC
벤치마킹에	벤치마킹/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.4.8
이어 기본 계획 수립, 전국 대상 명칭 공모를 거쳤다.

이어	이어/MAG
기본	기본/NNG
계획	계획/NNG
수립,	수립/NNG+,/SP
전국	전국/NNG
대상	대상/NNG
명칭	명칭/NNG
공모를	공모/NNG+를/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.5.1
이렇게 준비 과정을 거쳐 작년에 처음 마련한 축제에서 가평군은 우선 겨울철 축제의 성공에 대한 기대를 가질 수 있었다.

이렇게	이렇/VA+게/EC
준비	준비/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
작년에	작년/NNG+에/JKB
처음	처음/NNG
마련한	마련/NNG+하/XSV+ㄴ/ETM
축제에서	축제/NNG+에서/JKB
가평군은	가평군/NNP+은/JX
우선	우선/MAG
겨울철	겨울철/NNG
축제의	축제/NNG+의/JKG
성공에	성공/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대를	기대/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.34.5.2
한겨울에 얼어붙은 가평천을 활용해 약 1만6200㎡(4900평)에 얼음썰매장과 얼음낚시장을 각각 한곳씩 만들었다.

한겨울에	한/XPN+겨울/NNG+에/JKB
얼어붙은	얼어붙/VV+은/ETM
가평천을	가평천/NNP+을/JKO
활용해	활용/NNG+하/XSV+아/EC
약	약/MMA
1만6200㎡(4900평)에	1/SN+만/NR+6200/SN+㎡/SW+(/SS+4900/SN+평/NNB+)/SS+에/JKB
얼음썰매장과	얼음/NNG+썰매장/NNG+과/JC
얼음낚시장을	얼음/NNG+낚시장/NNG+을/JKO
각각	각각/MAG
한곳씩	한/MMN+곳/NNG+씩/XSN
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.5.3
얼음낚시에는 송어 5000여마리를 풀어놨고 썰매·널뛰기·제기차기·투호·윷놀이 등 전통놀이 체험을 마련해 구색을 갖췄다.

얼음낚시에는	얼음낚시/NNG+에/JKB+는/JX
송어	송어/NNG
5000여마리를	5000/SN+여/XSN+마리/NNB+를/JKO
풀어놨고	풀어놓/VX+았/EP+고/EC
썰매·널뛰기·제기차기·투호·윷놀이	썰매/NNG+·/SP+널뛰기/NNG+·/SP+제기차기/NNG+·/SP+투호/NNG+·/SP+윷놀이/NNG
등	등/NNB
전통놀이	전통/NNG+놀이/NNG
체험을	체험/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
구색을	구색/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.5.4
역시 방문객의 70% 정도는 얼음낚시를 가장 선호했다.

역시	역시/MAG
방문객의	방문객/NNG+의/JKG
70%	70/SN+%/SW
정도는	정도/NNG+는/JX
얼음낚시를	얼음낚시/NNG+를/JKO
가장	가장/MAG
선호했다.	선호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.5.5
첫 축제에는 14만1000여명이 방문해 나름대로 만족할 만한 성과를 냈다.

첫	첫/MMN
축제에는	축제/NNG+에/JKB+는/JX
14만1000여명이	14/SN+만/NR+1000/SN+여/XSN+명/NNB+이/JKS
방문해	방문/NNG+하/XSV+아/EC
나름대로	나름/NNB+대로/JX
만족할	만족/NNG+하/XSA+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
성과를	성과/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.6.1
올해 축제에서 가평군은 프로그램을 확충하고 시설도 보강했다.

올해	올해/NNG
축제에서	축제/NNG+에서/JKB
가평군은	가평군/NNP+은/JX
프로그램을	프로그램/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
시설도	시설/NNG+도/JX
보강했다.	보강/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.6.2
조재희 문화관광과장은 "서울에서 한시간이면 도착해 청정한 자연환경 속에서 저렴한 비용으로 다양하게 즐길 수 있는 겨울놀이 종합선물 프로그램을 마련하자는 취지였다"고 말했다.

조재희	조재희/NNP
문화관광과장은	문화/NNG+관광과장/NNG+은/JX
"서울에서	"/SS+서울/NNP+에서/JKB
한시간이면	한/MMN+시간/NNB+이/VCP+면/EC
도착해	도착/NNG+하/XSV+아/EC
청정한	청정/NNG+하/XSA+ㄴ/ETM
자연환경	자연환경/NNG
속에서	속/NNG+에서/JKB
저렴한	저렴하/VA+ㄴ/ETM
비용으로	비용/NNG+으로/JKB
다양하게	다양/NNG+하/XSA+게/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
겨울놀이	겨울/NNG+놀이/NNG
종합선물	종합/NNG+선물/NNG
프로그램을	프로그램/NNG+을/JKO
마련하자는	마련/NNG+하/XSV+자는/ETM
취지였다"고	취지/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.6.3
올해는 송어를 잡을 수 있는 얼음낚시장만도 작년 전체 행사장의 3배 이상으로 늘렸다.

올해는	올해/NNG+는/JX
송어를	송어/NNG+를/JKO
잡을	잡/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
얼음낚시장만도	얼음/NNG+낚시장/NNG+만/JX+도/JX
작년	작년/NNG
전체	전체/NNG
행사장의	행사장/NNG+의/JKG
3배	3/SN+배/NNG
이상으로	이상/NNG+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.6.4
또 풀어놓는 송어의 물량도 작년보다 훨씬 많은 10만마리를 예상하고 있다.

또	또/MAG
풀어놓는	풀어놓/VV+는/ETM
송어의	송어/NNG+의/JKG
물량도	물량/NNG+도/JX
작년보다	작년/NNG+보다/JKB
훨씬	훨씬/MAG
많은	많/VA+은/ETM
10만마리를	10/SN+만/NR+마리/NNB+를/JKO
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.6.5
자라섬을 연계해 각종 체험행사도 마련하고 있다.

자라섬을	자라섬/NNP+을/JKO
연계해	연계/NNG+하/XSV+아/EC
각종	각종/NNG
체험행사도	체험/NNG+행사/NNG+도/JX
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.7.1
◆지역경제 유발효과 기대

◆지역경제	◆/SW+지역/NNG+경제/NNG
유발효과	유발/NNG+효과/NNG
기대	기대/NNG


# id : NWRW1800000026.34.8.1
가평군은 입장료 수입만으로는 송어 구입비용에도 모자랄 정도여서 수익을 추구하기보다는 가평 관광의 인지도를 높이기 위한 측면이 강하다고 밝혔다.

가평군은	가평군/NNP+은/JX
입장료	입장료/NNG
수입만으로는	수입/NNG+만/JX+으로/JKB+는/JX
송어	송어/NNG
구입비용에도	구입/NNG+비용/NNG+에/JKB+도/JX
모자랄	모자라/VV+ㄹ/ETM
정도여서	정도/NNG+이/VCP+어서/EC
수익을	수익/NNG+을/JKO
추구하기보다는	추구/NNG+하/XSV+기/ETN+보다/JKB+는/JX
가평	가평/NNP
관광의	관광/NNG+의/JKG
인지도를	인지도/NNG+를/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
강하다고	강하/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.34.8.2
다만 입장료를 어른의 경우 1만2000원으로 하되, 5000원은 가평군 지역에서 쓸 수 있는 상품권으로 돌려주고 있다.

다만	다만/MAG
입장료를	입장료/NNG+를/JKO
어른의	어른/NNG+의/JKG
경우	경우/NNG
1만2000원으로	1/SN+만/NR+2000/SN+원/NNB+으로/JKB
하되,	하/VV+되/EC+,/SP
5000원은	5000/SN+원/NNB+은/JX
가평군	가평군/NNP
지역에서	지역/NNG+에서/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상품권으로	상품/NNG+권/XSN+으로/JKB
돌려주고	돌려주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.8.3
지역경제에 도움을 주기 위한 배려이기도 하다.

지역경제에	지역/NNG+경제/NNG+에/JKB
도움을	도움/NNG+을/JKO
주기	주/VV+기/ETN
위한	위하/VV+ㄴ/ETM
배려이기도	배려/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000026.34.8.4
또 올해 60억원의 직접적인 효과, 100억원 이상의 간접효과를 기대하고 있다.

또	또/MAG
올해	올해/NNG
60억원의	60/SN+억/NR+원/NNB+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
효과,	효과/NNG+,/SP
100억원	100/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
간접효과를	간접/NNG+효과/NNG+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.8.5
그러나 이는 방문객 40만명을 기준으로 산출한 것으로 이미 예상인원을 초과했기 때문에 더 큰 경제적 효과를 기대하고 있다.

그러나	그러나/MAJ
이는	이/NP+는/JX
방문객	방문객/NNG
40만명을	40/SN+만/NR+명/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
산출한	산출/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
이미	이미/MAG
예상인원을	예상/NNG+인원/NNG+을/JKO
초과했기	초과/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
경제적	경제/NNG+적/XSN
효과를	효과/NNG+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.9.1
그러나 방문객들의 불만도 나오고 있다.

그러나	그러나/MAJ
방문객들의	방문객/NNG+들/XSN+의/JKG
불만도	불만/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.9.2
가장 많은 지적은 송어가 잘 안 잡힌다는 내용이었다.

가장	가장/MAG
많은	많/VA+은/ETM
지적은	지적/NNG+은/JX
송어가	송어/NNG+가/JKS
잘	잘/MAG
안	안/MAG
잡힌다는	잡히/VV+ㄴ다는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.34.9.3
축제 홈페이지에는 "몇시간 동안 얼음 구멍을 놓치지 않았지만 구경도 못했다", "어렵사리 찾아온 사람들을 상대로 장사를 하는 것 아니냐" 등의 불평이 나온다.

축제	축제/NNG
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
"몇시간	"/SS+몇/NR+시간/NNB
동안	동안/NNG
얼음	얼음/NNG
구멍을	구멍/NNG+을/JKO
놓치지	놓치/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
구경도	구경/NNG+도/JX
못했다",	못/MAG+하/VV+았/EP+다/EF+"/SS+,/SP
"어렵사리	"/SS+어렵사리/MAG
찾아온	찾아오/VV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
장사를	장사/NNG+를/JKO
하는	하/VV+는/ETM
것	것/NNB
아니냐"	아니/VCN+냐/EF+"/SS
등의	등/NNB+의/JKG
불평이	불평/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.34.9.4
또 운영과 관리가 허술하고 얼음낚시 중심이어서 놀거리, 즐길거리가 부족하다는 얘기도 듣고 있다.

또	또/MAG
운영과	운영/NNG+과/JC
관리가	관리/NNG+가/JKS
허술하고	허술하/VA+고/EC
얼음낚시	얼음낚시/NNG
중심이어서	중심/NNG+이/VCP+어서/EC
놀거리,	놀거리/NNG+,/SP
즐길거리가	즐기/VV+ㄹ/ETM+거리/NNB+가/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
얘기도	얘기/NNG+도/JX
듣고	듣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.9.5
이에 대해 조재희 과장은 "규모를 키우다보니 거칠어진 면이 있다"며 "내년에는 시행착오를 줄이고 만족도를 높이기 위해 동선이나 운영방법을 개선하는 등 다양한 연구를 하고 있다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
조재희	조재희/NNP
과장은	과장/NNG+은/JX
"규모를	"/SS+규모/NNG+를/JKO
키우다보니	키우/VV+다/EC+보/VX+니/EC
거칠어진	거칠/VA+어/EC+지/VX+ㄴ/ETM
면이	면/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"내년에는	"/SS+내년/NNG+에/JKB+는/JX
시행착오를	시행착오/NNG+를/JKO
줄이고	줄이/VV+고/EC
만족도를	만족도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
동선이나	동선/NNG+이나/JC
운영방법을	운영/NNG+방법/NNG+을/JKO
개선하는	개선/NNG+하/XSV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
연구를	연구/NNG+를/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.10.1
특히 가평군은 화천 산천어축제를 본받으며 경쟁하겠다는 의욕을 보이고 있다.

특히	특히/MAG
가평군은	가평군/NNP+은/JX
화천	화천/NNP
산천어축제를	산천어/NNG+축제/NNG+를/JKO
본받으며	본받/VV+으며/EC
경쟁하겠다는	경쟁/NNG+하/XSV+겠/EP+다는/ETM
의욕을	의욕/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.10.2
수도권이라는 유리한 입지에다 자라섬·남이섬 등 주변에 연계할 수 있는 명소가 많은 것이 강점이다.

수도권이라는	수도/NNG+권/XSN+이/VCP+라는/ETM
유리한	유리/NNG+하/XSA+ㄴ/ETM
입지에다	입지/NNG+에다/JKB
자라섬·남이섬	자라섬/NNP+·/SP+남이섬/NNP
등	등/NNB
주변에	주변/NNG+에/JKB
연계할	연계/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
명소가	명소/NNG+가/JKS
많은	많/VA+은/ETM
것이	것/NNB+이/JKS
강점이다.	강점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.34.10.3
더구나 수도권 주민들이 화천으로 가는 길목에 자리 잡고 있기 때문에 일면 '이삭 줍기'도 가능하다.

더구나	더구나/MAG
수도권	수도/NNG+권/XSN
주민들이	주민/NNG+들/XSN+이/JKS
화천으로	화천/NNP+으로/JKB
가는	가/VV+는/ETM
길목에	길목/NNG+에/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
일면	일면/NNG
'이삭	'/SS+이삭/NNG
줍기'도	줍/VV+기/ETN+'/SS+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.34.11.1
가평군은 산천어축제가 작년에 정부가 선정한 최우수 축제로 뽑힐 정도로 경쟁력을 갖고 있고, 10년에 가까운 주민들의 노력이 쌓인 결과라는 점을 인정하고 있다.

가평군은	가평군/NNP+은/JX
산천어축제가	산천어/NNG+축제/NNG+가/JKS
작년에	작년/NNG+에/JKB
정부가	정부/NNG+가/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
최우수	최/XPN+우수/NNG
축제로	축제/NNG+로/JKB
뽑힐	뽑히/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
경쟁력을	경쟁력/NNG+을/JKO
갖고	갖/VV+고/EC
있고,	있/VX+고/EC+,/SP
10년에	10/SN+년/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
주민들의	주민/NNG+들/XSN+의/JKG
노력이	노력/NNG+이/JKS
쌓인	쌓이/VV+ㄴ/ETM
결과라는	결과/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.11.2
현재는 행사 규모나 프로그램도 가평의 겨울축제와는 비교가 되지 않는다.

현재는	현재/NNG+는/JX
행사	행사/NNG
규모나	규모/NNG+나/JC
프로그램도	프로그램/NNG+도/JX
가평의	가평/NNP+의/JKG
겨울축제와는	겨울/NNG+축제/NNG+와/JKB+는/JX
비교가	비교/NNG+가/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.34.11.3
산천어축제는 올해도 지난 24일 방문객 100만명을 돌파했다.

산천어축제는	산천어/NNG+축제/NNG+는/JX
올해도	올해/NNG+도/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
방문객	방문객/NNG
100만명을	100/SN+만/NR+명/NNB+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.11.4
그러나 가평과 화천의 경쟁이 시너지 효과를 발휘, 겨울축제 수요를 새로 창출해 관광산업의 파이를 키울 수 있다는 기대도 나오고 있다.

그러나	그러나/MAJ
가평과	가평/NNP+과/JC
화천의	화천/NNP+의/JKG
경쟁이	경쟁/NNG+이/JKS
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
발휘,	발휘/NNG+,/SP
겨울축제	겨울/NNG+축제/NNG
수요를	수요/NNG+를/JKO
새로	새로/MAG
창출해	창출/NNG+하/XSV+아/EC
관광산업의	관광/NNG+산업/NNG+의/JKG
파이를	파이/NNG+를/JKO
키울	키우/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
기대도	기대/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


