# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.337
metadata : {}


# id : NWRW1800000025.337.1.1
日라쿠텐, 한국선수들의 새 둥지?

日라쿠텐,	日/SH+라쿠텐/NNP+,/SP
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.337.3.4
메이저리그 진출을 타진했던 에이스 이와쿠마 히사시도 우선 협상권을 가진 오클랜드와의 협상이 결렬되면서 팀 잔류가 유력한 상황이다.

메이저리그	메이저리그/NNG
진출을	진출/NNG+을/JKO
타진했던	타진/NNG+하/XSV+았/EP+던/ETM
에이스	에이스/NNG
이와쿠마	이와쿠마/NNP
히사시도	히사시/NNP+도/JX
우선	우선/NNG
협상권을	협상/NNG+권/XSN+을/JKO
가진	가지/VV+ㄴ/ETM
오클랜드와의	오클랜드/NNP+와/JKB+의/JKG
협상이	협상/NNG+이/JKS
결렬되면서	결렬/NNG+되/XSV+면서/EC
팀	팀/NNG
잔류가	잔류/NNG+가/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.337.3.5
라쿠텐이 더욱 관심을 끄는 이유는 이승엽(전 요미우리)과 김병현(전 샌프란시스코) 등 한국 선수들에게도 끊임없이 러브콜을 보내고 있기 때문이다.

라쿠텐이	라쿠텐/NNP+이/JKS
더욱	더욱/MAG
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
이유는	이유/NNG+는/JX
이승엽(전	이승엽/NNP+(/SS+전/MMD
요미우리)과	요미우리/NNP+)/SS+과/JC
김병현(전	김병현/NNP+(/SS+전/MMD
샌프란시스코)	샌프란시스코/NNP+)/SS
등	등/NNB
한국	한국/NNP
선수들에게도	선수/NNG+들/XSN+에게/JKB+도/JX
끊임없이	끊임없이/MAG
러브콜을	러브콜/NNG+을/JKO
보내고	보내/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.337.4.1
호시노 감독은 대표적인 지한파로 통한다.

호시노	호시노/NNP
감독은	감독/NNG+은/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
지한파로	지한파/NNG+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.337.4.2
주니치 감독 시절이던 1999년 호시노 감독의 휘하에는 선동열(현 삼성 감독), 이상훈(전 LG), 이종범(KIA) 등 한국인 삼총사가 뛰고 있었다.

주니치	주니치/NNP
감독	감독/NNG
시절이던	시절/NNG+이/VCP+던/ETM
1999년	1999/SN+년/NNB
호시노	호시노/NNP
감독의	감독/NNG+의/JKG
휘하에는	휘하/NNG+에/JKB+는/JX
선동열(현	선동열/NNP+(/SS+현/MMD
삼성	삼성/NNP
감독),	감독/NNG+)/SS+,/SP
이상훈(전	이상훈/NNP+(/SS+전/MMD
LG),	LG/SL+)/SS+,/SP
이종범(KIA)	이종범/NNP+(/SS+KIA/SL+)/SS
등	등/NNB
한국인	한국인/NNG
삼총사가	삼총사/NNG+가/JKS
뛰고	뛰/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.337.4.3
그해 주니치는 한국 선수들의 맹활약을 바탕으로 센트럴리그 우승을 차지했다.

그해	그해/NNG
주니치는	주니치/NNP+는/JX
한국	한국/NNP
선수들의	선수/NNG+들/XSN+의/JKG
맹활약을	맹활약/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
센트럴리그	센트럴리그/NNG
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.337.5.1
호시노 감독은 최근 이승엽과 김병현에 대한 관심을 보이고 있다.

호시노	호시노/NNP
감독은	감독/NNG+은/JX
최근	최근/MAG
이승엽과	이승엽/NNP+과/JC
김병현에	김병현/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.337.5.2
요미우리와의 계약이 만료된 이승엽에 대해서는 “아직도 충분히 할 수 있는 선수”라고 말했다.

요미우리와의	요미우리/NNP+와/JKB+의/JKG
계약이	계약/NNG+이/JKS
만료된	만료/NNG+되/XSV+ㄴ/ETM
이승엽에	이승엽/NNP+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“아직도	“/SS+아직/MAG+도/JX
충분히	충분히/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선수”라고	선수/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.337.5.3
김병현을 일본으로 불러들여 테스트까지 했다.

김병현을	김병현/NNP+을/JKO
일본으로	일본/NNP+으로/JKB
불러들여	불러들이/VV+어/EC
테스트까지	테스트/NNG+까지/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.337.5.4
이틀에 걸친 테스트 끝에 합격 통보를 주진 않았지만 “김병현이 테스트에서 좋은 공을 던진 것 같다.

이틀에	이틀/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
테스트	테스트/NNG
끝에	끝/NNG+에/JKB
합격	합격/NNG
통보를	통보/NNG+를/JKO
주진	주/VV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
“김병현이	“/SS+김병현/NNP+이/JKS
테스트에서	테스트/NNG+에서/JKB
좋은	좋/VA+은/ETM
공을	공/NNG+을/JKO
던진	던지/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000025.337.5.5
본인이 원한다면 우리 팀 스프링캠프에 불러도 좋을 것”이라고 했다.

본인이	본인/NNG+이/JKS
원한다면	원/NNG+하/XSV+ㄴ다면/EC
우리	우리/NP
팀	팀/NNG
스프링캠프에	스프링캠프/NNG+에/JKB
불러도	부르/VV+어도/EC
좋을	좋/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.337.5.6
호시노 감독의 뜻대로 전력 보강이 이뤄진다면 내년 시즌에는 포스트시즌 진출을 노려볼 만도 하다.

호시노	호시노/NNP
감독의	감독/NNG+의/JKG
뜻대로	뜻/NNG+대로/JX
전력	전력/NNG
보강이	보강/NNG+이/JKS
이뤄진다면	이뤄지/VV+ㄴ다면/EC
내년	내년/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
포스트시즌	포스트시즌/NNG
진출을	진출/NNG+을/JKO
노려볼	노려보/VV+ㄹ/ETM
만도	만/NNB+도/JX
하다.	하/VV+다/EF+./SF


