# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.293
metadata : {}


# id : NWRW1800000024.293.1.1
첨단의료단지 대구 신서·충북 오송 확정선정

첨단의료단지	첨단/NNG+의료/NNG+단지/NNG
등급(B등급)	등급/NNG+(/SS+B/SL+등급/NNG+)/SS
후보지	후보지/NNG
3개	3/SN+개/NNB
중	중/NNB
복수	복수/NNG
단지	단지/NNG
조성	조성/NNG
때	때/NNG
기대효과	기대/NNG+효과/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
충북	충북/NNP
오송생명과학단지를	오송생명과학단지/NNP+를/JKO
선정하게	선정/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.293.6.1
첨단의료복합단지 사업은 2038년까지 30년간 시설운영비 1조8000억원, 연구개발비 3조8000억원 등 모두 5조6000억원을 투입해 신약개발지원센터와 첨단의료기기 개발지원센터, 첨단 임상시험센터 등 100만㎡ 규모의 의료단지를 조성하는 국책사업이다.

첨단의료복합단지	첨단/NNG+의료/NNG+복합/NNG+단지/NNG
사업은	사업/NNG+은/JX
2038년까지	2038/SN+년/NNB+까지/JX
30년간	30/SN+년/NNB+간/XSN
시설운영비	시설/NNG+운영비/NNG
1조8000억원,	1/SN+조/NR+8000/SN+억/NR+원/NNB+,/SP
연구개발비	연구/NNG+개발비/NNG
3조8000억원	3/SN+조/NR+8000/SN+억/NR+원/NNB
등	등/NNB
모두	모두/MAG
5조6000억원을	5/SN+조/NR+6000/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
신약개발지원센터와	신약/NNG+개발/NNG+지원/NNG+센터/NNG+와/JC
첨단의료기기	첨단/NNG+의료/NNG+기기/NNG
개발지원센터,	개발/NNG+지원/NNG+센터/NNG+,/SP
첨단	첨단/NNG
임상시험센터	임상/NNG+시험/NNG+센터/NNG
100만㎡	100/SN+만/NR+㎡/SW
규모의	규모/NNG+의/JKG
의료단지를	의료/NNG+단지/NNG+를/JKO
조성하는	조성/NNG+하/XSV+는/ETM
국책사업이다.	국책/NNG+사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.293.6.2
정부는 올해 안에 단지별 세부 조성 계획 및 재원 조달 방안 등을 마련해 2012년까지 단지를 완공할 계획이다.

정부는	정부/NNG+는/JX
올해	올해/NNG
안에	안/NNG+에/JKB
단지별	단지/NNG+별/XSN
세부	세부/NNG
조성	조성/NNG
계획	계획/NNG
및	및/MAG
재원	재원/NNG
조달	조달/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
마련해	마련/NNG+하/XSV+아/EC
2012년까지	2012/SN+년/NNB+까지/JX
단지를	단지/NNG+를/JKO
완공할	완공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


