# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.165
metadata : {}


# id : NWRW1800000044.165.1.1
노조탄압 ‘S그룹 문건’…법원 “삼성이 작성자로 보여”

노조탄압	노조/NNG+탄압/NNG
징계하기	징계/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
사전에	사전/NNG+에/JKB
근태를	근태/NNG+를/JKO
정밀하게	정밀/NNG+하/XSA+게/EC
채증해야	채증/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
내용	내용/NNG
등을	등/NNB+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.165.8.2
실제로 삼성에버랜드는 2011년 7월 회사 임직원 4300여명의 개인 정보를 자신의 외부 전자우편 계정으로 보낸 행위, 회사의 인사 발령 강행에 불만을 표시한 행위 등 8가지를 문제 삼아 조씨를 해고했다.

실제로	실제로/MAG
삼성에버랜드는	삼성에버랜드/NNP+는/JX
2011년	2011/SN+년/NNB
7월	7/SN+월/NNB
회사	회사/NNG
임직원	임직원/NNG
4300여명의	4300/SN+여/XSN+명/NNB+의/JKG
개인	개인/NNG
정보를	정보/NNG+를/JKO
자신의	자신/NNG+의/JKG
외부	외부/NNG
전자우편	전자/NNG+우편/NNG
계정으로	계정/NNG+으로/JKB
보낸	보내/VV+ㄴ/ETM
행위,	행위/NNG+,/SP
회사의	회사/NNG+의/JKG
인사	인사/NNG
발령	발령/NNG
강행에	강행/NNG+에/JKB
불만을	불만/NNG+을/JKO
표시한	표시/NNG+하/XSV+ㄴ/ETM
행위	행위/NNG
등	등/NNB
8가지를	8/SN+가지/NNB+를/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
조씨를	조/NNP+씨/NNB+를/JKO
해고했다.	해고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.165.9.1
하지만 재판부는 이 가운데 6가지는 징계 사유가 될 수 없다고 판단했다.

하지만	하지만/MAJ
재판부는	재판부/NNG+는/JX
이	이/MMD
가운데	가운데/NNG
6가지는	6/SN+가지/NNB+는/JX
징계	징계/NNG
사유가	사유/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.165.9.2
결국 조씨를 해고한 것은 비위 사실에 비해 지나치게 과중한 조처라는 것이다.

결국	결국/MAG
조씨를	조/NNP+씨/NNB+를/JKO
해고한	해고/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
비위	비위/NNG
사실에	사실/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
지나치게	지나치/VA+게/EC
과중한	과중하/VA+ㄴ/ETM
조처라는	조처/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.165.9.3
재판부는 “삼성에버랜드가 삼성노조를 소멸시키기 위해 조씨를 해고한 것으로 보인다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“삼성에버랜드가	“/SS+삼성에버랜드/NNP+가/JKS
삼성노조를	삼성노조/NNP+를/JKO
소멸시키기	소멸/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
조씨를	조/NNP+씨/NNB+를/JKO
해고한	해고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.165.10.1
조 부위원장과 같이 노조 활동을 해온 김아무개씨도 정직 2개월 징계를 받았다가 지난해 10월 서울행정법원으로부터 징계 취소 판결을 받은 바 있다.

조	조/NNP
부위원장과	부위원장/NNG+과/JKB
같이	같이/MAG
노조	노조/NNG
활동을	활동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
김아무개씨도	김/NNP+아무개/NP+씨/NNB+도/JX
정직	정직/NNG
2개월	2/SN+개월/NNB
징계를	징계/NNG+를/JKO
받았다가	받/VV+았/EP+다가/EC
지난해	지난해/NNG
10월	10/SN+월/NNB
서울행정법원으로부터	서울행정법원/NNP+으로부터/JKB
징계	징계/NNG
취소	취소/NNG
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.165.11.1
삼성은 징계와 별도로 회사 임직원의 개인정보 및 매출 자료를 개인 전자우편으로 보낸 행위를 두고 조씨를 영업비밀 누설 혐의로 고소했는데, 조씨는 기소돼 재판에 넘겨졌지만 1·2심에서 모두 무죄를 선고받았다.

삼성은	삼성/NNP+은/JX
징계와	징계/NNG+와/JC
별도로	별도/NNG+로/JKB
회사	회사/NNG
임직원의	임직원/NNG+의/JKG
개인정보	개인/NNG+정보/NNG
및	및/MAG
매출	매출/NNG
자료를	자료/NNG+를/JKO
개인	개인/NNG
전자우편으로	전자/NNG+우편/NNG+으로/JKB
보낸	보내/VV+ㄴ/ETM
행위를	행위/NNG+를/JKO
두고	두/VV+고/EC
조씨를	조/NNP+씨/NNB+를/JKO
영업비밀	영업/NNG+비밀/NNG
누설	누설/NNG
혐의로	혐의/NNG+로/JKB
고소했는데,	고소/NNG+하/XSV+았/EP+는데/EC+,/SP
조씨는	조/NNP+씨/NNB+는/JX
기소돼	기소/NNG+되/XSV+어/EC
재판에	재판/NNG+에/JKB
넘겨졌지만	넘기/VV+어/EC+지/VX+었/EP+지만/EC
1·2심에서	1/SN+·/SP+2심/NNG+에서/JKB
모두	모두/MAG
무죄를	무죄/NNG+를/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


