# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.264
metadata : {}


# id : NWRW1800000041.264.1.1
‘선두 오리온스 9연승’ 오세근이 막았다

‘선두	‘/SS+선두/NNG
# id : NWRW1800000041.264.5.6
오세근과 대표팀에서 호흡을 맞췄던 인삼공사 박찬희는 15득점, 7어시스트, 6리바운드, 6가로채기로 승리를 거들었다.

오세근과	오세근/NNP+과/JKB
대표팀에서	대표/NNG+팀/NNG+에서/JKB
호흡을	호흡/NNG+을/JKO
맞췄던	맞추/VV+었/EP+던/ETM
인삼공사	인삼공사/NNP
박찬희는	박찬희/NNP+는/JX
15득점,	15/SN+득점/NNG+,/SP
7어시스트,	7/SN+어시스트/NNG+,/SP
6리바운드,	6/SN+리바운드/NNG+,/SP
6가로채기로	6/SN+가로채기/NNG+로/JKB
승리를	승리/NNG+를/JKO
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.5.7
오리온스에서 인삼공사로 옮긴 리온 윌리엄스도 12득점, 5리바운드로 친정팀을 울렸다.

오리온스에서	오리온스/NNP+에서/JKB
인삼공사로	인삼공사/NNP+로/JKB
옮긴	옮기/VV+ㄴ/ETM
리온	리온/NNP
윌리엄스도	윌리엄스/NNP+도/JX
12득점,	12/SN+득점/NNG+,/SP
5리바운드로	5/SN+리바운드/NNG+로/JKB
친정팀을	친정/NNG+팀/NNG+을/JKO
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.6.1
오리온스의 국내 선수 전원을 10점 미만으로 묶는 끈끈한 수비 조직력을 펼친 인삼공사는 최근 3연패에서 벗어나며 2승 6패로 삼성과 공동 9위가 됐다.

오리온스의	오리온스/NNP+의/JKG
국내	국내/NNG
선수	선수/NNG
전원을	전원/NNG+을/JKO
10점	10/SN+점/NNB
미만으로	미만/NNG+으로/JKB
묶는	묶/VV+는/ETM
끈끈한	끈끈하/VA+ㄴ/ETM
수비	수비/NNG
조직력을	조직력/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
인삼공사는	인삼공사/NNP+는/JX
최근	최근/MAG
3연패에서	3/SN+연패/NNG+에서/JKB
벗어나며	벗어나/VV+며/EC
2승	2/SN+승/NNB
6패로	6/SN+패/NNB+로/JKB
삼성과	삼성/NNP+과/JKB
공동	공동/NNG
9위가	9/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.6.2
역대 최다인 개막 후 9연승이자 사상 첫 1라운드 전승을 노렸던 오리온스는 인삼공사에 막혀 시즌 첫 패배를 당했다.

역대	역대/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
개막	개막/NNG
후	후/NNG
9연승이자	9/SN+연승/NNG+이/VCP+자/EC
사상	사상/NNG
첫	첫/MMN
1라운드	1/SN+라운드/NNG
전승을	전승/NNG+을/JKO
노렸던	노리/VV+었/EP+던/ETM
오리온스는	오리온스/NNP+는/JX
인삼공사에	인삼공사/NNP+에/JKB
막혀	막히/VV+어/EC
시즌	시즌/NNG
패배를	패배/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.264.6.3
오세근과 맞대결을 펼친 오리온스 특급 신인 이승현은 2쿼터 중반 일찌감치 반칙 4개를 해 18분만 뛰며 3점에 그쳤다.

오세근과	오세근/NNP+과/JC
맞대결을	맞대결/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
오리온스	오리온스/NNP
특급	특급/NNG
신인	신인/NNG
이승현은	이승현/NNP+은/JX
2쿼터	2/SN+쿼터/NNB
중반	중반/NNG
일찌감치	일찌감치/MAG
반칙	반칙/NNG
4개를	4/SN+개/NNB+를/JKO
해	하/VV+아/EC
18분만	18/SN+분/NNB+만/JX
뛰며	뛰/VV+며/EC
3점에	3/SN+점/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.7.1
두경민이 20점을 터뜨린 동부는 원주에서 골밑 우위를 바탕으로 전자랜드를 4연패에 빠뜨리며 73-63으로 이겼다.

두경민이	두경민/NNP+이/JKS
20점을	20/SN+점/NNB+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
동부는	동부/NNP+는/JX
원주에서	원주/NNP+에서/JKB
골밑	골/NNG+밑/NNG
우위를	우위/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
전자랜드를	전자랜드/NNP+를/JKO
4연패에	4/SN+연패/NNG+에/JKB
빠뜨리며	빠뜨리/VV+며/EC
73-63으로	73/SN+-/SO+63/SN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.7.2
3연승을 달린 동부는 5승 3패로 SK와 공동 3위가 됐다.

3연승을	3/SN+연승/NNG+을/JKO
달린	달리/VV+ㄴ/ETM
동부는	동부/NNP+는/JX
5승	5/SN+승/NNB
3패로	3/SN+패/NNB+로/JKB
SK와	SK/SL+와/JKB
공동	공동/NNG
3위가	3/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


