# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.93
metadata : {}


# id : NWRW1800000024.93.1.1
국내 교과서에 ‘일본해’ 발칵

국내	국내/NNG
사회는 고교 1학년 필수과목으로, 각 학교는 8개 출판사가 만들어 교육과학기술부의 검정을 마친 검정 교과서 가운데 하나를 선택해 사용한다.

사회는	사회/NNG+는/JX
고교	고교/NNG
1학년	1/SN+학년/NNG
필수과목으로,	필수/NNG+과목/NNG+으로/JKB+,/SP
각	각/MMD
학교는	학교/NNG+는/JX
8개	8/SN+개/NNB
출판사가	출판사/NNG+가/JKS
만들어	만들/VV+어/EC
교육과학기술부의	교육/NNG+과학/NNG+기술부/NNG+의/JKG
검정을	검정/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
검정	검정/NNG
교과서	교과서/NNG
가운데	가운데/NNG
하나를	하나/NR+를/JKO
선택해	선택/NNG+하/XSV+아/EC
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.93.4.1
문제가 된 중앙교육진흥연구소의 사회 교과서 표지에는 ‘교육과학기술부 검정’이라는 문구가 적혀 있어, 마치 정부가 동해를 일본해로 인정한 듯한 오해를 불러일으킨다는 지적이 나온다.

문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
중앙교육진흥연구소의	중앙교육진흥연구소/NNP+의/JKG
사회	사회/NNG
교과서	교과서/NNG
표지에는	표지/NNG+에/JKB+는/JX
‘교육과학기술부	‘/SS+교육/NNG+과학/NNG+기술부/NNG
검정’이라는	검정/NNG+’/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
적혀	적히/VV+어/EC
있어,	있/VX+어/EC+,/SP
마치	마치/MAG
정부가	정부/NNG+가/JKS
동해를	동해/NNP+를/JKO
일본해로	일본해/NNP+로/JKB
인정한	인정/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
오해를	오해/NNG+를/JKO
불러일으킨다는	불러일으키/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.93.4.2
‘사이버 외교사절단’ 반크의 박기태 단장은 “사소한 실수라고 넘어갈 수 있지만, 자칫 ‘일본해’ 표기를 밀어붙이는 일본에 빌미를 줄 수 있다는 점에서 우려스럽다”고 말했다.

‘사이버	‘/SS+사이버/NNG
외교사절단’	외교/NNG+사절단/NNG+’/SS
반크의	반크/NNP+의/JKG
박기태	박기태/NNP
단장은	단장/NNG+은/JX
“사소한	“/SS+사소하/VA+ㄴ/ETM
실수라고	실수/NNG+이/VCP+라고/EC
넘어갈	넘어가/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
자칫	자칫/MAG
‘일본해’	‘/SS+일본해/NNP+’/SS
표기를	표기/NNG+를/JKO
밀어붙이는	밀어붙이/VV+는/ETM
일본에	일본/NNP+에/JKB
빌미를	빌미/NNG+를/JKO
줄	주/VV+ㄹ/ETM
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
우려스럽다”고	우려/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.93.4.3
이에 대해 출판사 쪽은 교육인적자원부가 교육과학기술부로 변경됨에 따라 표지를 바꾸는 과정에서 생긴 단순 실수라고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
출판사	출판사/NNG
쪽은	쪽/NNB+은/JX
교육인적자원부가	교육/NNG+인/NNG+적/XSN+자원부/NNG+가/JKS
교육과학기술부로	교육/NNG+과학/NNG+기술부/NNG+로/JKB
변경됨에	변경/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
표지를	표지/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
과정에서	과정/NNG+에서/JKB
생긴	생기/VV+ㄴ/ETM
단순	단순/NNG
실수라고	실수/NNG+이/VCP+라고/EC
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.93.4.4
2001년 7월 검정을 받을 때는 ‘일본해’라는 표기를 발견해 삭제했으나, 이번에는 실수로 발견하지 못했다는 것이다.

2001년	2001/SN+년/NNB
7월	7/SN+월/NNB
검정을	검정/NNG+을/JKO
받을	받/VV+을/ETM
때는	때/NNG+는/JX
‘일본해’라는	‘/SS+일본해/NNP+’/SS+이/VCP+라는/ETM
표기를	표기/NNG+를/JKO
발견해	발견/NNG+하/XSV+아/EC
삭제했으나,	삭제/NNG+하/XSV+았/EP+으나/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
실수로	실수/NNG+로/JKB
발견하지	발견/NNG+하/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.93.4.5
중앙교육진흥연구소는 학교에 배포된 15만부가량의 교과서를 모두 거두어 폐기하기로 했다.

중앙교육진흥연구소는	중앙교육진흥연구소/NNP+는/JX
학교에	학교/NNG+에/JKB
배포된	배포/NNG+되/XSV+ㄴ/ETM
15만부가량의	15/SN+만/NR+부/NNB+가량/XSN+의/JKG
교과서를	교과서/NNG+를/JKO
모두	모두/MAG
거두어	거두/VV+어/EC
폐기하기로	폐기/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.93.4.6
출판사 관계자는 “현재 새 교과서 제작에 들어갔으며, 학교까지 전달되는 데 열흘 정도 걸릴 것”이라며 “학교에 안내문을 보내 이런 방침을 알리기로 했다”고 말했다.

출판사	출판사/NNG
관계자는	관계자/NNG+는/JX
“현재	“/SS+현재/MAG
새	새/MMA
교과서	교과서/NNG
제작에	제작/NNG+에/JKB
들어갔으며,	들어가/VV+았/EP+으며/EC+,/SP
학교까지	학교/NNG+까지/JX
전달되는	전달/NNG+되/XSV+는/ETM
데	데/NNB
열흘	열흘/NNG
정도	정도/NNG
걸릴	걸리/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“학교에	“/SS+학교/NNG+에/JKB
안내문을	안내문/NNG+을/JKO
보내	보내/VV+어/EC
이런	이런/MMD
방침을	방침/NNG+을/JKO
알리기로	알리/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


