# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.82
metadata : {}


# id : NWRW1800000025.82.1.1
“성장 멈추면 ‘죽은 조직’ 불과… 글로벌 공항전문기업 만들것”

“성장	“/SS+성장/NNG
권위	권위/NNG
있는	있/VA+는/ETM
5개	5/SN+개/NNB
공항	공항/NNG
관련	관련/NNG
기관으로부터	기관/NNG+으로부터/JKB
최고	최고/NNG
공항’으로	공항/NNG+’/SS+으로/JKB
선정돼	선정/NNG+되/XSV+어/EC
‘그랜드슬램’을	‘/SS+그랜드슬램/NNG+’/SS+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.3.1
29일 개항 9주년을 맞아 ‘글로벌 공항전문기업’으로의 성장을 선언한 인천국제공항공사 이채욱 사장(64)을 25일 집무실에서 만났다.

29일	29/SN+일/NNB
개항	개항/NNG
9주년을	9/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
‘글로벌	‘/SS+글로벌/NNG
공항전문기업’으로의	공항/NNG+전문/NNG+기업/NNG+’/SS+으로/JKB+의/JKG
성장을	성장/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
인천국제공항공사	인천국제공항공사/NNP
이채욱	이채욱/NNP
사장(64)을	사장/NNG+(/SS+64/SN+)/SS+을/JKO
25일	25/SN+일/NNB
집무실에서	집무실/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.3.2
“세계 1700여 개 공항 중에서 1등을 5번이나 차지하는 게 쉬운 일이 아닙니다.

“세계	“/SS+세계/NNG
1700여	1700/SN+여/XSN
개	개/NNB
공항	공항/NNG
중에서	중/NNB+에서/JKB
1등을	1/SN+등/NNB+을/JKO
5번이나	5/SN+번/NNB+이나/JX
차지하는	차지/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
쉬운	쉽/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000025.82.3.3
‘존경 받는 공기업’으로 발돋움하기 위해 성장, 인재 확보, 윤리경영, 사회공헌 등 4가지 부문에서의 원칙을 철저히 실천해 나갈 것입니다.”

‘존경	‘/SS+존경/NNG
받는	받/XSV+는/ETM
공기업’으로	공기업/NNG+’/SS+으로/JKB
발돋움하기	발돋움/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
성장,	성장/NNG+,/SP
인재	인재/NNG
확보,	확보/NNG+,/SP
윤리경영,	윤리/NNG+경영/NNG+,/SP
사회공헌	사회/NNG+공헌/NNG
등	등/NNB
4가지	4/SN+가지/NNB
부문에서의	부문/NNG+에서/JKB+의/JKG
원칙을	원칙/NNG+을/JKO
철저히	철저히/MAG
실천해	실천/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것입니다.”	것/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.82.4.1
이 사장은 “성장을 멈추면 ‘죽은 조직’”이라며 공항 3단계시설 확장공사, 공항복합도시(에어시티) 개발, 해외진출 사업 등 공항 발전 청사진을 소개했다.

이	이/NNP
사장은	사장/NNG+은/JX
“성장을	“/SS+성장/NNG+을/JKO
멈추면	멈추/VV+면/EC
‘죽은	‘/SS+죽/VV+은/ETM
조직’”이라며	조직/NNG+’/SS+”/SS+이/VCP+라며/EC
공항	공항/NNG
3단계시설	3/SN+단계/NNG+시설/NNG
확장공사,	확장/NNG+공사/NNG+,/SP
공항복합도시(에어시티)	공항/NNG+복합/NNG+도시/NNG+(/SS+에어시티/NNG+)/SS
개발,	개발/NNG+,/SP
해외진출	해외/NNG+진출/NNG
사업	사업/NNG
등	등/NNB
발전	발전/NNG
청사진을	청사진/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.4.2
여객터미널 북측에서 제2 여객터미널 신축, 화물터미널 확장, 2단계 공항배후물류단지 조성 공사를 벌일 공항 3단계 시설 확장공사는 현재 설계 작업 중으로 내년 상반기 착공할 예정이다.

여객터미널	여객/NNG+터미널/NNG
북측에서	북측/NNG+에서/JKB
제2	제/XPN+2/SN
신축,	신축/NNG+,/SP
화물터미널	화물/NNG+터미널/NNG
확장,	확장/NNG+,/SP
2단계	2/SN+단계/NNG
공항배후물류단지	공항/NNG+배후/NNG+물류/NNG+단지/NNG
조성	조성/NNG
공사를	공사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
공항	공항/NNG
3단계	3/SN+단계/NNG
시설	시설/NNG
확장공사는	확장/NNG+공사/NNG+는/JX
현재	현재/MAG
설계	설계/NNG
작업	작업/NNG
중으로	중/NNB+으로/JKB
내년	내년/NNG
상반기	상반기/NNG
착공할	착공/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.82.4.3
4조 원 규모의 사업비는 대부분 공항 수익금으로 충당된다.

4조	4/SN+조/NR
원	원/NNB
규모의	규모/NNG+의/JKG
사업비는	사업비/NNG+는/JX
대부분	대/XPN+부분/NNG
공항	공항/NNG
수익금으로	수익금/NNG+으로/JKB
충당된다.	충당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.82.5.1
2015년경 3단계 시설이 완공되면 연간 여객처리능력은 4400만 명에서 6200만 명, 화물처리능력은 450만 t에서 580만 t으로 늘어나 동북아 허브공항으로 확실히 자리 잡게 될 것이라고 이 사장은 강조했다.

2015년경	2015/SN+년/NNB+경/XSN
3단계	3/SN+단계/NNG
시설이	시설/NNG+이/JKS
완공되면	완공/NNG+되/XSV+면/EC
연간	연간/NNG
여객처리능력은	여객/NNG+처리/NNG+능력/NNG+은/JX
4400만	4400/SN+만/NR
명에서	명/NNB+에서/JKB
6200만	6200/SN+만/NR
명,	명/NNB+,/SP
화물처리능력은	화물/NNG+처리/NNG+능력/NNG+은/JX
450만	450/SN+만/NR
t에서	t/SW+에서/JKB
580만	580/SN+만/NR
t으로	t/SW+으로/JKB
늘어나	늘어나/VV+아/EC
동북아	동북아/NNP
허브공항으로	허브/NNG+공항/NNG+으로/JKB
확실히	확실히/MAG
자리	자리/NNG
잡게	잡/VV+게/EC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
이	이/NNP
사장은	사장/NNG+은/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.5.2
인천공항은 현재 국제화물처리 세계 2위, 국제여객 운송처리 세계 12위다.

인천공항은	인천공항/NNP+은/JX
현재	현재/MAG
국제화물처리	국제/NNG+화물/NNG+처리/NNG
세계	세계/NNG
2위,	2/SN+위/NNB+,/SP
국제여객	국제/NNG+여객/NNG
운송처리	운송/NNG+처리/NNG
12위다.	12/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.82.6.1
인천공항공사는 해외 진출에도 의욕을 보이고 있다.

인천공항공사는	인천공항공사/NNP+는/JX
해외	해외/NNG
진출에도	진출/NNG+에/JKB+도/JX
의욕을	의욕/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.82.6.2
이 사장은 “1위 공항의 ‘브랜드 가치’를 자산화할 시점”이라며 “독일 프랑크푸르트, 프랑스 샤를 드골 공항 등 해외 선진공항들은 전체 수익의 10%가량을 ‘운영 기술’ 수출에 의존하고 있다”고 설명했다.

이	이/NNP
사장은	사장/NNG+은/JX
“1위	“/SS+1/SN+위/NNB
공항의	공항/NNG+의/JKG
‘브랜드	‘/SS+브랜드/NNG
가치’를	가치/NNG+’/SS+를/JKO
자산화할	자산/NNG+화/XSN+하/XSV+ㄹ/ETM
시점”이라며	시점/NNG+”/SS+이/VCP+라며/EC
“독일	“/SS+독일/NNP
프랑크푸르트,	프랑크푸르트/NNP+,/SP
프랑스	프랑스/NNP
샤를	샤를/NNP
드골	드골/NNP
공항	공항/NNG
등	등/NNB
해외	해외/NNG
선진공항들은	선진/NNG+공항/NNG+들/XSN+은/JX
전체	전체/NNG
수익의	수익/NNG+의/JKG
10%가량을	10/SN+%/SW+가량/XSN+을/JKO
‘운영	‘/SS+운영/NNG
기술’	기술/NNG+’/SS
수출에	수출/NNG+에/JKB
의존하고	의존/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.6.3
그는 “5월 18일 개항할 이라크 아르빌 신국제공항의 7개 운영 분야를 자문할 기술자 30여 명을 파견했고, 러시아 하바롭스크 신공항 종합개발계획을 수립 중”이라며 “중국 광저우 공항의 서비스 부문 향상을 위한 기술 자문을 해주기로 한 데 이어 필리핀, 몽골, 베트남, 캄보디아 등지의 공항과 기술 수출 협의를 하고 있다”고 덧붙였다.

그는	그/NP+는/JX
“5월	“/SS+5/SN+월/NNB
18일	18/SN+일/NNB
개항할	개항/NNG+하/XSV+ㄹ/ETM
이라크	이라크/NNP
아르빌	아르빌/NNP
신국제공항의	신/XPN+국제공항/NNG+의/JKG
7개	7/SN+개/NNB
운영	운영/NNG
분야를	분야/NNG+를/JKO
자문할	자문/NNG+하/XSV+ㄹ/ETM
기술자	기술자/NNG
30여	30/SN+여/XSN
명을	명/NNB+을/JKO
파견했고,	파견/NNG+하/XSV+았/EP+고/EC+,/SP
러시아	러시아/NNP
하바롭스크	하바롭스크/NNP
신공항	신/XPN+공항/NNG
종합개발계획을	종합/NNG+개발/NNG+계획/NNG+을/JKO
수립	수립/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“중국	“/SS+중국/NNP
광저우	광저우/NNP
공항의	공항/NNG+의/JKG
서비스	서비스/NNG
부문	부문/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기술	기술/NNG
자문을	자문/NNG+을/JKO
해주기로	하/VV+아/EC+주/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
필리핀,	필리핀/NNP+,/SP
몽골,	몽골/NNP+,/SP
베트남,	베트남/NNP+,/SP
캄보디아	캄보디아/NNP
등지의	등지/NNB+의/JKG
공항과	공항/NNG+과/JKB
수출	수출/NNG
협의를	협의/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.82.6.4
인천공항이 수주한 기술 수출 용역비는 아르빌 공항 3150만 달러(5년 치), 하바롭스크 120만 달러(8개월 치)에 이른다.

인천공항이	인천공항/NNP+이/JKS
수주한	수주/NNG+하/XSV+ㄴ/ETM
기술	기술/NNG
수출	수출/NNG
용역비는	용역비/NNG+는/JX
아르빌	아르빌/NNP
공항	공항/NNG
3150만	3150/SN+만/NR
달러(5년	달러/NNB+(/SS+5/SN+년/NNB
치),	치/NNB+)/SS+,/SP
하바롭스크	하바롭스크/NNP
120만	120/SN+만/NR
달러(8개월	달러/NNB+(/SS+8/SN+개월/NNB
치)에	치/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.82.7.1
이 사장은 공항복합도시 개발과 관련해 “금융위기 여파로 해외자본 유치에 어려움을 겪고 있지만 국제업무단지 2단계 지역 주변의 482만 m²(약 146만 평)에 미래형 테마파크, 패션단지, 수상스포츠 메카가 단계적으로 들어설 것”이라고 말했다.

이	이/NNP
사장은	사장/NNG+은/JX
공항복합도시	공항/NNG+복합/NNG+도시/NNG
개발과	개발/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“금융위기	“/SS+금융/NNG+위기/NNG
여파로	여파/NNG+로/JKB
해외자본	해외/NNG+자본/NNG
유치에	유치/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있지만	있/VX+지만/EC
국제업무단지	국제/NNG+업무/NNG+단지/NNG
2단계	2/SN+단계/NNG
지역	지역/NNG
주변의	주변/NNG+의/JKG
482만	482/SN+만/JX
m²(약	m²/SW+(/SS+약/MMA
146만	146/SN+만/NR
평)에	평/NNB+)/SS+에/JKB
미래형	미래/NNG+형/XSN
테마파크,	테마파크/NNG+,/SP
패션단지,	패션/NNG+단지/NNG+,/SP
수상스포츠	수상/NNG+스포츠/NNG
메카가	메카/NNG+가/JKS
단계적으로	단계/NNG+적/XSN+으로/JKB
들어설	들어서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.8.1
인천공항공사가 최근 들어 잇따른 성과를 내고 있는 것은 노사가 머리를 맞대고 일을 풀어가는 능동적인 조직문화도 한몫했다.

인천공항공사가	인천공항공사/NNP+가/JKS
최근	최근/MAG
들어	들/VV+어/EC
잇따른	잇따르/VV+ㄴ/ETM
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
노사가	노사/NNG+가/JKS
머리를	머리/NNG+를/JKO
맞대고	맞대/VV+고/EC
일을	일/NNG+을/JKO
풀어가는	풀/VV+어/EC+가/VX+는/ETM
능동적인	능동/NNG+적/XSN+이/VCP+ㄴ/ETM
조직문화도	조직/NNG+문화/NNG+도/JX
한몫했다.	한몫/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.8.2
인천공항공사가 최근 정부로부터 ‘경영자율’ 시범 공기업으로 선정된 이유도 여기에 있다.

인천공항공사가	인천공항공사/NNP+가/JKS
최근	최근/MAG
정부로부터	정부/NNG+로부터/JKB
‘경영자율’	‘/SS+경영/NNG+자율/NNG+’/SS
시범	시범/NNG
공기업으로	공기업/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
이유도	이유/NNG+도/JX
여기에	여기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.82.8.3
이 사장은 “사장이 해야 할 일의 핵심은 세계 최고 ‘글로벌 공항’ 지위를 유지하면서 직원들에게 ‘신바람 나는 일터’를 만들어 주는 것”이라고 강조했다.

이	이/NNP
사장은	사장/NNG+은/JX
“사장이	“/SS+사장/NNG+이/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일의	일/NNG+의/JKG
핵심은	핵심/NNG+은/JX
세계	세계/NNG
최고	최고/NNG
‘글로벌	‘/SS+글로벌/NNG
공항’	공항/NNG+’/SS
지위를	지위/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
직원들에게	직원/NNG+들/XSN+에게/JKB
‘신바람	‘/SS+신바람/NNG
나는	나/VV+는/ETM
일터’를	일터/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
주는	주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.82.8.4
인천공항공사는 직원 스스로 일하고 싶은 부서를 선택하도록 한 ‘잡 포스팅’이라는 혁신적인 인사제도와 비리 사실이 적발된 직원을 즉시 퇴출시키는 ‘원 스트라이크 아웃제’를 시행하고 있다.

인천공항공사는	인천공항공사/NNP+는/JX
직원	직원/NNG
스스로	스스로/MAG
일하고	일/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
부서를	부서/NNG+를/JKO
선택하도록	선택/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
‘잡	‘/SS+잡/NNG
포스팅’이라는	포스팅/NNG+’/SS+이/VCP+라는/ETM
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
인사제도와	인사/NNG+제도/NNG+와/JKB
비리	비리/NNG
사실이	사실/NNG+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
직원을	직원/NNG+을/JKO
즉시	즉시/MAG
퇴출시키는	퇴출/NNG+시키/XSV+는/ETM
‘원	‘/SS+원/NNG
스트라이크	스트라이크/NNG
아웃제’를	아웃/NNG+제/XSN+’/SS+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


