# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.131
metadata : {}


# id : NWRW1800000048.131.1.1
“러시아 ‘아사드 퇴진안’, 서방이 3년전 묵살”

“러시아	“/SS+러시아/NNP
보면,	보/VX+면/EC+,/SP
아티사리는	아티사리/NNP+는/JX
2012년	2012/SN+년/NNB
2월22일	2/SN+월/NNB+22/SN+일/NNB
유엔본부에서	유엔/NNP+본부/NNG+에서/JKB
안보리	안보리/NNG
상임이사국	상임/NNG+이사국/NNG
대표들과	대표/NNG+들/XSN+과/JKB
시리아	시리아/NNP
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
막후	막후/NNG
회담을	회담/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.131.6.3
지미 카터, 코피 아난 등 세계 원로 지도자들의 모임인 ‘디 엘더스’(The Elders) 활동의 일환이었다.

지미	지미/NNP
카터,	카터/NNP+,/SP
코피	코피/NNP
아난	아난/NNP
등	등/NNB
세계	세계/NNG
원로	원로/NNG
지도자들의	지도자/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
‘디	‘/SS+디/NNP
엘더스’(The	엘더스/NNP+’/SS+(/SS+The/SL
Elders)	Elders/SL+)/SS
활동의	활동/NNG+의/JKG
일환이었다.	일환/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.131.7.1
아티사리는 이 과정에서 비탈리 추르킨 유엔 주재 러시아대사가 “(서방이) 반군에 무기 지원을 하지 않고, 당장 아사드와 반군의 회담을 주선하고, 아사드가 모양새 좋게 물러날 수 있는 방안을 찾는다”는 내용의 제안을 했다고 밝혔다.

아티사리는	아티사리/NNP+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
비탈리	비탈리/NNP
추르킨	추르킨/NNP
유엔	유엔/NNP
주재	주재/NNG
러시아대사가	러시아/NNP+대사/NNG+가/JKS
“(서방이)	“/SS+(/SS+서방/NNG+이/JKS+)/SS
반군에	반군/NNG+에/JKB
무기	무기/NNG
지원을	지원/NNG+을/JKO
하지	하/VV+지/EC
않고,	않/VX+고/EC+,/SP
당장	당장/NNG
아사드와	아사드/NNP+와/JC
반군의	반군/NNG+의/JKG
회담을	회담/NNG+을/JKO
주선하고,	주선/NNG+하/XSV+고/EC+,/SP
아사드가	아사드/NNP+가/JKS
모양새	모양새/NNG
좋게	좋/VA+게/EC
물러날	물러나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
찾는다”는	찾/VV+는다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
제안을	제안/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.131.7.2
추르킨의 제안은 확실한 것이었고 러시아 정부의 입장이 아니라고 의심할 여지가 없었다고 설명했다.

추르킨의	추르킨/NNP+의/JKG
제안은	제안/NNG+은/JX
확실한	확실하/VA+ㄴ/ETM
것이었고	것/NNB+이/VCP+었/EP+고/EC
러시아	러시아/NNP
정부의	정부/NNG+의/JKG
입장이	입장/NNG+이/JKC
아니라고	아니/VCN+라고/EC
의심할	의심/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
없었다고	없/VA+었/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.131.7.3
아티사리는 미국·영국·프랑스 쪽에 러시아의 제안을 전했으나 반응이 없었다고 했다.

아티사리는	아티사리/NNP+는/JX
미국·영국·프랑스	미국/NNP+·/SP+영국/NNP+·/SP+프랑스/NNP
쪽에	쪽/NNB+에/JKB
러시아의	러시아/NNP+의/JKG
제안을	제안/NNG+을/JKO
전했으나	전하/VV+았/EP+으나/EC
반응이	반응/NNG+이/JKS
없었다고	없/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.131.7.4
그는 “서방은 아사드가 수주일 안에 쫓겨날 것이라는 확신에 차, 자신들이 움직이지 않아도 된다고 여겼던 것 같다”고 말했다.

그는	그/NP+는/JX
“서방은	“/SS+서방/NNG+은/JX
아사드가	아사드/NNP+가/JKS
수주일	수주일/NNG
안에	안/NNG+에/JKB
쫓겨날	쫓겨나/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
확신에	확신/NNG+에/JKB
차,	차/VV+아/EC+,/SP
자신들이	자신/NNG+들/XSN+이/JKS
움직이지	움직이/VV+지/EC
않아도	않/VX+아도/EC
된다고	되/VV+ㄴ다고/EC
여겼던	여기/VV+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.131.7.5
러시아는 공식적으로 시리아 내전 4년 반 내내 아사드 정권을 지지하며 아사드의 퇴진은 불가하다는 입장을 보여왔다.

러시아는	러시아/NNP+는/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
시리아	시리아/NNP
내전	내전/NNG
4년	4/SN+년/NNB
반	반/NNG
내내	내내/MAG
아사드	아사드/NNP
정권을	정권/NNG+을/JKO
지지하며	지지/NNG+하/XSV+며/EC
아사드의	아사드/NNP+의/JKG
퇴진은	퇴진/NNG+은/JX
불가하다는	불가/NNG+하/XSA+다는/ETM
입장을	입장/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.131.7.6
최근에는 이슬람국가(IS)와의 전쟁을 지원한다는 명목으로 아사드 정권에 대규모 군사장비와 인력을 보낸 것으로 알려졌다.

최근에는	최근/NNG+에/JKB+는/JX
이슬람국가(IS)와의	이슬람국가/NNP+(/SS+IS/SL+)/SS+와/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
지원한다는	지원/NNG+하/XSV+ㄴ다는/ETM
명목으로	명목/NNG+으로/JKB
아사드	아사드/NNP
정권에	정권/NNG+에/JKB
대규모	대/XPN+규모/NNG
군사장비와	군사/NNG+장비/NNG+와/JC
인력을	인력/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.131.8.1
아티사리는 “우리는 이 모든 게 일어나기 전에 막았어야 했다.

아티사리는	아티사리/NNP+는/JX
“우리는	“/SS+우리/NP+는/JX
이	이/MMD
모든	모든/MMN
게	거/NNB+이/JKS
일어나기	일어나/VV+기/ETN
전에	전/NNG+에/JKB
막았어야	막/VV+았/EP+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.131.8.2
유럽으로 밀려드는 난민들의 행렬은 우리가 자초한 일”이라며 “우리는 이에 대한 대가를 치르고 있다”고 말했다.

유럽으로	유럽/NNP+으로/JKB
밀려드는	밀려들/VV+는/ETM
난민들의	난민/NNG+들/XSN+의/JKG
행렬은	행렬/NNG+은/JX
우리가	우리/NP+가/JKS
자초한	자초/NNG+하/XSV+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“우리는	“/SS+우리/NP+는/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대가를	대가/NNG+를/JKO
치르고	치르/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


