# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.104
metadata : {}


# id : NWRW1800000025.104.1.1
‘한국인 노가다’는 옛얘기… 중동 사막에서 ‘나이스 샷’

‘한국인	‘/SS+한국인/NNG
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“오히려	“/SS+오히려/MAG
이곳에서는	이곳/NP+에서/JKB+는/JX
가사도우미	가사/NNG+도우미/NNG
덕분에	덕분/NNG+에/JKB
귀족	귀족/NNG
생활을	생활/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.12.1
한국인의 운전기사로 일하는 파키스탄인 누르 아만 씨(30)는 “매달 700달러를 벌고 있는데 고향에서는 이 정도면 엄청난 고소득”이라고 말했다.

한국인의	한국인/NNG+의/JKG
운전기사로	운전기사/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
파키스탄인	파키스탄인/NNG
누르	누르/NNP
아만	아만/NNP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
“매달	“/SS+매달/MAG
700달러를	700/SN+달러/NNB+를/JKO
벌고	벌/VV+고/EC
있는데	있/VX+는데/EC
고향에서는	고향/NNG+에서/JKB+는/JX
이	이/MMD
정도면	정도/NNG+이/VCP+면/EC
엄청난	엄청나/VA+ㄴ/ETM
고소득”이라고	고/XPN+소득/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.13.1
한국인들의 현지 근무여건이 나아진 것은 바람직하지만 부작용을 걱정하는 목소리도 적지 않다.

한국인들의	한국인/NNG+들/XSN+의/JKG
현지	현지/NNG
근무여건이	근무/NNG+여건/NNG+이/JKS
나아진	나아지/VV+ㄴ/ETM
것은	것/NNB+은/JX
바람직하지만	바람직하/VA+지만/EC
부작용을	부작용/NNG+을/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.104.13.2
한국인들이 실무보다 관리직종에 주로 종사하다 보니 현장에서는 경험과 기술을 겸비한 건설엔지니어들의 대(代)가 끊기는 것 아니냐는 우려도 나온다.

한국인들이	한국인/NNG+들/XSN+이/JKS
실무보다	실무/NNG+보다/JKB
관리직종에	관리/NNG+직종/NNG+에/JKB
주로	주로/MAG
종사하다	종사/NNG+하/XSV+다/EC
보니	보/VX+니/EC
현장에서는	현장/NNG+에서/JKB+는/JX
경험과	경험/NNG+과/JC
기술을	기술/NNG+을/JKO
겸비한	겸비/NNG+하/XSV+ㄴ/ETM
건설엔지니어들의	건설/NNG+엔지니어/NNG+들/XSN+의/JKG
대(代)가	대/NNG+(/SS+代/SH+)/SS+가/JKS
끊기는	끊기/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.104.13.3
요즘 중동이나 아프리카 건설현장에서 가장 악착같이 일한다는 말을 듣는 사람은 한국인이 아니라 중국인이라는 것이다.

요즘	요즘/NNG
중동이나	중동/NNP+이나/JC
아프리카	아프리카/NNP
건설현장에서	건설/NNG+현장/NNG+에서/JKB
가장	가장/MAG
악착같이	악착같이/MAG
일한다는	일/NNG+하/XSV+ㄴ다는/ETM
말을	말/NNG+을/JKO
듣는	듣/VV+는/ETM
사람은	사람/NNG+은/JX
한국인이	한국인/NNG+이/JKC
아니라	아니/VCN+라/EC
중국인이라는	중국인/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.104.14.1
이는 젊은 기술인력이 오지 근무를 꺼리는 경향과도 무관치 않다.

이는	이/NP+는/JX
젊은	젊/VA+은/ETM
기술인력이	기술/NNG+인력/NNG+이/JKS
오지	오지/NNG
근무를	근무/NNG+를/JKO
꺼리는	꺼리/VV+는/ETM
경향과도	경향/NNG+과/JKB+도/JX
무관치	무관하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.104.14.2
아부다비 건설현장 관계자는 “젊은 엔지니어들이 중동 근무를 선호하지 않아 현장이 고령화되고 있다”며 “청년 인력을 양성하지 않으면 기술과 경험의 전수가 끊겨 ‘건설 한국’의 신화가 막을 내릴 수도 있다”고 말했다.

아부다비	아부다비/NNP
건설현장	건설/NNG+현장/NNG
관계자는	관계자/NNG+는/JX
“젊은	“/SS+젊/VA+은/ETM
엔지니어들이	엔지니어/NNG+들/XSN+이/JKS
중동	중동/NNP
근무를	근무/NNG+를/JKO
선호하지	선호/NNG+하/XSV+지/EC
않아	않/VX+아/EC
현장이	현장/NNG+이/JKS
고령화되고	고령/NNG+화/XSN+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“청년	“/SS+청년/NNG
인력을	인력/NNG+을/JKO
양성하지	양성/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
기술과	기술/NNG+과/JC
경험의	경험/NNG+의/JKG
전수가	전수/NNG+가/JKS
끊겨	끊기/VV+어/EC
‘건설	‘/SS+건설/NNG
한국’의	한국/NNP+’/SS+의/JKG
신화가	신화/NNG+가/JKS
막을	막/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


