# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.352
metadata : {}


# id : NWRW1800000025.352.1.1
서울, 홈 불패 행진 이어갈까… 제주, 마지막 반전 보여줄까

서울,	서울/NNP+,/SP
관성의	관성/NNG+의/JKG
법칙은	법칙/NNG+은/JX
물리에만	물리/NNG+에/JKB+만/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
연속	연속/NNG
기록에도	기록/NNG+에/JKB+도/JX
작용한다.	작용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.352.5.2
좋지 않은 기록일 경우 징크스라고 표현된다.

좋지	좋/VA+지/EC
않은	않/VX+은/ETM
기록일	기록/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
징크스라고	징크스/NNG+이/VCP+라고/EC
표현된다.	표현/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.352.5.3
기록의 연속성은 심리적 관성 때문이다.

기록의	기록/NNG+의/JKG
연속성은	연속/NNG+성/XSN+은/JX
심리적	심리/NNG+적/XSN
관성	관성/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.5.4
비슷한 결과가 지속되면 좋은 결과일 경우 자신감 강화, 나쁜 결과일 경우 자신감 약화로 나타나는데 스포츠 심리학자들에 따르면 두 팀의 실력이 팽팽할 경우 이것이 승부를 가를 만큼 큰 변수가 된다.

비슷한	비슷하/VA+ㄴ/ETM
결과가	결과/NNG+가/JKS
지속되면	지속/NNG+되/XSV+면/EC
좋은	좋/VA+은/ETM
결과일	결과/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
자신감	자신감/NNG
강화,	강화/NNG+,/SP
나쁜	나쁘/VA+ㄴ/ETM
약화로	약화/NNG+로/JKB
나타나는데	나타나/VV+는데/EC
스포츠	스포츠/NNG
심리학자들에	심리학자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
두	두/MMN
팀의	팀/NNG+의/JKG
실력이	실력/NNG+이/JKS
팽팽할	팽팽하/VA+ㄹ/ETM
이것이	이것/NP+이/JKS
승부를	승부/NNG+를/JKO
가를	가르/VV+ㄹ/ETM
만큼	만큼/NNB
큰	크/VA+ㄴ/ETM
변수가	변수/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.352.6.1
이런 점에서 2차전은 서울에 유리하고 제주에 불리하다.

이런	이런/MMD
점에서	점/NNG+에서/JKB
2차전은	2/SN+차전/NNB+은/JX
서울에	서울/NNP+에/JKB
유리하고	유리/NNG+하/XSA+고/EC
제주에	제주/NNP+에/JKB
불리하다.	불리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.352.6.2
제주는 상대 팀뿐만 아니라 괴물 같은 기록과 싸워야 한다.

제주는	제주/NNP+는/JX
상대	상대/NNG
팀뿐만	팀/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
괴물	괴물/NNG
같은	같/VA+은/ETM
기록과	기록/NNG+과/JKB
싸워야	싸우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.352.6.3
그 하나가 92.9%에 이르는 올해 서울의 홈 승률이다.

그	그/MMD
하나가	하나/NR+가/JKS
92.9%에	92/SN+./SP+9/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
올해	올해/NNG
서울의	서울/NNP+의/JKG
홈	홈/NNG
승률이다.	승률/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.6.4
올해 서울은 홈에서 1패 뒤 13연승 중이다.

올해	올해/NNG
서울은	서울/NNP+은/JX
홈에서	홈/NNG+에서/JKB
1패	1/SN+패/NNB
뒤	뒤/NNG
13연승	13/SN+연승/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.6.5
더구나 제주는 2008년 5월 14일 컵 대회 경기 이후 서울의 홈에서 이겨보지 못했다.

더구나	더구나/MAG
제주는	제주/NNP+는/JX
2008년	2008/SN+년/NNB
5월	5/SN+월/NNB
14일	14/SN+일/NNB
컵	컵/NNG
대회	대회/NNG
경기	경기/NNG
이후	이후/NNG
서울의	서울/NNP+의/JKG
홈에서	홈/NNG+에서/JKB
이겨보지	이기/VV+어/EC+보/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.352.7.1
○ 심리적 장벽, 그건 아무것도 아니다

○	○/SW
심리적	심리/NNG+적/XSN
장벽,	장벽/NNG+,/SP
그건	그거/NP+ㄴ/JX
아무것도	아무것/NNG+도/JX
아니다	아니/VCN+다/EF


# id : NWRW1800000025.352.8.1
하지만 실망은 이르다.

하지만	하지만/MAJ
실망은	실망/NNG+은/JX
이르다.	이르/VA+다/EF+./SF


# id : NWRW1800000025.352.8.2
제주야말로 오랜 심리적 관성을 깨부수고 올해 돌풍을 일으킨 주인공이기 때문이다.

제주야말로	제주/NNP+야말로/JX
오랜	오랜/MMA
심리적	심리/NNG+적/XSN
관성을	관성/NNG+을/JKO
깨부수고	깨부수/VV+고/EC
올해	올해/NNG
돌풍을	돌풍/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
주인공이기	주인공/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.8.3
올 시즌을 앞두고 지휘봉을 잡은 제주 박경훈 감독은 지는 것에 익숙하고 주눅 든 선수들을 변화시켰다.

올	올/NNG
시즌을	시즌/NNG+을/JKO
앞두고	앞두/VV+고/EC
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
제주	제주/NNP
박경훈	박경훈/NNP
감독은	감독/NNG+은/JX
지는	지/VV+는/ETM
것에	것/NNB+에/JKB
익숙하고	익숙하/VA+고/EC
주눅	주눅/NNG
든	들/VV+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
변화시켰다.	변화/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.352.8.4
그 비결은 칭찬.

그	그/MMD
비결은	비결/NNG+은/JX
칭찬.	칭찬/NNG+./SF


# id : NWRW1800000025.352.8.5
박 감독은 잘못한 것은 누구보다 본인들이 더 잘 알 것이므로 선수들에게 필요한 것은 칭찬이라는 지론을 실천했다.

박	박/NNP
감독은	감독/NNG+은/JX
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
누구보다	누구/NP+보다/JKB
본인들이	본인/NNG+들/XSN+이/JKS
더	더/MAG
잘	잘/MAG
알	알/VV+ㄹ/ETM
것이므로	것/NNB+이/VCP+므로/EC
선수들에게	선수/NNG+들/XSN+에게/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
칭찬이라는	칭찬/NNG+이/VCP+라는/ETM
지론을	지론/NNG+을/JKO
실천했다.	실천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.352.8.6
줄기찬 칭찬이 ‘우리는 안 된다’는 심리를 ‘우리도 할 수 있다’는 심리로 바꿔 놓았다.

줄기찬	줄기차/VA+ㄴ/ETM
칭찬이	칭찬/NNG+이/JKS
‘우리는	‘/SS+우리/NP+는/JX
안	안/MAG
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
심리를	심리/NNG+를/JKO
‘우리도	‘/SS+우리/NP+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
심리로	심리/NNG+로/JKB
바꿔	바꾸/VV+어/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.352.8.7
따라서 심리적 장애물을 극복한 것은 올 시즌 제주가 가장 잘해 온 부분이다.

따라서	따라서/MAJ
심리적	심리/NNG+적/XSN
장애물을	장애물/NNG+을/JKO
극복한	극복/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
올	올/NNG
시즌	시즌/NNG
제주가	제주/NNP+가/JKS
가장	가장/MAG
잘해	잘/MAG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.9.1
1차전 막판에 선수들의 집중력이 떨어지면서 무승부를 허용한 제주의 박 감독은 “2차전에선 우리가 반전을 만들어 보겠다”고 공언했다.

1차전	1/SN+차전/NNB
막판에	막판/NNG+에/JKB
선수들의	선수/NNG+들/XSN+의/JKG
집중력이	집중력/NNG+이/JKS
떨어지면서	떨어지/VV+면서/EC
무승부를	무/XPN+승부/NNG+를/JKO
허용한	허용/NNG+하/XSV+ㄴ/ETM
제주의	제주/NNP+의/JKG
박	박/NNP
감독은	감독/NNG+은/JX
“2차전에선	“/SS+2/SN+차전/NNB+에서/JKB+ㄴ/JX
우리가	우리/NP+가/JKS
반전을	반전/NNG+을/JKO
만들어	만들/VV+어/EC
보겠다”고	보/VX+겠/EP+다/EF+”/SS+고/JKQ
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.352.9.2
한편 서울도 질 것 같은 경기를 비기면서 벌써 우승한 것 같은 자신감에 차 있다.

한편	한편/MAG
서울도	서울/NNP+도/JX
질	지/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
경기를	경기/NNG+를/JKO
비기면서	비기/VV+면서/EC
벌써	벌써/MAG
우승한	우승/NNG+하/XSV+ㄴ/ETM
자신감에	자신감/NNG+에/JKB
차	차/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.352.10.1
두 팀의 챔피언전 대결은 2000년 이후 10년 만이다.

두	두/MMN
팀의	팀/NNG+의/JKG
챔피언전	챔피언전/NNG
대결은	대결/NNG+은/JX
2000년	2000/SN+년/NNB
이후	이후/NNG
10년	10/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.352.10.2
당시엔 서울이 우승컵을 들어올렸다.

당시엔	당시/NNG+에/JKB+ㄴ/JX
서울이	서울/NNP+이/JKS
우승컵을	우승컵/NNG+을/JKO
들어올렸다.	들/VV+어/EC+올리/VV+었/EP+다/EF+./SF


