# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.312
metadata : {}


# id : NWRW1800000041.312.1.1
[커튼 뒤 정치]울고싶은 박지원, 뺨 때려준 동교동

[커튼	[/SS+커튼/NNG
박 의원은 이날 오후 국회 의원회관에서 기자들과 만나 “영광과 보람이 있는 전남도지사보다는 가시밭길의 중앙정치를 하겠다”며 “이번 지방선거, 2016년 총선은 물론이고 2017년 대선에서 정권 교체를 목표로 통합신당을 위해 한 몸 불사르겠다”고 밝혔다.

박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
국회	국회/NNG
의원회관에서	의원/NNG+회관/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“영광과	“/SS+영광/NNG+과/JC
보람이	보람/NNG+이/JKS
있는	있/VA+는/ETM
전남도지사보다는	전남/NNP+도지사/NNG+보다/JKB+는/JX
가시밭길의	가시밭길/NNG+의/JKG
중앙정치를	중앙/NNG+정치/NNG+를/JKO
하겠다”며	하/VV+겠/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
지방선거,	지방/NNG+선거/NNG+,/SP
2016년	2016/SN+년/NNB
총선은	총선/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
2017년	2017/SN+년/NNB
대선에서	대선/NNG+에서/JKB
정권	정권/NNG
교체를	교체/NNG+를/JKO
목표로	목표/NNG+로/JKB
통합신당을	통합신당/NNP+을/JKO
위해	위하/VV+아/EC
한	한/MMN
몸	몸/NNG
불사르겠다”고	불사르/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.312.5.1
박 의원은 그간 “전남에서 안철수 신당의 바람을 막아내야 한다”며 전남도지사 출마를 시사해왔다.

박	박/NNP
의원은	의원/NNG+은/JX
그간	그/NP+간/XSN
“전남에서	“/SS+전남/NNP+에서/JKB
안철수	안철수/NNP
신당의	신당/NNG+의/JKG
바람을	바람/NNG+을/JKO
막아내야	막/VV+아/EC+내/VX+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
전남도지사	전남/NNP+도지사/NNG
출마를	출마/NNG+를/JKO
시사해왔다.	시사/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.312.5.2
그러나 민주당과 새정치연합의 통합 선언(2일)으로 출마 명분이 퇴색하자 박 의원은 장고에 들어간 것이다.

그러나	그러나/MAJ
민주당과	민주당/NNP+과/JC
새정치연합의	새정치연합/NNP+의/JKG
통합	통합/NNG
선언(2일)으로	선언/NNG+(/SS+2/SN+일/NNB+)/SS+으로/JKB
출마	출마/NNG
명분이	명분/NNG+이/JKS
퇴색하자	퇴색/NNG+하/XSV+자/EC
박	박/NNP
의원은	의원/NNG+은/JX
장고에	장고/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.312.5.3
박 의원은 그동안 지인들을 만나 의견을 들었지만 도지사 출마를 놓고 찬반 의견이 팽팽했다고 한다.

박	박/NNP
의원은	의원/NNG+은/JX
그동안	그동안/NNG
지인들을	지인/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
의견을	의견/NNG+을/JKO
들었지만	듣/VV+었/EP+지만/EC
도지사	도지사/NNG
출마를	출마/NNG+를/JKO
놓고	놓/VV+고/EC
찬반	찬반/NNG
의견이	의견/NNG+이/JKS
팽팽했다고	팽팽하/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.312.6.1
박 의원은 10일 오후 서울 마포구 동교동 김대중(DJ) 전 대통령 사저를 찾아 이희호 여사에게 의견을 구했고 이 여사는 “가장 중요한 것은 지방선거 승리 이후 총선 승리와 정권 창출이 아니겠느냐.

박	박/NNP
의원은	의원/NNG+은/JX
10일	10/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
마포구	마포구/NNP
동교동	동교동/NNP
김대중(DJ)	김대중/NNP+(/SS+DJ/SL+)/SS
전	전/MMD
대통령	대통령/NNG
사저를	사저/NNG+를/JKO
찾아	찾/VV+아/EC
이희호	이희호/NNP
여사에게	여사/NNG+에게/JKB
의견을	의견/NNG+을/JKO
구했고	구하/VV+았/EP+고/EC
이	이/NNP
여사는	여사/NNG+는/JX
“가장	“/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
지방선거	지방/NNG+선거/NNG
승리	승리/NNG
이후	이후/NNG
총선	총선/NNG
승리와	승리/NNG+와/JKB
정권	정권/NNG
창출이	창출/NNG+이/JKC
아니겠느냐.	아니/VCN+겠/EP+느냐/EF+./SF


# id : NWRW1800000041.312.6.2
김 전 대통령도 중앙정치 무대에서 박 의원이 큰 역할을 해주기를 바랄 것”이라고 했다.

김	김/NNP
전	전/MMD
대통령도	대통령/NNG+도/JX
중앙정치	중앙/NNG+정치/NNG
무대에서	무대/NNG+에서/JKB
박	박/NNP
의원이	의원/NNG+이/JKS
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해주기를	하/VV+아/EC+주/VX+기/ETN+를/JKO
바랄	바라/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.312.6.3
이후 만난 권노갑 상임고문도 “중앙에서 큰 정치를 통해 민주당을 끌고 나갈 사람이 많지 않다”며 전남도지사 불출마를 권유한 것으로 알려졌다.

이후	이후/NNG
만난	만나/VV+ㄴ/ETM
권노갑	권노갑/NNP
상임고문도	상임/NNG+고문/NNG+도/JX
“중앙에서	“/SS+중앙/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
정치를	정치/NNG+를/JKO
통해	통하/VV+아/EC
민주당을	민주당/NNP+을/JKO
끌고	끌/VV+고/EC
나갈	나가/VX+ㄹ/ETM
사람이	사람/NNG+이/JKS
많지	많/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
전남도지사	전남/NNP+도지사/NNG
불출마를	불/XPN+출마/NNG+를/JKO
권유한	권유/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.312.6.4
권 고문은 새정치연합 안철수 중앙운영위원장에게 민주당과의 통합 필요성을 설득해 통합신당 창당 선언에 결정적 역할을 한 바 있다.

권	권/NNP
고문은	고문/NNG+은/JX
새정치연합	새정치연합/NNP
안철수	안철수/NNP
중앙운영위원장에게	중앙/NNG+운영/NNG+위원장/NNG+에게/JKB
민주당과의	민주당/NNP+과/JKB+의/JKG
통합	통합/NNG
필요성을	필요/NNG+성/XSN+을/JKO
설득해	설득/NNG+하/XSV+아/EC
통합신당	통합신당/NNP
창당	창당/NNG
선언에	선언/NNG+에/JKB
결정적	결정/NNG+적/XSN
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.312.7.1
박 의원은 11일 오전 서울 동작구 동작동 국립서울현충원의 DJ 묘소를 찾았다.

박	박/NNP
의원은	의원/NNG+은/JX
11일	11/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
동작구	동작구/NNP
동작동	동작동/NNP
국립서울현충원의	국립서울현충원/NNP+의/JKG
DJ	DJ/SL
묘소를	묘소/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.312.7.2
2009년 8월 DJ 서거 이후 이 여사와 동교동계 인사들이 매주 화요일 해온 참배 행사에 참석한 것이다.

2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
DJ	DJ/SL
서거	서거/NNG
이후	이후/NNG
이	이/NNP
여사와	여사/NNG+와/JC
동교동계	동교동/NNP+계/XSN
인사들이	인사/NNG+들/XSN+이/JKS
매주	매주/MAG
화요일	화요일/NNG
해온	하/VV+아/EC+오/VX+ㄴ/ETM
참배	참배/NNG
행사에	행사/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.312.7.3
권 고문과 김옥두 남궁진 이협 전 의원 등 참석자 40여 명은 “박 의원이 민주당을 위해 큰 결단을 했다”며 격려했다.

권	권/NNP
고문과	고문/NNG+과/JC
김옥두	김옥두/NNP
남궁진	남궁진/NNP
이협	이협/NNP
전	전/MMD
의원	의원/NNG
등	등/NNB
참석자	참석자/NNG
40여	40/SN+여/XSN
명은	명/NNB+은/JX
“박	“/SS+박/NNP
의원이	의원/NNG+이/JKS
민주당을	민주당/NNP+을/JKO
위해	위하/VV+아/EC
큰	크/VA+ㄴ/ETM
결단을	결단/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.312.7.4
‘동교동 특무상사’로 불리는 이훈평 전 의원은 “박지원은 변방보다는 중앙 성향 아니냐”고 해 웃음이 터졌다.

‘동교동	‘/SS+동교동/NNP
특무상사’로	특무/NNG+상사/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
이훈평	이훈평/NNP
전	전/MMD
의원은	의원/NNG+은/JX
“박지원은	“/SS+박지원/NNP+은/JX
변방보다는	변방/NNG+보다/JKB+는/JX
중앙	중앙/NNG
성향	성향/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
해	하/VV+아/EC
웃음이	웃음/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


