# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.325
metadata : {}


# id : NWRW1800000030.325.1.1
"민주당 원로들, 黨복지정책 너무 빨리 가는 것 아니냐 우려"

"민주당	"/SS+민주당/NNP
대한	대하/VV+ㄴ/ETM
기본	기본/NNG
태도를	태도/NNG+를/JKO
정해야	정하/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"대량	"/SS+대량/NNG
증세·대량	증세/NNG+·/SP+대량/NNG
복지의	복지/NNG+의/JKG
스웨덴·노르웨이	스웨덴/NNP+·/SP+노르웨이/NNP
형태로	형태/NNG+로/JKB
갈지,	가/VV+ㄹ지/EF+,/SP
특별한	특별/NNG+하/XSA+ㄴ/ETM
복지예산을	복지/NNG+예산/NNG+을/JKO
따로	따로/MAG
만들거나	만들/VV+거나/EC
아니면	아니/VCN+면/EC
현상	현상/NNG
유지를	유지/NNG+를/JKO
할	하/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
먼저	먼저/MAG
정하고	정하/VV+고/EC
거기에	거기/NP+에/JKB
맞춰	맞추/VV+어/EC
우선순위를	우선순위/NNG+를/JKO
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.325.6.1
민주당은 최근 반값 등록금 촛불시위가 거세지자 수혜 대상을 소득계층 50% 이하에서 중산층 전체로 확대하고 시행시점 역시 2013년 실시에서 내년으로 바꾸는 등 당론을 계속 바꿔왔다.

민주당은	민주당/NNP+은/JX
최근	최근/MAG
반값	반값/NNG
등록금	등록금/NNG
촛불시위가	촛불/NNG+시위/NNG+가/JKS
거세지자	거세지/VV+자/EC
수혜	수혜/NNG
대상을	대상/NNG+을/JKO
소득계층	소득/NNG+계층/NNG
50%	50/SN+%/SW
이하에서	이하/NNG+에서/JKB
중산층	중산/NNG+층/XSN
전체로	전체/NNG+로/JKB
확대하고	확대/NNG+하/XSV+고/EC
시행시점	시행/NNG+시점/NNG
역시	역시/MAG
2013년	2013/SN+년/NNB
실시에서	실시/NNG+에서/JKB
내년으로	내년/NNG+으로/JKB
바꾸는	바꾸/VV+는/ETM
등	등/NNB
당론을	당론/NNG+을/JKO
계속	계속/MAG
바꿔왔다.	바꾸/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.325.7.1
이런 흐름에 대해서는 박 의원 외에도 우려하는 의원들이 적지 않다.

이런	이런/MMD
흐름에	흐름/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
박	박/NNP
의원	의원/NNG
외에도	외/NNB+에/JKB+도/JX
우려하는	우려/NNG+하/XSV+는/ETM
의원들이	의원/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.325.7.2
경제 관료 출신 강봉균 의원은 "사립대 문제를 건드리지 않고 세금을 넣으면 정당성을 얻기 어렵다"고 했고 또 다른 중진 의원은 "감세 철회를 한다 해도 그것만 가지고 재원 조달이 되겠느냐"고 했다.

경제	경제/NNG
관료	관료/NNG
출신	출신/NNG
강봉균	강봉균/NNP
의원은	의원/NNG+은/JX
"사립대	"/SS+사립대/NNG
문제를	문제/NNG+를/JKO
건드리지	건드리/VV+지/EC
않고	않/VX+고/EC
세금을	세금/NNG+을/JKO
넣으면	넣/VV+으면/EC
정당성을	정당성/NNG+을/JKO
얻기	얻/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했고	하/VV+았/EP+고/EC
또	또/MAG
다른	다른/MMD
중진	중진/NNG
"감세	"/SS+감세/NNG
철회를	철회/NNG+를/JKO
한다	하/VV+ㄴ다/EF
해도	하/VV+아도/EC
그것만	그것/NP+만/JX
가지고	가지/VV+고/EC
재원	재원/NNG
조달이	조달/NNG+이/JKS
되겠느냐"고	되/VV+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.325.8.1
박 의원은 본지 기자와 만나 "당내 원로들 사이에서는 너무 빨리 가는 것 아니냐는 의견이 있다"며 "예산 감당이 안 될 만큼 너무 함부로 할까봐 순서대로 차근차근 가자는 차원에서 말한 것"이라고 했다.

박	박/NNP
의원은	의원/NNG+은/JX
본지	본지/NNG
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
"당내	"/SS+당내/NNG
원로들	원로/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
너무	너무/MAG
빨리	빨리/MAG
가는	가/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의견이	의견/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"예산	"/SS+예산/NNG
감당이	감당/NNG+이/JKC
안	안/MAG
될	되/VV+ㄹ/ETM
만큼	만큼/NNB
함부로	함부로/MAG
할까봐	하/VV+ㄹ까/EF+보/VX+아/EC
순서대로	순서/NNG+대로/JX
차근차근	차근차근/MAG
가자는	가/VV+자는/ETM
차원에서	차원/NNG+에서/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


