# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.133
metadata : {}


# id : NWRW1800000048.133.1.1
오바마-푸틴, 시리아 해법 놓고 유엔총회서 설전

오바마-푸틴,	오바마/NNP+-/SO+푸틴/NNP+,/SP
영국·프랑스·독일은	영국/NNP+·/SP+프랑스/NNP+·/SP+독일/NNP+은/JX
긍정적으로	긍정/NNG+적/XSN+으로/JKB
반응하고	반응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.133.9.5
유럽 국가들은 시리아를 놓고 대립하는 이란과 사우디의 협력이 필수적이라는 이유로, 이 회의 개최를 긍정적으로 평가하고 있다.

유럽	유럽/NNP
국가들은	국가/NNG+들/XSN+은/JX
시리아를	시리아/NNP+를/JKO
놓고	놓/VV+고/EC
대립하는	대립/NNG+하/XSV+는/ETM
이란과	이란/NNP+과/JC
사우디의	사우디/NNP+의/JKG
협력이	협력/NNG+이/JKS
필수적이라는	필수/NNG+적/XSN+이/VCP+라는/ETM
이유로,	이유/NNG+로/JKB+,/SP
이	이/MMD
회의	회의/NNG
개최를	개최/NNG+를/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가하고	평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


