# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.179
metadata : {}


# id : NWRW1800000044.179.1.1
의정부, 국내 첫 ‘컬링 전용경기장’ 세운다

의정부,	의정부/NNP+,/SP
의정부	의정부/NNP
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.179.8.1
의정부가 컬링의 메카가 된 것은 2006년 체육교사 출신인 정영섭(58·현 의정부여중 교감) 국가대표팀 감독이 각 학교에 컬링팀 창설을 적극 권유하면서부터다.

의정부가	의정부/NNP+가/JKS
컬링의	컬링/NNG+의/JKG
메카가	메카/NNG+가/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
2006년	2006/SN+년/NNB
체육교사	체육/NNG+교사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
정영섭(58·현	정영섭/NNP+(/SS+58/SN+·/SP+현/MMD
의정부여중	의정부여중/NNP
교감)	교감/NNG+)/SS
국가대표팀	국가/NNG+대표/NNG+팀/NNG
감독이	감독/NNG+이/JKS
각	각/MMD
학교에	학교/NNG+에/JKB
컬링팀	컬링/NNG+팀/NNG
창설을	창설/NNG+을/JKO
적극	적극/NNG
권유하면서부터다.	권유/NNG+하/XSV+면서/EC+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000044.179.8.2
정 감독은 “컬링이 인성교육에 도움이 된다는 생각에 각 학교에 팀 창단을 권유했다”고 말했다.

정	정/NNP
감독은	감독/NNG+은/JX
“컬링이	“/SS+컬링/NNG+이/JKS
인성교육에	인성/NNG+교육/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
각	각/MMD
학교에	학교/NNG+에/JKB
팀	팀/NNG
창단을	창단/NNG+을/JKO
권유했다”고	권유/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.179.8.3
최종길 의정부시 컬링경기연맹 회장은 “엘리트체육뿐 아니라 생활체육으로도 컬링이 확산될 수 있을 것”이라고 말했다.

최종길	최종길/NNP
의정부시	의정부시/NNP
컬링경기연맹	컬링/NNG+경기/NNG+연맹/NNG
회장은	회장/NNG+은/JX
“엘리트체육뿐	“/SS+엘리트/NNG+체육/NNG+뿐/JX
아니라	아니/VCN+라/EC
생활체육으로도	생활/NNG+체육/NNG+으로/JKB+도/JX
컬링이	컬링/NNG+이/JKS
확산될	확산/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.179.9.1
10일 모교인 의정부여중에서 팬사인회를 연 김지선 선수는 “올림픽 이후 국민들이 스포츠로 알아주고 사랑해줘 감사하게 생각한다”고 했다.

10일	10/SN+일/NNB
모교인	모교/NNG+이/VCP+ㄴ/ETM
의정부여중에서	의정부여중/NNP+에서/JKB
팬사인회를	팬/NNG+사인회/NNG+를/JKO
연	열/VV+ㄴ/ETM
김지선	김지선/NNP
선수는	선수/NNG+는/JX
“올림픽	“/SS+올림픽/NNG
이후	이후/NNG
국민들이	국민/NNG+들/XSN+이/JKS
스포츠로	스포츠/NNG+로/JKB
알아주고	알아주/VV+고/EC
사랑해줘	사랑/NNG+하/XSV+아/EC+주/VX+어/EC
감사하게	감사/NNG+하/XSA+게/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.179.9.2
컬링 대표팀은 캐나다 세계선수권대회에서 또 한번의 신화를 만들기 위해 11일 출국한다.

컬링	컬링/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
캐나다	캐나다/NNP
세계선수권대회에서	세계/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
또	또/MAG
한번의	한/MMN+번/NNB+의/JKG
신화를	신화/NNG+를/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
11일	11/SN+일/NNB
출국한다.	출국/NNG+하/XSV+ㄴ다/EF+./SF


