# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.197
metadata : {}


# id : NWRW1800000030.197.1.1
LG 이번엔 "자유투 미워" KT전 막판 못넣고, 내주고

LG	LG/SL
충격과	충격/NNG+과/JC
상실감이	상실감/NNG+이/JKS
오래간다.	오래가/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.197.5.1
플레이오프 마지노선인 6위에 턱걸이 하고 있는 LG는 충격이 사라지기도 전 27일 KT와 부산에서 마주쳤다.

플레이오프	플레이오프/NNG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
6위에	6/SN+위/NNB+에/JKB
턱걸이	턱걸이/NNG
하고	하/VV+고/EC
있는	있/VX+는/ETM
LG는	LG/SL+는/JX
충격이	충격/NNG+이/JKS
사라지기도	사라지/VV+기/ETN+도/JX
전	전/NNG
27일	27/SN+일/NNB
KT와	KT/SL+와/JKB
부산에서	부산/NNP+에서/JKB
마주쳤다.	마주치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.5.2
이날 역시 막판 집중력 저하로 뼈아픈 역전패를 당했다.

이날	이날/NNG
역시	역시/MAG
막판	막판/NNG
집중력	집중력/NNG
저하로	저하/NNG+로/JKB
뼈아픈	뼈아프/VA+ㄴ/ETM
역전패를	역전패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.197.6.1
3쿼터 2분여를 남기고 54―66까지 끌려가던 LG는 4쿼터 초반 변현수와 문태영의 활약으로 경기를 뒤집었고 종료 1분 3초 전 83―81로 앞섰다.

3쿼터	3/SN+쿼터/NNB
2분여를	2/SN+분/NNB+여/XSN+를/JKO
남기고	남기/VV+고/EC
54―66까지	54/SN+―/SS+66/SN+까지/JX
끌려가던	끌려가/VV+던/ETM
LG는	LG/SL+는/JX
4쿼터	4/SN+쿼터/NNB
초반	초반/NNG
변현수와	변현수/NNP+와/JC
문태영의	문태영/NNP+의/JKG
활약으로	활약/NNG+으로/JKB
경기를	경기/NNG+를/JKO
뒤집었고	뒤집/VV+었/EP+고/EC
종료	종료/NNG
1분	1/SN+분/NNB
3초	3/SN+초/NNB
전	전/NNG
83―81로	83/SN+―/SS+81/SN+로/JKB
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.6.2
하지만 경기 막판 자유투에 발목이 잡혔다.

하지만	하지만/MAJ
경기	경기/NNG
막판	막판/NNG
자유투에	자유투/NNG+에/JKB
발목이	발목/NNG+이/JKS
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.6.3
크리스 알렉산더가 종료 1분3초 전 자유투 2개 중 1개를 실패한 데 이어 49.8초 전에는 문태영이 자유투 2개를 모두 실패했다.

크리스	크리스/NNP
알렉산더가	알렉산더/NNP+가/JKS
종료	종료/NNG
1분3초	1/SN+분/NNB+3/SN+초/NNB
전	전/NNG
자유투	자유투/NNG
2개	2/SN+개/NNB
중	중/NNB
1개를	1/SN+개/NNB+를/JKO
실패한	실패/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
49.8초	49/SN+./SP+8/SN+초/NNB
전에는	전/NNG+에/JKB+는/JX
문태영이	문태영/NNP+이/JKS
2개를	2/SN+개/NNB+를/JKO
모두	모두/MAG
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.197.6.4
결국 LG는 27.9초 전 KT 제스퍼 존슨에게 왼쪽 사이드에서 역전 3점슛을 얻어맞았고 이어 종료 9초 전엔 존슨에게 자유투로 2점을 더 내주며 83대86으로 역전패했다.

결국	결국/MAG
LG는	LG/SL+는/JX
27.9초	27/SN+./SP+9/SN+초/NNB
전	전/NNG
KT	KT/SL
제스퍼	제스퍼/NNP
존슨에게	존슨/NNP+에게/JKB
왼쪽	왼쪽/NNG
사이드에서	사이드/NNG+에서/JKB
역전	역전/NNG
3점슛을	3/SN+점/NNB+슛/NNG+을/JKO
얻어맞았고	얻어맞/VV+았/EP+고/EC
이어	잇/VV+어/EC
종료	종료/NNG
9초	9/SN+초/NNB
전엔	전/NNG+에/JKB+ㄴ/JX
자유투로	자유투/NNG+로/JKB
2점을	2/SN+점/NNB+을/JKO
더	더/MAG
내주며	내주/VV+며/EC
83대86으로	83/SN+대/NNB+86/SN+으로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.197.7.1
LG는 3연패를 당하며 7위 SK에 0.5게임 차로 쫓기게 됐다.

LG는	LG/SL+는/JX
3연패를	3/SN+연패/NNG+를/JKO
당하며	당하/VV+며/EC
7위	7/SN+위/NNB
SK에	SK/SL+에/JKB
0.5게임	0/SN+./SP+5/SN+게임/NNG
차로	차/NNG+로/JKB
쫓기게	쫓기/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.7.2
9위 안양 인삼공사는 8위 울산 모비스를 홈에서 90대85로 꺾고 두 팀 간 승차를 2게임으로 줄였다.

9위	9/SN+위/NNB
안양	안양/NNP
인삼공사는	인삼공사/NNP+는/JX
8위	8/SN+위/NNB
울산	울산/NNP
모비스를	모비스/NNP+를/JKO
홈에서	홈/NNG+에서/JKB
90대85로	90/SN+대/NNB+85/SN+로/JKB
꺾고	꺾/VV+고/EC
두	두/MMN
팀	팀/NNG
간	간/NNB
승차를	승차/NNG+를/JKO
2게임으로	2/SN+게임/NNG+으로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


