# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.217
metadata : {}


# id : NWRW1800000041.217.1.1
[단독]中, 법정관리 STX다롄 한국인 직원 출국금지

[단독]中,	[/SS+단독/NNG+]/SS+中/SH+,/SP
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.217.7.2
미해결된 민사 사건이 있는 경우나 근로자의 임금을 지급하지 않거나 연체한 경우도 출국금지 대상이다.

미해결된	미/XPN+해결/NNG+되/XSV+ㄴ/ETM
민사	민사/NNG
사건이	사건/NNG+이/JKS
있는	있/VA+는/ETM
경우나	경우/NNG+나/JC
근로자의	근로자/NNG+의/JKG
임금을	임금/NNG+을/JKO
지급하지	지급/NNG+하/XSV+지/EC
않거나	않/VX+거나/EC
연체한	연체/NNG+하/XSV+ㄴ/ETM
경우도	경우/NNG+도/JX
출국금지	출국/NNG+금지/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.217.7.3
특히 “관련 사건이 해결되기 전에 당사자는 출국하지 못한다”는 포괄적인 규정도 있다.

특히	특히/MAG
“관련	“/SS+관련/NNG
사건이	사건/NNG+이/JKS
해결되기	해결/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
당사자는	당사자/NNG+는/JX
출국하지	출국/NNG+하/XSV+지/EC
못한다”는	못하/VX+ㄴ다/EF+”/SS+는/ETM
포괄적인	포괄/NNG+적/XSN+이/VCP+ㄴ/ETM
규정도	규정/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.217.8.1
중국법에 정통한 검찰 관계자는 “채권채무 관계에 있는 중국인들이 법원에 요청하는 방법 등으로 중국법원이 직권으로 외국인을 출국금지할 수 있는 제도를 악용하는 사례가 많다”고 전했다.

중국법에	중국/NNP+법/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“채권채무	“/SS+채권/NNG+채무/NNG
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
중국인들이	중국인/NNG+들/XSN+이/JKS
법원에	법원/NNG+에/JKB
요청하는	요청/NNG+하/XSV+는/ETM
방법	방법/NNG
등으로	등/NNB+으로/JKB
중국법원이	중국/NNP+법원/NNG+이/JKS
직권으로	직권/NNG+으로/JKB
외국인을	외국인/NNG+을/JKO
출국금지할	출국/NNG+금지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
제도를	제도/NNG+를/JKO
악용하는	악용/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.217.8.2
지난달 중국 당국이 이틀 사이에 한국인 마약사범 3명의 사형을 집행한 데 이어 파산 등 경제 관련 절차에서의 기업인 출국금지로 한중 간의 외교적 마찰도 예상된다.

지난달	지난달/NNG
중국	중국/NNP
당국이	당국/NNG+이/JKS
이틀	이틀/NNG
사이에	사이/NNG+에/JKB
한국인	한국인/NNG
마약사범	마약/NNG+사범/NNG
3명의	3/SN+명/NNB+의/JKG
사형을	사형/NNG+을/JKO
집행한	집행/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
파산	파산/NNG
등	등/NNB
경제	경제/NNG
관련	관련/NNG
절차에서의	절차/NNG+에서/JKB+의/JKG
기업인	기업인/NNG
출국금지로	출국/NNG+금지/NNG+로/JKB
한중	한중/NNP
간의	간/NNB+의/JKG
외교적	외교/NNG+적/XSN
마찰도	마찰/NNG+도/JX
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


