# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.68
metadata : {}


# id : NWRW1800000026.68.1.1
[밴쿠버 동계올림픽] 초반 '3+3 점프(트리플 러츠+트리플 토루프)'에 달렸다;쇼트 프로그램 관전 포인트 2분50초內 8가지 과제 중 첫 고난도 점프가 절반 차지

[밴쿠버	[/SS+밴쿠버/NNP
실수하면	실수/NNG+하/XSV+면/EC
손실이	손실/NNG+이/JKS
그만큼	그만큼/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000026.68.4.1
김연아는 시니어 데뷔 이후 줄곧 '3회전+3회전'의 첫 점프로 트리플 플립을 구사했는데, 심판들이 지난 시즌 몇 차례 '롱 에지(wrong edge·스케이트 날이 잘못됐다는 것)', '어텐션(attention·점프를 주의 깊게 볼 필요가 있다는 것)' 판정을 내리자 대신 트리플 러츠를 넣었다.

김연아는	김연아/NNP+는/JX
시니어	시니어/NNG
데뷔	데뷔/NNG
이후	이후/NNG
줄곧	줄곧/MAG
'3회전+3회전'의	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS+의/JKG
첫	첫/MMN
점프로	점프/NNG+로/JKB
트리플	트리플/NNG
플립을	플립/NNG+을/JKO
구사했는데,	구사/NNG+하/XSV+았/EP+는데/EC+,/SP
심판들이	심판/NNG+들/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
몇	몇/NR
차례	차례/NNG
'롱	'/SS+롱/NNG
에지(wrong	에지/NNG+(/SS+wrong/SL
edge·스케이트	edge/SL+·/SP+스케이트/NNG
날이	날/NNG+이/JKS
잘못됐다는	잘못/MAG+되/XSV+었/EP+다는/ETM
것)',	것/NNB+)/SS+'/SS+,/SP
'어텐션(attention·점프를	'/SS+어텐션/NNG+(/SS+attention/SL+·/SP+점프/NNG+를/JKO
주의	주의/NNG
깊게	깊/VA+게/EC
볼	보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
것)'	것/NNB+)/SS+'/SS
판정을	판정/NNG+을/JKO
내리자	내리/VV+자/EC
대신	대신/NNG
러츠를	러츠/NNG+를/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.68.5.1
김연아가 초반 '3회전+3회전' 점프에 성공하면 어느 정도 안심해도 좋다.

김연아가	김연아/NNP+가/JKS
초반	초반/NNG
'3회전+3회전'	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS
점프에	점프/NNG+에/JKB
성공하면	성공/NNG+하/XSV+면/EC
어느	어느/MMD
정도	정도/NNG
안심해도	안심/NNG+하/XSV+아도/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000026.68.5.2
일본의 아사다 마오는 '3회전+3회전'이 약해 '트리플 악셀+더블 토루프(기본점수 9.5점)'를 내세운다.

일본의	일본/NNP+의/JKG
아사다	아사다/NNP
마오는	마오/NNP+는/JX
'3회전+3회전'이	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS+이/JKS
약해	약하/VA+아/EC
'트리플	'/SS+트리플/NNG
악셀+더블	악셀/NNG++/SW+더블/NNG
토루프(기본점수	토루프/NNG+(/SS+기본/NNG+점수/NNG
9.5점)'를	9/SN+./SP+5/SN+점/NNB+)/SS+'/SS+를/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.5.3
김연아는 22~23일 밴쿠버 콜리시엄에서 훈련할 때 교과서적인 연속 점프를 선보였다.

김연아는	김연아/NNP+는/JX
22~23일	22/SN+~/SO+23/SN+일/NNB
밴쿠버	밴쿠버/NNP
콜리시엄에서	콜리시엄/NNP+에서/JKB
훈련할	훈련/NNG+하/XSV+ㄹ/ETM
때	때/NNG
교과서적인	교과서/NNG+적/XSN+이/VCP+ㄴ/ETM
연속	연속/NNG
점프를	점프/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.68.5.4
단독 트리플 플립이나 더블 악셀 점프도 좋았다.

단독	단독/NNG
트리플	트리플/NNG
플립이나	플립/NNG+이나/JC
더블	더블/NNG
악셀	악셀/NNG
점프도	점프/NNG+도/JX
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.68.6.1
김연아가 점프 외에 레이백·플라잉 싯·콤비네이션 스핀 등 점프 세 가지와 한 다리를 들고 활주하는 스파이럴 등 나머지 연기에선 실수할 여지가 적다.

김연아가	김연아/NNP+가/JKS
점프	점프/NNG
외에	외/NNB+에/JKB
레이백·플라잉	레이백/NNG+·/SP+플라잉/NNG
싯·콤비네이션	싯/NNG+·/SP+콤비네이션/NNG
스핀	스핀/NNG
등	등/NNB
세	세/MMN
가지와	가지/NNB+와/JC
한	한/MMN
다리를	다리/NNG+를/JKO
들고	들/VV+고/EC
활주하는	활주/NNG+하/XSV+는/ETM
스파이럴	스파이럴/NNG
나머지	나머지/NNG
연기에선	연기/NNG+에서/JKB+ㄴ/JX
실수할	실수/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
적다.	적/VA+다/EF+./SF


# id : NWRW1800000026.68.6.2
대신 최고 레벨인 4레벨을 받느냐가 관심이다.

대신	대신/NNG
최고	최고/NNG
레벨인	레벨/NNG+이/VCP+ㄴ/ETM
4레벨을	4/SN+레벨/NNG+을/JKO
받느냐가	받/VV+느냐/EF+가/JKS
관심이다.	관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.68.7.1
하지만 점프에서 넘어지거나, 회전수 부족 판정을 받으면 불안해진다.

하지만	하지만/MAJ
점프에서	점프/NNG+에서/JKB
넘어지거나,	넘어지/VV+거나/EC+,/SP
회전수	회전수/NNG
부족	부족/NNG
판정을	판정/NNG+을/JKO
받으면	받/VV+으면/EC
불안해진다.	불안/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.68.7.2
김연아는 작년 12월 그랑프리 파이널 쇼트 프로그램에서 '3회전+3회전'의 두 번째 토루프 점프가 회전 부족이라는 판정을 받았고, 트리플 플립은 싱글 플립으로 낮춰 처리하면서 점수를 많이 깎였다.

김연아는	김연아/NNP+는/JX
작년	작년/NNG
12월	12/SN+월/NNB
그랑프리	그랑프리/NNG
파이널	파이널/NNG
쇼트	쇼트/NNG
프로그램에서	프로그램/NNG+에서/JKB
'3회전+3회전'의	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
토루프	토루프/NNG
점프가	점프/NNG+가/JKS
회전	회전/NNG
부족이라는	부족/NNG+이/VCP+라는/ETM
판정을	판정/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
트리플	트리플/NNG
플립은	플립/NNG+은/JX
싱글	싱글/NNG
플립으로	플립/NNG+으로/JKB
낮춰	낮추/VV+어/EC
처리하면서	처리/NNG+하/XSV+면서/EC
점수를	점수/NNG+를/JKO
많이	많이/MAG
깎였다.	깎이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.68.7.3
당시 거의 실수를 하지 않은 일본의 안도 미키에게 0.5점쯤 뒤졌다.

당시	당시/NNG
거의	거의/MAG
실수를	실수/NNG+를/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
일본의	일본/NNP+의/JKG
안도	안도/NNP
미키에게	미키/NNP+에게/JKB
0.5점쯤	0/SN+./SP+5/SN+점/NNB+쯤/XSN
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.68.8.1
채점은 기술 점수(TES)와 프로그램 구성 점수(PCS)를 더하는 방식.

채점은	채점/NNG+은/JX
기술	기술/NNG
점수(TES)와	점수/NNG+(/SS+TES/SL+)/SS+와/JC
프로그램	프로그램/NNG
구성	구성/NNG
점수(PCS)를	점수/NNG+(/SS+PCS/SL+)/SS+를/JKO
더하는	더/MAG+하/XSV+는/ETM
방식.	방식/NNG+./SF


# id : NWRW1800000026.68.8.2
심판진은 '테크니컬 패널(technical panel)'과 '심판(judge)'으로 나뉜다.

심판진은	심판진/NNG+은/JX
'테크니컬	'/SS+테크니컬/NNG
패널(technical	패널/NNG+(/SS+technical/SL
panel)'과	panel/SL+)/SS+'/SS+과/JC
'심판(judge)'으로	'/SS+심판/NNG+(/SS+judge/SL+)/SS+'/SS+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.8.3
테크니컬 패널은 선수들의 기술을 확인해 그에 맞는 기본 점수를 준다.

테크니컬	테크니컬/NNG
패널은	패널/NNG+은/JX
선수들의	선수/NNG+들/XSN+의/JKG
기술을	기술/NNG+을/JKO
확인해	확인/NNG+하/XSV+아/EC
그에	그/NP+에/JKB
맞는	맞/VV+는/ETM
기본	기본/NNG
점수를	점수/NNG+를/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.8.4
심판은 각 기술 요소의 GOE(수행평가점수)를 매긴다.

심판은	심판/NNG+은/JX
각	각/MMD
기술	기술/NNG
요소의	요소/NNG+의/JKG
GOE(수행평가점수)를	GOE/SL+(/SS+수행/NNG+평가/NNG+점수/NNG+)/SS+를/JKO
매긴다.	매기/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.8.5
기술의 완성도에 따라 -3점~+3점까지 줄 수 있다.

기술의	기술/NNG+의/JKG
완성도에	완성도/NNG+에/JKB
따라	따르/VV+아/EC
-3점~+3점까지	-/SO+3/SN+점/NNB+~/SO++/SW+3/SN+점/NNB+까지/JX
줄	주/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.68.8.6
기초점에 GOE를 더한 것이 기술점수(TES)다.

기초점에	기초/NNG+점/NNB+에/JKB
GOE를	GOE/SL+를/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
기술점수(TES)다.	기술/NNG+점수/NNG+(/SS+TES/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.68.8.7
심판들은 프로그램 구성점수(PCS)도 준다.

심판들은	심판/NNG+들/XSN+은/JX
프로그램	프로그램/NNG
구성점수(PCS)도	구성/NNG+점수/NNG+(/SS+PCS/SL+)/SS+도/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.8.8
스케이팅 기술·연결 동작·연기·안무·해석 등 5가지 항목을 평가한다.

스케이팅	스케이팅/NNG
기술·연결	기술/NNG+·/SP+연결/NNG
동작·연기·안무·해석	동작/NNG+·/SP+연기/NNG+·/SP+안무/NNG+·/SP+해석/NNG
등	등/NNB
5가지	5/SN+가지/NNB
항목을	항목/NNG+을/JKO
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.8.9
김연아는 표현력과 예술성이 뛰어나 PCS 부문에선 언제나 경쟁자들보다 우위에 있다.

김연아는	김연아/NNP+는/JX
표현력과	표현력/NNG+과/JC
예술성이	예술/NNG+성/XSN+이/JKS
뛰어나	뛰어나/VA+아/EC
PCS	PCS/SL
부문에선	부문/NNG+에서/JKB+ㄴ/JX
언제나	언제나/MAG
경쟁자들보다	경쟁자/NNG+들/XSN+보다/JKB
우위에	우위/NNG+에/JKB
있다.	있/VA+다/EF+./SF


