# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.87
metadata : {}


# id : NWRW1800000038.87.1.1
[동인문학상] '마지막 티켓' 주인공… 이응준·강영숙·조해진

[동인문학상]	[/SS+동인/NNP+문학상/NNG+]/SS
퍼즐	퍼즐/NNG
조각이나	조각/NNG+이나/JC
모자이크처럼	모자이크/NNG+처럼/JKB
서로	서로/MAG
겹치거나	겹치/VV+거나/EC
충돌하며	충돌/NNG+하/XSV+며/EC
유기적으로	유기/NNG+적/XSN+으로/JKB
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.87.5.3
사랑의 상처 가득한 주인공들은 모두 가혹한 밤을 보내지만, 그렇다고 상처에서 도망치지도 않고 함몰되지도 않는다.

사랑의	사랑/NNG+의/JKG
상처	상처/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
주인공들은	주인공/NNG+들/XSN+은/JX
모두	모두/MAG
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
밤을	밤/NNG+을/JKO
보내지만,	보내/VV+지만/EC+,/SP
그렇다고	그렇/VA+다고/EC
상처에서	상처/NNG+에서/JKB
도망치지도	도망치/VV+지/EC+도/JX
않고	않/VX+고/EC
함몰되지도	함몰/NNG+되/XSV+지/EC+도/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.87.5.4
한 심사위원은 "사랑과 상처로 인간을 통찰하는 이응준 특유의 문학주의가 매력적인 작품"이라면서 "각각의 작품들이 연관 없는 척하면서도 잘 연결되어 있다"고 호평했다.

한	한/MMN
심사위원은	심사/NNG+위원/NNG+은/JX
"사랑과	"/SS+사랑/NNG+과/JC
상처로	상처/NNG+로/JKB
인간을	인간/NNG+을/JKO
통찰하는	통찰/NNG+하/XSV+는/ETM
이응준	이응준/NNP
특유의	특유/NNG+의/JKG
문학주의가	문학주의/NNG+가/JKS
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
작품"이라면서	작품/NNG+"/SS+이/VCP+라면서/EC
"각각의	"/SS+각각/NNG+의/JKG
작품들이	작품/NNG+들/XSN+이/JKS
연관	연관/NNG
없는	없/VA+는/ETM
척하면서도	척/NNB+하/XSV+면서/EC+도/JX
잘	잘/MAG
연결되어	연결/NNG+되/XSV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
호평했다.	호평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.6.1
강영숙(46)의 '슬프고 유쾌한 텔레토비 소녀'는 미국 유학파 간부사원이지만 내면은 소년처럼 미숙한 36세 남자와 거리를 떠돌며 외로움과 막막함을 견디던 17세 가출소녀의 사랑이야기.

강영숙(46)의	강영숙/NNP+(/SS+46/SN+)/SS+의/JKG
'슬프고	'/SS+슬프/VA+고/EC
유쾌한	유쾌/NNG+하/XSA+ㄴ/ETM
텔레토비	텔레토비/NNP
소녀'는	소녀/NNG+'/SS+는/JX
미국	미국/NNP
유학파	유학파/NNG
간부사원이지만	간부/NNG+사원/NNG+이/VCP+지만/EC
내면은	내면/NNG+은/JX
소년처럼	소년/NNG+처럼/JKB
미숙한	미숙/NNG+하/XSA+ㄴ/ETM
36세	36/SN+세/NNB
남자와	남자/NNG+와/JKB
거리를	거리/NNG+를/JKO
떠돌며	떠돌/VV+며/EC
외로움과	외로움/NNG+과/JC
막막함을	막막하/VA+ㅁ/ETN+을/JKO
견디던	견디/VV+던/ETM
17세	17/SN+세/NNB
가출소녀의	가출/NNG+소녀/NNG+의/JKG
사랑이야기.	사랑/NNG+이야기/NNG+./SF


# id : NWRW1800000038.87.6.2
한국일보 문학상, 김유정 문학상 등을 받은 강영숙(46)의 세 번째 장편이다.

한국일보	한국일보/NNP
문학상,	문학상/NNG+,/SP
김유정	김유정/NNP
문학상	문학상/NNG
등을	등/NNB+을/JKO
받은	받/VV+은/ETM
강영숙(46)의	강영숙/NNP+(/SS+46/SN+)/SS+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
장편이다.	장편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.87.6.3
한 심사위원은 "낭만은 없다"로 이 작품의 주제를 요약했다.

한	한/MMN
심사위원은	심사/NNG+위원/NNG+은/JX
"낭만은	"/SS+낭만/NNG+은/JX
없다"로	없/VA+다/EF+"/SS+로/JKB
이	이/MMD
작품의	작품/NNG+의/JKG
주제를	주제/NNG+를/JKO
요약했다.	요약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.6.4
소녀는 인형을 좋아하지만, 현실은 인형의 삶처럼 될 수 없다는 것.

소녀는	소녀/NNG+는/JX
인형을	인형/NNG+을/JKO
좋아하지만,	좋아하/VV+지만/EC+,/SP
현실은	현실/NNG+은/JX
인형의	인형/NNG+의/JKG
삶처럼	삶/NNG+처럼/JKB
될	되/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000038.87.6.5
결국 잔인한 파국이 기다리고 있다는 깨달음이다.

결국	결국/MAG
잔인한	잔인/NNG+하/XSA+ㄴ/ETM
파국이	파국/NNG+이/JKS
기다리고	기다리/VV+고/EC
있다는	있/VX+다는/ETM
깨달음이다.	깨달음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.87.6.6
심사위원들은 이 작가의 군더더기 없는 문장과 한여름밤의 열기처럼 뜨거운 에너지를 격찬했지만, 외부의 우연성을 끌어들여 사건을 해결하려는 몇몇 구성에 대해서는 의견이 엇갈렸다.

심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
이	이/NNP
작가의	작가/NNG+의/JKG
군더더기	군더더기/NNG
없는	없/VA+는/ETM
문장과	문장/NNG+과/JC
한여름밤의	한/XPN+여름/NNG+밤/NNG+의/JKG
열기처럼	열기/NNG+처럼/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
에너지를	에너지/NNG+를/JKO
격찬했지만,	격찬/NNG+하/XSV+았/EP+지만/EC+,/SP
외부의	외부/NNG+의/JKG
우연성을	우연성/NNG+을/JKO
끌어들여	끌어들이/VV+어/EC
사건을	사건/NNG+을/JKO
해결하려는	해결/NNG+하/XSV+려는/ETM
몇몇	몇몇/NR
구성에	구성/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
의견이	의견/NNG+이/JKS
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.87.7.1
조해진(37) 장편 '아무도 보지 못한 숲'은 지난달 신동엽문학상을 받은 작가의 세 번째 장편.

조해진(37)	조해진/NNP+(/SS+37/SN+)/SS
장편	장편/NNG
'아무도	'/SS+아무/NP+도/JX
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
숲'은	숲/NNG+'/SS+은/JX
지난달	지난달/NNG
신동엽문학상을	신동엽/NNP+문학상/NNG+을/JKO
받은	받/VV+은/ETM
작가의	작가/NNG+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
장편.	장편/NNG+./SF


# id : NWRW1800000038.87.7.2
유령이 되어버린 소년의 성장기다.

유령이	유령/NNG+이/JKC
되어버린	되/VV+어/EC+버리/VX+ㄴ/ETM
소년의	소년/NNG+의/JKG
성장기다.	성장기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.87.7.3
엄청난 빚을 지고 도망간 엄마.

엄청난	엄청나/VA+ㄴ/ETM
빚을	빚/NNG+을/JKO
지고	지/VV+고/EC
도망간	도망가/VV+ㄴ/ETM
엄마.	엄마/NNG+./SF


# id : NWRW1800000038.87.7.4
사채업자는 마침 K시의 기차역에서 일어난 가스폭발사고 희생자로 소년을 처리하고, 보상금을 가로챈다.

사채업자는	사채업자/NNG+는/JX
마침	마침/MAG
K시의	K/SL+시/NNG+의/JKG
기차역에서	기차역/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
가스폭발사고	가스/NNG+폭발/NNG+사고/NNG
희생자로	희생자/NNG+로/JKB
소년을	소년/NNG+을/JKO
처리하고,	처리/NNG+하/XSV+고/EC+,/SP
보상금을	보상금/NNG+을/JKO
가로챈다.	가로채/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.87.7.5
이제 유령이 되어버린 소년은 '조직'에서 성장하며 자신이 죽은 줄 알고 있는 누나에게 다가간다.

이제	이제/MAG
유령이	유령/NNG+이/JKC
되어버린	되/VV+어/EC+버리/VX+ㄴ/ETM
소년은	소년/NNG+은/JX
'조직'에서	'/SS+조직/NNG+'/SS+에서/JKB
성장하며	성장/NNG+하/XSV+며/EC
자신이	자신/NNG+이/JKS
죽은	죽/VV+은/ETM
줄	줄/NNB
알고	알/VV+고/EC
있는	있/VX+는/ETM
누나에게	누나/NNG+에게/JKB
다가간다.	다가가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.87.7.6
심사위원들은 이 작가의 따뜻하고 깊이 있는 시선과 문체를 지지하면서, "작품 속의 환상은 현실을 은폐하는 힘이자 동시에 현실을 회복시키는 힘으로 작용한다"고 평했다.

심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
이	이/NNP
작가의	작가/NNG+의/JKG
따뜻하고	따뜻하/VA+고/EC
깊이	깊이/MAG
있는	있/VA+는/ETM
시선과	시선/NNG+과/JKB
문체를	문체/NNG+를/JKO
지지하면서,	지지/NNG+하/XSV+면서/EC+,/SP
"작품	"/SS+작품/NNG
속의	속/NNG+의/JKG
환상은	환상/NNG+은/JX
현실을	현실/NNG+을/JKO
은폐하는	은폐/NNG+하/XSV+는/ETM
힘이자	힘/NNG+이/VCP+자/EC
동시에	동시/NNG+에/JKB
회복시키는	회복/NNG+시키/XSV+는/ETM
힘으로	힘/NNG+으로/JKB
작용한다"고	작용/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.8.1
이번 월간 독회에는 유난히 검토 대상작이 많았다.

이번	이번/NNG
월간	월간/NNG
독회에는	독회/NNG+에/JKB+는/JX
유난히	유난히/MAG
검토	검토/NNG
대상작이	대상작/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.87.8.2
천운영 소설집 '엄마도 아시다시피', 정이현 장편 '안녕, 내 모든 것', 송은일 장편 '매구 할매', 배명훈 장편 '청혼', 조용호 소설집 '떠다니네', 염승숙 장편 '어떤 나라는 너무 크다' 등을 꼼꼼하게 검토했다.

천운영	천운영/NNP
소설집	소설집/NNG
'엄마도	'/SS+엄마/NNG+도/JX
아시다시피',	알/VV+시/EP+다시피/EC+'/SS+,/SP
정이현	정이현/NNP
장편	장편/NNG
'안녕,	'/SS+안녕/IC+,/SP
내	나/NP+의/JKG
모든	모든/MMN
것',	것/NNB+'/SS+,/SP
송은일	송은일/NNP
'매구	'/SS+매구/NNG
할매',	할매/NNG+'/SS+,/SP
배명훈	배명훈/NNP
'청혼',	'/SS+청혼/NNP+'/SS+,/SP
조용호	조용호/NNP
'떠다니네',	'/SS+떠다니/VV+네/EF+'/SS+,/SP
염승숙	염승숙/NNP
'어떤	'/SS+어떤/MMD
나라는	나라/NNG+는/JX
너무	너무/MAG
크다'	크/VA+다/EF+'/SS
등을	등/NNB+을/JKO
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
검토했다.	검토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.8.3
하지만 작가가 지나치게 손쉽게 타협한 결말을 맺거나, 정서적 풍요에 비해 사유의 여지가 빈약하고, 작가의 전작보다 태작(?作)이라는 점 등을 이유로 다음 작품을 기대해보기로 했다.

하지만	하지만/MAJ
작가가	작가/NNG+가/JKS
지나치게	지나치/VA+게/EC
손쉽게	손쉽/VA+게/EC
타협한	타협/NNG+하/XSV+ㄴ/ETM
결말을	결말/NNG+을/JKO
맺거나,	맺/VV+거나/EC+,/SP
정서적	정서/NNG+적/XSN
풍요에	풍요/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
사유의	사유/NNG+의/JKG
여지가	여지/NNB+가/JKS
빈약하고,	빈약/NNG+하/XSA+고/EC+,/SP
작가의	작가/NNG+의/JKG
전작보다	전작/NNG+보다/JKB
태작(?作)이라는	태작/NNG+(/SS+?/NA+作/SH+)/SS+이/VCP+라는/ETM
점	점/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
다음	다음/NNG
작품을	작품/NNG+을/JKO
기대해보기로	기대/NNG+하/XSV+아/EC+보/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.9.1
최종심 후보 독회와 함께 심사위원들은 지난 1년간의 한국문학을 우려와 함께 정리했다.

최종심	최종심/NNG
후보	후보/NNG
독회와	독회/NNG+와/JKB
함께	함께/MAG
심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
1년간의	1/SN+년/NNB+간/XSN+의/JKG
한국문학을	한국/NNP+문학/NNG+을/JKO
우려와	우려/NNG+와/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.9.2
"발표 작품은 몇년째 '공급 과잉'이라 부를 만큼 많지만, 독자를 충분히 감동시킬 소설은 적었다"는 것이다.

"발표	"/SS+발표/NNG
작품은	작품/NNG+은/JX
몇년째	몇/NR+년/NNB+째/XSN
'공급	'/SS+공급/NNG
과잉'이라	과잉/NNG+'/SS+이/VCP+라/EC
부를	부르/VV+ㄹ/ETM
만큼	만큼/NNB
많지만,	많/VA+지만/EC+,/SP
독자를	독자/NNG+를/JKO
충분히	충분히/MAG
감동시킬	감동/NNG+시키/XSV+ㄹ/ETM
소설은	소설/NNG+은/JX
적었다"는	적/VA+었/EP+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.87.9.3
또 일부 젊은 작가가 내면에서 무르익을 시간을 갖기 전에 작품을 발표하는 것은 아닌지 비판했다.

또	또/MAG
일부	일부/NNG
젊은	젊/VA+은/ETM
작가가	작가/NNG+가/JKS
내면에서	내면/NNG+에서/JKB
무르익을	무르익/VV+을/ETM
시간을	시간/NNG+을/JKO
갖기	갖/VV+기/ETN
전에	전/NNG+에/JKB
작품을	작품/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아닌지	아니/VCN+ㄴ지/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.9.4
장편의 서사적 골격이 매우 약하다는 것이다.

장편의	장편/NNG+의/JKG
서사적	서사/NNG+적/XSN
골격이	골격/NNG+이/JKS
매우	매우/MAG
약하다는	약하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.87.9.5
심사위원들은 "장편의 결말을 판타지로 처리하거나 지나친 비약으로 마무리하고 있다"면서 "마치 그것을 새로운 미학이나 되는 양 오해하고 있는 것은 아닌지 우려스럽다"고 했다.

심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
"장편의	"/SS+장편/NNG+의/JKG
결말을	결말/NNG+을/JKO
판타지로	판타지/NNG+로/JKB
처리하거나	처리/NNG+하/XSV+거나/EC
지나친	지나치/VA+ㄴ/ETM
비약으로	비약/NNG+으로/JKB
마무리하고	마무리/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"마치	"/SS+마치/MAG
그것을	그것/NP+을/JKO
새로운	새롭/VA+ㄴ/ETM
미학이나	미학/NNG+이나/JX
되는	되/VV+는/ETM
양	양/NNB
오해하고	오해/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아닌지	아니/VCN+ㄴ지/EC
우려스럽다"고	우려/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.87.10.1
심사위원회는 이 22편 중에서 최종심 본선 후보 4~5편을 선택하는 독회를 한 차례 더 가진 뒤 10월 초에 열리는 최종심에서 수상작을 확정해 발표한다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
이	이/MMD
22편	22/SN+편/NNB
중에서	중/NNB+에서/JKB
최종심	최종심/NNG
본선	본선/NNG
후보	후보/NNG
4~5편을	4/SN+~/SO+5/SN+편/NNB+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
독회를	독회/NNG+를/JKO
한	한/MMN
차례	차례/NNG
더	더/MAG
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
10월	10/SN+월/NNB
초에	초/NNB+에/JKB
열리는	열리/VV+는/ETM
최종심에서	최종심/NNG+에서/JKB
수상작을	수상작/NNG+을/JKO
확정해	확정/NNG+하/XSV+아/EC
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.87.10.2
동인문학상은 전년도 8월 1일부터 당년 7월 31일까지 출간된 소설집과 장편이 심사 대상이다.

동인문학상은	동인/NNP+문학상/NNG+은/JX
전년도	전년도/NNG
8월	8/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
당년	당년/NNG
7월	7/SN+월/NNB
31일까지	31/SN+일/NNB+까지/JX
출간된	출간/NNG+되/XSV+ㄴ/ETM
소설집과	소설집/NNG+과/JC
장편이	장편/NNG+이/JKS
심사	심사/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


