# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.97
metadata : {}


# id : NWRW1800000045.97.1.1
[와!글]김구라 결국 이혼… “아내 빚은 끝까지 책임”

[와!글]김구라	[/SS+와/IC+!/SF+글/NNG+]/SS+김구라/NNP
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.97.4.2
마지막으로 그는 “(아내의) 채무는 끝까지 책임지겠다”고 했다.

마지막으로	마지막/NNG+으로/JKB
그는	그/NP+는/JX
“(아내의)	“/SS+(/SS+아내/NNG+의/JKG+)/SS
채무는	채무/NNG+는/JX
끝까지	끝/NNG+까지/JX
책임지겠다”고	책임지/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.97.5.1
김구라가 이혼을 결정하게 된 배경에는 부인의 빚 문제가 큰 것으로 알려졌다.

김구라가	김구라/NNP+가/JKS
이혼을	이혼/NNG+을/JKO
결정하게	결정/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
배경에는	배경/NNG+에/JKB+는/JX
부인의	부인/NNG+의/JKG
빚	빚/NNG
문제가	문제/NNG+가/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.97.5.2
그는 지난해 4월 SBS ‘힐링캠프’에 출연해 “아내에게 빚이 있다는 것을 알게 됐다”며 “(나중) 17억 원으로 불었다는 이야기를 들었을 때 망치로 한 대 얻어맞은 기분이었다”고 말했다.

그는	그/NP+는/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
SBS	SBS/SL
‘힐링캠프’에	‘/SS+힐링캠프/NNG+’/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“아내에게	“/SS+아내/NNG+에게/JKB
빚이	빚/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알게	알/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“(나중)	“/SS+(/SS+나중/NNG+)/SS
17억	17/SN+억/NR
원으로	원/NNB+으로/JKB
불었다는	불/VV+었/EP+다는/ETM
이야기를	이야기/NNG+를/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
망치로	망치/NNG+로/JKB
한	한/MMN
대	대/NNB
얻어맞은	얻어맞/VV+은/ETM
기분이었다”고	기분/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.97.5.3
이후 각종 프로에서 자신의 가정사를 스스럼없이 얘기했고 작년 말 공황장애를 호소하며 병원에 입원했다.

이후	이후/NNG
각종	각종/NNG
프로에서	프로/NNG+에서/JKB
자신의	자신/NNG+의/JKG
가정사를	가정사/NNG+를/JKO
스스럼없이	스스럼없이/MAG
얘기했고	얘기/NNG+하/XSV+았/EP+고/EC
작년	작년/NNG
말	말/NNB
공황장애를	공황/NNG+장애/NNG+를/JKO
호소하며	호소/NNG+하/XSV+며/EC
병원에	병원/NNG+에/JKB
입원했다.	입원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.97.6.1
이에 대해 온라인에는 그의 결정을 존중하는 글들이 적지 않았다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
온라인에는	온라인/NNG+에/JKB+는/JX
그의	그/NP+의/JKG
결정을	결정/NNG+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
글들이	글/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.97.6.2
한 누리꾼은 “이혼 기사에 잘했다는 댓글이 많은 건 처음 본다”라고, 다른 누리꾼은 “이제 ‘라디오스타’에서 김국진 이혼했다고 놀리지 못하겠네”라고 말했다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“이혼	“/SS+이혼/NNG
기사에	기사/NNG+에/JKB
잘했다는	잘/MAG+하/XSV+았/EP+다는/ETM
댓글이	댓글/NNG+이/JKS
많은	많/VA+은/ETM
건	거/NNB+ㄴ/JX
처음	처음/NNG
본다”라고,	보/VV+ㄴ다/EF+”/SS+라고/JKQ+,/SP
다른	다른/MMD
“이제	“/SS+이제/MAG
‘라디오스타’에서	‘/SS+라디오/NNG+스타/NNG+’/SS+에서/JKB
김국진	김국진/NNP
이혼했다고	이혼/NNG+하/XSV+았/EP+다고/EC
놀리지	놀리/VV+지/EC
못하겠네”라고	못하/VX+겠/EP+네/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


