# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.304
metadata : {}


# id : NWRW1800000049.304.1.1
5·18묘지 무릎꿇은 김종인에 “왜 왔나”… 봉하마을선 “힘내라”

5·18묘지	5/SN+·/SP+18/SN+묘지/NNG
대해서도	대하/VV+아서/EC+도/JX
“마치	“/SS+마치/MAG
자신이	자신/NNG+이/JKS
저작권자처럼	저작권자/NNG+처럼/JKB
얘기하지만	얘기/NNG+하/XSV+지만/EC
사실이	사실/NNG+이/JKC
아니다”며	아니/VCN+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
민정당에서	민정당/NNP+에서/JKB
강력하게	강력/NNG+하/XSA+게/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
남재희	남재희/NNP
정책위의장이었다”고	정책위/NNG+의장/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.9.2
김 위원장은 “남 전 의장은 경제민주화 조항이 ‘김종인 조항’이라고 여러 차례 기고문까지 쓴 적이 있다”고 일축했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
“남	“/SS+남/NNP
전	전/MMD
의장은	의장/NNG+은/JX
경제민주화	경제/NNG+민주/NNG+화/XSN
조항이	조항/NNG+이/JKS
‘김종인	‘/SS+김종인/NNP
조항’이라고	조항/NNG+’/SS+이라고/JKQ
여러	여러/MMN
차례	차례/NNG
기고문까지	기고문/NNG+까지/JX
쓴	쓰/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.10.1
○ 김종인 강경 모드는 내부용?

○	○/SW
김종인	김종인/NNP
강경	강경/NNG
모드는	모드/NNG+는/JX
내부용?	내부/NNG+용/XSN+?/SF


# id : NWRW1800000049.304.11.1
새누리당은 원샷법 처리 무산 직후 “김종인 체제 이후 더민주당이 더 운동권식 투쟁을 일삼는다”고 반발했다.

새누리당은	새누리당/NNP+은/JX
원샷법	원샷법/NNG
처리	처리/NNG
무산	무산/NNG
직후	직후/NNG
“김종인	“/SS+김종인/NNP
체제	체제/NNG
이후	이후/NNG
더민주당이	더민주당/NNP+이/JKS
더	더/MAG
운동권식	운동권식/NNG
투쟁을	투쟁/NNG+을/JKO
일삼는다”고	일삼/VV+는다/EF+”/SS+고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.11.2
김 위원장도 이날 광주에서 “포용적 경제 체제를 목표로 걸고 더 많은 민주화를 추구하는 정당으로 다시 태어나야 한다”며 당 정체성 확립을 강조했다.

김	김/NNP
위원장도	위원장/NNG+도/JX
이날	이날/NNG
광주에서	광주/NNP+에서/JKB
“포용적	“/SS+포용/NNG+적/XSN
경제	경제/NNG
체제를	체제/NNG+를/JKO
목표로	목표/NNG+로/JKB
걸고	걸/VV+고/EC
더	더/MAG
많은	많/VA+은/ETM
민주화를	민주/NNG+화/XSN+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
정당으로	정당/NNG+으로/JKB
다시	다시/MAG
태어나야	태어나/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
당	당/NNG
정체성	정체/NNG+성/XSN
확립을	확립/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.11.3
당 일각의 강경한 목소리에 힘을 실어주는 듯한 태도를 보였다.

당	당/NNG
일각의	일각/NNG+의/JKG
강경한	강경/NNG+하/XSA+ㄴ/ETM
목소리에	목소리/NNG+에/JKB
힘을	힘/NNG+을/JKO
실어주는	싣/VV+어/EC+주/VX+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.304.11.4
비대위 출범 직후 이승만 박정희 전 대통령 묘역을 참배하며 ‘우(右)클릭’ 행보를 했던 것과는 차이가 있다.

비대위	비대위/NNG
출범	출범/NNG
직후	직후/NNG
이승만	이승만/NNP
박정희	박정희/NNP
전	전/MMD
대통령	대통령/NNG
묘역을	묘역/NNG+을/JKO
참배하며	참배/NNG+하/XSV+며/EC
‘우(右)클릭’	‘/SS+우/NNG+(/SS+右/SH+)/SS+클릭/NNG+’/SS
행보를	행보/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
것과는	것/NNB+과/JKB+는/JX
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.304.11.5
김 위원장이 여당과 이미 합의한 ‘원샷법’ 처리에는 반대하지 않는다고 밝혔지만 법안 내용 자체는 문제가 있다는 인식을 갖고 있다는 게 당 관계자의 설명이다.

김	김/NNP
위원장이	위원장/NNG+이/JKS
여당과	여당/NNG+과/JKB
이미	이미/MAG
합의한	합의/NNG+하/XSV+ㄴ/ETM
‘원샷법’	‘/SS+원샷법/NNG+’/SS
처리에는	처리/NNG+에/JKB+는/JX
반대하지	반대/NNG+하/XSV+지/EC
않는다고	않/VX+는다고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
법안	법안/NNG
내용	내용/NNG
자체는	자체/NNG+는/JX
문제가	문제/NNG+가/JKS
있다는	있/VX+다는/ETM
인식을	인식/NNG+을/JKO
갖고	갖/VV+고/EC
게	거/NNB+이/JKS
당	당/NNG
관계자의	관계자/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.304.11.6
일각에선 자신이 주장해온 ‘경제민주화’라는 프레임을 지키는 한편 ‘우클릭’ 행보에 대한 당 내부 반발을 의식한 것 아니냐는 지적이 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
자신이	자신/NNG+이/JKS
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘경제민주화’라는	‘/SS+경제/NNG+민주/NNG+화/XSN+’/SS+이/VCP+라는/ETM
프레임을	프레임/NNG+을/JKO
지키는	지키/VV+는/ETM
한편	한편/NNG
‘우클릭’	‘/SS+우클릭/NNG+’/SS
행보에	행보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
당	당/NNG
내부	내부/NNG
반발을	반발/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.304.12.1
외부의 거센 비판에도 당내 주류 비주류 모두 일단 김 위원장에게 힘을 실어주자는 태도다.

외부의	외부/NNG+의/JKG
거센	거세/VA+ㄴ/ETM
비판에도	비판/NNG+에/JKB+도/JX
당내	당내/NNG
주류	주류/NNG
비주류	비/XPN+주류/NNG
모두	모두/MAG
일단	일단/MAG
김	김/NNP
위원장에게	위원장/NNG+에게/JKB
힘을	힘/NNG+을/JKO
실어주자는	싣/VV+어/EC+주/VX+자는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.304.12.2
더민주당 관계자는 “문재인 대표까지 사퇴한 마당에 ‘김 위원장 체제까지 흔들리면 공멸’이라는 공감대가 있다”고 말했다.

더민주당	더민주당/NNP
관계자는	관계자/NNG+는/JX
“문재인	“/SS+문재인/NNP
대표까지	대표/NNG+까지/JX
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
마당에	마당/NNB+에/JKB
‘김	‘/SS+김/NNP
위원장	위원장/NNG
체제까지	체제/NNG+까지/JX
흔들리면	흔들리/VV+면/EC
공멸’이라는	공멸/NNG+’/SS+이/VCP+라는/ETM
공감대가	공감대/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.12.3
하지만 잠복한 내부 갈등은 정체성 논란 외에 ‘공천’이라는 현실적인 문제로 인해 수면 위로 불거질 가능성이 크다.

하지만	하지만/MAJ
잠복한	잠복/NNG+하/XSV+ㄴ/ETM
내부	내부/NNG
갈등은	갈등/NNG+은/JX
정체성	정체/NNG+성/XSN
논란	논란/NNG
외에	외/NNB+에/JKB
‘공천’이라는	‘/SS+공천/NNG+’/SS+이/VCP+라는/ETM
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
수면	수면/NNG
위로	위/NNG+로/JKB
불거질	불거지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


