# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.141
metadata : {}


# id : NWRW1800000033.141.1.1
[문학예술]巨商 김만덕과 ‘아기장수’의 제주판 ‘사랑과 영혼’

[문학예술]巨商	[/SS+문학예술/NNG+]/SS+巨商/SH
이야기의	이야기/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
매끄럽게	매끄럽/VA+게/EC
이어	잇/VV+어/EC
주는	주/VX+는/ETM
역할에	역할/NNG+에/JKB
그친다.	그치/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.4.1
작가는 전국적으로 떠도는 ‘아기장수설화’를 작품 속으로 끌어들여 ‘정득영 이야기’로 변화시켜 풀어낸다.

작가는	작가/NNG+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
떠도는	떠돌/VV+는/ETM
‘아기장수설화’를	‘/SS+아기/NNG+장수/NNG+설화/NNG+’/SS+를/JKO
작품	작품/NNG
속으로	속/NNG+으로/JKB
끌어들여	끌어들이/VV+어/EC
‘정득영	‘/SS+정득영/NNP
이야기’로	이야기/NNG+’/SS+로/JKB
변화시켜	변화/NNG+시키/XSV+어/EC
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.4.2
겨드랑이에 날개가 돋쳐 탁월한 체력을 가진 정득영은 제주 토호들의 비리를 조정에서 파견한 제주 목사(牧使)에게 직언했다가 역모 혐의를 뒤집어쓰고 바다에 억울하게 수장된 인물이다.

겨드랑이에	겨드랑이/NNG+에/JKB
날개가	날개/NNG+가/JKS
돋쳐	돋치/VV+어/EC
탁월한	탁월하/VA+ㄴ/ETM
체력을	체력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
정득영은	정득영/NNP+은/JX
제주	제주/NNP
토호들의	토호/NNG+들/XSN+의/JKG
비리를	비리/NNG+를/JKO
조정에서	조정/NNG+에서/JKB
파견한	파견/NNG+하/XSV+ㄴ/ETM
목사(牧使)에게	목사/NNG+(/SS+牧使/SH+)/SS+에게/JKB
직언했다가	직언/NNG+하/XSV+았/EP+다가/EC
역모	역모/NNG
혐의를	혐의/NNG+를/JKO
뒤집어쓰고	뒤집어쓰/VV+고/EC
바다에	바다/NNG+에/JKB
억울하게	억울/NNG+하/XSA+게/EC
수장된	수장/NNG+되/XSV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.4.3
김만덕이 정득영과 애절한 연인 사이였고, 정득영이 죽어서도 혼으로 남아 김만덕을 돌봐 준다는 데까지 작가는 상상력을 확장한다.

김만덕이	김만덕/NNP+이/JKS
정득영과	정득영/NNP+과/JKB
애절한	애절하/VA+ㄴ/ETM
연인	연인/NNG
사이였고,	사이/NNG+이/VCP+었/EP+고/EC+,/SP
정득영이	정득영/NNP+이/JKS
죽어서도	죽/VV+어서/EC+도/JX
혼으로	혼/NNG+으로/JKB
남아	남/VV+아/EC
김만덕을	김만덕/NNP+을/JKO
돌봐	돌보/VV+아/EC
준다는	주/VX+ㄴ다는/ETM
데까지	데/NNB+까지/JX
작가는	작가/NNG+는/JX
상상력을	상상력/NNG+을/JKO
확장한다.	확장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.5.1
바로 이 점이 묘미다.

바로	바로/MAG
이	이/MMD
점이	점/NNG+이/JKS
묘미다.	묘미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.5.2
제주 출신인 작가는 각종 설화를 소설 속에 끌어들였다.

제주	제주/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
작가는	작가/NNG+는/JX
각종	각종/NNG
설화를	설화/NNG+를/JKO
소설	소설/NNG
속에	속/NNG+에/JKB
끌어들였다.	끌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.141.5.3
소설은 기본적으로 허구지만 독자들은 사실처럼 읽게 마련이다.

소설은	소설/NNG+은/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
허구지만	허구/NNG+이/VCP+지만/EC
독자들은	독자/NNG+들/XSN+은/JX
사실처럼	사실/NNG+처럼/JKB
읽게	읽/VV+게/EC
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.5.4
그런데 작가는 기이한 설화들을 소설 속 현장으로 끌어와 현실과 비현실의 경계를 모호하게 만든다.

그런데	그런데/MAJ
작가는	작가/NNG+는/JX
기이한	기이하/VA+ㄴ/ETM
설화들을	설화/NNG+들/XSN+을/JKO
소설	소설/NNG
속	속/NNG
현장으로	현장/NNG+으로/JKB
끌어와	끌어오/VV+아/EC
현실과	현실/NNG+과/JC
비현실의	비/XPN+현실/NNG+의/JKG
경계를	경계/NNG+를/JKO
모호하게	모호하/VA+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.5.5
특이한 점은 자칫 엉뚱하게 들릴 수 있는 얘기들도 제주라는 땅이 가진 신비한 이미지와 맞물려 제법 설득력 있게 다가온다는 것이다.

특이한	특이/NNG+하/XSA+ㄴ/ETM
점은	점/NNG+은/JX
자칫	자칫/MAG
엉뚱하게	엉뚱하/VA+게/EC
들릴	들리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
얘기들도	얘기/NNG+들/XSN+도/JX
제주라는	제주/NNP+이/VCP+라는/ETM
땅이	땅/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
신비한	신비/NNG+하/XSA+ㄴ/ETM
이미지와	이미지/NNG+와/JKB
맞물려	맞물리/VV+어/EC
제법	제법/MAG
설득력	설득력/NNG
있게	있/VA+게/EC
다가온다는	다가오/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.6.1
제주 출신의 작가 현길언 씨.

제주	제주/NNP
출신의	출신/NNG+의/JKG
작가	작가/NNG
현길언	현길언/NNP
씨.	씨/NNB+./SF


# id : NWRW1800000033.141.6.2
그는 신작 ‘꿈은 누가 꾸는가’에 다양한 제주 설화를 끌어들였다.

그는	그/NP+는/JX
신작	신작/NNG
‘꿈은	‘/SS+꿈/NNG+은/JX
누가	누구/NP+가/JKS
꾸는가’에	꾸/VV+는가/EF+’/SS+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
제주	제주/NNP
설화를	설화/NNG+를/JKO
끌어들였다.	끌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.141.6.3
물레 제공정득영을 먼저 보낸 김만덕은 관기가 돼 새로 부임한 목사 윤정규를 맞게 된다.

물레	물레/NNP
제공정득영을	제공/NNG+정득영/NNP+을/JKO
먼저	먼저/MAG
보낸	보내/VV+ㄴ/ETM
김만덕은	김만덕/NNP+은/JX
관기가	관기/NNG+가/JKC
돼	되/VV+어/EC
새로	새로/MAG
부임한	부임/NNG+하/XSV+ㄴ/ETM
목사	목사/NNG
윤정규를	윤정규/NNP+를/JKO
맞게	맞/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.6.4
둘은 서로의 성품을 알아보고 인간적인 매력에 끌린다.

둘은	둘/NR+은/JX
서로의	서로/NNG+의/JKG
성품을	성품/NNG+을/JKO
알아보고	알아보/VV+고/EC
인간적인	인간/NNG+적/XSN+이/VCP+ㄴ/ETM
매력에	매력/NNG+에/JKB
끌린다.	끌리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.6.5
한편 윤 목사는 제주의 형편을 살펴보며 곳곳에서 문제점을 찾는다.

한편	한편/MAG
윤	윤/NNP
목사는	목사/NNG+는/JX
제주의	제주/NNP+의/JKG
형편을	형편/NNG+을/JKO
살펴보며	살펴보/VV+며/EC
곳곳에서	곳곳/NNG+에서/JKB
문제점을	문제점/NNG+을/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000033.141.6.6
백성을 수탈하는 중간 관리의 횡포, 그리고 이런 문제점을 지적하는 자신을 협박, 회유하는 세력이 있음을 알게 된다.

백성을	백성/NNG+을/JKO
수탈하는	수탈/NNG+하/XSV+는/ETM
중간	중간/NNG
관리의	관리/NNG+의/JKG
횡포,	횡포/NNG+,/SP
그리고	그리고/MAJ
이런	이런/MMD
문제점을	문제점/NNG+을/JKO
지적하는	지적/NNG+하/XSV+는/ETM
자신을	자신/NNG+을/JKO
협박,	협박/NNG+,/SP
회유하는	회유/NNG+하/XSV+는/ETM
세력이	세력/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
알게	알/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.6.7
이방 출신으로 막대한 부를 축적한 고성황 일가다.

이방	이방/NNG
출신으로	출신/NNG+으로/JKB
막대한	막대하/VA+ㄴ/ETM
부를	부/NNG+를/JKO
축적한	축적/NNG+하/XSV+ㄴ/ETM
고성황	고성황/NNP
일가다.	일가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.7.1
오랫동안 제주는 본토에서 소외되고, 수탈당하는 지역이었다.

오랫동안	오랫동안/NNG
제주는	제주/NNP+는/JX
본토에서	본토/NNG+에서/JKB
소외되고,	소외/NNG+되/XSV+고/EC+,/SP
수탈당하는	수탈/NNG+당하/XSV+는/ETM
지역이었다.	지역/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.141.7.2
이런 부당함의 근원을 본토의 횡포에서 찾는 경우가 많았지만 작가는 제주 내부에도 문제가 있었음을 드러낸다.

이런	이런/MMD
부당함의	부당/NNG+하/XSA+ㅁ/ETN+의/JKG
근원을	근원/NNG+을/JKO
본토의	본토/NNG+의/JKG
횡포에서	횡포/NNG+에서/JKB
찾는	찾/VV+는/ETM
경우가	경우/NNG+가/JKS
많았지만	많/VA+았/EP+지만/EC
작가는	작가/NNG+는/JX
제주	제주/NNP
내부에도	내부/NNG+에/JKB+도/JX
문제가	문제/NNG+가/JKS
있었음을	있/VA+었/EP+음/ETN+을/JKO
드러낸다.	드러내/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.7.3
지연, 혈연으로 똘똘 뭉친 제주의 토착세력이 중앙에서 파견 나온 관리들과 결탁해 제주도민의 수탈이 극심해졌다는 시각이다.

지연,	지연/NNG+,/SP
혈연으로	혈연/NNG+으로/JKB
똘똘	똘똘/MAG
뭉친	뭉치/VV+ㄴ/ETM
제주의	제주/NNP+의/JKG
토착세력이	토착/NNG+세력/NNG+이/JKS
중앙에서	중앙/NNG+에서/JKB
파견	파견/NNG
나온	나오/VV+ㄴ/ETM
관리들과	관리/NNG+들/XSN+과/JKB
결탁해	결탁/NNG+하/XSV+아/EC
제주도민의	제주/NNP+도민/NNG+의/JKG
수탈이	수탈/NNG+이/JKS
극심해졌다는	극심하/VA+아/EC+지/VX+었/EP+다는/ETM
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.7.4
의로운 윤 목사와 타락한 토호 고성황 일가가 펼치는 치열한 기와 지략 싸움이 이 작품의 가장 큰 볼거리다.

의로운	의/NNG+롭/XSA+ㄴ/ETM
윤	윤/NNP
목사와	목사/NNG+와/JC
타락한	타락/NNG+하/XSV+ㄴ/ETM
토호	토호/NNG
고성황	고성황/NNP
일가가	일가/NNG+가/JKS
펼치는	펼치/VV+는/ETM
치열한	치열/NNG+하/XSA+ㄴ/ETM
기와	기/NNG+와/JC
지략	지략/NNG
싸움이	싸움/NNG+이/JKS
이	이/MMD
작품의	작품/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
볼거리다.	볼거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.7.5
이를테면 고성황이 ‘떡값’을 준 뒤 중앙에 몰래 상소를 올려 윤 목사가 궁지에 몰리지만, 실은 윤 목사가 받은 떡값을 하나도 쓰지 않고 간직해 ‘무고죄’로 되받아친다.

이를테면	이를테면/MAG
고성황이	고성황/NNP+이/JKS
‘떡값’을	‘/SS+떡값/NNG+’/SS+을/JKO
준	주/VV+ㄴ/ETM
뒤	뒤/NNG
중앙에	중앙/NNG+에/JKB
몰래	몰래/MAG
상소를	상소/NNG+를/JKO
올려	올리/VV+어/EC
윤	윤/NNP
목사가	목사/NNG+가/JKS
궁지에	궁지/NNG+에/JKB
몰리지만,	몰리/VV+지만/EC+,/SP
실은	실은/MAG
받은	받/VV+은/ETM
떡값을	떡값/NNG+을/JKO
하나도	하나/NR+도/JX
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
간직해	간직/NNG+하/XSV+아/EC
‘무고죄’로	‘/SS+무고죄/NNG+’/SS+로/JKB
되받아친다.	되받아치/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.8.1
후반부는 거상으로 성장한 김만덕과 그의 선행으로 이어진다.

후반부는	후반부/NNG+는/JX
거상으로	거상/NNG+으로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
김만덕과	김만덕/NNP+과/JC
그의	그/NP+의/JKG
선행으로	선행/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.141.8.2
익숙한 얘기여서 기시감이 크다.

익숙한	익숙하/VA+ㄴ/ETM
얘기여서	얘기/NNG+이/VCP+어서/EC
기시감이	기시감/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.141.8.3
또한 김만덕 일행이 위기에 처할 때마다 정득영의 혼이 도와 모면하는 상황이 반복되면서 개연성이 약해지는 점이 아쉽다.

또한	또한/MAG
김만덕	김만덕/NNP
일행이	일행/NNG+이/JKS
위기에	위기/NNG+에/JKB
처할	처하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
정득영의	정득영/NNP+의/JKG
혼이	혼/NNG+이/JKS
도와	돕/VV+아/EC
모면하는	모면/NNG+하/XSV+는/ETM
상황이	상황/NNG+이/JKS
반복되면서	반복/NNG+되/XSV+면서/EC
개연성이	개연/NNG+성/XSN+이/JKS
약해지는	약하/VA+아/EC+지/VX+는/ETM
점이	점/NNG+이/JKS
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000033.141.8.4
말미에 연암 박지원의 ‘허생전’을 떠올릴 수 있는 이상향의 섬까지 등장하는 것을 보면 작가가 너무 많은 것을 담으려 하지 않았나 싶다.

말미에	말미/NNG+에/JKB
연암	연암/NNP
박지원의	박지원/NNP+의/JKG
‘허생전’을	‘/SS+허생전/NNP+’/SS+을/JKO
떠올릴	떠올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이상향의	이상향/NNG+의/JKG
섬까지	섬/NNG+까지/JX
등장하는	등장/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
작가가	작가/NNG+가/JKS
너무	너무/MAG
많은	많/VA+은/ETM
담으려	담/VV+으려/EC
하지	하/VX+지/EC
않았나	않/VX+았/EP+나/EC
싶다.	싶/VX+다/EF+./SF


