# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.235
metadata : {}


# id : NWRW1800000053.235.1.1
‘짠물 피칭’ 확 달라진 KIA 불펜

‘짠물	‘/SS+짠물/NNG
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
우승을	우승/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
두게	두/VV+게/EC
상황이면	상황/NNG+이/VCP+면/EC
다시	다시/MAG
등판시킬	등판/NNG+시키/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.235.7.1
반면 정규시즌 평균자책점 선두(4.31)를 기록했던 두산의 불펜진이 오히려 제 몫을 못하고 있다.

반면	반면/NNG
정규시즌	정규/NNG+시즌/NNG
평균자책점	평균/NNG+자책점/NNG
선두(4.31)를	선두/NNG+(/SS+4/SN+./SP+31/SN+)/SS+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
두산의	두산/NNP+의/JKG
불펜진이	불펜진/NNG+이/JKS
오히려	오히려/MAG
제	저/NP+의/JKG
몫을	몫/NNG+을/JKO
못하고	못/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.235.7.2
7회 유격수 김재호의 실책, 9회 포수 양의지의 타격 방해 등이 나오면서 함덕주와 이용찬은 각각 1실점(비자책) 뒤 마운드에서 내려가야 했다.

7회	7/SN+회/NNB
유격수	유격수/NNG
김재호의	김재호/NNP+의/JKG
실책,	실책/NNG+,/SP
9회	9/SN+회/NNB
포수	포수/NNG
양의지의	양의지/NNP+의/JKG
타격	타격/NNG
방해	방해/NNG
등이	등/NNB+이/JKS
나오면서	나오/VV+면서/EC
함덕주와	함덕주/NNP+와/JC
이용찬은	이용찬/NNP+은/JX
각각	각각/MAG
1실점(비자책)	1/SN+실점/NNG+(/SS+비/XPN+자책/NNG+)/SS
뒤	뒤/NNG
마운드에서	마운드/NNG+에서/JKB
내려가야	내려가/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


