# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.139
metadata : {}


# id : NWRW1800000045.139.1.1
부자-형제간 ‘경영권 골육상쟁’ 2년전에 롯데 사태 예견?

부자-형제간	부자/NNG+-/SO+형제간/NNG
‘추적자’ ‘펀치’ 등 화제작을 써온 박경수 작가가 쓴 이 드라마는 성진그룹 창업주인 최동성 회장(박근형)의 일가를 배경으로 재벌가 비리와 경영권을 뺏기 위한 가족 간 권력 다툼을 치밀하게 그려냈다는 평가를 받았다.

‘추적자’	‘/SS+추적자/NNP+’/SS
‘펀치’	‘/SS+펀치/NNG+’/SS
등	등/NNB
화제작을	화제작/NNG+을/JKO
써온	쓰/VV+어/EC+오/VX+ㄴ/ETM
박경수	박경수/NNP
작가가	작가/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
이	이/MMD
드라마는	드라마/NNG+는/JX
성진그룹	성진그룹/NNP
창업주인	창업주/NNG+이/VCP+ㄴ/ETM
최동성	최동성/NNP
회장(박근형)의	회장/NNG+(/SS+박근형/NNP+)/SS+의/JKG
일가를	일가/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
재벌가	재벌가/NNG
비리와	비리/NNG+와/JC
경영권을	경영/NNG+권/XSN+을/JKO
뺏기	뺏/VV+기/ETN
위한	위하/VV+ㄴ/ETM
가족	가족/NNG
간	간/NNB
권력	권력/NNG
다툼을	다툼/NNG+을/JKO
치밀하게	치밀하/VA+게/EC
그려냈다는	그리/VV+어/EC+내/VX+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.139.6.1
지난달 29일 신동주 전 일본 롯데홀딩스 부회장이 긴급 이사회를 열며 시작된 롯데 경영권 분쟁 이후 소셜네트워크서비스(SNS)에는 이 드라마와 롯데그룹 사태의 유사점을 비교하는 글이 줄줄이 올라오고 있다.

지난달	지난달/NNG
29일	29/SN+일/NNB
신동주	신동주/NNP
전	전/MMD
일본	일본/NNP
롯데홀딩스	롯데홀딩스/NNP
부회장이	부회장/NNG+이/JKS
긴급	긴급/NNG
이사회를	이사회/NNG+를/JKO
열며	열/VV+며/EC
시작된	시작/NNG+되/XSV+ㄴ/ETM
롯데	롯데/NNP
경영권	경영/NNG+권/XSN
분쟁	분쟁/NNG
이후	이후/NNG
소셜네트워크서비스(SNS)에는	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에/JKB+는/JX
이	이/MMD
드라마와	드라마/NNG+와/JC
롯데그룹	롯데그룹/NNP
사태의	사태/NNG+의/JKG
유사점을	유사점/NNG+을/JKO
비교하는	비교/NNG+하/XSV+는/ETM
글이	글/NNG+이/JKS
줄줄이	줄줄이/MAG
올라오고	올라오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.139.6.2
“역시 드라마보다 더한 막장은 현실에 있었다” “작가의 예지 능력이 대단하다”는 내용이 대부분이다.

“역시	“/SS+역시/MAG
드라마보다	드라마/NNG+보다/JKB
더한	더/MAG+하/XSA+ㄴ/ETM
막장은	막장/NNG+은/JX
현실에	현실/NNG+에/JKB
있었다”	있/VA+었/EP+다/EF+”/SS
“작가의	“/SS+작가/NNG+의/JKG
예지	예지/NNG
능력이	능력/NNG+이/JKS
대단하다”는	대단하/VA+다/EF+”/SS+는/ETM
내용이	내용/NNG+이/JKS
대부분이다.	대/XPN+부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.139.6.3
포털 사이트에선 ‘롯데’를 치면 ‘황금의 제국’이 연관검색어로 뜰 정도다.

포털	포털/NNG
사이트에선	사이트/NNG+에서/JKB+ㄴ/JX
‘롯데’를	‘/SS+롯데/NNP+’/SS+를/JKO
치면	치/VV+면/EC
‘황금의	‘/SS+황금/NNG+의/JKG
제국’이	제국/NNG+’/SS+이/JKS
연관검색어로	연관/NNG+검색어/NNG+로/JKB
뜰	뜨/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.139.7.1
올레TV에 따르면 롯데 사태가 발생한 지난달 29일부터 일주일간 이 드라마의 다시보기(VOD) 재생 건수는 전주(7월 22∼28일)보다 15% 상승했다.

올레TV에	올레TV/NNP+에/JKB
따르면	따르/VV+면/EC
롯데	롯데/NNP
사태가	사태/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
일주일간	일주일/NNG+간/XSN
이	이/MMD
드라마의	드라마/NNG+의/JKG
다시보기(VOD)	다시/MAG+보/VV+기/ETN+(/SS+VOD/SL+)/SS
재생	재생/NNG
건수는	건수/NNG+는/JX
전주(7월	전주/NNP+(/SS+7/SN+월/NNB
22∼28일)보다	22/SN+∼/SO+28/SN+일/NNB+)/SS+보다/JKB
15%	15/SN+%/SW
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.139.7.2
올레TV 관계자는 “종영한 지 2년이 지난 드라마의 재생 건수가 갑자기 늘어나는 건 드문 일”이라고 말했다.

올레TV	올레TV/NNP
관계자는	관계자/NNG+는/JX
“종영한	“/SS+종영/NNG+하/XSV+ㄴ/ETM
지	지/NNB
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
드라마의	드라마/NNG+의/JKG
재생	재생/NNG
건수가	건수/NNG+가/JKS
갑자기	갑자기/MAG
늘어나는	늘어나/VV+는/ETM
건	거/NNB+ㄴ/JX
드문	드물/VA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.139.8.1
‘황금의 제국’은 절대적인 카리스마의 최 회장이 치매가 진행되자 최 회장의 조카 최민재(손현주)가 경영권을 갖기 위해 반란을 일으키며 시작된다.

‘황금의	‘/SS+황금/NNG+의/JKG
제국’은	제국/NNG+’/SS+은/JX
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
카리스마의	카리스마/NNG+의/JKG
최	최/NNP
회장이	회장/NNG+이/JKS
치매가	치매/NNG+가/JKS
진행되자	진행/NNG+되/XSV+자/EC
회장의	회장/NNG+의/JKG
조카	조카/NNG
최민재(손현주)가	최민재/NNP+(/SS+손현주/NNP+)/SS+가/JKS
경영권을	경영/NNG+권/XSN+을/JKO
갖기	갖/VV+기/ETN
위해	위하/VV+아/EC
반란을	반란/NNG+을/JKO
일으키며	일으키/VV+며/EC
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.8.2
최민재는 최 회장과 함께 기업을 일군 동생 최동진 부회장의 아들.

최민재는	최민재/NNP+는/JX
최	최/NNP
회장과	회장/NNG+과/JKB
함께	함께/MAG
기업을	기업/NNG+을/JKO
일군	일구/VV+ㄴ/ETM
동생	동생/NNG
최동진	최동진/NNP
부회장의	부회장/NNG+의/JKG
아들.	아들/NNG+./SF


# id : NWRW1800000045.139.8.3
여기에 최 회장의 무능력한 장남 최원재도 등장한다.

여기에	여기/NP+에/JKB
최	최/NNP
회장의	회장/NNG+의/JKG
무능력한	무/XPN+능력/NNG+하/XSA+ㄴ/ETM
장남	장남/NNG
최원재도	최원재/NNP+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.8.4
최민재는 장남 최원재와 손을 잡고 이사회를 열어 경영권 탈취를 꿈꾸지만 최 회장이 이사회장을 급습하면서 위기에 몰린다.

최민재는	최민재/NNP+는/JX
장남	장남/NNG
최원재와	최원재/NNP+와/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
경영권	경영/NNG+권/XSN
탈취를	탈취/NNG+를/JKO
꿈꾸지만	꿈꾸/VV+지만/EC
최	최/NNP
회장이	회장/NNG+이/JKS
이사회장을	이사회장/NNG+을/JKO
급습하면서	급습/NNG+하/XSV+면서/EC
위기에	위기/NNG+에/JKB
몰린다.	몰리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.9.1
최 회장의 신임을 얻은 둘째 딸 최서윤(이요원)은 사실상 후계자로 부각되고, 장남인 오빠 및 사촌 오빠와 경영권을 두고 싸움을 벌인다.

최	최/NNP
회장의	회장/NNG+의/JKG
신임을	신임/NNG+을/JKO
얻은	얻/VV+은/ETM
둘째	둘째/NR
딸	딸/NNG
최서윤(이요원)은	최서윤/NNP+(/SS+이요원/NNP+)/SS+은/JX
사실상	사실상/MAG
후계자로	후계자/NNG+로/JKB
부각되고,	부각/NNG+되/XSV+고/EC+,/SP
장남인	장남/NNG+이/VCP+ㄴ/ETM
오빠	오빠/NNG
및	및/MAG
사촌	사촌/NNG
오빠와	오빠/NNG+와/JKB
경영권을	경영/NNG+권/XSN+을/JKO
두고	두/VV+고/EC
싸움을	싸움/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.9.2
여기에 차명계좌의 실소유주인 최 회장의 두 번째 부인 한정희(김미숙)도 경영권 다툼에 뛰어든다.

여기에	여기/NP+에/JKB
차명계좌의	차명/NNG+계좌/NNG+의/JKG
실소유주인	실소유주/NNG+이/VCP+ㄴ/ETM
최	최/NNP
회장의	회장/NNG+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
부인	부인/NNG
한정희(김미숙)도	한정희/NNP+(/SS+김미숙/NNP+)/SS+도/JX
경영권	경영/NNG+권/XSN
다툼에	다툼/NNG+에/JKB
뛰어든다.	뛰어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.9.3
‘치매에 걸린 그룹 회장’ ‘권력에서 밀려난 장남+사촌과 둘째의 대결구도’ ‘실세로 떠오른 회장의 두 번째 부인’ 등의 설정이 현실 상황과 묘하게 겹친다.

‘치매에	‘/SS+치매/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
그룹	그룹/NNG
회장’	회장/NNG+’/SS
‘권력에서	‘/SS+권력/NNG+에서/JKB
밀려난	밀려나/VV+ㄴ/ETM
장남+사촌과	장남/NNG++/SW+사촌/NNG+과/JC
둘째의	둘째/NNG+의/JKG
대결구도’	대결/NNG+구도/NNG+’/SS
‘실세로	‘/SS+실세/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
회장의	회장/NNG+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
부인’	부인/NNG+’/SS
등의	등/NNB+의/JKG
설정이	설정/NNG+이/JKS
현실	현실/NNG
상황과	상황/NNG+과/JKB
묘하게	묘하/VA+게/EC
겹친다.	겹치/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.9.4
특히 누리꾼들은 매일 아침 식탁에서 나누는 가족 간 말 한마디에 계열사 주인이 바뀌고 지분이 오가는 드라마 속 장면이 신격호 총괄회장의 말 한마디로 임원을 해고한 것과 닮았다고 평가하고 있다.

특히	특히/MAG
누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
매일	매일/MAG
아침	아침/NNG
식탁에서	식탁/NNG+에서/JKB
나누는	나누/VV+는/ETM
가족	가족/NNG
간	간/NNB
말	말/NNG
한마디에	한마디/NNG+에/JKB
계열사	계열사/NNG
주인이	주인/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
지분이	지분/NNG+이/JKS
오가는	오가/VV+는/ETM
드라마	드라마/NNG
속	속/NNG
장면이	장면/NNG+이/JKS
신격호	신격호/NNP
총괄회장의	총괄/NNG+회장/NNG+의/JKG
한마디로	한마디/NNG+로/JKB
임원을	임원/NNG+을/JKO
해고한	해고/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
닮았다고	닮/VV+았/EP+다고/EC
평가하고	평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.139.9.5
드라마는 경영권을 좇던 사람들이 자살하거나 검찰 수사를 받는 등 파국을 맞는 것으로 끝난다.

드라마는	드라마/NNG+는/JX
경영권을	경영/NNG+권/XSN+을/JKO
좇던	좇/VV+던/ETM
사람들이	사람/NNG+들/XSN+이/JKS
자살하거나	자살/NNG+하/XSV+거나/EC
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
파국을	파국/NNG+을/JKO
맞는	맞/VV+는/ETM
것으로	것/NNB+으로/JKB
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.139.10.1
드라마 제작사 관계자는 “박경수 작가가 국내 재벌의 가족 간 갈등을 다룬 기사 등을 참고했지만 특정 기업을 겨냥해 쓴 것은 아니다.

드라마	드라마/NNG
제작사	제작사/NNG
관계자는	관계자/NNG+는/JX
“박경수	“/SS+박경수/NNP
작가가	작가/NNG+가/JKS
국내	국내/NNG
재벌의	재벌/NNG+의/JKG
가족	가족/NNG
간	간/NNB
갈등을	갈등/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
기사	기사/NNG
등을	등/NNB+을/JKO
참고했지만	참고/NNG+하/XSV+았/EP+지만/EC
특정	특정/NNG
기업을	기업/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
쓴	쓰/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.139.10.2
대부분 작가의 상상력”이라고 말했다.

대부분	대/XPN+부분/NNG
작가의	작가/NNG+의/JKG
상상력”이라고	상상력/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


