# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.218
metadata : {}


# id : NWRW1800000030.218.1.1
[대구 세계육상 D-10] [재미있는 육상 이야기] 우주 올림픽에 지구 대표 1명을 보낸다면…

[대구	[/SS+대구/NNP
NBA(미 프로농구) 스타 르브론 제임스(27·미국)와 5체급 석권의 복서 플로이드 메이웨더(34·미국)를 2·3위로 밀어내고 종합 1위에 꼽힌 이는 육상 10종경기(Decathlon)의 전설 로만 제블레(37·체코)였다.

NBA(미	NBA/SL+(/SS+미/NNP
프로농구)	프로/NNG+농구/NNG+)/SS
스타	스타/NNG
르브론	르브론/NNP
제임스(27·미국)와	제임스/NNP+(/SS+27/SN+·/SP+미국/NNP+)/SS+와/JC
5체급	5/SN+체급/NNG
석권의	석권/NNG+의/JKG
복서	복서/NNG
플로이드	플로이드/NNP
메이웨더(34·미국)를	메이웨더/NNP+(/SS+34/SN+·/SP+미국/NNP+)/SS+를/JKO
2·3위로	2/SN+·/SP+3/SN+위/NNB+로/JKB
밀어내고	밀어내/VV+고/EC
종합	종합/NNG
1위에	1/SN+위/NNB+에/JKB
꼽힌	꼽히/VV+ㄴ/ETM
이는	이/NNB+는/JX
육상	육상/NNG
10종경기(Decathlon)의	10/SN+종/NNG+경기/NNG+(/SS+Decathlon/SL+)/SS+의/JKG
전설	전설/NNG
로만	로만/NNP
제블레(37·체코)였다.	제블레/NNP+(/SS+37/SN+·/SP+체코/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.218.4.2
제블레는 '세계에서 가장 위대한 운동선수(World's Greatest Athlete)'란 칭호가 붙는 10종경기 챔피언 중 역대 최고의 선수로 꼽힌다.

제블레는	제블레/NNP+는/JX
'세계에서	'/SS+세계/NNG+에서/JKB
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
운동선수(World's	운동선수/NNG+(/SS+World/SL+'/SS+s/SL
Greatest	Greatest/SL
Athlete)'란	Athlete/SL+)/SS+'/SS+이/VCP+란/ETM
칭호가	칭호/NNG+가/JKS
붙는	붙/VV+는/ETM
10종경기	10/SN+종/NNG+경기/NNG
챔피언	챔피언/NNG
중	중/NNB
역대	역대/NNG
최고의	최고/NNG+의/JKG
선수로	선수/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.4.3
이 칭호는 스웨덴 국왕 구스타프 5세가 1912년 스톡홀름올림픽 때 처음 도입된 10종경기의 금메달리스트 짐 도프(미국)에게 "당신이 세계에서 가장 위대한 육상선수"라고 말한 데서 유래했다.

이	이/MMD
칭호는	칭호/NNG+는/JX
스웨덴	스웨덴/NNP
국왕	국왕/NNG
구스타프	구스타프/NNP
5세가	5/SN+세/NNB+가/JKS
1912년	1912/SN+년/NNB
스톡홀름올림픽	스톡홀름/NNP+올림픽/NNG
때	때/NNG
처음	처음/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
10종경기의	10/SN+종/NNG+경기/NNG+의/JKG
금메달리스트	금메달리스트/NNG
짐	짐/NNP
도프(미국)에게	도프/NNP+(/SS+미국/NNP+)/SS+에게/JKB
"당신이	"/SS+당신/NP+이/JKS
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
육상선수"라고	육상/NNG+선수/NNG+"/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
데서	데/NNB+서/JKB
유래했다.	유래/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.4.4
제블레는 2001년 세계기록(9026점)을 세우며 10종경기 사상 유일하게 9000점을 넘긴 선수로 남아 있다.

제블레는	제블레/NNP+는/JX
2001년	2001/SN+년/NNB
세계기록(9026점)을	세계/NNG+기록/NNG+(/SS+9026/SN+점/NNB+)/SS+을/JKO
세우며	세우/VV+며/EC
10종경기	10/SN+종/NNG+경기/NNG
사상	사상/NNG
유일하게	유일/NNG+하/XSA+게/EC
9000점을	9000/SN+점/NNB+을/JKO
넘긴	넘기/VV+ㄴ/ETM
선수로	선수/NNG+로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.218.5.1
제블레는 역경을 극복한 스타로 유명하다.

제블레는	제블레/NNP+는/JX
역경을	역경/NNG+을/JKO
극복한	극복/NNG+하/XSV+ㄴ/ETM
스타로	스타/NNG+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.218.5.2
그는 2007년 훈련 도중 여자 선수가 던진 창이 오른쪽 어깨를 관통하는 큰 부상을 당했다.

그는	그/NP+는/JX
2007년	2007/SN+년/NNB
훈련	훈련/NNG
도중	도중/NNG
여자	여자/NNG
선수가	선수/NNG+가/JKS
던진	던지/VV+ㄴ/ETM
창이	창/NNG+이/JKS
오른쪽	오른쪽/NNG
어깨를	어깨/NNG+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.5.3
그는 "20㎝ 빗겨 창을 맞았다면 죽었고 1㎝ 빗겨 맞았다면 선수생활이 끝났을 것"이라고 말했다.

그는	그/NP+는/JX
"20㎝	"/SS+20/SN+㎝/SW
빗겨	빗기/VV+어/EC
창을	창/NNG+을/JKO
맞았다면	맞/VV+았/EP+다면/EC
죽었고	죽/VV+었/EP+고/EC
1㎝	1/SN+㎝/SW
선수생활이	선수/NNG+생활/NNG+이/JKS
끝났을	끝나/VV+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.5.4
그해 열린 오사카 세계선수권에서 정상에 오른 제블레는 2008년 이후 노쇠화로 내리막길을 걸었다.

그해	그해/NNG
열린	열리/VV+ㄴ/ETM
오사카	오사카/NNP
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
제블레는	제블레/NNP+는/JX
2008년	2008/SN+년/NNB
이후	이후/NNG
노쇠화로	노쇠/NNG+화/XSN+로/JKB
내리막길을	내리막길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.218.5.5
이번 대구 대회는 '전설'의 마지막 세계선수권이 될 가능성이 크다.

이번	이번/NNG
대구	대구/NNP
대회는	대회/NNG+는/JX
'전설'의	'/SS+전설/NNG+'/SS+의/JKG
마지막	마지막/NNG
세계선수권이	세계/NNG+선수/NNG+권/XSN+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.218.6.1
이틀에 걸쳐 펼쳐지는 10종경기는 육상의 팔방미인이자 철인을 가리는 종목이다.

이틀에	이틀/NNG+에/JKB
걸쳐	걸치/VV+어/EC
펼쳐지는	펼쳐지/VV+는/ETM
10종경기는	10/SN+종/NNG+경기/NNG+는/JX
육상의	육상/NNG+의/JKG
팔방미인이자	팔방미인/NNG+이/VCP+자/EC
철인을	철인/NNG+을/JKO
가리는	가리/VV+는/ETM
종목이다.	종목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.218.6.2
선수들은 첫날 100m와 멀리뛰기, 포환던지기, 높이뛰기, 400m를 차례로 소화하고 둘째 날엔 110m허들과 원반던지기, 장대높이뛰기, 창던지기, 1500m를 치른다.

선수들은	선수/NNG+들/XSN+은/JX
첫날	첫날/NNG
100m와	100/SN+m/SW+와/JC
멀리뛰기,	멀리뛰기/NNG+,/SP
포환던지기,	포환던지기/NNG+,/SP
높이뛰기,	높이뛰기/NNG+,/SP
400m를	400/SN+m/SW+를/JKO
차례로	차례/NNG+로/JKB
소화하고	소화/NNG+하/XSV+고/EC
둘째	둘째/NR
날엔	날/NNB+에/JKB+ㄴ/JX
110m허들과	110/SN+m/SW+허들/NNG+과/JC
원반던지기,	원반던지기/NNG+,/SP
장대높이뛰기,	장대높이뛰기/NNG+,/SP
창던지기,	창던지기/NNG+,/SP
1500m를	1500/SN+m/SW+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.6.3
종목 간 쉬는 시간이 1~2시간밖에 되지 않아 선수들은 한 종목이 끝나면 짧은 휴식 후 바로 다음 종목 준비에 들어간다.

종목	종목/NNG
간	간/NNB
쉬는	쉬/VV+는/ETM
시간이	시간/NNG+이/JKS
1~2시간밖에	1/SN+~/SO+2/SN+시간/NNB+밖에/JX
되지	되/VV+지/EC
않아	않/VX+아/EC
선수들은	선수/NNG+들/XSN+은/JX
한	한/MMN
종목이	종목/NNG+이/JKS
끝나면	끝나/VV+면/EC
짧은	짧/VA+은/ETM
휴식	휴식/NNG
후	후/NNG
바로	바로/MAG
다음	다음/NNG
준비에	준비/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.6.4
윤종관 대표팀 코치는 "전력을 다해 100m를 뛴 다음 다시 멀리뛰기를 위해 온 힘을 쏟아 도움닫기를 해야 한다. 그렇게 힘을 빼고 폭발적인 순발력이 필요한 포환던지기에 나선다"며 "10종경기는 짧은 시간 안에 모든 근육을 사용하도록 짜여 있다"고 말했다.

윤종관	윤종관/NNP
대표팀	대표/NNG+팀/NNG
코치는	코치/NNG+는/JX
"전력을	"/SS+전력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
100m를	100/SN+m/SW+를/JKO
뛴	뛰/VV+ㄴ/ETM
다음	다음/NNG
다시	다시/MAG
멀리뛰기를	멀리뛰기/NNG+를/JKO
위해	위하/VV+아/EC
온	온/MMN
힘을	힘/NNG+을/JKO
쏟아	쏟/VV+아/EC
도움닫기를	도움닫기/NNG+를/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
그렇게	그렇/VA+게/EC
빼고	빼/VV+고/EC
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
순발력이	순발력/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
포환던지기에	포환던지기/NNG+에/JKB
나선다"며	나서/VV+ㄴ다/EF+"/SS+며/EC
"10종경기는	"/SS+10/SN+종/NNG+경기/NNG+는/JX
짧은	짧/VA+은/ETM
시간	시간/NNG
안에	안/NNG+에/JKB
모든	모든/MMN
근육을	근육/NNG+을/JKO
사용하도록	사용/NNG+하/XSV+도록/EC
짜여	짜이/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.7.1
그래서 마라톤보다 오히려 완주가 어렵다.

그래서	그래서/MAJ
마라톤보다	마라톤/NNG+보다/JKB
오히려	오히려/MAG
완주가	완주/NNG+가/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000030.218.7.2
작년 광저우 아시안게임에선 13명 중 7명이 도중에 기권했다.

작년	작년/NNG
광저우	광저우/NNP
아시안게임에선	아시안/NNP+게임/NNG+에서/JKB+ㄴ/JX
13명	13/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
도중에	도중/NNG+에/JKB
기권했다.	기권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.7.3
경기를 한 번 치르고 나면 몸무게가 3~5㎏이 빠져 한 달 정도 회복할 시간이 필요하다.

경기를	경기/NNG+를/JKO
한	한/MMN
번	번/NNB
치르고	치르/VV+고/EC
나면	나/VX+면/EC
몸무게가	몸무게/NNG+가/JKS
3~5㎏이	3/SN+~/SO+5/SN+㎏/SW+이/JKS
빠져	빠지/VV+어/EC
달	달/NNG
정도	정도/NNG
회복할	회복/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.218.8.1
점수는 IAAF(국제육상경기연맹)의 채점표를 따른다.

점수는	점수/NNG+는/JX
IAAF(국제육상경기연맹)의	IAAF/SL+(/SS+국제육상경기연맹/NNP+)/SS+의/JKG
채점표를	채점표/NNG+를/JKO
따른다.	따르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.8.2
남자 100m의 경우 10초395가 기준(1000점)이 되고 기록에 따라 점수를 깎거나 더한다.

남자	남자/NNG
100m의	100/SN+m/SW+의/JKG
경우	경우/NNG
10초395가	10/SN+초/NNB+395/SN+가/JKS
기준(1000점)이	기준/NNG+(/SS+1000/SN+점/NNB+)/SS+이/JKC
되고	되/VV+고/EC
기록에	기록/NNG+에/JKB
따라	따르/VV+아/EC
점수를	점수/NNG+를/JKO
깎거나	깎/VV+거나/EC
더한다.	더/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.8.3
제블레의 9026점은 모든 종목에서 기준의 90%를 넘는 기록을 달성했다는 의미에서 기념비적인 기록이다.

제블레의	제블레/NNP+의/JKG
9026점은	9026/SN+점/NNB+은/JX
모든	모든/MMN
종목에서	종목/NNG+에서/JKB
기준의	기준/NNG+의/JKG
90%를	90/SN+%/SW+를/JKO
넘는	넘/VV+는/ETM
기록을	기록/NNG+을/JKO
달성했다는	달성/NNG+하/XSV+았/EP+다는/ETM
의미에서	의미/NNG+에서/JKB
기념비적인	기념비/NNG+적/XSN+이/VCP+ㄴ/ETM
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.218.8.4
제블레의 110m허들 기록(13초68)은 한국기록에 불과 0.2초 뒤진다.

제블레의	제블레/NNP+의/JKG
110m허들	110/SN+m/SW+허들/NNG
기록(13초68)은	기록/NNG+(/SS+13/SN+초/NNB+68/SN+)/SS+은/JX
한국기록에	한국/NNP+기록/NNG+에/JKB
불과	불과/MAG
0.2초	0/SN+./SP+2/SN+초/NNB
뒤진다.	뒤지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.8.5
멀리뛰기에서 8.11m를 뛴 제블레보다 좋은 기록을 낸 국내 선수는 김덕현밖에 없다.

멀리뛰기에서	멀리뛰기/NNG+에서/JKB
8.11m를	8/SN+./SP+11/SN+m/SW+를/JKO
뛴	뛰/VV+ㄴ/ETM
제블레보다	제블레/NNP+보다/JKB
좋은	좋/VA+은/ETM
기록을	기록/NNG+을/JKO
낸	내/VV+ㄴ/ETM
국내	국내/NNG
선수는	선수/NNG+는/JX
김덕현밖에	김덕현/NNP+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.218.9.1
이번 대구에선 미국 선수들이 '지구 최강의 사나이'를 놓고 정상을 다툴 전망이다.

이번	이번/NNG
대구에선	대구/NNP+에서/JKB+ㄴ/JX
미국	미국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
'지구	'/SS+지구/NNG
최강의	최강/NNG+의/JKG
사나이'를	사나이/NNG+'/SS+를/JKO
놓고	놓/VV+고/EC
정상을	정상/NNG+을/JKO
다툴	다투/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.218.9.2
지난 6월 미국 대회에서 8729점으로 올 시즌 최고 기록을 세운 애쉬튼 이튼(23)과 2009 베를린 세계선수권 챔피언 트레이 하디(27)가 자존심 대결을 펼친다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
미국	미국/NNP
대회에서	대회/NNG+에서/JKB
8729점으로	8729/SN+점/NNB+으로/JKB
올	올/NNG
시즌	시즌/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
애쉬튼	애쉬튼/NNP
이튼(23)과	이튼/NNP+(/SS+23/SN+)/SS+과/JC
2009	2009/SN
베를린	베를린/NNP
세계선수권	세계/NNG+선수/NNG+권/XSN
챔피언	챔피언/NNG
트레이	트레이/NNP
하디(27)가	하디/NNP+(/SS+27/SN+)/SS+가/JKS
자존심	자존심/NNG
대결을	대결/NNG+을/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.9.3
이튼은 달리기에 강점을 보이고 하디는 투척 종목이 강해 양보 없는 승부가 예상된다.

이튼은	이튼/NNP+은/JX
달리기에	달리기/NNG+에/JKB
강점을	강점/NNG+을/JKO
보이고	보이/VV+고/EC
하디는	하디/NNP+는/JX
투척	투척/NNG
종목이	종목/NNG+이/JKS
강해	강하/VA+아/EC
양보	양보/NNG
없는	없/VA+는/ETM
승부가	승부/NNG+가/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.9.4
한국에선 광저우 아시안게임 은메달리스트 김건우(31)가 8000점 돌파로 10위권 진입을 노린다.

한국에선	한국/NNP+에서/JKB+ㄴ/JX
광저우	광저우/NNP
아시안게임	아시안/NNP+게임/NNG
은메달리스트	은메달리스트/NNG
김건우(31)가	김건우/NNP+(/SS+31/SN+)/SS+가/JKS
8000점	8000/SN+점/NNB
돌파로	돌파/NNG+로/JKB
10위권	10/SN+위/NNB+권/XSN
진입을	진입/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.10.1
여자 선수는 100m허들과 높이뛰기, 포환던지기, 200m, 멀리뛰기, 창던지기, 800m로 구성된 7종경기(heptathlon)를 치른다.

여자	여자/NNG
선수는	선수/NNG+는/JX
100m허들과	100/SN+m/SW+허들/NNG+과/JC
높이뛰기,	높이뛰기/NNG+,/SP
포환던지기,	포환던지기/NNG+,/SP
200m,	200/SN+m/SW+,/SP
멀리뛰기,	멀리뛰기/NNG+,/SP
창던지기,	창던지기/NNG+,/SP
800m로	800/SN+m/SW+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
7종경기(heptathlon)를	7/SN+종/NNG+경기/NNG+(/SS+heptathlon/SL+)/SS+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.218.10.2
영국의 제시카 에니스(25)가 대회 2연속 우승에 도전한다.

영국의	영국/NNP+의/JKG
제시카	제시카/NNP
에니스(25)가	에니스/NNP+(/SS+25/SN+)/SS+가/JKS
대회	대회/NNG
2연속	2/SN+연속/NNG
우승에	우승/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


