# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.73
metadata : {}


# id : NWRW1800000032.73.1.1
한은, 금 15t 또 ‘뒷북 매입’

한은,	한은/NNP+,/SP
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.73.6.3
한은이 금을 추가로 매입한 것은 지난 6~7월 중 25t을 매입한 다음 4개월만으로 올해만 두차례에 걸쳐 40t을 매입한 셈이다.

한은이	한은/NNP+이/JKS
금을	금/NNG+을/JKO
추가로	추가/NNG+로/JKB
매입한	매입/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
6~7월	6/SN+~/SO+7/SN+월/NNB
중	중/NNB
25t을	25/SN+t/SW+을/JKO
다음	다음/NNG
4개월만으로	4/SN+개월/NNB+만/NNB+으로/JKB
올해만	올해/NNG+만/JX
두차례에	두/MMN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
40t을	40/SN+t/SW+을/JKO
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.73.7.1
하지만 달러화의 약세로 금값이 올해초부터 급등해 한은이 지난 6월에 이어 이번에도 높은 가격으로 금을 매입했다는 비판이 나온다.

하지만	하지만/MAJ
달러화의	달러화/NNG+의/JKG
약세로	약세/NNG+로/JKB
금값이	금값/NNG+이/JKS
올해초부터	올해/NNG+초/NNB+부터/JX
급등해	급등/NNG+하/XSV+아/EC
한은이	한은/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
6월에	6/SN+월/NNB+에/JKB
이어	잇/VV+어/EC
이번에도	이번/NNG+에/JKB+도/JX
높은	높/VA+은/ETM
가격으로	가격/NNG+으로/JKB
금을	금/NNG+을/JKO
매입했다는	매입/NNG+하/XSV+았/EP+다는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.73.7.2
한은의 이번 금 매입 단가는 트로이온스(런던 금시장 거래 단위) 당 1700여달러로 추정된다.

한은의	한은/NNP+의/JKG
이번	이번/NNG
금	금/NNG
매입	매입/NNG
단가는	단가/NNG+는/JX
트로이온스(런던	트로이온스/NNB+(/SS+런던/NNP
금시장	금시장/NNG
거래	거래/NNG
단위)	단위/NNG+)/SS
당	당/XSN
1700여달러로	1700/SN+여/XSN+달러/NNB+로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.73.7.3
금값이 지난 9월초 온스당 1900달러를 정점으로 다소 떨어지기는 했지만 지난 6~7월 시세인 약 1540달러(추정)보다 150~200달러 높은 가격이다.

금값이	금값/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
9월초	9/SN+월/NNB+초/NNB
온스당	온스/NNB+당/XSN
1900달러를	1900/SN+달러/NNB+를/JKO
정점으로	정점/NNG+으로/JKB
다소	다소/MAG
떨어지기는	떨어지/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
6~7월	6/SN+~/SO+7/SN+월/NNB
시세인	시세/NNG+이/VCP+ㄴ/ETM
약	약/MMA
1540달러(추정)보다	1540/SN+달러/NNB+(/SS+추정/NNG+)/SS+보다/JKB
150~200달러	150/SN+~/SO+200/SN+달러/NNB
높은	높/VA+은/ETM
가격이다.	가격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.73.7.4
지난해말 금값은 1300달러 수준이었다.

지난해말	지난해/NNG+말/NNB
금값은	금값/NNG+은/JX
1300달러	1300/SN+달러/NNB
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.73.8.1
한은은 우리나라가 중국 일본 대만 등과 함께 주요 외환 보유국임에도 불구하고 이를 대부분 달러로 가지고 있어 투자 다변화가 필요하다는 지적을 10여년전부터 받아왔다.

한은은	한은/NNP+은/JX
우리나라가	우리나라/NNG+가/JKS
중국	중국/NNP
일본	일본/NNP
대만	대만/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
주요	주요/NNG
외환	외환/NNG
보유국임에도	보유국/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이를	이/NP+를/JKO
대부분	대/XPN+부분/NNG
달러로	달러/NNG+로/JKB
가지고	가지/VV+고/EC
있어	있/VX+어/EC
투자	투자/NNG
다변화가	다변/NNG+화/XSN+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적을	지적/NNG+을/JKO
10여년전부터	10/SN+여/XSN+년/NNB+전/NNG+부터/JX
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.73.8.2
한은은 이런 요구를 외면하다 올해 6월 당시 금값이 고점이던 때 매입에 나서면서 비판을 받았다.

한은은	한은/NNP+은/JX
이런	이런/MMD
요구를	요구/NNG+를/JKO
외면하다	외면/NNG+하/XSV+다/EC
올해	올해/NNG
6월	6/SN+월/NNB
당시	당시/NNG
금값이	금값/NNG+이/JKS
고점이던	고점/NNG+이/VCP+던/ETM
때	때/NNG
매입에	매입/NNG+에/JKB
나서면서	나서/VV+면서/EC
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.73.8.3
이와 대조적으로 중국 중앙은행인 인민은행은 금가격이 온스당 300달러대이던 2003년부터 금을 매입했고 당시 600t이던 금보유량을 6년만에 1000t까지 끌어올렸다.

이와	이/NP+와/JKB
대조적으로	대조/NNG+적/XSN+으로/JKB
중국	중국/NNP
중앙은행인	중앙은행/NNG+이/VCP+ㄴ/ETM
인민은행은	인민은행/NNP+은/JX
금가격이	금/NNG+가격/NNG+이/JKS
온스당	온스/NNB+당/XSN
300달러대이던	300/SN+달러/NNB+대/XSN+이/VCP+던/ETM
2003년부터	2003/SN+년/NNB+부터/JX
금을	금/NNG+을/JKO
매입했고	매입/NNG+하/XSV+았/EP+고/EC
당시	당시/NNG
600t이던	600/SN+t/SW+이/VCP+던/ETM
금보유량을	금/NNG+보유량/NNG+을/JKO
6년만에	6/SN+년/NNB+만/NNB+에/JKB
1000t까지	1000/SN+t/SW+까지/JX
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.73.9.1
하준경 한양대 교수(경제학부)는 “민간 부문의 펀드도 안정성을 고려하는데 한은이 무역 흑자가 나던 1998년부터 작년까지 금 매입을 외면해 왔다”며 “늦었지만 안정성을 위해서 좀더 금에 투자해야 한다”고 말했다.

하준경	하준경/NNP
한양대	한양대/NNP
교수(경제학부)는	교수/NNG+(/SS+경제학부/NNG+)/SS+는/JX
“민간	“/SS+민간/NNG
부문의	부문/NNG+의/JKG
펀드도	펀드/NNG+도/JX
안정성을	안정/NNG+성/XSN+을/JKO
고려하는데	고려/NNG+하/XSV+는데/EC
한은이	한은/NNP+이/JKS
무역	무역/NNG
흑자가	흑자/NNG+가/JKS
나던	나/VV+던/ETM
1998년부터	1998/SN+년/NNB+부터/JX
작년까지	작년/NNG+까지/JX
금	금/NNG
매입을	매입/NNG+을/JKO
외면해	외면/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“늦었지만	“/SS+늦/VA+었/EP+지만/EC
위해서	위하/VV+아서/EC
좀더	좀/MAG+더/MAG
금에	금/NNG+에/JKB
투자해야	투자/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.73.10.1
한편 우리나라의 외환보유액은 금을 포함해 모두 3086억달러로 전월말보다 23억5000만달러 줄었다.

한편	한편/MAG
우리나라의	우리나라/NNG+의/JKG
외환보유액은	외환/NNG+보유액/NNG+은/JX
금을	금/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
3086억달러로	3086/SN+억/NR+달러/NNB+로/JKB
전월말보다	전월/NNG+말/NNB+보다/JKB
23억5000만달러	23/SN+억/NR+5000/SN+만/NR+달러/NNB
줄었다.	줄/VV+었/EP+다/EF+./SF


