# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.310
metadata : {}


# id : NWRW1800000026.310.1.1
김종훈본부장 친구 딸 등 4명 최근 계약직서 정규직 전환;전윤철 前 감사원장 딸, 前 대사 사위도 특혜의혹

김종훈본부장	김종훈/NNP+본부장/NNG
때는	때/NNG+는/JX
통상교섭본부장이었다.	통상/NNG+교섭/NNG+본부장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.310.3.1
외교부는 작년에 3년 이상 근무한 계약직을 대상으로 정규직 채용을 위한 시험을 치렀다.

외교부는	외교부/NNG+는/JX
작년에	작년/NNG+에/JKB
3년	3/SN+년/NNB
이상	이상/NNG
근무한	근무/NNG+하/XSV+ㄴ/ETM
계약직을	계약직/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
정규직	정규직/NNG
채용을	채용/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시험을	시험/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.3.2
외교부는 원래 4명을 정규직으로 뽑겠다고 했지만 응시자 5명 중 A씨를 포함한 2명만 정규직으로 전환됐다.

외교부는	외교부/NNG+는/JX
원래	원래/MAG
4명을	4/SN+명/NNB+을/JKO
정규직으로	정규직/NNG+으로/JKB
뽑겠다고	뽑/VV+겠/EP+다고/EC
했지만	하/VV+았/EP+지만/EC
응시자	응시자/NNG
5명	5/SN+명/NNB
중	중/NNB
A씨를	A/SL+씨/NNB+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
2명만	2/SN+명/NNB+만/JX
전환됐다.	전환/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.3.3
당시 심사위원 중 한 명은 통상분야의 전직 외교관이었다.

당시	당시/NNG
심사위원	심사/NNG+위원/NNG
중	중/NNB
한	한/MMN
명은	명/NNB+은/JX
통상분야의	통상/NNG+분야/NNG+의/JKG
전직	전직/NNG
외교관이었다.	외교관/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.310.3.4
외교부는 "5명 지원자 중 자격을 갖춘 사람이 없어 2명만 선발했고, A씨가 김 본부장 친구 딸이란 사실은 전혀 몰랐다"고 말했다.

외교부는	외교부/NNG+는/JX
"5명	"/SS+5/SN+명/NNB
지원자	지원자/NNG
중	중/NNB
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
없어	없/VA+어/EC
2명만	2/SN+명/NNB+만/JX
선발했고,	선발/NNG+하/XSV+았/EP+고/EC+,/SP
A씨가	A/SL+씨/NNB+가/JKS
김	김/NNP
본부장	본부장/NNG
친구	친구/NNG
딸이란	딸/NNG+이/VCP+란/ETM
사실은	사실/NNG+은/JX
전혀	전혀/MAG
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.310.3.5
A씨와 함께 정규직으로 전환된 또 다른 한 명은 노무현 정부 관료의 자녀인 것으로 알려졌다.

A씨와	A/SL+씨/NNB+와/JKB
함께	함께/MAG
정규직으로	정규직/NNG+으로/JKB
전환된	전환/NNG+되/XSV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
한	한/MMN
명은	명/NNB+은/JX
노무현	노무현/NNP
정부	정부/NNG
관료의	관료/NNG+의/JKG
자녀인	자녀/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.4.1
민주당 김동철 의원은 A씨 외에도, 최근 전직 대사들의 자녀와 친척 3명이 계약직에서 정규직으로 특혜 전환됐다고 주장했다.

민주당	민주당/NNP
김동철	김동철/NNP
의원은	의원/NNG+은/JX
A씨	A/SL+씨/NNB
외에도,	외/NNB+에/JKB+도/JX+,/SP
최근	최근/MAG
전직	전직/NNG
대사들의	대사/NNG+들/XSN+의/JKG
자녀와	자녀/NNG+와/JC
친척	친척/NNG
3명이	3/SN+명/NNB+이/JKS
계약직에서	계약직/NNG+에서/JKB
정규직으로	정규직/NNG+으로/JKB
특혜	특혜/NNG
전환됐다고	전환/NNG+되/XSV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.310.5.1
전윤철 전 감사원장의 딸(40)도 지난 6월 1명을 뽑는 프랑스어 능통자 전문인력 6급에 합격해 특혜 의혹이 제기됐다.

전윤철	전윤철/NNP
전	전/MMD
감사원장의	감사원장/NNG+의/JKG
딸(40)도	딸/NNG+(/SS+40/SN+)/SS+도/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
1명을	1/SN+명/NNB+을/JKO
뽑는	뽑/VV+는/ETM
프랑스어	프랑스어/NNP
능통자	능통자/NNG
전문인력	전문/NNG+인력/NNG
6급에	6/SN+급/NNG+에/JKB
합격해	합격/NNG+하/XSV+아/EC
특혜	특혜/NNG
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.5.2
외교부는 "전 전 원장 딸은 서울대를 졸업했고, 외부 심사위원들도 높은 점수를 줬다"고 밝혔다.

외교부는	외교부/NNG+는/JX
"전	"/SS+전/NNP
전	전/MMD
원장	원장/NNG
딸은	딸/NNG+은/JX
서울대를	서울대/NNP+를/JKO
졸업했고,	졸업/NNG+하/XSV+았/EP+고/EC+,/SP
외부	외부/NNG
심사위원들도	심사/NNG+위원/NNG+들/XSN+도/JX
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
줬다"고	주/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.6.1
한편 자유선진당 박선영 의원은 이날 "2006년 홍모 전 대사의 딸을 불법 특채한 외교부가 2007년엔 홍 전 대사의 사위도 특채로 채용했다"고 주장했다.

한편	한편/MAG
자유선진당	자유선진당/NNP
박선영	박선영/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
"2006년	"/SS+2006/SN+년/NNB
홍모	홍/NNP+모/NP
전	전/MMD
대사의	대사/NNG+의/JKG
딸을	딸/NNG+을/JKO
불법	불법/NNG
특채한	특채/NNG+하/XSV+ㄴ/ETM
외교부가	외교부/NNG+가/JKS
2007년엔	2007/SN+년/NNB+에/JKB+ㄴ/JX
홍	홍/NNP
사위도	사위/NNG+도/JX
특채로	특채/NNG+로/JKB
채용했다"고	채용/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.310.6.2
외교부는 이날 외교부 자체 특별조사팀을 만들어, 유 장관 딸 외에 다른 특혜 채용이 없었는지 조사하기로 했다.

외교부는	외교부/NNG+는/JX
이날	이날/NNG
외교부	외교부/NNG
자체	자체/NNG
특별조사팀을	특별/NNG+조사/NNG+팀/NNG+을/JKO
만들어,	만들/VV+어/EC+,/SP
유	유/NNP
장관	장관/NNG
딸	딸/NNG
외에	외/NNB+에/JKB
다른	다른/MMD
특혜	특혜/NNG
채용이	채용/NNG+이/JKS
없었는지	없/VA+었/EP+는지/EC
조사하기로	조사/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


