# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.273
metadata : {}


# id : NWRW1800000028.273.1.1
하회마을엔 뮤지컬 ‘두둥실’

하회마을엔	하회마을/NNP+에/JKB+ㄴ/JX
춤과	춤/NNG+과/JC
노래와	노래/NNG+와/JKB
어우러져	어우러지/VV+어/EC
관객들을	관객/NNG+들/XSN+을/JKO
사로잡게	사로잡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.273.4.2
테너 이광순, 뮤지컬 배우 박철호, 김수용, 탤런트 김형민, 연극배우 전은미 등이 출연한다.

테너	테너/NNG
이광순,	이광순/NNP+,/SP
뮤지컬	뮤지컬/NNG
배우	배우/NNG
박철호,	박철호/NNP+,/SP
김수용,	김수용/NNP+,/SP
탤런트	탤런트/NNG
김형민,	김형민/NNP+,/SP
연극배우	연극배우/NNG
전은미	전은미/NNP
등이	등/NNB+이/JKS
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.273.4.3
국악 입문 40년 만에 뮤지컬에 출연하는 국악인 김영임씨가 동네 아낙으로 도창역을 맡아 전체적인 이야기를 이끌며 신명나는 판을 벌인다.

국악	국악/NNG
입문	입문/NNG
40년	40/SN+년/NNB
만에	만/NNB+에/JKB
뮤지컬에	뮤지컬/NNG+에/JKB
출연하는	출연/NNG+하/XSV+는/ETM
국악인	국악인/NNG
김영임씨가	김영임/NNP+씨/NNB+가/JKS
동네	동네/NNG
아낙으로	아낙/NNG+으로/JKB
도창역을	도창/NNG+역/NNG+을/JKO
맡아	맡/VV+아/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
이끌며	이끌/VV+며/EC
신명나는	신명/NNG+나/VV+는/ETM
판을	판/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.273.4.4
관객들은 별이 쏟아지는 밤하늘 새하얀 모래밭과 푸른 소나무 숲에서 공연을 감상하면서 운치를 한껏 즐길 수 있다.

관객들은	관객/NNG+들/XSN+은/JX
별이	별/NNG+이/JKS
쏟아지는	쏟아지/VV+는/ETM
밤하늘	밤하늘/NNG
새하얀	새하얗/VA+ㄴ/ETM
모래밭과	모래밭/NNG+과/JC
푸른	푸르/VA+ㄴ/ETM
소나무	소나무/NNG
숲에서	숲/NNG+에서/JKB
공연을	공연/NNG+을/JKO
감상하면서	감상/NNG+하/XSV+면서/EC
운치를	운치/NNG+를/JKO
한껏	한껏/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


