# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.210
metadata : {}


# id : NWRW1800000045.210.1.1
“月2회 휴업, 영업자유 침해 아냐… 골목상권 보호-상생 공익 크다”

“月2회	“/SS+月/SH+2/SN+회/NNB
대법원은 “소비자 이용 빈도가 비교적 낮은 심야나 새벽 시간대의 영업만을 제한하는 것이고, 의무휴업일도 한 달에 2일이어서 영업의 자유나 소비자 선택권이 본질적으로 침해됐다고 볼 수 없다”고 판단했다.

대법원은	대/XPN+법원/NNG+은/JX
“소비자	“/SS+소비자/NNG
이용	이용/NNG
빈도가	빈도/NNG+가/JKS
비교적	비교/NNG+적/XSN
낮은	낮/VA+은/ETM
심야나	심야/NNG+나/JC
새벽	새벽/NNG
시간대의	시간대/NNG+의/JKG
영업만을	영업/NNG+만/JX+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
의무휴업일도	의무/NNG+휴업일/NNG+도/JX
한	한/MMN
달에	달/NNB+에/JKB
2일이어서	2/SN+일/NNB+이/VCP+어서/EC
영업의	영업/NNG+의/JKG
자유나	자유/NNG+나/JC
소비자	소비자/NNG
선택권이	선택/NNG+권/XSN+이/JKS
본질적으로	본질/NNG+적/XSN+으로/JKB
침해됐다고	침해/NNG+되/XSV+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.7.1
이 같은 판단에는 소상공인진흥원과 시장경영진흥원이 2012년 5월 27일과 6월 10일에 실시한 각 의무휴업일의 경제효과 조사 결과도 반영됐다.

이	이/NP
같은	같/VA+은/ETM
판단에는	판단/NNG+에/JKB+는/JX
소상공인진흥원과	소상공인진흥원/NNP+과/JC
시장경영진흥원이	시장경영진흥원/NNP+이/JKS
2012년	2012/SN+년/NNB
5월	5/SN+월/NNB
27일과	27/SN+일/NNB+과/JC
6월	6/SN+월/NNB
10일에	10/SN+일/NNB+에/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
각	각/MMD
의무휴업일의	의무/NNG+휴업일/NNG+의/JKG
경제효과	경제/NNG+효과/NNG
조사	조사/NNG
결과도	결과/NNG+도/JX
반영됐다.	반영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.210.7.2
조사 결과에 따르면 중소 소매업체와 전통시장의 매출액과 평균 고객이 의무휴업일이 없던 기간에 비해 각각 10.3%와 10% 증가했다.

조사	조사/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
중소	중소/NNG
소매업체와	소매업체/NNG+와/JC
전통시장의	전통/NNG+시장/NNG+의/JKG
매출액과	매출액/NNG+과/JC
평균	평균/NNG
고객이	고객/NNG+이/JKS
의무휴업일이	의무/NNG+휴업일/NNG+이/JKS
없던	없/VA+던/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
10.3%와	10/SN+./SP+3/SN+%/SW+와/JC
10%	10/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.8.1
대법원은 또 지자체의 영업시간 제한 근거가 된 ‘옛 유통산업발전법’에 규정된 ‘대형마트’에 이번 소송을 낸 롯데마트 청량리점, 홈플러스 동대문점 등이 포함된다고 판단했다.

대법원은	대/XPN+법원/NNG+은/JX
또	또/MAG
지자체의	지자체/NNG+의/JKG
영업시간	영업시간/NNG
제한	제한/NNG
근거가	근거/NNG+가/JKC
된	되/VV+ㄴ/ETM
‘옛	‘/SS+옛/MMA
유통산업발전법’에	유통/NNG+산업/NNG+발전법/NNG+’/SS+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
‘대형마트’에	‘/SS+대형/NNG+마트/NNG+’/SS+에/JKB
이번	이번/NNG
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
롯데마트	롯데마트/NNP
청량리점,	청량리점/NNG+,/SP
홈플러스	홈플러스/NNP
동대문점	동대문점/NNG
등이	등/NNB+이/JKS
포함된다고	포함/NNG+되/XSV+ㄴ다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.8.2
이 법에는 ‘지자체는 대규모 점포와 중소유통업의 상생발전을 위해 필요하다고 인정되는 경우 대형마트의 영업시간을 제한하거나 의무휴업일을 지정할 수 있다’고 규정하고 있다.

이	이/MMD
법에는	법/NNG+에/JKB+는/JX
‘지자체는	‘/SS+지자체/NNG+는/JX
대규모	대/XPN+규모/NNG
점포와	점포/NNG+와/JC
중소유통업의	중소/NNG+유통업/NNG+의/JKG
상생발전을	상생/NNG+발전/NNG+을/JKO
위해	위하/VV+아/EC
필요하다고	필요/NNG+하/XSA+다고/EC
인정되는	인정/NNG+되/XSV+는/ETM
경우	경우/NNG
대형마트의	대형/NNG+마트/NNG+의/JKG
영업시간을	영업시간/NNG+을/JKO
제한하거나	제한/NNG+하/XSV+거나/EC
의무휴업일을	의무/NNG+휴업일/NNG+을/JKO
지정할	지정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.210.8.3
앞서 2심 재판부는 ‘대형마트’의 요건으로 ‘점원 도움 없이 소매하는 점포 집단’이라고 한 이 법 규정을 근거로 이들 점포가 대형마트에 해당하지 않는다고 판단해 지자체의 영업시간 제한이 위법하다고 봤다.

앞서	앞서/MAG
2심	2심/NNG
재판부는	재판부/NNG+는/JX
‘대형마트’의	‘/SS+대형/NNG+마트/NNG+’/SS+의/JKG
요건으로	요건/NNG+으로/JKB
‘점원	‘/SS+점원/NNG
도움	도움/NNG
없이	없이/MAG
소매하는	소매/NNG+하/XSV+는/ETM
점포	점포/NNG
집단’이라고	집단/NNG+’/SS+이라고/JKQ
한	하/VV+ㄴ/ETM
이	이/MMD
법	법/NNG
규정을	규정/NNG+을/JKO
근거로	근거/NNG+로/JKB
이들	이/NP+들/XSN
점포가	점포/NNG+가/JKS
대형마트에	대형/NNG+마트/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않는다고	않/VX+는다고/EC
판단해	판단/NNG+하/XSV+아/EC
지자체의	지자체/NNG+의/JKG
영업시간	영업시간/NNG
제한이	제한/NNG+이/JKS
위법하다고	위법/NNG+하/XSV+다고/EC
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.9.1
그러나 대법원은 원고들에 대해 “일단 대형마트로 개설 등록되었다면 등록된 형식에 따라 대규모 점포를 일체로 판단해야 한다”며 “개별 점포의 실질이 대형마트 요건에 부합하는지 살필 것은 아니다”고 설명했다.

그러나	그러나/MAJ
대법원은	대/XPN+법원/NNG+은/JX
원고들에	원고/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
“일단	“/SS+일단/MAG
대형마트로	대형/NNG+마트/NNG+로/JKB
개설	개설/NNG
등록되었다면	등록/NNG+되/XSV+었/EP+다면/EC
등록된	등록/NNG+되/XSV+ㄴ/ETM
형식에	형식/NNG+에/JKB
따라	따르/VV+아/EC
대규모	대/XPN+규모/NNG
점포를	점포/NNG+를/JKO
일체로	일체/NNG+로/JKB
판단해야	판단/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“개별	“/SS+개별/NNG
점포의	점포/NNG+의/JKG
실질이	실질/NNG+이/JKS
대형마트	대형/NNG+마트/NNG
요건에	요건/NNG+에/JKB
부합하는지	부합/NNG+하/XSV+는지/EC
살필	살피/VV+ㄹ/ETM
것은	것/NNB+은/JX
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.9.2
소비자들이 이들 점포를 대형마트로 인식하고 있는 상황에서 형식상 대형마트 여부를 논하는 게 의미가 없다는 취지다.

소비자들이	소비자/NNG+들/XSN+이/JKS
이들	이/NP+들/XSN
점포를	점포/NNG+를/JKO
대형마트로	대형/NNG+마트/NNG+로/JKB
인식하고	인식/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
형식상	형식/NNG+상/XSN
대형마트	대형/NNG+마트/NNG
여부를	여부/NNG+를/JKO
논하는	논하/VV+는/ETM
게	거/NNB+이/JKS
의미가	의미/NNG+가/JKS
없다는	없/VA+다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.210.10.1
헌법 119조 제2항에 규정된 ‘경제 민주화’ 원리에도 부합한다는 게 대법원 판단이다.

헌법	헌법/NNG
119조	119/SN+조/NNB
제2항에	제/XPN+2/SN+항/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
‘경제	‘/SS+경제/NNG
민주화’	민주/NNG+화/XSN+’/SS
원리에도	원리/NNG+에/JKB+도/JX
부합한다는	부합/NNG+하/XSV+ㄴ다는/ETM
게	거/NNB+이/JKS
대법원	대/XPN+법원/NNG
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.210.10.2
대법원은 “공공복리를 실현하기 위해 법률로 경제주체의 경제활동을 제한하더라도 정당한 목적과 합리적인 수단에 의하고 개인의 자유와 권리의 본질적 내용을 침해하는 것이 아니라면 해당 경제주체는 이 제한을 받아들여야 한다”고 밝혔다.

대법원은	대/XPN+법원/NNG+은/JX
“공공복리를	“/SS+공공복리/NNG+를/JKO
실현하기	실현/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
법률로	법률/NNG+로/JKB
경제주체의	경제/NNG+주체/NNG+의/JKG
경제활동을	경제/NNG+활동/NNG+을/JKO
제한하더라도	제한/NNG+하/XSV+더라도/EC
정당한	정당하/VA+ㄴ/ETM
목적과	목적/NNG+과/JC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
수단에	수단/NNG+에/JKB
의하고	의하/VV+고/EC
개인의	개인/NNG+의/JKG
자유와	자유/NNG+와/JC
권리의	권리/NNG+의/JKG
본질적	본질/NNG+적/XSN
내용을	내용/NNG+을/JKO
침해하는	침해/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라면	아니/VCN+라면/EC
해당	해당/NNG
경제주체는	경제/NNG+주체/NNG+는/JX
이	이/MMD
제한을	제한/NNG+을/JKO
받아들여야	받아들이/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.210.11.1
○ 접점 찾기 위한 시도 이어져

○	○/SW
접점	접점/NNG
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
시도	시도/NNG
이어져	이어지/VV+어/EC


# id : NWRW1800000045.210.12.1
지자체들은 대법원의 판결에 일제히 환영하고 나섰다.

지자체들은	지자체/NNG+들/XSN+은/JX
대법원의	대/XPN+법원/NNG+의/JKG
판결에	판결/NNG+에/JKB
일제히	일제히/MAG
환영하고	환영/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.210.12.2
서울 성동구는 “영세상인 보호와 상생발전의 기대에 부응한 판결을 적극 환영한다”며 “앞으로 대형마트와 대기업슈퍼마켓(SSM)의 의무휴업일을 월 2회로 유지하고 영업제한 시간을 늘려 전통시장 활성화에 힘을 보태겠다”고 밝혔다.

서울	서울/NNP
성동구는	성동구/NNP+는/JX
“영세상인	“/SS+영세/NNG+상인/NNG
보호와	보호/NNG+와/JC
상생발전의	상생/NNG+발전/NNG+의/JKG
기대에	기대/NNG+에/JKB
부응한	부응/NNG+하/XSV+ㄴ/ETM
판결을	판결/NNG+을/JKO
적극	적극/NNG
환영한다”며	환영/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
대형마트와	대형/NNG+마트/NNG+와/JC
대기업슈퍼마켓(SSM)의	대/XPN+기업/NNG+슈퍼마켓/NNG+(/SS+SSM/SL+)/SS+의/JKG
의무휴업일을	의무/NNG+휴업일/NNG+을/JKO
월	월/NNG
2회로	2/SN+회/NNB+로/JKB
유지하고	유지/NNG+하/XSV+고/EC
영업제한	영업/NNG+제한/NNG
시간을	시간/NNG+을/JKO
늘려	늘리/VV+어/EC
전통시장	전통/NNG+시장/NNG
활성화에	활성/NNG+화/XSN+에/JKB
힘을	힘/NNG+을/JKO
보태겠다”고	보태/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.210.12.3
대형마트 측은 “아쉽지만 대법원의 판결을 존중한다”면서도 “대형마트와 전통시장이 진정으로 상생할 수 있는 방안에 대한 논의가 반영되길 바랐지만 그러지 못했다”고 말했다.

대형마트	대형/NNG+마트/NNG
측은	측/NNB+은/JX
“아쉽지만	“/SS+아쉽/VA+지만/EC
대법원의	대/XPN+법원/NNG+의/JKG
판결을	판결/NNG+을/JKO
존중한다”면서도	존중/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“대형마트와	“/SS+대형/NNG+마트/NNG+와/JC
전통시장이	전통/NNG+시장/NNG+이/JKS
진정으로	진정/NNG+으로/JKB
상생할	상생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안에	방안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
반영되길	반영/NNG+되/XSV+기/ETN+ㄹ/JKO
바랐지만	바라/VV+았/EP+지만/EC
그러지	그러/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.13.1
희비가 엇갈렸지만 양측 모두 중소상인 보호와 소비자 선택권 보장 간 접점을 찾기 위한 노력도 곳곳에서 시도하고 있다.

희비가	희비/NNG+가/JKS
엇갈렸지만	엇갈리/VV+었/EP+지만/EC
양측	양측/NNG
모두	모두/MAG
중소상인	중소/NNG+상인/NNG
보호와	보호/NNG+와/JC
소비자	소비자/NNG
선택권	선택/NNG+권/XSN
보장	보장/NNG
간	간/NNB
접점을	접점/NNG+을/JKO
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력도	노력/NNG+도/JX
곳곳에서	곳곳/NNG+에서/JKB
시도하고	시도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.210.13.2
일부 지자체는 소비자 선택권 존중을 위해 의무휴무일을 일요일이 아닌 평일로 바꾸고 있다.

일부	일부/NNG
지자체는	지자체/NNG+는/JX
소비자	소비자/NNG
선택권	선택/NNG+권/XSN
존중을	존중/NNG+을/JKO
위해	위하/VV+아/EC
의무휴무일을	의무/NNG+휴무일/NNG+을/JKO
일요일이	일요일/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
평일로	평일/NNG+로/JKB
바꾸고	바꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.210.13.3
대형 유통업체들은 전통시장 시설 현대화 지원, 영업 노하우 전수 등을 통해 골목상권, 중소상인과의 상생을 꾀하고 있다.

대형	대형/NNG
유통업체들은	유통업체/NNG+들/XSN+은/JX
전통시장	전통/NNG+시장/NNG
시설	시설/NNG
현대화	현대/NNG+화/XSN
지원,	지원/NNG+,/SP
영업	영업/NNG
노하우	노하우/NNG
전수	전수/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
골목상권,	골목/NNG+상권/NNG+,/SP
중소상인과의	중소/NNG+상인/NNG+과/JKB+의/JKG
상생을	상생/NNG+을/JKO
꾀하고	꾀하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.210.14.1
중소기업청에 따르면 7월 말 현재 전국 228개 기초자치단체 중 대형마트, 대기업슈퍼마켓 등이 있는 지자체는 175곳이다.

중소기업청에	중소기업청/NNG+에/JKB
따르면	따르/VV+면/EC
7월	7/SN+월/NNB
말	말/NNB
현재	현재/MAG
전국	전국/NNG
228개	228/SN+개/NNB
기초자치단체	기초/NNG+자치/NNG+단체/NNG
중	중/NNB
대형마트,	대형/NNG+마트/NNG+,/SP
대기업슈퍼마켓	대/XPN+기업/NNG+슈퍼마켓/NNG
등이	등/NNB+이/JKS
있는	있/VA+는/ETM
지자체는	지자체/NNG+는/JX
175곳이다.	175/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.210.14.2
이 중 151개(86.3%) 지자체가 의무휴업 조례를 시행 중이다.

이	이/MMD
중	중/NNB
151개(86.3%)	151/SN+개/NNB+(/SS+86/SN+./SP+3/SN+%/SW+)/SS
지자체가	지자체/NNG+가/JKS
의무휴업	의무/NNG+휴업/NNG
조례를	조례/NNG+를/JKO
시행	시행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.210.14.3
20개 지자체에서는 대형마트들이 자율적으로 휴무를 시행하고 있다.

20개	20/SN+개/NNB
지자체에서는	지자체/NNG+에서/JKB+는/JX
대형마트들이	대형/NNG+마트/NNG+들/XSN+이/JKS
자율적으로	자율/NNG+적/XSN+으로/JKB
휴무를	휴무/NNG+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.210.15.1
의무·자율휴업을 시행하는 지자체 가운데 서울 25개 자치구를 포함한 127곳이 둘째, 넷째 주 일요일 휴무를 적용하고 있고, 나머지 44곳은 평일과 전통시장 장날 등 지역 상황에 따라 휴무를 실시하고 있다.

의무·자율휴업을	의무/NNG+·/SP+자율/NNG+휴업/NNG+을/JKO
시행하는	시행/NNG+하/XSV+는/ETM
지자체	지자체/NNG
가운데	가운데/NNG
서울	서울/NNP
25개	25/SN+개/NNB
자치구를	자치구/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
127곳이	127/SN+곳/NNG+이/JKS
둘째,	둘째/NR+,/SP
넷째	넷째/NR
주	주/NNG
일요일	일요일/NNG
휴무를	휴무/NNG+를/JKO
적용하고	적용/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
나머지	나머지/NNG
44곳은	44/SN+곳/NNG+은/JX
평일과	평일/NNG+과/JC
전통시장	전통/NNG+시장/NNG
장날	장날/NNG
등	등/NNB
지역	지역/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


