# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.251
metadata : {}


# id : NWRW1800000022.251.1.1
"바나나·초콜릿·떡 정도는 골프장에 들여올 수 있다" 공정거래위원회

"바나나·초콜릿·떡	"/SS+바나나/NNG+·/SP+초콜릿/NNG+·/SP+떡/NNG
1회	1/SN+회/NNB
어길	어기/VV+ㄹ/ETM
경우	경우/NNG
벌점	벌점/NNG
25점(한달간	25/SN+점/NNB+(/SS+한/MMN+달/NNB+간/XSN
골프장	골프장/NNG
예약	예약/NNG
정지),	정지/NNG+)/SS+,/SP
2회	2/SN+회/NNB
어기면	어기/VV+면/EC
50점(두달	50/SN+점/NNB+(/SS+두/MMN+달/NNB
정지)	정지/NNG+)/SS
등의	등/NNB+의/JKG
규정을	규정/NNG+을/JKO
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.251.2.5
부킹을 정지당한 회원들은 "골프장측이 시중보다 2~3배나 비싼 골프장내 음식만 사먹도록 강요하고 있다"며 공정거래위원회에 민원을 제기했다.

부킹을	부킹/NNG+을/JKO
정지당한	정지/NNG+당하/XSV+ㄴ/ETM
회원들은	회원/NNG+들/XSN+은/JX
"골프장측이	"/SS+골프장/NNG+측/NNB+이/JKS
시중보다	시중/NNG+보다/JKB
2~3배나	2/SN+~/SO+3/SN+배/NNG+나/JX
비싼	비싸/VA+ㄴ/ETM
골프장내	골프장/NNG+내/NNB
음식만	음식/NNG+만/JX
사먹도록	사/VV+아/EC+먹/VV+도록/EC
강요하고	강요/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
공정거래위원회에	공정/NNG+거래/NNG+위원회/NNG+에/JKB
민원을	민원/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.251.2.6
이에 공정거래위원회는 15일 "골프장 사업자들이 자신의 우월적 지위를 이용해 골프장 이용객의 권익을 부당하게 침해하고 있다"며 강남300컨트리클럽 사업자인 ㈜자인관광에게 해당 안내문 및 규정을 없애라고 통보했다.

이에	이/NP+에/JKB
공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
15일	15/SN+일/NNB
"골프장	"/SS+골프장/NNG
사업자들이	사업자/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
우월적	우월/NNG+적/XSN
지위를	지위/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
골프장	골프장/NNG
이용객의	이용객/NNG+의/JKG
권익을	권익/NNG+을/JKO
부당하게	부당/NNG+하/XSA+게/EC
침해하고	침해/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
강남300컨트리클럽	강남300컨트리클럽/NNP
사업자인	사업자/NNG+이/VCP+ㄴ/ETM
㈜자인관광에게	㈜/SW+자인관광/NNP+에게/JKB
해당	해당/NNG
안내문	안내문/NNG
및	및/MAG
규정을	규정/NNG+을/JKO
없애라고	없애/VV+라고/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.251.3.1
공정위는 골프장 회원들이 가져온 물, 커피 같은 음료수와 초콜릿, 바나나, 떡 등은 골프장 환경을 훼손하거나 경기에 영향을 미치지 않는 간단한 간식류이므로 당초 골프장측에서 내세운 규정에도 위반되지 않는다고 밝혔다.

공정위는	공정위/NNG+는/JX
골프장	골프장/NNG
회원들이	회원/NNG+들/XSN+이/JKS
가져온	가져오/VV+ㄴ/ETM
물,	물/NNG+,/SP
커피	커피/NNG
같은	같/VA+은/ETM
음료수와	음료수/NNG+와/JC
초콜릿,	초콜릿/NNG+,/SP
바나나,	바나나/NNG+,/SP
떡	떡/NNG
등은	등/NNB+은/JX
환경을	환경/NNG+을/JKO
훼손하거나	훼손/NNG+하/XSV+거나/EC
경기에	경기/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
않는	않/VX+는/ETM
간단한	간단하/VA+ㄴ/ETM
간식류이므로	간식/NNG+류/XSN+이/VCP+므로/EC
당초	당초/NNG
골프장측에서	골프장/NNG+측/NNB+에서/JKB
내세운	내세우/VV+ㄴ/ETM
규정에도	규정/NNG+에/JKB+도/JX
위반되지	위반/NNG+되/XSV+지/EC
않는다고	않/VX+는다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


