# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.9
metadata : {}


# id : NWRW1800000053.9.1.1
이번에도 ‘허니문 랠리’?… 기대 부푼 증시

이번에도	이번/NNG+에/JKB+도/JX
나타난	나타나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.9.5.2
조용준 하나금융투자 리서치센터장은 “새 정부가 출범하면 대선 공약을 이행하기 위한 대규모 투자가 집행될 것으로 예상되는 등 새로운 정책에 대한 기대감이 높아진다”고 설명했다.

조용준	조용준/NNP
하나금융투자	하나금융투자/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“새	“/SS+새/MMA
정부가	정부/NNG+가/JKS
출범하면	출범/NNG+하/XSV+면/EC
대선	대선/NNG
공약을	공약/NNG+을/JKO
이행하기	이행/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
투자가	투자/NNG+가/JKS
집행될	집행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
높아진다”고	높아지/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.9.5.3
이어 “이는 다시 투자 심리에 영향을 주고 증시에 호재로 작용하는 경향이 있다”고 덧붙였다.

이어	이어/MAG
“이는	“/SS+이/NP+는/JX
다시	다시/MAG
투자	투자/NNG
심리에	심리/NNG+에/JKB
영향을	영향/NNG+을/JKO
주고	주/VV+고/EC
증시에	증시/NNG+에/JKB
호재로	호재/NNG+로/JKB
작용하는	작용/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.9.6.1
실제로 코스피는 처음으로 직선제로 치러진 1987년 13대 대통령 선거 전날인 12월 15일 472.17에서 1년 뒤에는 901.96으로 두 배 가까이로 상승했다.

실제로	실제로/MAG
코스피는	코스피/NNP+는/JX
처음으로	처음/NNG+으로/JKB
직선제로	직선/NNG+제/XSN+로/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
1987년	1987/SN+년/NNB
13대	13/SN+대/NNB
대통령	대통령/NNG
선거	선거/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
12월	12/SN+월/NNB
15일	15/SN+일/NNB
472.17에서	472/SN+./SP+17/SN+에서/JKB
1년	1/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
901.96으로	901/SN+./SP+96/SN+으로/JKB
두	두/MMN
배	배/NNG
가까이로	가까이/NNG+로/JKB
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.9.6.2
이어 김영삼 정부(30.79%), 김대중 정부(25.42%), 노무현 정부(14.38%) 때까지 모두 두 자릿수 상승률을 보이며 강세를 보였다.

이어	이어/MAG
김영삼	김영삼/NNP
정부(30.79%),	정부/NNG+(/SS+30/SN+./SP+79/SN+%/SW+)/SS+,/SP
김대중	김대중/NNP
정부(25.42%),	정부/NNG+(/SS+25/SN+./SP+42/SN+%/SW+)/SS+,/SP
노무현	노무현/NNP
정부(14.38%)	정부/NNG+(/SS+14/SN+./SP+38/SN+%/SW+)/SS
때까지	때/NNG+까지/JX
모두	모두/MAG
두	두/MMN
자릿수	자릿수/NNG
상승률을	상승/NNG+률/XSN+을/JKO
보이며	보이/VV+며/EC
강세를	강세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.9.7.1
허니문 랠리는 해외에서도 나타나는 현상이다.

허니문	허니문/NNG
랠리는	랠리/NNG+는/JX
해외에서도	해외/NNG+에서/JKB+도/JX
나타나는	나타나/VV+는/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.9.7.2
올해 도널드 트럼프 대통령 취임 후 미국 증시에선 ‘트럼프 랠리’가 펼쳐졌다.

올해	올해/NNG
도널드	도널드/NNP
트럼프	트럼프/NNP
대통령	대통령/NNG
취임	취임/NNG
후	후/NNG
미국	미국/NNP
증시에선	증시/NNG+에서/JKB+ㄴ/JX
‘트럼프	‘/SS+트럼프/NNP
랠리’가	랠리/NNG+’/SS+가/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.9.7.3
1월 20일 취임 후 100일간 미국 다우존스산업평균지수는 5.99%가 올랐다.

1월	1/SN+월/NNB
20일	20/SN+일/NNB
취임	취임/NNG
후	후/NNG
100일간	100/SN+일/NNB+간/XSN
미국	미국/NNP
다우존스산업평균지수는	다우존스/NNP+산업/NNG+평균/NNG+지수/NNG+는/JX
5.99%가	5/SN+./SP+99/SN+%/SW+가/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.9.7.4
특히 송유관 건설 사업 재협상 등으로 에너지 업종이 강세를 보였고, 트럼프 대통령의 대규모 인프라 투자 및 금융 규제 폐지 공약 등에 힘입어 금융주도 상승세를 나타냈다.

특히	특히/MAG
송유관	송유관/NNG
건설	건설/NNG
사업	사업/NNG
재협상	재/XPN+협상/NNG
등으로	등/NNB+으로/JKB
에너지	에너지/NNG
업종이	업종/NNG+이/JKS
강세를	강세/NNG+를/JKO
보였고,	보이/VV+었/EP+고/EC+,/SP
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
대규모	대/XPN+규모/NNG
인프라	인프라/NNG
투자	투자/NNG
및	및/MAG
금융	금융/NNG
규제	규제/NNG
폐지	폐지/NNG
공약	공약/NNG
등에	등/NNB+에/JKB
힘입어	힘입/VV+어/EC
금융주도	금융주/NNG+도/JX
상승세를	상승세/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.9.8.1
반론도 있다.

반론도	반론/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.9.8.2
한국에선 코스피 시가총액 상위 종목에 수출주가 많은 만큼 정책적 효과보다는 글로벌 경기에 더욱 민감하게 움직인다는 것이다.

한국에선	한국/NNP+에서/JKB+ㄴ/JX
코스피	코스피/NNP
시가총액	시가/NNG+총액/NNG
상위	상위/NNG
종목에	종목/NNG+에/JKB
수출주가	수출주/NNG+가/JKS
많은	많/VA+은/ETM
만큼	만큼/NNB
정책적	정책/NNG+적/XSN
효과보다는	효과/NNG+보다/JKB+는/JX
글로벌	글로벌/NNG
경기에	경기/NNG+에/JKB
더욱	더욱/MAG
민감하게	민감/NNG+하/XSA+게/EC
움직인다는	움직이/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.9.8.3
특히 이번 대선의 경우 대통령직인수위원회가 없어 정권 초기 불확실성이 커질 수 있다는 우려도 있다.

특히	특히/MAG
이번	이번/NNG
대선의	대선/NNG+의/JKG
경우	경우/NNG
대통령직인수위원회가	대통령직/NNG+인수/NNG+위원회/NNG+가/JKS
없어	없/VA+어/EC
정권	정권/NNG
초기	초기/NNG
불확실성이	불확실/NNG+성/XSN+이/JKS
커질	커지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.9.9.1
게다가 이명박 정부 때는 글로벌 금융위기를 맞으면서 선거 전날 1,861.47이었던 코스피가 1년 뒤 1,180.97로 36.56% 하락했다.

게다가	게다가/MAG
이명박	이명박/NNP
정부	정부/NNG
때는	때/NNG+는/JX
글로벌	글로벌/NNG
금융위기를	금융/NNG+위기/NNG+를/JKO
맞으면서	맞/VV+으면서/EC
선거	선거/NNG
전날	전날/NNG
1,861.47이었던	1/SN+,/SP+861/SN+./SP+47/SN+이/VCP+었/EP+던/ETM
코스피가	코스피/NNP+가/JKS
1년	1/SN+년/NNB
뒤	뒤/NNG
1,180.97로	1/SN+,/SP+180/SN+./SP+97/SN+로/JKB
36.56%	36/SN+./SP+56/SN+%/SW
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.9.9.2
박근혜 정부 때에도 미국의 양적완화 축소에 따라 외국인 자금이 이탈하면서 1년 새 코스피가 0.37% 하락하기도 했다.

박근혜	박근혜/NNP
정부	정부/NNG
때에도	때/NNG+에/JKB+도/JX
미국의	미국/NNP+의/JKG
양적완화	양/NNG+적/XSN+완화/NNG
축소에	축소/NNG+에/JKB
따라	따르/VV+아/EC
외국인	외국인/NNG
자금이	자금/NNG+이/JKS
이탈하면서	이탈/NNG+하/XSV+면서/EC
1년	1/SN+년/NNB
새	새/NNG
코스피가	코스피/NNP+가/JKS
0.37%	0/SN+./SP+37/SN+%/SW
하락하기도	하락/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.9.10.1
하지만 4일 코스피가 2,241.24로 사상 최고치를 돌파한 가운데 새 정부가 출범하면 증시 강세가 더욱 탄력을 받을 수 있다는 기대감이 확산되는 분위기다.

하지만	하지만/MAJ
4일	4/SN+일/NNB
코스피가	코스피/NNP+가/JKS
2,241.24로	2/SN+,/SP+241/SN+./SP+24/SN+로/JKB
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
새	새/MMA
정부가	정부/NNG+가/JKS
출범하면	출범/NNG+하/XSV+면/EC
증시	증시/NNG
강세가	강세/NNG+가/JKS
더욱	더욱/MAG
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
기대감이	기대감/NNG+이/JKS
확산되는	확산/NNG+되/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.9.10.2
지기호 케이프투자증권 리서치센터장은 “새 정부의 적극적인 경기 부양 정책과 글로벌 경기 회복이 맞물려 이번에도 과거 대선처럼 증시가 좋은 환경을 유지할 것”이라고 전망했다.

지기호	지기호/NNP
케이프투자증권	케이프투자증권/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“새	“/SS+새/MMA
정부의	정부/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
경기	경기/NNG
부양	부양/NNG
정책과	정책/NNG+과/JC
글로벌	글로벌/NNG
회복이	회복/NNG+이/JKS
맞물려	맞물리/VV+어/EC
이번에도	이번/NNG+에/JKB+도/JX
과거	과거/NNG
대선처럼	대선/NNG+처럼/JKB
증시가	증시/NNG+가/JKS
좋은	좋/VA+은/ETM
환경을	환경/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


