# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.279
metadata : {}


# id : NWRW1800000040.279.1.1
법원 첫 ‘심리적 부검’…자살자에 업무상 재해 인정

법원	법원/NNG
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.279.8.4
ㄱ씨는 직원을 보충해달라고 요청했지만 받아들여지지 않았다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
직원을	직원/NNG+을/JKO
보충해달라고	보충/NNG+하/XSV+아/EC+달/VX+라고/EC
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.279.8.5
ㄱ씨는 팀을 총괄하는 업무에다 일부 팀원의 업무까지 떠안는 바람에 늘 초과근무를 했다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
팀을	팀/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
업무에다	업무/NNG+에다/JKB
일부	일부/NNG
팀원의	팀원/NNG+의/JKG
업무까지	업무/NNG+까지/JX
떠안는	떠안/VV+는/ETM
바람에	바람/NNB+에/JKB
늘	늘/MAG
초과근무를	초과/NNG+근무/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.8.6
이 무렵부터 가족이나 주변에 “일이 많아서 죽을 만큼 힘들다”는 말을 자주 했고, 우울증세도 나타났다.

이	이/MMD
무렵부터	무렵/NNB+부터/JX
가족이나	가족/NNG+이나/JC
주변에	주변/NNG+에/JKB
“일이	“/SS+일/NNG+이/JKS
많아서	많/VA+아서/EC
죽을	죽/VV+을/ETM
만큼	만큼/NNB
힘들다”는	힘들/VA+다/EF+”/SS+는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
했고,	하/VV+았/EP+고/EC+,/SP
우울증세도	우울/NNG+증세/NNG+도/JX
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.8.7
같은해 11월초 승진에서 제외되자 좌절감이 더해졌다.

같은해	같/VA+은/ETM+해/NNG
11월초	11/SN+월/NNB+초/NNB
승진에서	승진/NNG+에서/JKB
제외되자	제외/NNG+되/XSV+자/EC
좌절감이	좌절감/NNG+이/JKS
더해졌다.	더/MAG+하/XSV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.279.8.8
ㄱ씨는 11월말 아파트에서 뛰어내렸다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
11월말	11/SN+월/NNB+말/NNB
아파트에서	아파트/NNG+에서/JKB
뛰어내렸다.	뛰어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.8.9
바지 주머니에는 “내가 죽는 이유는 업무 스트레스 때문이다.

바지	바지/NNG
주머니에는	주머니/NNG+에/JKB+는/JX
“내가	“/SS+내/NP+가/JKS
죽는	죽/VV+는/ETM
이유는	이유/NNG+는/JX
업무	업무/NNG
스트레스	스트레스/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.279.8.10
한직에서 고생하는 직원들을 우대해줘야 한다”는 내용의 유서가 들어 있었다.

한직에서	한직/NNG+에서/JKB
고생하는	고생/NNG+하/XSV+는/ETM
직원들을	직원/NNG+들/XSN+을/JKO
우대해줘야	우대/NNG+하/XSV+아/EC+주/VX+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
유서가	유서/NNG+가/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.279.9.1
유족들은 공무원연금공단에 유족보상금을 청구했지만 공단은 업무상 재해가 아니라고 판단했고, 소송으로 이어졌다.

유족들은	유족/NNG+들/XSN+은/JX
공무원연금공단에	공무원연금공단/NNP+에/JKB
유족보상금을	유족/NNG+보상금/NNG+을/JKO
청구했지만	청구/NNG+하/XSV+았/EP+지만/EC
공단은	공단/NNG+은/JX
업무상	업무/NNG+상/XSN
재해가	재해/NNG+가/JKC
아니라고	아니/VCN+라고/EC
판단했고,	판단/NNG+하/XSV+았/EP+고/EC+,/SP
소송으로	소송/NNG+으로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.9.2
1심 재판부는 감정을 맡은 의사에게 자살 당시 경찰조사와 국세청 자체조사 자료를 바탕으로 감정하도록 했다.

1심	1심/NNG
재판부는	재판부/NNG+는/JX
감정을	감정/NNG+을/JKO
맡은	맡/VV+은/ETM
의사에게	의사/NNG+에게/JKB
자살	자살/NNG
당시	당시/NNG
경찰조사와	경찰/NNG+조사/NNG+와/JC
국세청	국세청/NNG
자체조사	자체/NNG+조사/NNG
자료를	자료/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
감정하도록	감정/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.279.9.3
의사는 “우울증의 근본 원인은 개인의 기질적 취약성인데, ㄱ씨에게 기질적 취약성이 있는지 확인하기 어렵다”는 취지의 의견을 냈다.

의사는	의사/NNG+는/JX
“우울증의	“/SS+우울증/NNG+의/JKG
근본	근본/NNG
원인은	원인/NNG+은/JX
개인의	개인/NNG+의/JKG
기질적	기질/NNG+적/XSN
취약성인데,	취약/NNG+성/XSN+이/VCP+ㄴ데/EC+,/SP
ㄱ씨에게	ㄱ/NNG+씨/NNB+에게/JKB
취약성이	취약/NNG+성/XSN+이/JKS
있는지	있/VA+는지/EF
확인하기	확인/NNG+하/XSV+기/ETN
어렵다”는	어렵/VA+다/EF+”/SS+는/ETM
취지의	취지/NNG+의/JKG
의견을	의견/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.9.4
1심 재판부는 감정서와 다른 증거를 종합해 업무와 자살의 인과관계를 인정하지 않았다.

1심	1심/NNG
재판부는	재판부/NNG+는/JX
감정서와	감정서/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
증거를	증거/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
업무와	업무/NNG+와/JC
자살의	자살/NNG+의/JKG
인과관계를	인과/NNG+관계/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.1
유족들은 항소심에서 재감정을 신청했다.

유족들은	유족/NNG+들/XSN+은/JX
항소심에서	항소심/NNG+에서/JKB
재감정을	재/XPN+감정/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.2
재판부도 이를 받아들여 민성호(51) 연세대 원주의대 정신건강의학과 교수(원주시 정신건강증진센터장)에게 심리적 부검을 의뢰했다.

재판부도	재판부/NNG+도/JX
이를	이/NP+를/JKO
받아들여	받아들이/VV+어/EC
민성호(51)	민성호/NNP+(/SS+51/SN+)/SS
연세대	연세대/NNP
원주의대	원주의대/NNP
정신건강의학과	정신/NNG+건강/NNG+의학과/NNG
교수(원주시	교수/NNG+(/SS+원주시/NNP
정신건강증진센터장)에게	정신/NNG+건강/NNG+증진/NNG+센터장/NNG+)/SS+에게/JKB
심리적	심리/NNG+적/XSN
부검을	부검/NNG+을/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.3
민 교수는 서류 말고도 ㄱ씨의 부인과 자녀들, 직장 동료 등 7명을 면담하면서 석달간 ㄱ씨의 자살 원인을 추적했다.

민	민/NNP
교수는	교수/NNG+는/JX
서류	서류/NNG
말고도	말/VV+고/EC+도/JX
ㄱ씨의	ㄱ/NNG+씨/NNB+의/JKG
부인과	부인/NNG+과/JC
자녀들,	자녀/NNG+들/XSN+,/SP
직장	직장/NNG
동료	동료/NNG
등	등/NNB
7명을	7/SN+명/NNB+을/JKO
면담하면서	면담/NNG+하/XSV+면서/EC
석달간	석/MMN+달/NNB+간/XSN
자살	자살/NNG
원인을	원인/NNG+을/JKO
추적했다.	추적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.4
민 교수는 “ㄱ씨 자살의 유전적 요인은 발견되지 않았고, 신경생물학적 요인은 (사망 당시) 신체부검을 하지 않아 확인할 수 없었다.

민	민/NNP
교수는	교수/NNG+는/JX
“ㄱ씨	“/SS+ㄱ/NNG+씨/NNB
자살의	자살/NNG+의/JKG
유전적	유전/NNG+적/XSN
요인은	요인/NNG+은/JX
발견되지	발견/NNG+되/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
신경생물학적	신경/NNG+생물학/NNG+적/XSN
(사망	(/SS+사망/NNG
당시)	당시/NNG+)/SS
신체부검을	신체/NNG+부검/NNG+을/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.279.10.5
절망감·우울장애 등 심리적 요인과 승진 좌절, 불합리한 조직 개편, 업무 과중 등 사회적 요인에 의해 자살을 했다고 볼 수 있다”고 분석했다.

절망감·우울장애	절망감/NNG+·/SP+우울/NNG+장애/NNG
등	등/NNB
심리적	심리/NNG+적/XSN
요인과	요인/NNG+과/JC
승진	승진/NNG
좌절,	좌절/NNG+,/SP
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
조직	조직/NNG
개편,	개편/NNG+,/SP
업무	업무/NNG
과중	과중/NNG
사회적	사회/NNG+적/XSN
요인에	요인/NNG+에/JKB
의해	의하/VV+아/EC
자살을	자살/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.6
민 교수는 지난달 법정에 나와 유족과 공단, 재판부가 2시간 동안 감정절차의 적절성과 감정의견의 신뢰성에 대해 묻는 질문에 답했다.

민	민/NNP
교수는	교수/NNG+는/JX
지난달	지난달/NNG
법정에	법정/NNG+에/JKB
나와	나오/VV+아/EC
유족과	유족/NNG+과/JC
공단,	공단/NNG+,/SP
재판부가	재판부/NNG+가/JKS
2시간	2/SN+시간/NNB
동안	동안/NNG
감정절차의	감정/NNG+절차/NNG+의/JKG
적절성과	적절성/NNG+과/JC
감정의견의	감정/NNG+의견/NNG+의/JKG
신뢰성에	신뢰/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.7
재판부는 감정의견이 적정성과 신뢰성을 갖췄다고 판단했고, 다른 여러 증거를 종합해 ㄱ씨의 자살과 업무의 상관관계를 인정했다.

재판부는	재판부/NNG+는/JX
감정의견이	감정/NNG+의견/NNG+이/JKS
적정성과	적정/NNG+성/XSN+과/JC
신뢰성을	신뢰/NNG+성/XSN+을/JKO
갖췄다고	갖추/VV+었/EP+다고/EC
판단했고,	판단/NNG+하/XSV+았/EP+고/EC+,/SP
다른	다른/MMD
여러	여러/MMN
증거를	증거/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
ㄱ씨의	ㄱ/NNG+씨/NNB+의/JKG
자살과	자살/NNG+과/JC
업무의	업무/NNG+의/JKG
상관관계를	상관관계/NNG+를/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.279.10.8
박형남 부장판사는 “서류에 의존한 감정서로는 실체적 진실을 파악하기 어렵다.

박형남	박형남/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
“서류에	“/SS+서류/NNG+에/JKB
의존한	의존/NNG+하/XSV+ㄴ/ETM
감정서로는	감정서/NNG+로/JKB+는/JX
실체적	실체/NNG+적/XSN
진실을	진실/NNG+을/JKO
파악하기	파악/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000040.279.10.9
기존 감정방식의 한계를 극복하고 자살 원인을 제대로 규명하기 위해 심리적 부검을 도입할 필요가 절실하다”고 말했다.

기존	기존/NNG
감정방식의	감정/NNG+방식/NNG+의/JKG
한계를	한계/NNG+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
자살	자살/NNG
원인을	원인/NNG+을/JKO
제대로	제대로/MAG
규명하기	규명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
심리적	심리/NNG+적/XSN
부검을	부검/NNG+을/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
절실하다”고	절실하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


