# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.193
metadata : {}


# id : NWRW1800000022.193.1.1
[모닝커피] 벌써 보신의 계절?… 생닭, 날개 돋친 듯 팔려

[모닝커피]	[/SS+모닝커피/NNG+]/SS
신장률을	신장/NNG+률/XSN+을/JKO
보였고,	보이/VV+었/EP+고/EC+,/SP
신세계	신세계/NNP
이마트에서는	이마트/NNP+에서/JKB+는/JX
460%나	460/SN+%/SW+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.193.4.1
이처럼 생닭이 인기를 누리고 있는 이유는 올해 본격적인 더위가 다른 해보다 일찍 찾아오면서 삼계탕 등 보양식 상품들이 5월부터 성수기를 맞고 있기 때문이다.

이처럼	이/NP+처럼/JKB
생닭이	생/XPN+닭/NNG+이/JKS
인기를	인기/NNG+를/JKO
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
이유는	이유/NNG+는/JX
올해	올해/NNG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
더위가	더위/NNG+가/JKS
다른	다른/MMD
해보다	해/NNG+보다/JKB
일찍	일찍/MAG
찾아오면서	찾아오/VV+면서/EC
삼계탕	삼계탕/NNG
등	등/NNB
보양식	보양식/NNG
상품들이	상품/NNG+들/XSN+이/JKS
5월부터	5/SN+월/NNB+부터/JX
성수기를	성수기/NNG+를/JKO
맞고	맞/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.193.4.2
특히 올해는 신종 플루 영향으로 돼지고기 대신 생닭을 찾는 사람도 늘었다.

특히	특히/MAG
올해는	올해/NNG+는/JX
신종	신종/NNG
플루	플루/NNG
영향으로	영향/NNG+으로/JKB
돼지고기	돼지고기/NNG
대신	대신/NNG
생닭을	생/XPN+닭/NNG+을/JKO
찾는	찾/VV+는/ETM
사람도	사람/NNG+도/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.193.4.3
신세계백화점 이종묵 신선식품팀장은 "무더운 날씨가 계속되면서 예년에 비해 2주일 정도 빠르게 보양식 매출이 상승세를 보이고 있다"며 "불황기에 저렴한 비용으로 건강을 챙기려는 소비 심리가 작용한 것도 한 요인"이라고 말했다.

신세계백화점	신세계백화점/NNP
이종묵	이종묵/NNP
신선식품팀장은	신선식품/NNG+팀장/NNG+은/JX
"무더운	"/SS+무덥/VA+ㄴ/ETM
날씨가	날씨/NNG+가/JKS
계속되면서	계속/NNG+되/XSV+면서/EC
예년에	예년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
2주일	2/SN+주일/NNB
정도	정도/NNG
빠르게	빠르/VA+게/EC
보양식	보양식/NNG
매출이	매출/NNG+이/JKS
상승세를	상승세/NNG+를/JKO
보이고	보이/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"불황기에	"/SS+불황기/NNG+에/JKB
저렴한	저렴하/VA+ㄴ/ETM
비용으로	비용/NNG+으로/JKB
건강을	건강/NNG+을/JKO
챙기려는	챙기/VV+려는/ETM
소비	소비/NNG
심리가	심리/NNG+가/JKS
작용한	작용/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
한	한/MMN
요인"이라고	요인/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.193.5.1
생닭 외에도 보양식 상품으로 알려진 전복, 한우 사골 등 상품 판매도 상승세를 타고 있다.

생닭	생/XPN+닭/NNG
외에도	외/NNB+에/JKB+도/JX
보양식	보양식/NNG
상품으로	상품/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
전복,	전복/NNG+,/SP
한우	한우/NNG
사골	사골/NNG
등	등/NNB
상품	상품/NNG
판매도	판매/NNG+도/JX
상승세를	상승세/NNG+를/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.193.5.2
롯데백화점에서는 5월(21일까지) 한우 꼬리, 우족, 사골 등 한우 보신상품 매출이 지난해 같은 기간보다 20% 정도 늘었다.

롯데백화점에서는	롯데백화점/NNP+에서/JKB+는/JX
5월(21일까지)	5/SN+월/NNB+(/SS+21/SN+일/NNB+까지/JX+)/SS
한우	한우/NNG
꼬리,	꼬리/NNG+,/SP
우족,	우족/NNG+,/SP
사골	사골/NNG
등	등/NNB
보신상품	보신/NNG+상품/NNG
매출이	매출/NNG+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
20%	20/SN+%/SW
정도	정도/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.193.5.3
이마트의 경우 양념장어와 낙지가 30% 넘는 신장률을 보였고 간편하게 먹을 수 있는 곰탕이나 삼계탕 팩 상품 매출도 20%나 올랐다.

이마트의	이마트/NNP+의/JKG
경우	경우/NNG
양념장어와	양념장어/NNG+와/JC
낙지가	낙지/NNG+가/JKS
30%	30/SN+%/SW
넘는	넘/VV+는/ETM
신장률을	신장/NNG+률/XSN+을/JKO
보였고	보이/VV+었/EP+고/EC
간편하게	간편하/VA+게/EC
먹을	먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
곰탕이나	곰탕/NNG+이나/JX
삼계탕	삼계탕/NNG
팩	팩/NNG
상품	상품/NNG
매출도	매출/NNG+도/JX
20%나	20/SN+%/SW+나/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.193.5.4
신세계백화점에서는 수산물 보양식인 전복의 매출이 30%, 수삼(水蔘·말리지 않은 인삼)은 40% 증가했다.

신세계백화점에서는	신세계백화점/NNP+에서/JKB+는/JX
수산물	수산물/NNG
보양식인	보양식/NNG+이/VCP+ㄴ/ETM
전복의	전복/NNG+의/JKG
매출이	매출/NNG+이/JKS
30%,	30/SN+%/SW+,/SP
수삼(水蔘·말리지	수삼/NNG+(/SS+水蔘/SH+·/SP+말리/VV+지/EC
않은	않/VX+은/ETM
인삼)은	인삼/NNG+)/SS+은/JX
40%	40/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.193.5.5
이에 따라 유통업체들은 여름철 특화 상품 출시를 앞당기는 등 행사를 경쟁적으로 개최하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
유통업체들은	유통업체/NNG+들/XSN+은/JX
여름철	여름철/NNG
특화	특화/NNG
상품	상품/NNG
출시를	출시/NNG+를/JKO
앞당기는	앞당기/VV+는/ETM
등	등/NNB
행사를	행사/NNG+를/JKO
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
개최하고	개최/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


