# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.310
metadata : {}


# id : NWRW1800000028.310.1.1
‘조희문’ 성토장 된 영화인 대토론회

‘조희문’	‘/SS+조희문/NNP+’/SS
영화인의	영화인/NNG+의/JKG
목소리는	목소리/NNG+는/JX
분노로	분노/NNG+로/JKB
떨렸고	떨리/VV+었/EP+고/EC
끝내	끝내/MAG
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.310.7.1
한국영화제작가협회의 이준동 부회장(나우필름 대표)도 할 말이 많아 보였다.

한국영화제작가협회의	한국영화제작가협회/NNP+의/JKG
이준동	이준동/NNP
부회장(나우필름	부회장/NNG+(/SS+나우필름/NNP
대표)도	대표/NNG+)/SS+도/JX
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
많아	많/VA+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.7.2
“영진위가 강한섭 위원장(전임자) 때 아무 일 안 해서 정부기관 평가에서 최하위를 맞았죠.

“영진위가	“/SS+영진위/NNG+가/JKS
강한섭	강한섭/NNP
위원장(전임자)	위원장/NNG+(/SS+전임자/NNG+)/SS
때	때/NNG
아무	아무/MMD
일	일/NNG
안	안/MAG
해서	하/VV+아서/EC
정부기관	정부/NNG+기관/NNG
평가에서	평가/NNG+에서/JKB
최하위를	최/XPN+하위/NNG+를/JKO
맞았죠.	맞/VV+았/EP+죠/EF+./SF


# id : NWRW1800000028.310.7.3
지금 조희문 위원장은 조금 일하긴 했지만, 그 한 일이 전부 직권남용이었어요.

지금	지금/MAG
조희문	조희문/NNP
위원장은	위원장/NNG+은/JX
조금	조금/MAG
일하긴	일/NNG+하/XSV+기/ETN+ㄴ/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
그	그/MMD
한	하/VV+ㄴ/ETM
일이	일/NNG+이/JKS
전부	전부/MAG
직권남용이었어요.	직권/NNG+남용/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000028.310.7.4
그 사람 임명한 쪽은 문화붑니다.

그	그/MMD
사람	사람/NNG
임명한	임명/NNG+하/XSV+ㄴ/ETM
쪽은	쪽/NNB+은/JX
문화붑니다.	문화부/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.310.7.5
영진위가 영화진흥 기구인지, 영화 말살을 위한 기구인지, 우려스럽기 짝이 없습니다.”

영진위가	영진위/NNG+가/JKS
영화진흥	영화/NNG+진흥/NNG
기구인지,	기구/NNG+이/VCP+ㄴ지/EC+,/SP
영화	영화/NNG
말살을	말살/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
우려스럽기	우려/NNG+스럽/XSA+기/ETN
짝이	짝/NNG+이/JKS
없습니다.”	없/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000028.310.8.1
이춘연 한국영화단체연대회의 회장(씨네2000 대표)은 “여기 앉아 있는 게 안 믿어진다”고 했다.

이춘연	이춘연/NNP
한국영화단체연대회의	한국영화단체연대회의/NNP
회장(씨네2000	회장/NNG+(/SS+씨네2000/NNP
대표)은	대표/NNG+)/SS+은/JX
“여기	“/SS+여기/NP
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
안	안/MAG
믿어진다”고	믿/VV+어/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.310.8.2
“신뢰가 아주 깨져가지고요.

“신뢰가	“/SS+신뢰/NNG+가/JKS
아주	아주/MAG
깨져가지고요.	깨지/VV+어/EC+가지/VX+고/EC+요/JX+./SF


# id : NWRW1800000028.310.8.3
처음엔 (토론회를) 영진위가 한다고 했는데, 거기랑은 못 한다고 해서 날짜 연기해 가며 문화부가 하자 해서 모인 겁니다.”

처음엔	처음/NNG+에/JKB+ㄴ/JX
(토론회를)	(/SS+토론회/NNG+를/JKO+)/SS
영진위가	영진위/NNG+가/JKS
한다고	하/VV+ㄴ다고/EC
했는데,	하/VV+았/EP+는데/EC+,/SP
거기랑은	거기/NP+랑/JKB+은/JX
못	못/MAG
해서	하/VV+아서/EC
날짜	날짜/NNG
연기해	연기/NNG+하/XSV+아/EC
가며	가/VX+며/EC
문화부가	문화부/NNG+가/JKS
하자	하/VV+자/EC
모인	모이/VV+ㄴ/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.310.8.4
그는 간명하게 영화계의 당면 과제를 짚어냈다.”

그는	그/NP+는/JX
간명하게	간명하/VA+게/EC
영화계의	영화/NNG+계/XSN+의/JKG
당면	당면/NNG
과제를	과제/NNG+를/JKO
짚어냈다.”	짚/VV+어/EC+내/VX+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.310.8.5
영진위의 정상화가 가장 당면한 과제입니다.

영진위의	영진위/NNG+의/JKG
정상화가	정상/NNG+화/XSN+가/JKS
가장	가장/MAG
당면한	당면/NNG+하/XSV+ㄴ/ETM
과제입니다.	과제/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.310.8.6
(조희문 외압 등) 잘못 분명히 드러났으니 위원장 사퇴하고 문화부는 영진위를 정상화해달라고, 두번이나 성명서 발표하고 기자회견해서 말도 많이 했어요.

(조희문	(/SS+조희문/NNP
외압	외압/NNG
등)	등/NNB+)/SS
잘못	잘못/MAG
분명히	분명히/MAG
드러났으니	드러나/VV+았/EP+으니/EC
위원장	위원장/NNG
사퇴하고	사퇴/NNG+하/XSV+고/EC
문화부는	문화부/NNG+는/JX
영진위를	영진위/NNG+를/JKO
정상화해달라고,	정상/NNG+화/XSN+하/XSV+아/EC+달/VX+라고/EC+,/SP
두번이나	두/MMN+번/NNB+이나/JX
성명서	성명서/NNG
발표하고	발표/NNG+하/XSV+고/EC
기자회견해서	기자/NNG+회견/NNG+하/XSV+아서/EC
말도	말/NNG+도/JX
많이	많이/MAG
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000028.310.8.7
하지만 석달이 넘도록 묵묵부답이에요.

하지만	하지만/MAJ
석달이	석/MMN+달/NNB+이/JKS
넘도록	넘/VV+도록/EC
묵묵부답이에요.	묵묵부답/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000028.310.8.8
조 위원장은 영진위 정상화를 위해 대승적 차원에서 나가시고, 다른 분 임명하든 임명권자인 문화부가 책임지고 정상화시켜야 합니다.”

조	조/NNP
위원장은	위원장/NNG+은/JX
영진위	영진위/NNG
정상화를	정상/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
대승적	대승/NNG+적/XSN
차원에서	차원/NNG+에서/JKB
나가시고,	나가/VV+시/EP+고/EC+,/SP
다른	다른/MMD
분	분/NNB
임명하든	임명/NNG+하/XSV+든/EC
임명권자인	임명권자/NNG+이/VCP+ㄴ/ETM
문화부가	문화부/NNG+가/JKS
책임지고	책임지/VV+고/EC
정상화시켜야	정상/NNG+화/XSN+시키/XSV+어야/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.310.9.1
고개를 숙인 조 위원장은 대강당 한쪽 구석에 묵묵히 앉아 있었다.

고개를	고개/NNG+를/JKO
숙인	숙이/VV+ㄴ/ETM
조	조/NNP
위원장은	위원장/NNG+은/JX
대강당	대/XPN+강당/NNG
한쪽	한쪽/NNG
구석에	구석/NNG+에/JKB
묵묵히	묵묵히/MAG
앉아	앉/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.310.9.2
박형동 문화부 과장은 “영진위 정상화가 당면한 문제라는 지적에 공감한다”고만 말했다.

박형동	박형동/NNP
문화부	문화부/NNG
과장은	과장/NNG+은/JX
“영진위	“/SS+영진위/NNG
정상화가	정상/NNG+화/XSN+가/JKS
당면한	당면/NNG+하/XSV+ㄴ/ETM
문제라는	문제/NNG+이/VCP+라는/ETM
지적에	지적/NNG+에/JKB
공감한다”고만	공감/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ+만/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.310.9.3
이날 토론에는 물론 씨제이·롯데·쇼박스 등 메이저 3사의 독과점 등에 대한 비판과 대안 촉구도 쏟아졌다.

이날	이날/NNG
토론에는	토론/NNG+에/JKB+는/JX
물론	물론/MAG
씨제이·롯데·쇼박스	씨제이/NNP+·/SP+롯데/NNP+·/SP+쇼박스/NNP
등	등/NNB
메이저	메이저/NNG
3사의	3사/NNG+의/JKG
독과점	독과점/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
비판과	비판/NNG+과/JC
대안	대안/NNG
촉구도	촉구/NNG+도/JX
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.9.4
그러나 이런 모든 영화의 위기를 나타내는 징표들도, 불공정 외압의 주인공인 조희문 영진위원장의 버티기와 영진위의 개점휴업 상황 앞에선 무의미하게 보였다.

그러나	그러나/MAJ
이런	이런/MMD
모든	모든/MMN
영화의	영화/NNG+의/JKG
위기를	위기/NNG+를/JKO
나타내는	나타내/VV+는/ETM
징표들도,	징표/NNG+들/XSN+도/JX+,/SP
불공정	불/XPN+공정/NNG
외압의	외압/NNG+의/JKG
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
조희문	조희문/NNP
영진위원장의	영진위원장/NNG+의/JKG
버티기와	버티기/NNG+와/JC
영진위의	영진위/NNG+의/JKG
개점휴업	개점휴업/NNG
상황	상황/NNG
앞에선	앞/NNG+에서/JKB+ㄴ/JX
무의미하게	무/XPN+의미/NNG+하/XSA+게/EC
보였다.	보이/VV+었/EP+다/EF+./SF


