# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.98
metadata : {}


# id : NWRW1800000038.98.1.1
눈총만 받던 아프가니스탄의 지적장애 아이들, 하키로 영웅 되다

눈총만	눈총/NNG+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.6.1
아프가니스탄은 세계에서 가장 위험한 국가로 꼽힌다.

아프가니스탄은	아프가니스탄/NNP+은/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
국가로	국가/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.98.6.2
소련의 침공, 미국의 군사개입, 내전, 테러 등으로 30년 넘게 포연(砲煙)이 그칠 날이 없었다.

소련의	소련/NNP+의/JKG
침공,	침공/NNG+,/SP
미국의	미국/NNP+의/JKG
군사개입,	군사/NNG+개입/NNG+,/SP
내전,	내전/NNG+,/SP
테러	테러/NNG
등으로	등/NNB+으로/JKB
30년	30/SN+년/NNB
넘게	넘/VV+게/EC
포연(砲煙)이	포연/NNG+(/SS+砲煙/SH+)/SS+이/JKS
그칠	그치/VV+ㄹ/ETM
날이	날/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.98.6.3
삶은 피폐해졌다.

삶은	삶/NNG+은/JX
피폐해졌다.	피폐/NNG+하/XSV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.98.6.4
1인당 국민소득은 1000달러에 불과하다.

1인당	1/SN+인/NNG+당/XSN
국민소득은	국민/NNG+소득/NNG+은/JX
1000달러에	1000/SN+달러/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000038.98.6.5
빈곤층이 국민의 36%에 달한다.

빈곤층이	빈곤/NNG+층/XSN+이/JKS
국민의	국민/NNG+의/JKG
36%에	36/SN+%/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.98.7.1
'지적장애인 인권' 같은 건 꿈도 꾸기 어렵다.

'지적장애인	'/SS+지/NNG+적/XSN+장애인/NNG
인권'	인권/NNG+'/SS
같은	같/VA+은/ETM
건	거/NNB+ㄴ/JX
꿈도	꿈/NNG+도/JX
꾸기	꾸/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000038.98.7.2
이번에 평창을 찾은 선수 11명 가운데 셋은 집이 없다.

이번에	이번/NNG+에/JKB
평창을	평창/NNP+을/JKO
찾은	찾/VV+은/ETM
선수	선수/NNG
11명	11/SN+명/NNB
가운데	가운데/NNG
셋은	셋/NR+은/JX
집이	집/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.98.7.3
파리드(15)는 전쟁 통에 부모를 잃고 길거리에서 쓰레기를 주우며 노숙했다.

파리드(15)는	파리드/NNP+(/SS+15/SN+)/SS+는/JX
전쟁	전쟁/NNG
통에	통/NNB+에/JKB
부모를	부모/NNG+를/JKO
잃고	잃/VV+고/EC
길거리에서	길거리/NNG+에서/JKB
쓰레기를	쓰레기/NNG+를/JKO
주우며	줍/VV+으며/EC
노숙했다.	노숙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.7.4
사크히(17)는 동네 불량배들 심부름을 하며 지냈다.

사크히(17)는	사크히/NNP+(/SS+17/SN+)/SS+는/JX
동네	동네/NNG
불량배들	불량배/NNG+들/XSN
심부름을	심부름/NNG+을/JKO
하며	하/VV+며/EC
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.8.1
가족이 있는 선수들에게도 집은 감옥이나 마찬가지였다.

가족이	가족/NNG+이/JKS
있는	있/VA+는/ETM
선수들에게도	선수/NNG+들/XSN+에게/JKB+도/JX
집은	집/NNG+은/JX
감옥이나	감옥/NNG+이나/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.98.8.2
부모들은 가족의 명예에 금이 갈까 봐 지적장애를 가진 자식을 집 밖에 내보내지 않았다.

부모들은	부모/NNG+들/XSN+은/JX
가족의	가족/NNG+의/JKG
명예에	명예/NNG+에/JKB
금이	금/NNG+이/JKS
갈까	가/VV+ㄹ까/EF
봐	보/VX+아/EC
지적장애를	지/NNG+적/XSN+장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
자식을	자식/NNG+을/JKO
집	집/NNG
밖에	밖/NNG+에/JKB
내보내지	내보내/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.98.8.3
사비르(16)는 학교에 다녔지만 금세 그만뒀다.

사비르(16)는	사비르/NNP+(/SS+16/SN+)/SS+는/JX
학교에	학교/NNG+에/JKB
다녔지만	다니/VV+었/EP+지만/EC
금세	금세/MAG
그만뒀다.	그만두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.8.4
다른 아이들의 괴롭힘에 얼굴이 성할 날이 없었고, 담임교사까지 말귀를 못 알아듣는다고 때렸다고 했다.

다른	다른/MMD
아이들의	아이/NNG+들/XSN+의/JKG
괴롭힘에	괴롭힘/NNG+에/JKB
얼굴이	얼굴/NNG+이/JKS
성할	성하/VA+ㄹ/ETM
날이	날/NNG+이/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
담임교사까지	담임/NNG+교사/NNG+까지/JX
말귀를	말귀/NNG+를/JKO
못	못/MAG
알아듣는다고	알아듣/VV+는다고/EC
때렸다고	때리/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.9.1
비참했던 이들의 인생은 하지미 감독을 만나면서 달라졌다.

비참했던	비참/NNG+하/XSA+았/EP+던/ETM
이들의	이/NNB+들/XSN+의/JKG
인생은	인생/NNG+은/JX
하지미	하지미/NNP
감독을	감독/NNG+을/JKO
만나면서	만나/VV+면서/EC
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.9.2
외과의사인 하지미 감독은 2008년 입원한 아프가니스탄 스페셜올림픽 조직위 인사로부터 팀을 맡아달라는 제안을 받고 지휘봉을 잡았다.

외과의사인	외과/NNG+의사/NNG+이/VCP+ㄴ/ETM
하지미	하지미/NNP
감독은	감독/NNG+은/JX
2008년	2008/SN+년/NNB
입원한	입원/NNG+하/XSV+ㄴ/ETM
아프가니스탄	아프가니스탄/NNP
스페셜올림픽	스페셜올림픽/NNG
조직위	조직위/NNG
인사로부터	인사/NNG+로부터/JKB
팀을	팀/NNG+을/JKO
맡아달라는	맡/VV+아/EC+달/VX+라는/ETM
제안을	제안/NNG+을/JKO
받고	받/VV+고/EC
지휘봉을	지휘봉/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.9.3
그는 길거리 생활을 하는 아이들을 위해 훈련 캠프를 마련하고 숙식을 제공하며 하키를 가르쳤다.

그는	그/NP+는/JX
길거리	길거리/NNG
생활을	생활/NNG+을/JKO
하는	하/VV+는/ETM
아이들을	아이/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
훈련	훈련/NNG
캠프를	캠프/NNG+를/JKO
마련하고	마련/NNG+하/XSV+고/EC
숙식을	숙식/NNG+을/JKO
제공하며	제공/NNG+하/XSV+며/EC
하키를	하키/NNG+를/JKO
가르쳤다.	가르치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.9.4
자식들이 외부에 노출되는 것을 꺼렸던 부모들에겐 무료 진료를 해주며 설득했다.

자식들이	자식/NNG+들/XSN+이/JKS
외부에	외부/NNG+에/JKB
노출되는	노출/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
꺼렸던	꺼리/VV+었/EP+던/ETM
부모들에겐	부모/NNG+들/XSN+에게/JKB+ㄴ/JX
무료	무료/NNG
진료를	진료/NNG+를/JKO
해주며	하/VV+아/EC+주/VX+며/EC
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.9.5
그는 "처음엔 선수들이 자기 옷도 제대로 못 입었다"며 "그런데 플로어하키를 배우면서 스스로 헬멧을 쓰고 장비를 착용할 수 있게 됐다"고 했다.

그는	그/NP+는/JX
"처음엔	"/SS+처음/NNG+에/JKB+ㄴ/JX
선수들이	선수/NNG+들/XSN+이/JKS
자기	자기/NP
옷도	옷/NNG+도/JX
제대로	제대로/MAG
못	못/MAG
입었다"며	입/VV+었/EP+다/EF+"/SS+며/EC
"그런데	"/SS+그런데/MAJ
플로어하키를	플로어하키/NNG+를/JKO
배우면서	배우/VV+면서/EC
스스로	스스로/MAG
헬멧을	헬멧/NNG+을/JKO
쓰고	쓰/VV+고/EC
장비를	장비/NNG+를/JKO
착용할	착용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.10.1
아프가니스탄 플로어하키팀의 데뷔 무대는 2009년 미국 아이다호 동계 스페셜올림픽이었다.

아프가니스탄	아프가니스탄/NNP
플로어하키팀의	플로어하키팀/NNG+의/JKG
데뷔	데뷔/NNG
무대는	무대/NNG+는/JX
2009년	2009/SN+년/NNB
미국	미국/NNP
아이다호	아이다호/NNP
동계	동계/NNG
스페셜올림픽이었다.	스페셜올림픽/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.98.10.2
하지미 감독이 출전비 전부를 댔다.

하지미	하지미/NNP
감독이	감독/NNG+이/JKS
출전비	출전비/NNG
전부를	전부/NNG+를/JKO
댔다.	대/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.10.3
사회적 편견에도 희망을 잃지 않고 훈련했던 이들은 놀랍게도 은메달을 땄다.

사회적	사회/NNG+적/XSN
편견에도	편견/NNG+에/JKB+도/JX
희망을	희망/NNG+을/JKO
잃지	잃/VV+지/EC
않고	않/VX+고/EC
훈련했던	훈련/NNG+하/XSV+았/EP+던/ETM
이들은	이/NNB+들/XSN+은/JX
놀랍게도	놀랍/VA+게/EC+도/JX
은메달을	은메달/NNG+을/JKO
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.10.4
귀국해서는 따뜻한 환영을 받았다.

귀국해서는	귀국/NNG+하/XSV+아서/EC+는/JX
따뜻한	따뜻하/VA+ㄴ/ETM
환영을	환영/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.10.5
부모들은 '한때 내 놓았던 자식'들을 반기려 공항으로 나왔다.

부모들은	부모/NNG+들/XSN+은/JX
'한때	'/SS+한때/MAG
내	내/VV+어/EC
놓았던	놓/VX+았/EP+던/ETM
자식'들을	자식/NNG+'/SS+들/XSN+을/JKO
반기려	반기/VV+려/EC
공항으로	공항/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.10.6
파질(18)은 "형이 '너는 우리 가족의 영웅'이라며 자랑스러워했다"고 회상했다.

파질(18)은	파질/NNP+(/SS+18/SN+)/SS+은/JX
"형이	"/SS+형/NNG+이/JKS
'너는	'/SS+너/NP+는/JX
우리	우리/NP
가족의	가족/NNG+의/JKG
영웅'이라며	영웅/NNG+'/SS+이/VCP+라며/EC
자랑스러워했다"고	자랑/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+"/SS+고/JKQ
회상했다.	회상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.11.1
아프가니스탄 팀은 평창에서도 메달을 노린다.

아프가니스탄	아프가니스탄/NNP
팀은	팀/NNG+은/JX
평창에서도	평창/NNP+에서/JKB+도/JX
메달을	메달/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.98.11.2
메달의 의미를 안다기보다 '사람대접'을 받고 싶어서다.

메달의	메달/NNG+의/JKG
의미를	의미/NNG+를/JKO
안다기보다	알/VV+ㄴ다기/ETN+보다/JKB
'사람대접'을	'/SS+사람대접/NNG+'/SS+을/JKO
받고	받/VV+고/EC
싶어서다.	싶/VX+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000038.98.11.3
이번 대회를 위해 사도자이(10)와 사힐(11)이 새로 합류했다.

이번	이번/NNG
대회를	대회/NNG+를/JKO
위해	위하/VV+아/EC
사도자이(10)와	사도자이/NNP+(/SS+10/SN+)/SS+와/JC
사힐(11)이	사힐/NNP+(/SS+11/SN+)/SS+이/JKS
새로	새로/MAG
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.11.4
키 130㎝인 막내 사도자이는 전체 참가국 선수를 통틀어 가장 어린 축에 든다.

키	키/NNG
130㎝인	130/SN+㎝/SW+이/VCP+ㄴ/ETM
막내	막내/NNG
사도자이는	사도자이/NNP+는/JX
전체	전체/NNG
참가국	참가국/NNG
선수를	선수/NNG+를/JKO
통틀어	통틀/VV+어/EC
가장	가장/MAG
어린	어리/VA+ㄴ/ETM
축에	축/NNB+에/JKB
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.98.11.5
그런데도 경기를 할 땐 덩치 큰 상대와 몸싸움을 마다하지 않는다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
경기를	경기/NNG+를/JKO
할	하/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
덩치	덩치/NNG
큰	크/VA+ㄴ/ETM
상대와	상대/NNG+와/JKB
몸싸움을	몸싸움/NNG+을/JKO
마다하지	마다하/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.98.12.1
하지미 감독은 "우리 선수들은 플로어하키를 하기 전 늘 눈총만 받았지만, 지난 대회 후 메달을 따면 환대받는다는 걸 깨달았다"고 했다.

하지미	하지미/NNP
감독은	감독/NNG+은/JX
"우리	"/SS+우리/NP
선수들은	선수/NNG+들/XSN+은/JX
플로어하키를	플로어하키/NNG+를/JKO
하기	하/VV+기/ETN
전	전/NNG
늘	늘/MAG
눈총만	눈총/NNG+만/JX
받았지만,	받/VV+았/EP+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
대회	대회/NNG
후	후/NNG
메달을	메달/NNG+을/JKO
따면	따/VV+면/EC
환대받는다는	환대/NNG+받/XSV+는다는/ETM
걸	거/NNB+ㄹ/JKO
깨달았다"고	깨닫/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.12.2
사도자이는 "메달을 목에 걸고 돌아가면 아버지가 나를 어깨 위에 앉혀주실 것"이라며 "그걸 생각하면 기분이 좋다"고 했다.

사도자이는	사도자이/NNP+는/JX
"메달을	"/SS+메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸고	걸/VV+고/EC
돌아가면	돌아가/VV+면/EC
아버지가	아버지/NNG+가/JKS
나를	나/NP+를/JKO
어깨	어깨/NNG
위에	위/NNG+에/JKB
앉혀주실	앉히/VV+어/EC+주/VX+시/EP+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"그걸	"/SS+그거/NP+ㄹ/JKO
생각하면	생각/NNG+하/XSV+면/EC
기분이	기분/NNG+이/JKS
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


