# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.362
metadata : {}


# id : NWRW1800000056.362.1.1
[단독]칼 빈슨 4월말 한반도행…국방부, 알고도 숨겼다

[단독]칼	[/SS+단독/NNG+]/SS+칼/NNP
연관된	연관/NNG+되/XSV+ㄴ/ETM
`4월	`/SS+4/SN+월/NNB
위기설'이	위기설/NNG+'/SS+이/JKS
한반도를	한반도/NNP+를/JKO
뒤흔드는	뒤흔들/VV+는/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
국방부는	국방부/NNG+는/JX
빈슨함의	빈슨함/NNP+의/JKG
전개	전개/NNG
시기가	시기/NNG+가/JKS
언론	언론/NNG
등의	등/NNB+의/JKG
예상보다	예상/NNG+보다/JKB
훨씬	훨씬/MAG
늦어진다는	늦어지/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
알면서도	알/VV+면서/EC+도/JX
그런	그런/MMD
사실을	사실/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
채	채/NNB
함의	함/NNG+의/JKG
위치에	위치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
빗발치는	빗발치/VV+는/ETM
확인	확인/NNG
요구를	요구/NNG+를/JKO
무시하는	무시/NNG+하/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
위기설을	위기설/NNG+을/JKO
방관한	방관/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.362.5.1
이철희 더불어민주당 의원실은 30일 “국방부는 미국 쪽으로부터 칼 빈슨함이 4월 말께 한반도 인근으로 전개할 것이라는 통보를 받았던 것으로 확인됐다”고 밝혔다.

이철희	이철희/NNP
더불어민주당	더불어민주당/NNP
의원실은	의원실/NNG+은/JX
30일	30/SN+일/NNB
“국방부는	“/SS+국방부/NNG+는/JX
미국	미국/NNP
쪽으로부터	쪽/NNB+으로부터/JKB
칼	칼/NNP
빈슨함이	빈슨함/NNP+이/JKS
4월	4/SN+월/NNB
말께	말/NNB+께/XSN
한반도	한반도/NNP
인근으로	인근/NNG+으로/JKB
전개할	전개/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
통보를	통보/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다”고	확인/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.362.5.2
의원실 관계자는 “국방부 담당자에게 문의한 결과, 국방부가 미국 쪽으로부터 관련 내용을 통보받은 시점은 지난달 9일이었다”고 설명했다.

의원실	의원실/NNG
관계자는	관계자/NNG+는/JX
“국방부	“/SS+국방부/NNG
담당자에게	담당자/NNG+에게/JKB
문의한	문의/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
국방부가	국방부/NNG+가/JKS
미국	미국/NNP
쪽으로부터	쪽/NNB+으로부터/JKB
관련	관련/NNG
내용을	내용/NNG+을/JKO
통보받은	통보/NNG+받/XSV+은/ETM
시점은	시점/NNG+은/JX
지난달	지난달/NNG
9일이었다”고	9/SN+일/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.362.5.3
종합해보면 군 당국은 지난달 9일 칼 빈슨함이 4월 말께 한반도 인근으로 진입한다는 사실을 확인하고, 이때부터 칼 빈슨 전단이 참여하는 ‘한·미 연합해양작전’ 관련 계획을 세웠다는 것이다.

종합해보면	종합/NNG+하/XSV+아/EC+보/VX+면/EC
군	군/NNG
당국은	당국/NNG+은/JX
지난달	지난달/NNG
9일	9/SN+일/NNB
칼	칼/NNP
빈슨함이	빈슨함/NNP+이/JKS
4월	4/SN+월/NNB
말께	말/NNB+께/XSN
한반도	한반도/NNP
인근으로	인근/NNG+으로/JKB
진입한다는	진입/NNG+하/XSV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
이때부터	이때/NNG+부터/JX
빈슨	빈슨/NNP
전단이	전단/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
‘한·미	‘/SS+한·미/NNP
연합해양작전’	연합/NNG+해양/NNG+작전/NNG+’/SS
관련	관련/NNG
계획을	계획/NNG+을/JKO
세웠다는	세우/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.362.6.1
앞서 지난달 8일 미 태평양 사령부 대변인은 “북한은 이 지역에서 가장 큰 위협”이라며 칼 빈슨함의 항로 변경이 북한을 겨냥한 것임을 내비쳤다.

앞서	앞서/MAG
지난달	지난달/NNG
8일	8/SN+일/NNB
미	미/NNP
태평양	태평양/NNP
사령부	사령부/NNG
대변인은	대변인/NNG+은/JX
“북한은	“/SS+북한/NNP+은/JX
이	이/MMD
지역에서	지역/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
위협”이라며	위협/NNG+”/SS+이/VCP+라며/EC
칼	칼/NNP
빈슨함의	빈슨함/NNP+의/JKG
항로	항로/NNG
변경이	변경/NNG+이/JKS
북한을	북한/NNP+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.362.6.2
김일성 주석의 생일인 ‘태양절’(4월15일)을 앞두고, 북한의 핵실험이나 장거리 탄도미사일 발사 가능성이 제기되던 시점이었다.

김일성	김일성/NNP
주석의	주석/NNG+의/JKG
생일인	생일/NNG+이/VCP+ㄴ/ETM
‘태양절’(4월15일)을	‘/SS+태양절/NNG+’/SS+(/SS+4/SN+월/NNB+15/SN+일/NNB+)/SS+을/JKO
앞두고,	앞두/VV+고/EC+,/SP
북한의	북한/NNP+의/JKG
핵실험이나	핵/NNG+실험/NNG+이나/JC
장거리	장거리/NNG
탄도미사일	탄도/NNG+미사일/NNG
발사	발사/NNG
가능성이	가능/NNG+성/XSN+이/JKS
제기되던	제기/NNG+되/XSV+던/ETM
시점이었다.	시점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.362.6.3
이어 도널드 트럼프 미국 대통령이 미군의 ‘대북 무력시위’인 것처럼 언급하자, 미국의 독자적인 대북 군사행동 가능성까지 거론됐다.

이어	이어/MAG
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
미군의	미군/NNG+의/JKG
‘대북	‘/SS+대북/NNG
무력시위’인	무력시위/NNG+’/SS+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
언급하자,	언급/NNG+하/XSV+자/EC+,/SP
미국의	미국/NNP+의/JKG
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
군사행동	군사/NNG+행동/NNG
가능성까지	가능/NNG+성/XSN+까지/JX
거론됐다.	거론/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.362.6.4
열흘 넘도록 한반도 주변 위기감은 유례없이 증폭됐다.

열흘	열흘/NNG
넘도록	넘/VV+도록/EC
한반도	한반도/NNP
주변	주변/NNG
위기감은	위기감/NNG+은/JX
유례없이	유례없이/MAG
증폭됐다.	증폭/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.362.6.5
‘한반도 위기설’은 칼 빈슨함이 지난달 15일까지도 한반도 쪽으로 북상하지 않고 반대 경로인 인도양을 지나고 있었던 사실이 알려지면서 한풀 꺾였다.

‘한반도	‘/SS+한반도/NNP
위기설’은	위기설/NNG+’/SS+은/JX
칼	칼/NNP
빈슨함이	빈슨함/NNP+이/JKS
지난달	지난달/NNG
15일까지도	15/SN+일/NNB+까지/JX+도/JX
한반도	한반도/NNP
쪽으로	쪽/NNB+으로/JKB
북상하지	북상/NNG+하/XSV+지/EC
않고	않/VX+고/EC
반대	반대/NNG
경로인	경로/NNG+이/VCP+ㄴ/ETM
인도양을	인도양/NNP+을/JKO
지나고	지나/VV+고/EC
있었던	있/VX+었/EP+던/ETM
사실이	사실/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
한풀	한풀/MAG
꺾였다.	꺾이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.362.7.1
이 기간 국방부는 사실상 무대응으로 일관했다.

이	이/MMD
기간	기간/NNG
국방부는	국방부/NNG+는/JX
사실상	사실/NNG+상/XSN
무대응으로	무/XPN+대응/NNG+으로/JKB
일관했다.	일관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.362.7.2
칼 빈슨함의 한반도행이 보도된 뒤 첫 정례브리핑(10일)에서는 “한-미 간에는 그런 부분에 있어서 공조를 하고 있다”는 정도로 갈음했다.

칼	칼/NNP
빈슨함의	빈슨함/NNP+의/JKG
한반도행이	한반도행/NNG+이/JKS
보도된	보도/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
첫	첫/MMN
정례브리핑(10일)에서는	정례/NNG+브리핑/NNG+(/SS+10/SN+일/NNB+)/SS+에서/JKB+는/JX
“한-미	“/SS+한-미/NNP
간에는	간/NNB+에/JKB+는/JX
그런	그런/MMD
부분에	부분/NNG+에/JKB
있어서	있/VA+어서/EC
공조를	공조/NNG+를/JKO
하고	하/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
정도로	정도/NNG+로/JKB
갈음했다.	갈음/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.362.7.3
미국의 ‘거짓말’이 드러난 지난달 19일엔 “한-미 간 협의는 계속되고 있다”며 “다만 전략자산의 작전운용 관련해서는 확인해줄 수 있는 게 없다”고 했다.

미국의	미국/NNP+의/JKG
‘거짓말’이	‘/SS+거짓말/NNG+’/SS+이/JKS
드러난	드러나/VV+ㄴ/ETM
지난달	지난달/NNG
19일엔	19/SN+일/NNB+에/JKB+ㄴ/JX
“한-미	“/SS+한-미/NNP
간	간/NNB
협의는	협의/NNG+는/JX
계속되고	계속/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
전략자산의	전략/NNG+자산/NNG+의/JKG
작전운용	작전/NNG+운용/NNG
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
확인해줄	확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.362.8.1
국방부가 군 작전과 관련해 비공개 원칙을 고수해온 점을 고려해도, 국방부의 대응이 무책임했다는 비판을 피할 수 없어 보인다.

국방부가	국방부/NNG+가/JKS
군	군/NNG
작전과	작전/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
비공개	비/XPN+공개/NNG
원칙을	원칙/NNG+을/JKO
고수해온	고수/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
점을	점/NNG+을/JKO
고려해도,	고려/NNG+하/XSV+아도/EC+,/SP
국방부의	국방부/NNG+의/JKG
대응이	대응/NNG+이/JKS
무책임했다는	무/XPN+책임/NNG+하/XSA+았/EP+다는/ETM
비판을	비판/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.362.8.2
한반도 위기가 최고조에 달해 우발적 충돌 가능성까지 높아진 상황인데도 사태를 방관한 셈이기 때문이다.

한반도	한반도/NNP
위기가	위기/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
달해	달하/VV+아/EC
우발적	우발/NNG+적/XSN
충돌	충돌/NNG
가능성까지	가능/NNG+성/XSN+까지/JX
높아진	높아지/VV+ㄴ/ETM
상황인데도	상황/NNG+이/VCP+ㄴ데/EC+도/JX
사태를	사태/NNG+를/JKO
방관한	방관/NNG+하/XSV+ㄴ/ETM
셈이기	셈/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.362.8.3
이에 대해 이철희 의원은 “국민의 안보불안 해소에 앞장서야 할 국방부가 도리어 이를 방관하고 사실상 위기를 조장한 것이나 다름없다”며 “우리나라 정부가 이렇게 해도 되는지 묻고 싶다”고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
이철희	이철희/NNP
의원은	의원/NNG+은/JX
“국민의	“/SS+국민/NNG+의/JKG
안보불안	안보/NNG+불안/NNG
해소에	해소/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
할	하/VX+ㄹ/ETM
국방부가	국방부/NNG+가/JKS
도리어	도리어/MAG
이를	이/NP+를/JKO
방관하고	방관/NNG+하/XSV+고/EC
사실상	사실/NNG+상/XSN
위기를	위기/NNG+를/JKO
조장한	조장/NNG+하/XSV+ㄴ/ETM
것이나	것/NNB+이나/JX
다름없다”며	다름없/VA+다/EF+”/SS+며/EC
“우리나라	“/SS+우리나라/NNG
정부가	정부/NNG+가/JKS
이렇게	이렇/VA+게/EC
해도	하/VV+아도/EC
되는지	되/VV+는지/EC
묻고	묻/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


