# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.104
metadata : {}


# id : NWRW1800000045.104.1.1
[Economic Review]꾸준한 나눔-공유로 ‘공존공영’ 가치 창출

[Economic	[/SS+Economic/SL
뛰어난 제품력으로 미국 경제전문지에서 포브스, 포천 등에서 선정한 글로벌 기업 브랜드 순위에서도 높은 랭킹을 유지하며 그 명성을 잇고 있다.

뛰어난	뛰어나/VA+ㄴ/ETM
제품력으로	제품력/NNG+으로/JKB
미국	미국/NNP
경제전문지에서	경제/NNG+전문지/NNG+에서/JKB
포브스,	포브스/NNP+,/SP
포천	포천/NNP
등에서	등/NNB+에서/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
글로벌	글로벌/NNG
기업	기업/NNG
브랜드	브랜드/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
높은	높/VA+은/ETM
랭킹을	랭킹/NNG+을/JKO
유지하며	유지/NNG+하/XSV+며/EC
그	그/MMD
명성을	명성/NNG+을/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.104.8.1
파나소닉코리아는 파나소닉의 한국 법인으로 2000년 설립하여 지난 15년간 지속적인 발전을 거듭해왔다.

파나소닉코리아는	파나소닉코리아/NNP+는/JX
파나소닉의	파나소닉/NNP+의/JKG
한국	한국/NNP
법인으로	법인/NNG+으로/JKB
2000년	2000/SN+년/NNB
설립하여	설립/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
15년간	15/SN+년/NNB+간/XSN
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
발전을	발전/NNG+을/JKO
거듭해왔다.	거듭/MAG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.104.8.2
특히 글로벌 브랜드의 명성을 지키면서도 한국 시장에 최적화된 제품 현지화에 주력하고 있다.

특히	특히/MAG
글로벌	글로벌/NNG
브랜드의	브랜드/NNG+의/JKG
명성을	명성/NNG+을/JKO
지키면서도	지키/VV+면서/EC+도/JX
한국	한국/NNP
시장에	시장/NNG+에/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
제품	제품/NNG
현지화에	현지/NNG+화/XSN+에/JKB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.104.9.1
파나소닉코리아 노 대표는 “한국 시장은 가전 부문에서 국산 제품의 만족도가 높기 때문에 파나소닉이 굳이 동일한 품목으로 경쟁할 이유가 없다”며 “파나소닉코리아는 한국의 레드오션 시장에서 벗어나 한국 시장에서 부족한 구강세정기나 의료, 이미용기기, 방송장비, 프로젝터 등의 새로운 영역에서 높은 품질의 상품을 생산하여 소비자 만족을 높이고 있다”고 말한다.

파나소닉코리아	파나소닉코리아/NNP
노	노/NNP
대표는	대표/NNG+는/JX
“한국	“/SS+한국/NNP
시장은	시장/NNG+은/JX
가전	가전/NNG
부문에서	부문/NNG+에서/JKB
국산	국산/NNG
제품의	제품/NNG+의/JKG
만족도가	만족도/NNG+가/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
파나소닉이	파나소닉/NNP+이/JKS
굳이	굳이/MAG
동일한	동일/NNG+하/XSA+ㄴ/ETM
품목으로	품목/NNG+으로/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“파나소닉코리아는	“/SS+파나소닉코리아/NNP+는/JX
한국의	한국/NNP+의/JKG
레드오션	레드/NNG+오션/NNG
시장에서	시장/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
한국	한국/NNP
부족한	부족/NNG+하/XSA+ㄴ/ETM
구강세정기나	구강/NNG+세정기/NNG+나/JC
의료,	의료/NNG+,/SP
이미용기기,	이미용/NNG+기기/NNG+,/SP
방송장비,	방송/NNG+장비/NNG+,/SP
프로젝터	프로젝터/NNG
등의	등/NNB+의/JKG
새로운	새롭/VA+ㄴ/ETM
영역에서	영역/NNG+에서/JKB
높은	높/VA+은/ETM
품질의	품질/NNG+의/JKG
상품을	상품/NNG+을/JKO
생산하여	생산/NNG+하/XSV+아/EC
소비자	소비자/NNG
만족을	만족/NNG+을/JKO
높이고	높이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.104.9.2
이는 ‘남들이 하지 않는 분야에서의 성공’을 꿈꾸는 블루오션 리더를 지향하는 노운하 대표의 기업 목표이기도 하다.

이는	이/NP+는/JX
‘남들이	‘/SS+남/NNG+들/XSN+이/JKS
하지	하/VV+지/EC
않는	않/VX+는/ETM
분야에서의	분야/NNG+에서/JKB+의/JKG
성공’을	성공/NNG+’/SS+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
블루오션	블루오션/NNG
리더를	리더/NNG+를/JKO
지향하는	지향/NNG+하/XSV+는/ETM
노운하	노운하/NNP
대표의	대표/NNG+의/JKG
기업	기업/NNG
목표이기도	목표/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000045.104.10.1
또한, 파나소닉코리아는 소비자들의 더 나은 삶을 위한 ‘웰에이징’ 문화를 선도하는 기업으로서 최근에는 대대적인 ‘국민구강캠페인’을 진행 중이다.

또한,	또한/MAG+,/SP
파나소닉코리아는	파나소닉코리아/NNP+는/JX
소비자들의	소비자/NNG+들/XSN+의/JKG
더	더/MAG
나은	낫/VA+은/ETM
삶을	삶/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘웰에이징’	‘/SS+웰에이징/NNG+’/SS
문화를	문화/NNG+를/JKO
선도하는	선도/NNG+하/XSV+는/ETM
기업으로서	기업/NNG+으로서/JKB
최근에는	최근/NNG+에/JKB+는/JX
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
‘국민구강캠페인’을	‘/SS+국민/NNG+구강/NNG+캠페인/NNG+’/SS+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.104.11.1
올해 브랜드 대상만 10여 개를 수상한 구강세정기 ‘제트워셔’와 함께 국민구강건강의 지킴이를 자처하여 국민 구강 건강의 저변 확대를 목표로 하고 있다.

올해	올해/NNG
브랜드	브랜드/NNG
대상만	대상/NNG+만/JX
10여	10/SN+여/XSN
개를	개/NNB+를/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
구강세정기	구강/NNG+세정기/NNG
‘제트워셔’와	‘/SS+제트워셔/NNG+’/SS+와/JKB
함께	함께/MAG
국민구강건강의	국민/NNG+구강/NNG+건강/NNG+의/JKG
지킴이를	지킴이/NNG+를/JKO
자처하여	자처/NNG+하/XSV+아/EC
국민	국민/NNG
구강	구강/NNG
건강의	건강/NNG+의/JKG
저변	저변/NNG
확대를	확대/NNG+를/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.104.12.1
노 대표는 “선진국형 상품인 구강세정기의 보급에 파나소닉이 함께해서 기쁘다”며 “국민들의 건강한 삶에 미력하나마 일조할 수 있다는 자부심이 우리가 사회에 대해 갖는 공존공영의 정신을 보여주는 것”이라고 말했다.

노	노/NNP
대표는	대표/NNG+는/JX
“선진국형	“/SS+선진국/NNG+형/XSN
상품인	상품/NNG+이/VCP+ㄴ/ETM
구강세정기의	구강/NNG+세정기/NNG+의/JKG
보급에	보급/NNG+에/JKB
파나소닉이	파나소닉/NNP+이/JKS
함께해서	함께/MAG+하/XSV+아서/EC
기쁘다”며	기쁘/VA+다/EF+”/SS+며/EC
“국민들의	“/SS+국민/NNG+들/XSN+의/JKG
건강한	건강/NNG+하/XSA+ㄴ/ETM
삶에	삶/NNG+에/JKB
미력하나마	미력/NNG+하/XSA+나마/EC
일조할	일조/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
자부심이	자부심/NNG+이/JKS
우리가	우리/NP+가/JKS
사회에	사회/NNG+에/JKB
대해	대하/VV+아/EC
갖는	갖/VV+는/ETM
공존공영의	공존공영/NNG+의/JKG
정신을	정신/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.104.13.1
노 대표는 재계에서도 공유가치창출(CSV)의 리더로 손꼽힌다.

노	노/NNP
대표는	대표/NNG+는/JX
재계에서도	재계/NNG+에서/JKB+도/JX
공유가치창출(CSV)의	공유/NNG+가치/NNG+창출/NNG+(/SS+CSV/SL+)/SS+의/JKG
리더로	리더/NNG+로/JKB
손꼽힌다.	손꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.104.13.2
그가 이끄는 ‘사람과 과학의 융합’을 통해 지속 가능한 발전을 도모하고 공유가치를 창출하는 기업으로서 ‘공존공영’의 선두 기업 파나소닉코리아의 향후 행보가 더욱 기대된다.

그가	그/NP+가/JKS
이끄는	이끌/VV+는/ETM
‘사람과	‘/SS+사람/NNG+과/JC
과학의	과학/NNG+의/JKG
융합’을	융합/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
발전을	발전/NNG+을/JKO
도모하고	도모/NNG+하/XSV+고/EC
공유가치를	공유/NNG+가치/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
기업으로서	기업/NNG+으로서/JKB
‘공존공영’의	‘/SS+공존공영/NNG+’/SS+의/JKG
선두	선두/NNG
기업	기업/NNG
파나소닉코리아의	파나소닉코리아/NNP+의/JKG
향후	향후/NNG
행보가	행보/NNG+가/JKS
더욱	더욱/MAG
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


