# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.113
metadata : {}


# id : NWRW1800000030.113.1.1
익명 세상의 희망, 격려 댓글 동영상 만든 대학생

익명	익명/NNG
# id : NWRW1800000030.113.4.1
한국인터넷진흥원(KISA)이 주최한 '2011 인터넷 윤리대전'에서 대상을 받은 대학생 이연우(27·상명대·사진)씨의 말이다.

한국인터넷진흥원(KISA)이	한국인터넷진흥원/NNP+(/SS+KISA/SL+)/SS+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
'2011	'/SS+2011/SN
인터넷	인터넷/NNG
윤리대전'에서	윤리/NNG+대전/NNG+'/SS+에서/JKB
대상을	대상/NNG+을/JKO
받은	받/VV+은/ETM
대학생	대학/NNG+생/XSN
이연우(27·상명대·사진)씨의	이연우/NNP+(/SS+27/SN+·/SP+상명대/NNP+·/SP+사진/NNG+)/SS+씨/NNB+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.113.4.2
그는 인터넷 게시판 댓글을 통해 사람들이 서로를 격려하는 내용을 담은 동영상을 만들어 출품했다.

그는	그/NP+는/JX
인터넷	인터넷/NNG
게시판	게시판/NNG
댓글을	댓글/NNG+을/JKO
통해	통하/VV+아/EC
사람들이	사람/NNG+들/XSN+이/JKS
서로를	서로/NNG+를/JKO
격려하는	격려/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
동영상을	동영상/NNG+을/JKO
만들어	만들/VV+어/EC
출품했다.	출품/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.113.5.1
'아름다운 인터넷 세상 만들기'를 주제로 캠페인 동영상을 만들어 최우수상을 받은 정훈(35)씨는 "얼굴이 안 보여도 글은 글쓴이의 얼굴"이라며 "경제가 어려울수록 희망적인 말을 써서 다 같이 웃는 세상을 만들었으면 좋겠다"고 했다.

'아름다운	'/SS+아름답/VA+ㄴ/ETM
인터넷	인터넷/NNG
세상	세상/NNG
만들기'를	만들/VV+기/ETN+'/SS+를/JKO
주제로	주제/NNG+로/JKB
캠페인	캠페인/NNG
동영상을	동영상/NNG+을/JKO
만들어	만들/VV+어/EC
최우수상을	최우수상/NNG+을/JKO
받은	받/VV+은/ETM
정훈(35)씨는	정훈/NNP+(/SS+35/SN+)/SS+씨/NNB+는/JX
"얼굴이	"/SS+얼굴/NNG+이/JKS
안	안/MAG
보여도	보이/VV+어도/EC
글은	글/NNG+은/JX
글쓴이의	글쓴이/NNG+의/JKG
얼굴"이라며	얼굴/NNG+"/SS+이/VCP+라며/EC
"경제가	"/SS+경제/NNG+가/JKS
어려울수록	어렵/VA+ㄹ수록/EC
희망적인	희망/NNG+적/XSN+이/VCP+ㄴ/ETM
말을	말/NNG+을/JKO
써서	쓰/VV+어서/EC
다	다/MAG
같이	같이/MAG
웃는	웃/VV+는/ETM
세상을	세상/NNG+을/JKO
만들었으면	만들/VV+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.113.6.1
남윤석(17·경기기계공고)군은 '벼처럼 선플 달면 쌀처럼 복이 온다'는 표어로, 이채연(10·포항제철동초교)양은 포스터로 최우수상을 받았다.

남윤석(17·경기기계공고)군은	남윤석/NNP+(/SS+17/SN+·/SP+경기기계공고/NNP+)/SS+군/NNB+은/JX
'벼처럼	'/SS+벼/NNG+처럼/JKB
선플	선플/NNG
달면	달/VV+면/EC
쌀처럼	쌀/NNG+처럼/JKB
복이	복/NNG+이/JKS
온다'는	오/VV+ㄴ다/EF+'/SS+는/ETM
표어로,	표어/NNG+로/JKB+,/SP
이채연(10·포항제철동초교)양은	이채연/NNP+(/SS+10/SN+·/SP+포항제철동초교/NNP+)/SS+양/NNB+은/JX
포스터로	포스터/NNG+로/JKB
최우수상을	최우수상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.113.6.2
또 6명이 우수상을, 개인 등 26팀이 그 밖의 상을 받았다.

또	또/MAG
6명이	6/SN+명/NNB+이/JKS
우수상을,	우수상/NNG+을/JKO+,/SP
개인	개인/NNG
등	등/NNB
26팀이	26/SN+팀/NNG+이/JKS
그	그/MMD
밖의	밖/NNG+의/JKG
상을	상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.113.7.1
최시중 방송통신위원장은 시상식에서 "우리 미래가 스마트 시대의 주인공인 여러분 손길에 달려있다"며 "악성 댓글과 유언비어가 난무하는 세상에 머무를지, 따뜻한 나눔과 격려 메시지, 창의와 혁신의 아이디어가 넘쳐나는 신세계를 창조할지는 지금부터 결정된다"고 했다.

최시중	최시중/NNP
방송통신위원장은	방송/NNG+통신/NNG+위원장/NNG+은/JX
시상식에서	시상식/NNG+에서/JKB
"우리	"/SS+우리/NP
미래가	미래/NNG+가/JKS
스마트	스마트/NNG
시대의	시대/NNG+의/JKG
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
여러분	여러분/NP
손길에	손길/NNG+에/JKB
달려있다"며	달리/VV+어/EC+있/VX+다/EF+"/SS+며/EC
"악성	"/SS+악성/NNG
댓글과	댓글/NNG+과/JC
유언비어가	유언비어/NNG+가/JKS
난무하는	난무/NNG+하/XSV+는/ETM
세상에	세상/NNG+에/JKB
머무를지,	머무르/VV+ㄹ지/EF+,/SP
따뜻한	따뜻하/VA+ㄴ/ETM
나눔과	나누/VV+ㅁ/ETN+과/JC
격려	격려/NNG
메시지,	메시지/NNG+,/SP
창의와	창의/NNG+와/JC
혁신의	혁신/NNG+의/JKG
아이디어가	아이디어/NNG+가/JKS
넘쳐나는	넘치/VV+어/EC+나/VX+는/ETM
신세계를	신/XPN+세계/NNG+를/JKO
창조할지는	창조/NNG+하/XSV+ㄹ지/EF+는/JX
지금부터	지금/NNG+부터/JX
결정된다"고	결정/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.113.7.2
이번 공모전에는 동영상 483건, 표어 624건, 포스터 567건 등 총 1674건이 접수됐다.

이번	이번/NNG
공모전에는	공모전/NNG+에/JKB+는/JX
동영상	동영상/NNG
483건,	483/SN+건/NNB+,/SP
표어	표어/NNG
624건,	624/SN+건/NNB+,/SP
포스터	포스터/NNG
567건	567/SN+건/NNB
등	등/NNB
총	총/MMA
1674건이	1674/SN+건/NNB+이/JKS
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.113.7.3
수상작은 온라인(uccfest.kisa. or.kr)에 게시되고, 이후 '아름다운 인터넷 세상 만들기' 캠페인 홍보물로 활용된다.

수상작은	수상작/NNG+은/JX
온라인(uccfest.kisa.	온라인/NNG+(/SS+uccfest/SL+./SP+kisa/SL+./SP
or.kr)에	or/SL+./SP+kr/SL+)/SS+에/JKB
게시되고,	게시/NNG+되/XSV+고/EC+,/SP
이후	이후/NNG
'아름다운	'/SS+아름답/VA+ㄴ/ETM
인터넷	인터넷/NNG
세상	세상/NNG
만들기'	만들/VV+기/ETN+'/SS
캠페인	캠페인/NNG
홍보물로	홍보물/NNG+로/JKB
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


