# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.387
metadata : {}


# id : NWRW1800000029.387.1.1
경제 꼬인 日, FTA 협상재개 주력할 듯

경제	경제/NNG
일본의	일본/NNP+의/JKG
국제정치	국제/NNG+정치/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
중국의	중국/NNP+의/JKG
군사적	군사/NNG+적/XSN
팽창과	팽창/NNG+과/JC
북한의	북한/NNP+의/JKG
도발로	도발/NNG+로/JKB
동아시아지역	동아시아/NNP+지역/NNG
안보가	안보/NNG+가/JKS
불안하고	불안/NNG+하/XSA+고/EC
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
우방인	우방/NNG+이/VCP+ㄴ/ETM
미국과의	미국/NNP+과/JKB+의/JKG
관계	관계/NNG
역시	역시/MAG
후텐마	후텐마/NNP
미군기지	미군/NNG+기지/NNG
이전문제로	이전/NNG+문제/NNG+로/JKB
꼬인	꼬이/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
한국의	한국/NNP+의/JKG
전략적	전략/NNG+적/XSN
중요성이	중요/NNG+성/XSN+이/JKS
높아졌다고	높아지/VV+었/EP+다고/EC
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.387.8.1
히라이와 ?지(平巖俊司) 간세이(關西)학원대학 교수(국제정치학)는 “한국의 경제적 존재감이 커졌고 동북아 안보와 관련해 교류 협력할 사안이 늘면서 한일 관계도 실질적인 동반자관계로 성숙하고 있다”고 말했다.

히라이와	히라이와/NNP
?지(平巖俊司)	?지/NF+(/SS+平巖俊司/SH+)/SS
간세이(關西)학원대학	간세이/NNP+(/SS+關西/SH+)/SS+학원/NNG+대학/NNG
교수(국제정치학)는	교수/NNG+(/SS+국제/NNG+정치학/NNG+)/SS+는/JX
“한국의	“/SS+한국/NNP+의/JKG
경제적	경제/NNG+적/XSN
존재감이	존재감/NNG+이/JKS
커졌고	커지/VV+었/EP+고/EC
동북아	동북아/NNP
안보와	안보/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
교류	교류/NNG
협력할	협력/NNG+하/XSV+ㄹ/ETM
사안이	사안/NNG+이/JKS
늘면서	늘/VV+면서/EC
한일	한일/NNP
관계도	관계/NNG+도/JX
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
동반자관계로	동반자/NNG+관계/NNG+로/JKB
성숙하고	성숙/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.387.8.2
노다 총리 취임 당시만 해도 ‘A급 전범이 더는 없기 때문에 총리의 야스쿠니(靖國)신사 참배는 문제가 없다’는 그의 야당 의원 시절 발언 때문에 한일관계 악화가 우려되기도 했다.

노다	노다/NNP
총리	총리/NNG
취임	취임/NNG
당시만	당시/NNG+만/JX
해도	하/VV+아도/EC
‘A급	‘/SS+A/SL+급/NNG
전범이	전범/NNG+이/JKS
더는	더/MAG+는/JX
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
총리의	총리/NNG+의/JKG
야스쿠니(靖國)신사	야스쿠니/NNP+(/SS+靖國/SH+)/SS+신사/NNG
참배는	참배/NNG+는/JX
문제가	문제/NNG+가/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
그의	그/NP+의/JKG
야당	야당/NNG
의원	의원/NNG
시절	시절/NNG
발언	발언/NNG
한일관계	한일/NNP+관계/NNG
악화가	악화/NNG+가/JKS
우려되기도	우려/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.387.8.3
하지만 취임 이후 “총리와 각료는 야스쿠니를 공식 참배하지 않을 것”이라고 밝히는 등 주변국을 자극하는 발언을 삼가고 있어 한일 관계도 원만하게 유지되고 있다.

하지만	하지만/MAJ
취임	취임/NNG
이후	이후/NNG
“총리와	“/SS+총리/NNG+와/JC
각료는	각료/NNG+는/JX
야스쿠니를	야스쿠니/NNP+를/JKO
공식	공식/NNG
참배하지	참배/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝히는	밝히/VV+는/ETM
등	등/NNB
주변국을	주변국/NNG+을/JKO
자극하는	자극/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
삼가고	삼가/VV+고/EC
있어	있/VX+어/EC
한일	한일/NNP
관계도	관계/NNG+도/JX
원만하게	원만하/VA+게/EC
유지되고	유지/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.387.9.1
○ 가시적 성과 나올지 주목

○	○/SW
가시적	가시/NNG+적/XSN
성과	성과/NNG
나올지	나오/VV+ㄹ지/EC
주목	주목/NNG


# id : NWRW1800000029.387.10.1
외교 관계자에 따르면 한일 정상회담은 “의전이나 형식에 구애받지 않고 허심탄회하게 논의하는 자리”가 될 것으로 전망된다.

외교	외교/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
한일	한일/NNP
정상회담은	정상/NNG+회담/NNG+은/JX
“의전이나	“/SS+의전/NNG+이나/JC
형식에	형식/NNG+에/JKB
구애받지	구애/NNG+받/XSV+지/EC
않고	않/VX+고/EC
허심탄회하게	허심탄회/NNG+하/XSA+게/EC
논의하는	논의/NNG+하/XSV+는/ETM
자리”가	자리/NNG+”/SS+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.387.10.2
특별한 결과물을 내놔야 한다는 부담에서 벗어나 다양한 의제를 논의하겠다는 것이다.

특별한	특별/NNG+하/XSA+ㄴ/ETM
결과물을	결과물/NNG+을/JKO
내놔야	내놓/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
부담에서	부담/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의제를	의제/NNG+를/JKO
논의하겠다는	논의/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.387.11.1
노다 총리는 정상회담에서 한일 자유무역협정(FTA) 협상 재개에 주안점을 둘 것으로 보인다.

노다	노다/NNP
총리는	총리/NNG+는/JX
정상회담에서	정상/NNG+회담/NNG+에서/JKB
한일	한일/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
협상	협상/NNG
재개에	재개/NNG+에/JKB
주안점을	주안점/NNG+을/JKO
둘	두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.387.11.2
일본은 장기 경제침체, 엔화가치 급등으로 경제적 돌파구가 필요한 상황이다.

일본은	일본/NNP+은/JX
장기	장기/NNG
경제침체,	경제/NNG+침체/NNG+,/SP
엔화가치	엔화/NNG+가치/NNG
급등으로	급등/NNG+으로/JKB
경제적	경제/NNG+적/XSN
돌파구가	돌파구/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.387.11.3
특히 미국, 유럽연합(EU), 인도 등 거대시장과 잇달아 FTA를 성사시키며 빠르게 경제영토를 확장해가고 있는 한국과의 경제협력이 절실하다.

특히	특히/MAG
미국,	미국/NNP+,/SP
유럽연합(EU),	유럽연합/NNP+(/SS+EU/SL+)/SS+,/SP
인도	인도/NNP
등	등/NNB
거대시장과	거대/NNG+시장/NNG+과/JKB
잇달아	잇달/VV+아/EC
FTA를	FTA/SL+를/JKO
성사시키며	성사/NNG+시키/XSV+며/EC
빠르게	빠르/VA+게/EC
경제영토를	경제/NNG+영토/NNG+를/JKO
확장해가고	확장/NNG+하/XSV+아/EC+가/VX+고/EC
있는	있/VX+는/ETM
한국과의	한국/NNP+과/JKB+의/JKG
경제협력이	경제/NNG+협력/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000029.387.11.4
그러나 한국 정부는 한 해 300억 달러가 넘는 막대한 무역적자를 줄이기 위해 일본 기업의 한국 내 투자 등을 FTA 협상재개의 전제조건으로 내걸고 있어 가시적인 성과가 나오기는 힘들 것이라는 전망이 많다.

그러나	그러나/MAJ
한국	한국/NNP
정부는	정부/NNG+는/JX
한	한/MMN
해	해/NNB
300억	300/SN+억/NR
달러가	달러/NNB+가/JKS
넘는	넘/VV+는/ETM
막대한	막대하/VA+ㄴ/ETM
무역적자를	무역/NNG+적자/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
일본	일본/NNP
기업의	기업/NNG+의/JKG
내	내/NNB
투자	투자/NNG
등을	등/NNB+을/JKO
FTA	FTA/SL
협상재개의	협상/NNG+재개/NNG+의/JKG
전제조건으로	전제/NNG+조건/NNG+으로/JKB
내걸고	내걸/VV+고/EC
있어	있/VX+어/EC
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과가	성과/NNG+가/JKS
나오기는	나오/VV+기/ETN+는/JX
힘들	힘들/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.387.12.1
일본군 위안부 문제와 독도문제 등 민감한 이슈도 다뤄질 것으로 보인다.

일본군	일본군/NNG
위안부	위안부/NNG
문제와	문제/NNG+와/JC
독도문제	독도/NNP+문제/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
이슈도	이슈/NNG+도/JX
다뤄질	다루/VV+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.387.12.2
특히 위안부 문제는 한국이 최근 유엔총회에서 일본 정부의 법적 책임을 공론화한 상황이어서 어떤 형식으로든 다뤄질 가능성이 높다.

특히	특히/MAG
위안부	위안부/NNG
문제는	문제/NNG+는/JX
한국이	한국/NNP+이/JKS
최근	최근/NNG
유엔총회에서	유엔/NNP+총회/NNG+에서/JKB
일본	일본/NNP
정부의	정부/NNG+의/JKG
법적	법/NNG+적/XSN
책임을	책임/NNG+을/JKO
공론화한	공론/NNG+화/XSN+하/XSV+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
어떤	어떤/MMD
형식으로든	형식/NNG+으로/JKB+든/JX
다뤄질	다루/VV+어/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000029.387.12.3
한편 일본정부가 반환하기로 결정한 조선왕실의궤 등 일제강점기 수탈 도서의 일부를 이번에 노다 총리가 직접 가지고 올지도 관심사다.

한편	한편/MAG
일본정부가	일본/NNP+정부/NNG+가/JKS
반환하기로	반환/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
조선왕실의궤	조선왕실의궤/NNG
등	등/NNB
일제강점기	일제/NNG+강점기/NNG
수탈	수탈/NNG
도서의	도서/NNG+의/JKG
일부를	일부/NNG+를/JKO
이번에	이번/NNG+에/JKB
노다	노다/NNP
총리가	총리/NNG+가/JKS
직접	직접/MAG
가지고	가지/VV+고/EC
올지도	오/VV+ㄹ지/EC+도/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


