# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.361
metadata : {}


# id : NWRW1800000030.361.1.1
[수도권] 목동 아이스링크 낡은 때 벗고 새 얼굴로

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
# id : NWRW1800000030.361.5.1
대한민국 동계스포츠의 산실인 목동아이스링크가 새로운 시설개선과 운영 시스템으로 거듭나고 있다.

대한민국	대한민국/NNP
동계스포츠의	동계/NNG+스포츠/NNG+의/JKG
산실인	산실/NNG+이/VCP+ㄴ/ETM
목동아이스링크가	목동아이스링크/NNP+가/JKS
새로운	새롭/VA+ㄴ/ETM
시설개선과	시설/NNG+개선/NNG+과/JC
운영	운영/NNG
시스템으로	시스템/NNG+으로/JKB
거듭나고	거듭나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.361.5.2
1989년 12월 지하 1층, 지하 2층 연면적 1만4700㎡ 규모로 개관한 목동아이스링크는 명실상부한 한국 동계스포츠의 산실이다.

1989년	1989/SN+년/NNB
12월	12/SN+월/NNB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
2층	2/SN+층/NNG
연면적	연면적/NNG
1만4700㎡	1/SN+만/NR+4700/SN+㎡/SW
규모로	규모/NNG+로/JKB
개관한	개관/NNG+하/XSV+ㄴ/ETM
목동아이스링크는	목동아이스링크/NNP+는/JX
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
한국	한국/NNP
동계스포츠의	동계/NNG+스포츠/NNG+의/JKG
산실이다.	산실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.361.5.3
그동안 각종 세계 대회가 열렸고, 지난 1월 카자흐스탄 동계아시안게임 3관왕인 이승훈 선수, 쇼트트랙 간판스타인 성시백과 이정수 등 수많은 국가대표가 이곳에서 기량을 닦았다.

그동안	그동안/NNG
각종	각종/NNG
세계	세계/NNG
대회가	대회/NNG+가/JKS
열렸고,	열리/VV+었/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
카자흐스탄	카자흐스탄/NNP
동계아시안게임	동계/NNG+아시안/NNP+게임/NNG
3관왕인	3관왕/NNG+이/VCP+ㄴ/ETM
이승훈	이승훈/NNP
선수,	선수/NNG+,/SP
쇼트트랙	쇼트트랙/NNG
간판스타인	간판스타/NNG+이/VCP+ㄴ/ETM
성시백과	성시백/NNP+과/JC
이정수	이정수/NNP
등	등/NNB
수많은	수많/VA+은/ETM
국가대표가	국가/NNG+대표/NNG+가/JKS
이곳에서	이곳/NP+에서/JKB
기량을	기량/NNG+을/JKO
닦았다.	닦/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.6.1
그러나 20여년 세월이 지나면서 여기저기 뜯어고쳐야 할 곳들이 생겨났다.

그러나	그러나/MAJ
20여년	20/SN+여/XSN+년/NNB
세월이	세월/NNG+이/JKS
지나면서	지나/VV+면서/EC
여기저기	여기저기/NNG
뜯어고쳐야	뜯어고치/VV+어야/EC
할	하/VX+ㄹ/ETM
곳들이	곳/NNG+들/XSN+이/JKS
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.6.2
목동아이스링크를 위탁 운영하는 비영리 재단법인 한국동계스포츠센터 김인성(60·사진) 사장은 "모든 것이 20년 전 기준으로 돼 있어 바꾸고 기름칠 곳이 많다"며 "최근에 개관한 다른 빙상장에 비해 관중석 의자도 좁고, 선수들이 워밍업을 할 장소도 부족하다"고 지적했다.

목동아이스링크를	목동아이스링크/NNP+를/JKO
위탁	위탁/NNG
운영하는	운영/NNG+하/XSV+는/ETM
비영리	비/XPN+영리/NNG
재단법인	재단/NNG+법인/NNG
한국동계스포츠센터	한국동계스포츠센터/NNP
김인성(60·사진)	김인성/NNP+(/SS+60/SN+·/SP+사진/NNG+)/SS
사장은	사장/NNG+은/JX
"모든	"/SS+모든/MMN
것이	것/NNB+이/JKS
20년	20/SN+년/NNB
전	전/NNG
기준으로	기준/NNG+으로/JKB
돼	되/VV+어/EC
있어	있/VX+어/EC
바꾸고	바꾸/VV+고/EC
기름칠	기름/NNG+치/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
많다"며	많/VA+다/EF+"/SS+며/EC
"최근에	"/SS+최근/NNG+에/JKB
개관한	개관/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
빙상장에	빙상장/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
관중석	관중석/NNG
의자도	의자/NNG+도/JX
좁고,	좁/VA+고/EC+,/SP
선수들이	선수/NNG+들/XSN+이/JKS
워밍업을	워밍업/NNG+을/JKO
할	하/VV+ㄹ/ETM
장소도	장소/NNG+도/JX
부족하다"고	부족/NNG+하/XSA+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.7.1
2009년 취임한 김 사장은 대대적인 보수작업을 시작했다.

2009년	2009/SN+년/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
김	김/NNP
사장은	사장/NNG+은/JX
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
보수작업을	보수/NNG+작업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.7.2
중학교 3학년 때부터 아이스하키를 시작해 국가대표를 지낸 그는 27년 동안 초·중·고교 아이스하키팀 8개를 창단한 빙상계의 베테랑이다.

중학교	중학교/NNG
3학년	3/SN+학년/NNG
때부터	때/NNG+부터/JX
아이스하키를	아이스하키/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
국가대표를	국가/NNG+대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
그는	그/NP+는/JX
27년	27/SN+년/NNB
동안	동안/NNG
초·중·고교	초·중·고교/NNG
아이스하키팀	아이스하키/NNG+팀/NNG
8개를	8/SN+개/NNB+를/JKO
창단한	창단/NNG+하/XSV+ㄴ/ETM
빙상계의	빙상/NNG+계/XSN+의/JKG
베테랑이다.	베테랑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.361.7.3
김 사장은 "선수와 감독 경력을 살려, 가장 중요한 빙질을 개선하기 위해 정빙기를 새로 사들였고, 20여년 감독생활을 하면서 정리한 분석자료를 활용해 쇼트트랙, 아이스하키, 피겨 종목에 따라 얼음 상태를 모두 다르게 조절했다"고 말했다.

김	김/NNP
사장은	사장/NNG+은/JX
"선수와	"/SS+선수/NNG+와/JC
감독	감독/NNG
경력을	경력/NNG+을/JKO
살려,	살리/VV+어/EC+,/SP
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
빙질을	빙질/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정빙기를	정빙기/NNG+를/JKO
새로	새로/MAG
사들였고,	사들이/VV+었/EP+고/EC+,/SP
20여년	20/SN+여/XSN+년/NNB
감독생활을	감독/NNG+생활/NNG+을/JKO
하면서	하/VV+면서/EC
정리한	정리/NNG+하/XSV+ㄴ/ETM
분석자료를	분석/NNG+자료/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
쇼트트랙,	쇼트트랙/NNG+,/SP
아이스하키,	아이스하키/NNG+,/SP
피겨	피겨/NNG
종목에	종목/NNG+에/JKB
따라	따르/VV+아/EC
얼음	얼음/NNG
상태를	상태/NNG+를/JKO
모두	모두/MAG
다르게	다르/VA+게/EC
조절했다"고	조절/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.8.1
또 시합 전 워밍업을 할 장소가 부족한 선수들을 위해 관중이 많이 왕래하지 않는 관중석 3층 통로에 우레탄을 깔아 선수들이 몸을 풀 수 있도록 배려했고, 좁은 라커룸(100㎡)도 1.5배 확장했다.

또	또/MAG
시합	시합/NNG
전	전/NNG
워밍업을	워밍업/NNG+을/JKO
할	하/VV+ㄹ/ETM
장소가	장소/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
관중이	관중/NNG+이/JKS
많이	많이/MAG
왕래하지	왕래/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
관중석	관중석/NNG
3층	3/SN+층/NNG
통로에	통로/NNG+에/JKB
우레탄을	우레탄/NNG+을/JKO
깔아	깔/VV+아/EC
선수들이	선수/NNG+들/XSN+이/JKS
몸을	몸/NNG+을/JKO
풀	풀/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
배려했고,	배려/NNG+하/XSV+았/EP+고/EC+,/SP
좁은	좁/VA+은/ETM
라커룸(100㎡)도	라커룸/NNG+(/SS+100/SN+㎡/SW+)/SS+도/JX
1.5배	1/SN+./SP+5/SN+배/NNG
확장했다.	확장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.361.8.2
빙상장을 찾는 연간 40만명의 시민을 위해 협소했던 250㎡ 현관을 500㎡로 확장했고, 지하 빙상장에 전기 난로가 달린 원목으로 된 관중석을 설치해 편안하게 경기를 관람할 수 있도록 했다.

빙상장을	빙상장/NNG+을/JKO
찾는	찾/VV+는/ETM
연간	연간/NNG
40만명의	40/SN+만/NR+명/NNB+의/JKG
시민을	시민/NNG+을/JKO
위해	위하/VV+아/EC
협소했던	협소하/VA+았/EP+던/ETM
250㎡	250/SN+㎡/SW
현관을	현관/NNG+을/JKO
500㎡로	500/SN+㎡/SW+로/JKB
확장했고,	확장/NNG+하/XSV+았/EP+고/EC+,/SP
지하	지하/NNG
빙상장에	빙상장/NNG+에/JKB
전기	전기/NNG
난로가	난로/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
원목으로	원목/NNG+으로/JKB
된	되/VV+ㄴ/ETM
관중석을	관중석/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
편안하게	편안/NNG+하/XSA+게/EC
경기를	경기/NNG+를/JKO
관람할	관람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


