# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.333
metadata : {}


# id : NWRW1800000024.333.1.1
‘교과서값 자율화’ 무상교육에 불똥 튀나

‘교과서값	‘/SS+교과서/NNG+값/NNG
개선할	개선/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.6.2
김 교수는 “의무교육 단계인 초·중학교에서도 일정 소득 이상 가정에는 교과서를 유상 공급하는 방안을 검토할 필요가 있다”며 “또 교과서 구입 예산을 줄이기 위해 활용도가 낮은 교과서는 여러 명이 공동 활용하는 방안도 고민해 볼 수 있을 것”이라고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
“의무교육	“/SS+의무/NNG+교육/NNG
단계인	단계/NNG+이/VCP+ㄴ/ETM
초·중학교에서도	초·중학교/NNG+에서/JKB+도/JX
일정	일정/NNG
소득	소득/NNG
이상	이상/NNG
가정에는	가정/NNG+에/JKB+는/JX
교과서를	교과서/NNG+를/JKO
유상	유상/NNG
공급하는	공급/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“또	“/SS+또/MAG
교과서	교과서/NNG
구입	구입/NNG
예산을	예산/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
활용도가	활용도/NNG+가/JKS
낮은	낮/VA+은/ETM
교과서는	교과서/NNG+는/JX
여러	여러/MMN
명이	명/NNB+이/JKS
공동	공동/NNG
활용하는	활용/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
고민해	고민/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.6.3
김 교수는 이 밖에 교과서 대여제, 물려주기 등 재활용 정책도 대안으로 제시했다.

김	김/NNP
교수는	교수/NNG+는/JX
이	이/MMD
밖에	밖/NNG+에/JKB
교과서	교과서/NNG
대여제,	대여/NNG+제/XSN+,/SP
물려주기	물려주/VV+기/ETN
등	등/NNB
재활용	재/XPN+활용/NNG
정책도	정책/NNG+도/JX
대안으로	대안/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.7.1
그러나 교과서 유상 지급 등은 학부모들의 반대가 적지 않을 것으로 예상된다.

그러나	그러나/MAJ
교과서	교과서/NNG
유상	유상/NNG
지급	지급/NNG
등은	등/NNB+은/JX
학부모들의	학부모/NNG+들/XSN+의/JKG
반대가	반대/NNG+가/JKS
적지	적/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.333.7.2
초3·초5 자녀를 둔 김수미(서울 서대문구)씨는 “정부가 교과서의 공공성은 무시하고 가격 자율화를 고집하더니 결국 그 부담을 학부모에게 떠넘기겠다는 것 아니냐”며 “집중력이 떨어지는 초등학생들에게 책 한 권을 여럿이 함께 보라는 것 역시 현실성이 떨어진다”고 말했다.

초3·초5	초/NNG+3/SN+·/SP+초/NNG+5/SN
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
김수미(서울	김수미/NNP+(/SS+서울/NNP
서대문구)씨는	서대문구/NNP+)/SS+씨/NNB+는/JX
“정부가	“/SS+정부/NNG+가/JKS
교과서의	교과서/NNG+의/JKG
공공성은	공공/NNG+성/XSN+은/JX
무시하고	무시/NNG+하/XSV+고/EC
가격	가격/NNG
자율화를	자율/NNG+화/XSN+를/JKO
고집하더니	고집/NNG+하/XSV+더니/EC
결국	결국/MAG
그	그/MMD
부담을	부담/NNG+을/JKO
학부모에게	학부모/NNG+에게/JKB
떠넘기겠다는	떠넘기/VV+겠/EP+다는/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
“집중력이	“/SS+집중력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
초등학생들에게	초등학생/NNG+들/XSN+에게/JKB
책	책/NNG
한	한/MMN
권을	권/NNB+을/JKO
여럿이	여럿/NNG+이/JKS
함께	함께/MAG
보라는	보/VV+라는/ETM
역시	역시/MAG
현실성이	현실/NNG+성/XSN+이/JKS
떨어진다”고	떨어지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


