# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.201
metadata : {}


# id : NWRW1800000021.201.1.1
저축銀 후순위채의 유혹

저축銀	저축/NNG+銀/SH
통해	통하/VV+아/EC
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
기준	기준/NNG
자기자본비율을	자기/NNG+자본/NNG+비율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.9.2
후순위채는 BIS 자기자본비율 산정 때 자본으로 인정된다.

후순위채는	후순위채/NNG+는/JX
BIS	BIS/SL
자기자본비율	자기/NNG+자본/NNG+비율/NNG
산정	산정/NNG
때	때/NNG
자본으로	자본/NNG+으로/JKB
인정된다.	인정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.201.9.3
금융당국이 최근 저축은행의 자본 확충을 권고한 것도 후순위채 발행을 촉진시켰다.

금융당국이	금융/NNG+당국/NNG+이/JKS
최근	최근/NNG
저축은행의	저축/NNG+은행/NNG+의/JKG
자본	자본/NNG
확충을	확충/NNG+을/JKO
권고한	권고/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
후순위채	후순위채/NNG
발행을	발행/NNG+을/JKO
촉진시켰다.	촉진/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.9.4
앞으로도 BIS 비율을 높이려는 저축은행의 후순위채 발행은 계속될 것으로 보인다.

앞으로도	앞/NNG+으로/JKB+도/JX
BIS	BIS/SL
비율을	비율/NNG+을/JKO
높이려는	높이/VV+려는/ETM
저축은행의	저축/NNG+은행/NNG+의/JKG
후순위채	후순위채/NNG
발행은	발행/NNG+은/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.201.10.1
현재 저축은행이 제시하는 후순위채 금리는 대부분 연 8.5% 선.

현재	현재/MAG
저축은행이	저축/NNG+은행/NNG+이/JKS
제시하는	제시/NNG+하/XSV+는/ETM
후순위채	후순위채/NNG
금리는	금리/NNG+는/JX
대부분	대/XPN+부분/NNG
연	연/NNG
8.5%	8/SN+./SP+5/SN+%/SW
선.	선/NNG+./SF


# id : NWRW1800000021.201.10.2
시중은행의 후순위채 금리보다 2%포인트 정도 높다.

시중은행의	시중/NNG+은행/NNG+의/JKG
후순위채	후순위채/NNG
금리보다	금리/NNG+보다/JKB
2%포인트	2/SN+%/SW+포인트/NNG
정도	정도/NNG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000021.201.10.3
특히 시중금리보다 2배 이상 높은 점이 매력적이다.

특히	특히/MAG
시중금리보다	시중/NNG+금리/NNG+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
높은	높/VA+은/ETM
점이	점/NNG+이/JKS
매력적이다.	매력/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.11.1
하지만 후순위채는 만기가 5년 이상으로 길고 예금자 보호도 되지 않는다.

하지만	하지만/MAJ
후순위채는	후순위채/NNG+는/JX
만기가	만기/NNG+가/JKS
5년	5/SN+년/NNB
이상으로	이상/NNG+으로/JKB
길고	길/VA+고/EC
예금자	예금자/NNG
보호도	보호/NNG+도/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.201.11.2
만기 이전에는 중도해지가 안 되기 때문에 현금화하려면 개별적으로 인수자를 알아봐야 한다.

만기	만기/NNG
이전에는	이전/NNG+에/JKB+는/JX
중도해지가	중도/NNG+해지/NNG+가/JKS
안	안/MAG
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
현금화하려면	현금/NNG+화/XSN+하/XSV+려면/EC
개별적으로	개별/NNG+적/XSN+으로/JKB
인수자를	인수자/NNG+를/JKO
알아봐야	알아보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.201.11.3
토마토저축은행 이호준 팀장은 “저축은행의 안정성과 본인의 자금 운용계획을 꼼꼼히 따져야 한다”며 “BIS 비율 8% 이상, 고정이하여신 비율 8% 이하로 건전성 지표가 좋은 저축은행에 투자하는 것을 고려해볼 만하다”고 조언했다.

토마토저축은행	토마토저축은행/NNP
이호준	이호준/NNP
팀장은	팀장/NNG+은/JX
“저축은행의	“/SS+저축/NNG+은행/NNG+의/JKG
안정성과	안정/NNG+성/XSN+과/JC
본인의	본인/NNG+의/JKG
자금	자금/NNG
운용계획을	운용/NNG+계획/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
따져야	따지/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“BIS	“/SS+BIS/SL
비율	비율/NNG
8%	8/SN+%/SW
이상,	이상/NNG+,/SP
고정이하여신	고정/NNG+이하/NNG+여신/NNG
이하로	이하/NNG+로/JKB
건전성	건전/NNG+성/XSN
지표가	지표/NNG+가/JKS
좋은	좋/VA+은/ETM
저축은행에	저축/NNG+은행/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
고려해볼	고려/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
만하다”고	만/NNB+하/XSA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.201.12.1
후순위채 발행이 장기적으론 저축은행의 수익성 악화를 불러올 수 있다는 우려도 있다.

후순위채	후순위채/NNG
발행이	발행/NNG+이/JKS
장기적으론	장기/NNG+적/XSN+으로/JKB+ㄴ/JX
저축은행의	저축/NNG+은행/NNG+의/JKG
수익성	수익/NNG+성/XSN
악화를	악화/NNG+를/JKO
불러올	불러오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.201.12.2
저축은행의 한 관계자는 “후순위채 발행이 단기적으론 자본 확충 효과가 있을지 모르지만 높은 이자가 장기적으로 짐이 될 수 있다”고 말했다.

저축은행의	저축/NNG+은행/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“후순위채	“/SS+후순위채/NNG
발행이	발행/NNG+이/JKS
단기적으론	단기/NNG+적/XSN+으로/JKB+ㄴ/JX
자본	자본/NNG
확충	확충/NNG
효과가	효과/NNG+가/JKS
있을지	있/VA+을지/EC
모르지만	모르/VV+지만/EC
높은	높/VA+은/ETM
이자가	이자/NNG+가/JKS
장기적으로	장기/NNG+적/XSN+으로/JKB
짐이	짐/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


