# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.327
metadata : {}


# id : NWRW1800000053.327.1.1
후보들 건강해 보이기는 한데… 구체적 건강상태 공개해야

후보들	후보/NNG+들/XSN
측의	측/NNB+의/JKG
‘공세’가	‘/SS+공세/NNG+’/SS+가/JKS
집중되기	집중/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.327.7.3
1997년 대선 당시 김 전 대통령은 73세였고 클린턴 후보는 지난해 9·11테러 15주년 추모 행사에서 어지럼증으로 휘청거리는 모습이 언론에 노출되며 건강 문제가 도마에 올랐다.

1997년	1997/SN+년/NNB
대선	대선/NNG
당시	당시/NNG
김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
73세였고	73/SN+세/NNB+이/VCP+었/EP+고/EC
클린턴	클린턴/NNP
후보는	후보/NNG+는/JX
지난해	지난해/NNG
9·11테러	9/SN+·/SP+11/SN+테러/NNG
15주년	15/SN+주년/NNB
추모	추모/NNG
행사에서	행사/NNG+에서/JKB
어지럼증으로	어지럼증/NNG+으로/JKB
휘청거리는	휘청거리/VV+는/ETM
모습이	모습/NNG+이/JKS
언론에	언론/NNG+에/JKB
노출되며	노출/NNG+되/XSV+며/EC
건강	건강/NNG
문제가	문제/NNG+가/JKS
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.327.8.1
그럼에도 대통령은 5년간 어떠한 상황에서도 ‘대한민국호’를 이끌어야 하는 막중한 임무를 갖고 있는 만큼 유권자에게 대선 후보들의 정확한 건강 정보를 알려야 한다는 의견이 적지 않다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
대통령은	대통령/NNG+은/JX
5년간	5/SN+년/NNB+간/XSN
어떠한	어떠하/VA+ㄴ/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
‘대한민국호’를	‘/SS+대한민국호/NNG+’/SS+를/JKO
이끌어야	이끌/VV+어야/EC
하는	하/VX+는/ETM
막중한	막중하/VA+ㄴ/ETM
임무를	임무/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
유권자에게	유권자/NNG+에게/JKB
대선	대선/NNG
후보들의	후보/NNG+들/XSN+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
건강	건강/NNG
정보를	정보/NNG+를/JKO
알려야	알리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.327.9.1
주요 후보 가운데 가장 나이가 많은 문 후보(64)는 선거 초반 SNS 등을 통해 ‘건강 이상설’이 거론됐지만 각종 유세와 TV토론회 등을 통해 건강한 모습을 보여주며 이를 스스로 잠재웠다는 평가다.

주요	주요/NNG
후보	후보/NNG
가운데	가운데/NNG
가장	가장/MAG
나이가	나이/NNG+가/JKS
많은	많/VA+은/ETM
문	문/NNP
후보(64)는	후보/NNG+(/SS+64/SN+)/SS+는/JX
선거	선거/NNG
초반	초반/NNG
SNS	SNS/SL
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
‘건강	‘/SS+건강/NNG
이상설’이	이상설/NNG+’/SS+이/JKS
거론됐지만	거론/NNG+되/XSV+었/EP+지만/EC
각종	각종/NNG
유세와	유세/NNG+와/JC
TV토론회	TV/SL+토론회/NNG
건강한	건강/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보여주며	보이/VV+어/EC+주/VX+며/EC
이를	이/NP+를/JKO
스스로	스스로/MAG
잠재웠다는	잠재우/VV+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.327.9.2
문 후보 측은 “특전사 출신인 문 후보는 젊었을 때 스킨스쿠버 등을 즐겼고, 지난해에도 히말라야 트레킹을 다녀왔을 정도로 동년배들에 비해 체력이 좋다”고 했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
“특전사	“/SS+특전사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
후보는	후보/NNG+는/JX
젊었을	젊/VA+었/EP+을/ETM
때	때/NNG
스킨스쿠버	스킨/NNG+스쿠버/NNG
등을	등/NNB+을/JKO
즐겼고,	즐기/VV+었/EP+고/EC+,/SP
지난해에도	지난해/NNG+에/JKB+도/JX
히말라야	히말라야/NNP
트레킹을	트레킹/NNG+을/JKO
다녀왔을	다녀오/VV+았/EP+을/ETM
정도로	정도/NNG+로/JKB
동년배들에	동년배/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
체력이	체력/NNG+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.327.9.3
실제 문 후보는 공식 선거운동 시작 이후 하루에 많게는 5개 안팎의 일정을 소화하며 전국 곳곳을 1만 km 이상 돌고 있지만 갑작스러운 일정 중단 등 ‘이상 징후’는 없었다.

실제	실제/MAG
문	문/NNP
후보는	후보/NNG+는/JX
공식	공식/NNG
선거운동	선거/NNG+운동/NNG
시작	시작/NNG
이후	이후/NNG
하루에	하루/NNG+에/JKB
많게는	많/VA+게/EC+는/JX
5개	5/SN+개/NNB
안팎의	안팎/NNG+의/JKG
일정을	일정/NNG+을/JKO
소화하며	소화/NNG+하/XSV+며/EC
전국	전국/NNG
곳곳을	곳곳/NNG+을/JKO
1만	1/SN+만/NR
km	km/SW
이상	이상/NNG
돌고	돌/VV+고/EC
있지만	있/VX+지만/EC
갑작스러운	갑작스럽/VA+ㄴ/ETM
일정	일정/NNG
중단	중단/NNG
등	등/NNB
‘이상	‘/SS+이상/NNG
징후’는	징후/NNG+’/SS+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.327.10.1
자유한국당 홍준표 후보(63)는 당 안에서 ‘강골’로 불린다.

자유한국당	자유한국당/NNP
홍준표	홍준표/NNP
후보(63)는	후보/NNG+(/SS+63/SN+)/SS+는/JX
당	당/NNG
안에서	안/NNG+에서/JKB
‘강골’로	‘/SS+강골/NNG+’/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.327.10.2
체구는 크지 않지만 단단하고 다부진 편이다.

체구는	체구/NNG+는/JX
크지	크/VA+지/EC
않지만	않/VX+지만/EC
단단하고	단단하/VA+고/EC
다부진	다부지/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.327.10.3
5년 전 담배도 끊었다.

5년	5/SN+년/NNB
전	전/NNG
담배도	담배/NNG+도/JX
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.327.10.4
다만 니코틴이 든 ‘금연껌’은 가지고 다닌다.

다만	다만/MAG
니코틴이	니코틴/NNG+이/JKS
든	들/VV+ㄴ/ETM
‘금연껌’은	‘/SS+금연/NNG+껌/NNG+’/SS+은/JX
가지고	가지/VV+고/EC
다닌다.	다니/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.327.10.5
홍 후보는 자타 공인 ‘욱 하는’ 급한 성격으로 유명하지만 고혈압은 없다.

홍	홍/NNP
후보는	후보/NNG+는/JX
자타	자타/NNG
공인	공인/NNG
‘욱	‘/SS+욱/MAG
하는’	하/VV+는/ETM+’/SS
급한	급하/VA+ㄴ/ETM
성격으로	성격/NNG+으로/JKB
유명하지만	유명/NNG+하/XSA+지만/EC
고혈압은	고/XPN+혈압/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.327.10.6
‘되도록 소식(小食)하고 반찬은 짜지 않게 먹는다’는 소소한 건강 원칙을 가지고 있다.

‘되도록	‘/SS+되도록/MAG
소식(小食)하고	소식/NNG+(/SS+小食/SH+)/SS+하/VV+고/EC
반찬은	반찬/NNG+은/JX
짜지	짜/VV+지/EC
않게	않/VX+게/EC
먹는다’는	먹/VV+는다/EF+’/SS+는/ETM
소소한	소소하/VA+ㄴ/ETM
건강	건강/NNG
원칙을	원칙/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.11.1
50대 대통령을 내세우고 있는 국민의당 안철수 후보(55)는 ‘120시간 뚜벅이 유세’ 도중 “피곤하지 않느냐”는 질문을 받을 때마다 “남는 게 체력뿐”이라고 강조하고 있다.

50대	50/SN+대/NNB
대통령을	대통령/NNG+을/JKO
내세우고	내세우/VV+고/EC
있는	있/VX+는/ETM
국민의당	국민의당/NNP
안철수	안철수/NNP
후보(55)는	후보/NNG+(/SS+55/SN+)/SS+는/JX
‘120시간	‘/SS+120/SN+시간/NNB
뚜벅이	뚜벅이/NNG
유세’	유세/NNG+’/SS
도중	도중/NNG
“피곤하지	“/SS+피곤/NNG+하/XSA+지/EC
않느냐”는	않/VX+느냐/EF+”/SS+는/ETM
질문을	질문/NNG+을/JKO
받을	받/VV+을/ETM
때마다	때/NNG+마다/JX
“남는	“/SS+남/VV+는/ETM
게	거/NNB+이/JKS
체력뿐”이라고	체력/NNG+뿐/NNB+”/SS+이라고/JKQ
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.11.2
안 후보 측은 “2012년 안 후보가 정치권에 입문한 뒤 병원을 다니거나 아파서 며칠 쉰 적이 없다”고 말했다.

안	안/NNP
후보	후보/NNG
측은	측/NNB+은/JX
“2012년	“/SS+2012/SN+년/NNB
후보가	후보/NNG+가/JKS
정치권에	정치/NNG+권/XSN+에/JKB
입문한	입문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
병원을	병원/NNG+을/JKO
다니거나	다니/VV+거나/EC
아파서	아프/VA+아서/EC
며칠	며칠/NNG
쉰	쉬/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.327.11.3
안 후보는 평소에도 자택 인근 중랑천변에서 5∼6km를 자주 뛰는 것으로 알려졌다.

안	안/NNP
후보는	후보/NNG+는/JX
평소에도	평소/NNG+에/JKB+도/JX
자택	자택/NNG
인근	인근/NNG
중랑천변에서	중랑천/NNP+변/NNG+에서/JKB
5∼6km를	5/SN+∼/SO+6/SN+km/SW+를/JKO
자주	자주/MAG
뛰는	뛰/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.327.11.4
안 후보는 2002년 안철수연구소(현 안랩) 대표 시절 급성간염으로 입원 치료를 받은 뒤 술을 끊었다.

안	안/NNP
후보는	후보/NNG+는/JX
2002년	2002/SN+년/NNB
안철수연구소(현	안철수연구소/NNP+(/SS+현/MMD
안랩)	안랩/NNP+)/SS
대표	대표/NNG
시절	시절/NNG
급성간염으로	급성/NNG+간염/NNG+으로/JKB
입원	입원/NNG
치료를	치료/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
술을	술/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.327.12.1
바른정당 유승민 후보(59)는 최근 수면 시간이 4시간도 안 되지만 선거운동 후반으로 갈수록 표정이 밝아지고 있다.

바른정당	바른정당/NNP
유승민	유승민/NNP
후보(59)는	후보/NNG+(/SS+59/SN+)/SS+는/JX
최근	최근/NNG
수면	수면/NNG
시간이	시간/NNG+이/JKS
4시간도	4/SN+시간/NNB+도/JX
안	안/MAG
되지만	되/VV+지만/EC
선거운동	선거/NNG+운동/NNG
후반으로	후반/NNG+으로/JKB
갈수록	가/VV+ㄹ수록/EC
표정이	표정/NNG+이/JKS
밝아지고	밝/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.12.2
지지자들의 응원을 ‘피로해소제’로 삼고 있다고 한다.

지지자들의	지지자/NNG+들/XSN+의/JKG
응원을	응원/NNG+을/JKO
‘피로해소제’로	‘/SS+피로/NNG+해소제/NNG+’/SS+로/JKB
삼고	삼/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.327.12.3
다만 잦은 유세 일정에 목이 쉬어버려 목 관리에 신경을 쓰고 있다.

다만	다만/MAG
잦은	잦/VA+은/ETM
유세	유세/NNG
일정에	일정/NNG+에/JKB
목이	목/NNG+이/JKS
쉬어버려	쉬/VV+어/EC+버리/VX+어/EC
목	목/NNG
관리에	관리/NNG+에/JKB
신경을	신경/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.12.4
담배도 잠시 끊고 매일 도라지즙과 목사탕을 챙겨 먹는다.

담배도	담배/NNG+도/JX
잠시	잠시/MAG
끊고	끊/VV+고/EC
매일	매일/MAG
도라지즙과	도라지즙/NNG+과/JC
목사탕을	목/NNG+사탕/NNG+을/JKO
챙겨	챙기/VV+어/EC
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000053.327.12.5
유 후보는 ‘야구광’으로도 유명하다.

유	유/NNP
후보는	후보/NNG+는/JX
‘야구광’으로도	‘/SS+야구/NNG+광/XSN+’/SS+으로/JKB+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.327.12.6
한국개발연구원(KDI) 연구원 시절에는 야구팀을 꾸려 ‘부총리배 중앙행정기관 야구대회’에서 우승을 차지했다.

한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
연구원	연구원/NNG
시절에는	시절/NNG+에/JKB+는/JX
야구팀을	야구팀/NNG+을/JKO
꾸려	꾸리/VV+어/EC
‘부총리배	‘/SS+부총리/NNG+배/NNB
중앙행정기관	중앙/NNG+행정/NNG+기관/NNG
야구대회’에서	야구/NNG+대회/NNG+’/SS+에서/JKB
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.327.13.1
정의당 심상정 후보(58)는 정면 돌파하는 리더십으로 ‘철의 여인’이라는 수식어가 붙었지만 건강에 관해서도 강철 체력으로 알려져 있다.

정의당	정의당/NNP
심상정	심상정/NNP
후보(58)는	후보/NNG+(/SS+58/SN+)/SS+는/JX
정면	정면/NNG
돌파하는	돌파/NNG+하/XSV+는/ETM
리더십으로	리더십/NNG+으로/JKB
‘철의	‘/SS+철/NNG+의/JKG
여인’이라는	여인/NNG+’/SS+이/VCP+라는/ETM
수식어가	수식어/NNG+가/JKS
붙었지만	붙/VV+었/EP+지만/EC
건강에	건강/NNG+에/JKB
관해서도	관하/VV+아서/EC+도/JX
강철	강철/NNG
체력으로	체력/NNG+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.13.2
심 후보는 매일 아침 국회 체력단련실에서 운동을 하는 등 자기 관리도 철저하다.

심	심/NNP
후보는	후보/NNG+는/JX
매일	매일/MAG
아침	아침/NNG
국회	국회/NNG
체력단련실에서	체력/NNG+단련실/NNG+에서/JKB
운동을	운동/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
자기	자기/NP
관리도	관리/NNG+도/JX
철저하다.	철저/NNG+하/XSA+다/EF+./SF


