# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.166
metadata : {}


# id : NWRW1800000046.166.1.1
승용차에 깔린 여고생, 시민 수십명이 車 들어올려 구해

승용차에	승용차/NNG+에/JKB
재빨리	재빨리/MAG
구조해	구조/NNG+하/XSV+아/EC
주신	주/VX+시/EP+ㄴ/ETM
것은	것/NNB+은/JX
정말	정말/MAG
감사한	감사/NNG+하/XSA+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.166.5.3
경찰은 BMW 차량이 직진 차로에서 좌회전을 하려다가 사고를 낸 것으로 보고 교통사고처리특례법 위반 혐의로 운전자 곽씨를 불구속 입건했다고 10일 밝혔다.

경찰은	경찰/NNG+은/JX
BMW	BMW/SL
차량이	차량/NNG+이/JKS
직진	직진/NNG
차로에서	차로/NNG+에서/JKB
좌회전을	좌회전/NNG+을/JKO
하려다가	하/VV+려다가/EC
사고를	사고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
교통사고처리특례법	교통사고/NNG+처리/NNG+특례법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
운전자	운전자/NNG
곽씨를	곽/NNP+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


