# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.160
metadata : {}


# id : NWRW1800000054.160.1.1
스누버(서울대 자율주행車)가 우버와 발음 비슷해 사용하지 말라고?

스누버(서울대	스누버/NNP+(/SS+서울대/NNP
발표됐기	발표/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
국내외	국내외/NNG
언론들은	언론/NNG+들/XSN+은/JX
스누버의	스누버/NNP+의/JKG
영문	영문/NNG
명칭을	명칭/NNG+을/JKO
대부분	대/XPN+부분/NNG
'SNUber'로	'/SS+SNUber/SL+'/SS+로/JKB
표기했다.	표기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.4.4
그런데 작년 7월 우버 측에서 갑자기 'SNUber'라는 표기를 문제 삼아 "'Uber' 상표를 침해하는 것이므로 사용을 중지해 달라"고 서울대에 요구했다.

그런데	그런데/MAJ
작년	작년/NNG
7월	7/SN+월/NNB
우버	우버/NNP
측에서	측/NNB+에서/JKB
갑자기	갑자기/MAG
'SNUber'라는	'/SS+SNUber/SL+'/SS+이/VCP+라는/ETM
표기를	표기/NNG+를/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
"'Uber'	"/SS+'/SS+Uber/SL+'/SS
상표를	상표/NNG+를/JKO
침해하는	침해/NNG+하/XSV+는/ETM
것이므로	것/NNB+이/VCP+므로/EC
사용을	사용/NNG+을/JKO
중지해	중지/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
서울대에	서울대/NNP+에/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.4.5
이에 학교 측은 "'SNUber'라는 명칭은 공식 명칭이 아니고 앞으로도 사용할 의사가 없다"고 답신했다.

이에	이/NP+에/JKB
학교	학교/NNG
측은	측/NNB+은/JX
"'SNUber'라는	"/SS+'/SS+SNUber/SL+'/SS+이/VCP+라는/ETM
명칭은	명칭/NNG+은/JX
공식	공식/NNG
명칭이	명칭/NNG+이/JKC
아니고	아니/VCN+고/EC
앞으로도	앞/NNG+으로/JKB+도/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
답신했다.	답신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.5.1
비슷한 시기에 서울대 산학협력단은 한글 명칭 '스누버'의 상표권을 특허청에 신청했다.

비슷한	비슷하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
서울대	서울대/NNP
산학협력단은	산학/NNG+협력단/NNG+은/JX
한글	한글/NNG
명칭	명칭/NNG
'스누버'의	'/SS+스누버/NNP+'/SS+의/JKG
상표권을	상표/NNG+권/XSN+을/JKO
특허청에	특허청/NNG+에/JKB
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.5.2
또 작년 11월 자율주행 기능이 더욱 향상된 '스누버2'를 개발해 공개하면서 'SNUver2'라는 공식 영문 명칭도 발표했다.

또	또/MAG
작년	작년/NNG
11월	11/SN+월/NNB
자율주행	자율/NNG+주행/NNG
기능이	기능/NNG+이/JKS
더욱	더욱/MAG
향상된	향상/NNG+되/XSV+ㄴ/ETM
'스누버2'를	'/SS+스누버2/NNP+'/SS+를/JKO
개발해	개발/NNG+하/XSV+아/EC
공개하면서	공개/NNG+하/XSV+면서/EC
'SNUver2'라는	'/SS+SNUver/SL+2/SN+'/SS+이/VCP+라는/ETM
공식	공식/NNG
영문	영문/NNG
명칭도	명칭/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.5.3
그러자 우버 측은 지난 1월 서울대에 "'스누버' 상표를 출원하고, (새로 개발한) 자율주행 자동차를 '스누버2'라고 지칭한 사실을 매우 심각하게 생각하고 있다"며 한글 명칭인 '스누버'의 사용도 중지하라고 요구했다.

그러자	그러/VV+자/EC
우버	우버/NNP
측은	측/NNB+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
서울대에	서울대/NNP+에/JKB
"'스누버'	"/SS+'/SS+스누버/NNP+'/SS
상표를	상표/NNG+를/JKO
출원하고,	출원/NNG+하/XSV+고/EC+,/SP
(새로	(/SS+새로/MAG
개발한)	개발/NNG+하/XSV+ㄴ/ETM+)/SS
자율주행	자율/NNG+주행/NNG
자동차를	자동차/NNG+를/JKO
'스누버2'라고	'/SS+스누버2/NNP+'/SS+라고/JKQ
지칭한	지칭/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
매우	매우/MAG
심각하게	심각하/VA+게/EC
생각하고	생각/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
한글	한글/NNG
명칭인	명칭/NNG+이/VCP+ㄴ/ETM
'스누버'의	'/SS+스누버/NNP+'/SS+의/JKG
사용도	사용/NNG+도/JX
중지하라고	중지/NNG+하/XSV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.5.4
'스누버'와 영문 'SNUber'의 발음이 같으니 쓰지 말아야 한다는 주장이었다.

'스누버'와	'/SS+스누버/NNP+'/SS+와/JC
영문	영문/NNG
'SNUber'의	'/SS+SNUber/SL+'/SS+의/JKG
발음이	발음/NNG+이/JKS
같으니	같/VA+으니/EC
쓰지	쓰/VV+지/EC
말아야	말/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이었다.	주장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.160.6.1
서울대는 스누버란 이름은 우버와 아무 관련이 없다는 입장이다.

서울대는	서울대/NNP+는/JX
스누버란	스누버/NNP+이/VCP+란/ETM
이름은	이름/NNG+은/JX
우버와	우버/NNP+와/JKB
아무	아무/MMD
관련이	관련/NNG+이/JKS
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.160.6.2
서 교수는 "자산 가치 70조원의 다국적 기업이 국내 대학 연구팀을 상대로 상표권 분쟁을 시작했다는 데 개탄한다"고 말했다.

서	서/NNP
교수는	교수/NNG+는/JX
"자산	"/SS+자산/NNG
가치	가치/NNG
70조원의	70/SN+조/NR+원/NNB+의/JKG
다국적	다국적/NNG
기업이	기업/NNG+이/JKS
국내	국내/NNG
대학	대학/NNG
연구팀을	연구/NNG+팀/NNG+을/JKO
상대로	상대/NNG+로/JKB
상표권	상표/NNG+권/XSN
분쟁을	분쟁/NNG+을/JKO
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
데	데/NNB
개탄한다"고	개탄/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.6.3
우버 측은 "가능한 모든 법적 조치를 취할 준비가 돼 있다"고 밝혔다.

우버	우버/NNP
측은	측/NNB+은/JX
"가능한	"/SS+가능/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
법적	법/NNG+적/XSN
조치를	조치/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


