# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.152
metadata : {}


# id : NWRW1800000030.152.1.1
부산저축銀 브로커 박태규씨 조기 송환 캐나다 당국과 여권 취소 절차 협의

부산저축銀	부산저축銀/NNP
16일	16/SN+일/NNB
사모펀드인	사모/NNG+펀드/NNG+이/VCP+ㄴ/ETM
칸서스파트너스에	칸서스파트너스/NNP+에/JKB
서신평	서신평/NNP
지분의	지분/NNG+의/JKG
43.6%를	43/SN+./SP+6/SN+%/SW+를/JKO
약	약/MMA
158억원에	158/SN+억/NR+원/NNB+에/JKB
매각하는	매각/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.152.2.7
검찰은 부산저축은행이 영업정지 사실을 미리 알고 자산을 빼돌리기 위해 헐값에 서신평을 매각하려 했는지 조사하고 있다.

검찰은	검찰/NNG+은/JX
부산저축은행이	부산저축은행/NNP+이/JKS
영업정지	영업/NNG+정지/NNG
사실을	사실/NNG+을/JKO
미리	미리/MAG
알고	알/VV+고/EC
자산을	자산/NNG+을/JKO
빼돌리기	빼돌리/VV+기/ETN
위해	위하/VV+아/EC
헐값에	헐값/NNG+에/JKB
서신평을	서신평/NNP+을/JKO
매각하려	매각/NNG+하/XSV+려/EC
했는지	하/VX+았/EP+는지/EF
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.152.3.1
한편 광주지검은 보해저축은행에 대한 회계감사를 부실하게 한 혐의(주식회사 외부감사법 위반)로 A회계법인 광주지부에 근무했던 공인회계사 양모씨에 대해 구속영장을 청구했다.

한편	한편/MAG
광주지검은	광주지검/NNP+은/JX
보해저축은행에	보해저축은행/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
회계감사를	회계/NNG+감사/NNG+를/JKO
부실하게	부실/NNG+하/XSA+게/EC
한	하/VX+ㄴ/ETM
혐의(주식회사	혐의/NNG+(/SS+주식회사/NNG
외부감사법	외부/NNG+감사법/NNG
위반)로	위반/NNG+)/SS+로/JKB
A회계법인	A/SL+회계/NNG+법인/NNG
광주지부에	광주/NNP+지부/NNG+에/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
공인회계사	공인/NNG+회계사/NNG
양모씨에	양/NNP+모/NP+씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.152.3.2
양씨는 올 2월 A회계법인에서 퇴사했다.

양씨는	양/NNP+씨/NNB+는/JX
올	올/NNG
2월	2/SN+월/NNB
A회계법인에서	A/SL+회계/NNG+법인/NNG+에서/JKB
퇴사했다.	퇴사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.152.3.3
검찰이 수사 중인 부산·보해·삼화저축은행을 통틀어 부실회계 책임을 물어 회계사에 대해 영장을 청구한 것은 양씨가 처음이다.

검찰이	검찰/NNG+이/JKS
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
부산·보해·삼화저축은행을	부산/NNP+·/SP+보해/NNP+·/SP+삼화저축은행/NNP+을/JKO
통틀어	통틀어/MAG
부실회계	부실/NNG+회계/NNG
책임을	책임/NNG+을/JKO
물어	묻/VV+어/EC
회계사에	회계사/NNG+에/JKB
대해	대하/VV+아/EC
영장을	영장/NNG+을/JKO
청구한	청구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
양씨가	양/NNP+씨/NNB+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.152.4.1
양씨는 지난 2009~2010년 보해저축은행 회계감사에서 회수 가능성이 작아 위험자산으로 분류되는 대손충당금을 적게 산정하는 방식으로 국제결제은행(BIS) 기준 자기자본비율을 임의로 높여준 혐의를 받고 있다.

양씨는	양/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2009~2010년	2009/SN+~/SO+2010/SN+년/NNB
보해저축은행	보해저축은행/NNP
회계감사에서	회계/NNG+감사/NNG+에서/JKB
회수	회수/NNG
가능성이	가능/NNG+성/XSN+이/JKS
작아	작/VA+아/EC
위험자산으로	위험/NNG+자산/NNG+으로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
대손충당금을	대손/NNG+충당금/NNG+을/JKO
적게	적/VA+게/EC
산정하는	산정/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
기준	기준/NNG
자기자본비율을	자기/NNG+자본/NNG+비율/NNG+을/JKO
임의로	임의/NNG+로/JKB
높여준	높이/VV+어/EC+주/VX+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.152.4.2
회계법인 감사 결과는 전자공시된다.

회계법인	회계/NNG+법인/NNG
감사	감사/NNG
결과는	결과/NNG+는/JX
전자공시된다.	전자/NNG+공시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.152.4.3
검찰 관계자는 "부실한 회계감사와 과장된 BIS비율 공시는 결과적으로 채권자와 주주, 예금자 등에게 손해를 끼친 셈"이라고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"부실한	"/SS+부실/NNG+하/XSA+ㄴ/ETM
회계감사와	회계/NNG+감사/NNG+와/JC
과장된	과장/NNG+되/XSV+ㄴ/ETM
BIS비율	BIS/SL+비율/NNG
공시는	공시/NNG+는/JX
결과적으로	결과/NNG+적/XSN+으로/JKB
채권자와	채권자/NNG+와/JC
주주,	주주/NNG+,/SP
예금자	예금자/NNG
등에게	등/NNB+에게/JKB
손해를	손해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


