# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.212
metadata : {}


# id : NWRW1800000032.212.1.1
배아무개(30)씨는 지난여름 어묵조림을 강화유리 그릇에 담다 그릇이 폭발하는 사고를 겪었다.

배아무개(30)씨는	배/NNP+아무개/NP+(/SS+30/SN+)/SS+씨/NNB+는/JX
내열성을	내열/NNG+성/XSN+을/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
작은	작/VA+은/ETM
흠집과	흠집/NNG+과/JC
낮은	낮/VA+은/ETM
열에도	열/NNG+에/JKB+도/JX
쉽게	쉽/VA+게/EC
폭발할	폭발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.212.4.3
한국소비자원 역시 강화유리 식기 사고가 빈번하자 강화유리 코드를 따로 마련했고, 이후 접수된 폭발사고만 2009년 32건, 2010년 28건으로 꾸준하다.

한국소비자원	한국소비자원/NNP
역시	역시/MAG
강화유리	강화/NNG+유리/NNG
식기	식기/NNG
사고가	사고/NNG+가/JKS
빈번하자	빈번하/VA+자/EC
코드를	코드/NNG+를/JKO
따로	따로/MAG
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
접수된	접수/NNG+되/XSV+ㄴ/ETM
폭발사고만	폭발/NNG+사고/NNG+만/JX
2009년	2009/SN+년/NNB
32건,	32/SN+건/NNB+,/SP
2010년	2010/SN+년/NNB
28건으로	28/SN+건/NNB+으로/JKB
꾸준하다.	꾸준하/VA+다/EF+./SF


# id : NWRW1800000032.212.5.1
강화유리 사고가 잇따르자 지난해 3월 식품의약품안전청은 강화유리제 식기의 내열 표시를 제한하는 ‘식품 등의 표시기준’ 개정안도 예고했다.

강화유리	강화/NNG+유리/NNG
사고가	사고/NNG+가/JKS
잇따르자	잇따르/VV+자/EC
지난해	지난해/NNG
3월	3/SN+월/NNB
식품의약품안전청은	식품/NNG+의약품/NNG+안전청/NNG+은/JX
강화유리제	강화/NNG+유리제/NNG
식기의	식기/NNG+의/JKG
내열	내열/NNG
표시를	표시/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
‘식품	‘/SS+식품/NNG
등의	등/NNB+의/JKG
표시기준’	표시/NNG+기준/NNG+’/SS
개정안도	개정안/NNG+도/JX
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.5.2
하지만 기술표준원의 개정안대로 규정이 변경되면 식약청의 방침과는 반대로 강화유리 식기에 ‘내열’ 표시가 가능해진다.

하지만	하지만/MAJ
기술표준원의	기술/NNG+표준원/NNG+의/JKG
개정안대로	개정안/NNG+대로/JX
규정이	규정/NNG+이/JKS
변경되면	변경/NNG+되/XSV+면/EC
식약청의	식약청/NNG+의/JKG
방침과는	방침/NNG+과/JKB+는/JX
반대로	반대/NNG+로/JKB
강화유리	강화/NNG+유리/NNG
식기에	식기/NNG+에/JKB
‘내열’	‘/SS+내열/NNG+’/SS
표시가	표시/NNG+가/JKS
가능해진다.	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.212.6.1
강승구 경기대 교수(신소재공학과)는 “대부분의 국가들이 열팽창 계수가 낮은 재료만을 내열유리로 정의하고, 강화유리는 내열유리에 포함시키지 않고 있다”며 “강화유리의 문제점을 완전히 해결하고 내열안전성을 확보한 뒤에 규격화를 논의해도 늦지 않을 것”이라고 말했다.

강승구	강승구/NNP
경기대	경기대/NNP
교수(신소재공학과)는	교수/NNG+(/SS+신/XPN+소재/NNG+공학과/NNG+)/SS+는/JX
“대부분의	“/SS+대/XPN+부분/NNG+의/JKG
국가들이	국가/NNG+들/XSN+이/JKS
열팽창	열팽창/NNG
계수가	계수/NNG+가/JKS
낮은	낮/VA+은/ETM
재료만을	재료/NNG+만/JX+을/JKO
내열유리로	내열/NNG+유리/NNG+로/JKB
정의하고,	정의/NNG+하/XSV+고/EC+,/SP
강화유리는	강화/NNG+유리/NNG+는/JX
내열유리에	내열/NNG+유리/NNG+에/JKB
포함시키지	포함/NNG+시키/XSV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“강화유리의	“/SS+강화/NNG+유리/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
완전히	완전히/MAG
해결하고	해결/NNG+하/XSV+고/EC
내열안전성을	내열/NNG+안전/NNG+성/XSN+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
규격화를	규격/NNG+화/XSN+를/JKO
논의해도	논의/NNG+하/XSV+아도/EC
늦지	늦/VA+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.6.2
조윤미 녹색소비자연대전국협의회 본부장은 “일본에서는 강화유리 폭발로 학생이 눈을 다치는 사고가 발생한 뒤 2001년부터 강화유리와 내열유리를 엄격하게 구분하고 있다”며 “소비자가 두 제품의 특성과 한계를 잘 이해할 수 있도록 해야 하고, 이를 위해 별도의 규격 규정에 의해 관리·표시되어야 한다”고 밝혔다.

조윤미	조윤미/NNP
녹색소비자연대전국협의회	녹색소비자연대전국협의회/NNP
본부장은	본부장/NNG+은/JX
“일본에서는	“/SS+일본/NNP+에서/JKB+는/JX
강화유리	강화/NNG+유리/NNG
폭발로	폭발/NNG+로/JKB
학생이	학생/NNG+이/JKS
눈을	눈/NNG+을/JKO
다치는	다치/VV+는/ETM
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2001년부터	2001/SN+년/NNB+부터/JX
강화유리와	강화/NNG+유리/NNG+와/JC
내열유리를	내열/NNG+유리/NNG+를/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
구분하고	구분/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“소비자가	“/SS+소비자/NNG+가/JKS
두	두/MMN
제품의	제품/NNG+의/JKG
특성과	특성/NNG+과/JC
한계를	한계/NNG+를/JKO
잘	잘/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+아야/EC
하고,	하/VX+고/EC+,/SP
이를	이/NP+를/JKO
위해	위하/VV+아/EC
별도의	별도/NNG+의/JKG
규격	규격/NNG
규정에	규정/NNG+에/JKB
의해	의하/VV+아/EC
관리·표시되어야	관리/NNG+·/SP+표시/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.212.7.1
1월 중 개정안을 통과시키려던 기술표준원은 업계와 단체의 반발로 개정안을 잠시 유보했다.

1월	1/SN+월/NNB
중	중/NNB
개정안을	개정안/NNG+을/JKO
통과시키려던	통과/NNG+시키/XSV+려던/ETM
기술표준원은	기술/NNG+표준원/NNG+은/JX
업계와	업계/NNG+와/JC
단체의	단체/NNG+의/JKG
반발로	반발/NNG+로/JKB
잠시	잠시/MAG
유보했다.	유보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.7.2
기술표준원 관계자는 “기술심의위원회를 열려다 문제제기가 많아 일단 보류한 상태”라며 “서너달 추가 논의를 한 뒤 개정 여부를 결정할 것”이라고 말했다.

기술표준원	기술/NNG+표준원/NNG
관계자는	관계자/NNG+는/JX
“기술심의위원회를	“/SS+기술/NNG+심의/NNG+위원회/NNG+를/JKO
열려다	열/VV+려다/EC
문제제기가	문제/NNG+제기/NNG+가/JKS
많아	많/VA+아/EC
일단	일단/MAG
보류한	보류/NNG+하/XSV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
“서너달	“/SS+서너/MMN+달/NNB
추가	추가/NNG
논의를	논의/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
개정	개정/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


