# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.282
metadata : {}


# id : NWRW1800000046.282.1.1
[데스크에서] 설악산 케이블카와 새정련

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
한국갤럽이	한국갤럽/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
1~3일	1/SN+~/SO+3/SN+일/NNB
전국	전국/NNG
성인	성인/NNG
1003명을	1003/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
'설악산	'/SS+설악산/NNP
오색지구	오색지구/NNP
케이블카	케이블카/NNG
설치	설치/NNG
사업	사업/NNG
승인에	승인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
의견'을	의견/NNG+'/SS+을/JKO
물은	묻/VV+은/ETM
결과	결과/NNG
전체	전체/NNG
응답자의	응답자/NNG+의/JKG
43%는	43/SN+%/SW+는/JX
찬성,	찬성/NNG+,/SP
35%는	35/SN+%/SW+는/JX
반대	반대/NNG
의견을	의견/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.282.4.6
하지만 야당 지지층만을 대상으로 한 조사에서는 찬성 36%, 반대 47%로 다른 결과가 나왔다.

하지만	하지만/MAJ
야당	야당/NNG
지지층만을	지지/NNG+층/XSN+만/JX+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
조사에서는	조사/NNG+에서/JKB+는/JX
찬성	찬성/NNG
36%,	36/SN+%/SW+,/SP
반대	반대/NNG
47%로	47/SN+%/SW+로/JKB
다른	다른/MMD
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.282.5.1
설악산 케이블카 승인에 관해서는 찬반 양 진영의 주장이 모두 틀렸다고 할 수 없다.

설악산	설악산/NNP
케이블카	케이블카/NNG
승인에	승인/NNG+에/JKB
관해서는	관하/VV+아서/EC+는/JX
찬반	찬반/NNG
양	양/MMN
진영의	진영/NNG+의/JKG
주장이	주장/NNG+이/JKS
모두	모두/MAG
틀렸다고	틀리/VV+었/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.282.5.2
지역경제 활성화와 자연환경 보존이라는 각자의 입장에서 본 진실을 전하고 있기 때문이다.

지역경제	지역/NNG+경제/NNG
활성화와	활성/NNG+화/XSN+와/JC
자연환경	자연환경/NNG
보존이라는	보존/NNG+이/VCP+라는/ETM
각자의	각자/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
본	보/VV+ㄴ/ETM
진실을	진실/NNG+을/JKO
전하고	전하/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.282.5.3
이런 '절반의 진실' 논쟁에서 모호한 입장을 취하고 있는 야당을 비판하기도 힘들다.

이런	이런/MMD
'절반의	'/SS+절반/NNG+의/JKG
진실'	진실/NNG+'/SS
논쟁에서	논쟁/NNG+에서/JKB
모호한	모호하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
취하고	취하/VV+고/EC
있는	있/VX+는/ETM
야당을	야당/NNG+을/JKO
비판하기도	비판/NNG+하/XSV+기/ETN+도/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000046.282.5.4
다만 야당으로서는 이번 곤경(困境)을 통해 국가와 지역의 각종 의제를 다룰 때 정부·여당의 방침이라면 반사적으로 반대부터 하던 습관을 되돌아봤으면 한다.

다만	다만/MAG
야당으로서는	야당/NNG+으로서/JKB+는/JX
이번	이번/NNG
곤경(困境)을	곤경/NNG+(/SS+困境/SH+)/SS+을/JKO
통해	통하/VV+아/EC
국가와	국가/NNG+와/JC
지역의	지역/NNG+의/JKG
각종	각종/NNG
의제를	의제/NNG+를/JKO
다룰	다루/VV+ㄹ/ETM
때	때/NNG
정부·여당의	정부/NNG+·/SP+여당/NNG+의/JKG
방침이라면	방침/NNG+이/VCP+라면/EC
반사적으로	반사/NNG+적/XSN+으로/JKB
반대부터	반대/NNG+부터/JX
하던	하/VV+던/ETM
습관을	습관/NNG+을/JKO
되돌아봤으면	되돌아보/VV+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.282.5.5
정치권이 세상 이치의 다면성(多面性)을 인정하고 역지사지(易地思之)의 지혜를 깨닫는다면 나라는 한결 효율적으로 굴러갈 수 있다.

정치권이	정치/NNG+권/XSN+이/JKS
세상	세상/NNG
이치의	이치/NNG+의/JKG
다면성(多面性)을	다면/NNG+성/XSN+(/SS+多面性/SH+)/SS+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
역지사지(易地思之)의	역지사지/NNG+(/SS+易地思之/SH+)/SS+의/JKG
지혜를	지혜/NNG+를/JKO
깨닫는다면	깨닫/VV+는다면/EC
나라는	나라/NNG+는/JX
한결	한결/MAG
효율적으로	효율/NNG+적/XSN+으로/JKB
굴러갈	굴러가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


