# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.383
metadata : {}


# id : NWRW1800000040.383.1.1
안팎에 끼인 ‘새누리당 경실모’

안팎에	안팎/NNG+에/JKB
징벌적	징벌/NNG+적/XSN
손해배상제와	손해/NNG+배상/NNG+제/XSN+와/JC
집단소송제,	집단/NNG+소송/NNG+제/XSN+,/SP
피해자의	피해자/NNG+의/JKG
행위금지	행위/NNG+금지/NNG
청구제	청구/NNG+제/XSN
도입	도입/NNG
등을	등/NNB+을/JKO
핵심	핵심/NNG
내용으로	내용/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘독점규제	‘/SS+독점/NNG+규제/NNG
및	및/MAG
공정거래에	공정/NNG+거래/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SS
개정안(갑을관계	개정안/NNG+(/SS+갑을/NNG+관계/NNG
민주화법)을	민주/NNG+화/XSN+법/NNG+)/SS+을/JKO
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.6.2
하지만 새누리당 지도부를 중심으로 집단소송제 등 개정안의 일부 내용에 반대하는 의견이 만만치 않아 입법 과정에서 진통이 예상된다.

하지만	하지만/MAJ
새누리당	새누리당/NNP
지도부를	지도부/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
집단소송제	집단/NNG+소송/NNG+제/XSN
등	등/NNB
개정안의	개정안/NNG+의/JKG
일부	일부/NNG
내용에	내용/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
의견이	의견/NNG+이/JKS
만만치	만만하/VA+지/EC
않아	않/VX+아/EC
입법	입법/NNG
과정에서	과정/NNG+에서/JKB
진통이	진통/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.383.7.1
새누리당 경실모 소속 이종훈 의원이 대표 발의한 개정안은 공정거래법 위반 행위 피해자를 보호하기 위해, ‘갑’이 우월한 지위를 이용해 중대한 위법 행위를 했을 경우 ‘을’에게 피해액의 3배를 배상하고, 악의적·반복적으로 위법 행위가 이뤄졌다면 최대 10배까지 손해배상 책임을 부과하는 징벌적 손해배상제를 도입하도록 했다.

새누리당	새누리당/NNP
경실모	경실모/NNG
소속	소속/NNG
이종훈	이종훈/NNP
의원이	의원/NNG+이/JKS
대표	대표/NNG
발의한	발의/NNG+하/XSV+ㄴ/ETM
개정안은	개정안/NNG+은/JX
공정거래법	공정/NNG+거래법/NNG
위반	위반/NNG
행위	행위/NNG
피해자를	피해자/NNG+를/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해,	위하/VV+아/EC+,/SP
‘갑’이	‘/SS+갑/NNG+’/SS+이/JKS
우월한	우월/NNG+하/XSA+ㄴ/ETM
지위를	지위/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
중대한	중대/NNG+하/XSA+ㄴ/ETM
위법	위법/NNG
행위를	행위/NNG+를/JKO
했을	하/VV+았/EP+을/ETM
경우	경우/NNG
‘을’에게	‘/SS+을/NNG+’/SS+에게/JKB
피해액의	피해액/NNG+의/JKG
3배를	3/SN+배/NNG+를/JKO
배상하고,	배상/NNG+하/XSV+고/EC+,/SP
악의적·반복적으로	악의/NNG+적/XSN+·/SP+반복/NNG+적/XSN+으로/JKB
행위가	행위/NNG+가/JKS
이뤄졌다면	이뤄지/VV+었/EP+다면/EC
최대	최대/NNG
10배까지	10/SN+배/NNG+까지/JX
손해배상	손해/NNG+배상/NNG
책임을	책임/NNG+을/JKO
부과하는	부과/NNG+하/XSV+는/ETM
징벌적	징벌/NNG+적/XSN
손해배상제를	손해/NNG+배상/NNG+제/XSN+를/JKO
도입하도록	도입/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.7.2
개정안은 또 증권 관련법에서만 인정하고 있는 집단소송제를 공정거래법상의 거래상 지위 및 시장지배적 지위 남용 등에도 도입하는 방안을 담았다.

개정안은	개정안/NNG+은/JX
또	또/MAG
증권	증권/NNG
관련법에서만	관련/NNG+법/NNG+에서/JKB+만/JX
인정하고	인정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
집단소송제를	집단/NNG+소송/NNG+제/XSN+를/JKO
공정거래법상의	공정/NNG+거래법/NNG+상/XSN+의/JKG
거래상	거래/NNG+상/XSN
지위	지위/NNG
및	및/MAG
시장지배적	시장/NNG+지배/NNG+적/XSN
남용	남용/NNG
등에도	등/NNB+에/JKB+도/JX
도입하는	도입/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.8.1
다만 집단소송의 남발을 막기 위해 최근 3년간 3건 이상의 집단소송에 대표 당사자로 참여한 사람은 원칙적으로 집단소송의 대표 당사자가 될 수 없도록 제한하고 집단소송의 원고도 50인 이상으로 규정했다.

다만	다만/MAG
집단소송의	집단/NNG+소송/NNG+의/JKG
남발을	남발/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
3건	3/SN+건/NNB
이상의	이상/NNG+의/JKG
집단소송에	집단/NNG+소송/NNG+에/JKB
대표	대표/NNG
당사자로	당사자/NNG+로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
당사자가	당사자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
제한하고	제한/NNG+하/XSV+고/EC
원고도	원고/NNG+도/JX
50인	50/SN+인/NNG
이상으로	이상/NNG+으로/JKB
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.8.2
소송 방식은 승소할 경우 제외 신청을 한 사람 이외에는 나머지 관련자 모두가 판결의 효력을 받는 ‘옵트아웃(Opt-out)’ 형태로 했다.

소송	소송/NNG
방식은	방식/NNG+은/JX
승소할	승소/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
제외	제외/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
사람	사람/NNG
이외에는	이외/NNG+에/JKB+는/JX
나머지	나머지/NNG
관련자	관련자/NNG
모두가	모두/NNG+가/JKS
판결의	판결/NNG+의/JKG
효력을	효력/NNG+을/JKO
받는	받/VV+는/ETM
‘옵트아웃(Opt-out)’	‘/SS+옵트아웃/NNG+(/SS+Opt/SL+-/SO+out/SL+)/SS+’/SS
형태로	형태/NNG+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.8.3
이와함께 개정안은 공정거래법 위반 행위로 손해가 발생하거나 발생할 우려가 있는 경우 피해자가 공정거래위원회를 거치지 않고 직접 법원에 위반 행위 금지를 청구할 수 있도록 하는 방안과 공정위 결정에 불복 소송을 할 수 있는 조항도 포함했다.

이와함께	이/NP+와/JKB+함께/MAG
개정안은	개정안/NNG+은/JX
공정거래법	공정/NNG+거래법/NNG
위반	위반/NNG
행위로	행위/NNG+로/JKB
손해가	손해/NNG+가/JKS
발생하거나	발생/NNG+하/XSV+거나/EC
발생할	발생/NNG+하/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
경우	경우/NNG
피해자가	피해자/NNG+가/JKS
공정거래위원회를	공정/NNG+거래/NNG+위원회/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
직접	직접/MAG
법원에	법원/NNG+에/JKB
행위	행위/NNG
금지를	금지/NNG+를/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
방안과	방안/NNG+과/JC
공정위	공정위/NNG
결정에	결정/NNG+에/JKB
불복	불복/NNG
소송을	소송/NNG+을/JKO
할	하/VV+ㄹ/ETM
조항도	조항/NNG+도/JX
포함했다.	포함/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.9.1
하지만 이 개정안을 두고는 당내 지도부를 중심으로 “지나친 규제”라는 반대 목소리가 나오고 있다.

하지만	하지만/MAJ
이	이/MMD
개정안을	개정안/NNG+을/JKO
두고는	두/VV+고/EC+는/JX
당내	당내/NNG
지도부를	지도부/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
“지나친	“/SS+지나치/VA+ㄴ/ETM
규제”라는	규제/NNG+”/SS+이/VCP+라는/ETM
반대	반대/NNG
목소리가	목소리/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.383.9.2
특히 집단 소송제가 도마에 오르고 있다.

특히	특히/MAG
집단	집단/NNG
소송제가	소송/NNG+제/XSN+가/JKS
도마에	도마/NNG+에/JKB
오르고	오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.383.9.3
‘짬짜미(담합)와 재판매가격 유지 행위’에만 제한적으로 집단소송제를 도입하겠다고 한 박근혜 대통령의 대선공약과 국정과제를 넘어서는 수준이라는 것이다.

‘짬짜미(담합)와	‘/SS+짬짜미/NNG+(/SS+담합/NNG+)/SS+와/JC
재판매가격	재/XPN+판매/NNG+가격/NNG
유지	유지/NNG
행위’에만	행위/NNG+’/SS+에/JKB+만/JX
제한적으로	제한/NNG+적/XSN+으로/JKB
집단소송제를	집단/NNG+소송/NNG+제/XSN+를/JKO
도입하겠다고	도입/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
대선공약과	대선/NNG+공약/NNG+과/JC
국정과제를	국정/NNG+과제/NNG+를/JKO
넘어서는	넘어서/VV+는/ETM
수준이라는	수준/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.383.9.4
김기현 새누리당 정책위의장은 “대선 공약과 관계없는 다른 사유도 (집단 소송에) 포함하자고 하는거니까 신중히 검토해야 한다”고 제동을 걸었다.

김기현	김기현/NNP
새누리당	새누리당/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
“대선	“/SS+대선/NNG
공약과	공약/NNG+과/JKB
관계없는	관계없/VA+는/ETM
다른	다른/MMD
사유도	사유/NNG+도/JX
(집단	(/SS+집단/NNG
소송에)	소송/NNG+에/JKB+)/SS
포함하자고	포함/NNG+하/XSV+자고/EC
하는거니까	하/VV+는/ETM+거/NNB+이/VCP+니까/EC
신중히	신중히/MAG
검토해야	검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제동을	제동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.383.10.1
새누리당 경실모의 개정안은 민주당의 입법 방향과도 차이가 있어 여야 논의 과정에서도 논란이 일 것으로 보인다.

새누리당	새누리당/NNP
경실모의	경실모/NNG+의/JKG
개정안은	개정안/NNG+은/JX
민주당의	민주당/NNP+의/JKG
입법	입법/NNG
방향과도	방향/NNG+과/JKB+도/JX
차이가	차이/NNG+가/JKS
있어	있/VA+어/EC
여야	여야/NNG
논의	논의/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.383.10.2
민주당은 공정거래법을 개정하는 대신 대리점 거래 관계에 특화한 별도 법률을 만들자고 주장하고 있다.

민주당은	민주당/NNP+은/JX
공정거래법을	공정/NNG+거래법/NNG+을/JKO
개정하는	개정/NNG+하/XSV+는/ETM
대신	대신/NNG
대리점	대리점/NNG
거래	거래/NNG
관계에	관계/NNG+에/JKB
특화한	특화/NNG+하/XSV+ㄴ/ETM
별도	별도/NNG
법률을	법률/NNG+을/JKO
만들자고	만들/VV+자고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.383.10.3
이를 위해 이종걸 민주당 의원은 21일 ‘대리점거래의 공정화에 관한 법률’을 대표 발의했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
이종걸	이종걸/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
21일	21/SN+일/NNB
‘대리점거래의	‘/SS+대리점/NNG+거래/NNG+의/JKG
공정화에	공정/NNG+화/XSN+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률/NNG+’/SS+을/JKO
대표	대표/NNG
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.383.10.4
이 법안은 △정보공개서 제공 의무화 △표준대리점계약서 권장 △손해액의 3배 이내의 징벌적 손해배상제 도입 등의 내용을 담고 있다.

이	이/MMD
법안은	법안/NNG+은/JX
△정보공개서	△/SW+정보/NNG+공개서/NNG
제공	제공/NNG
의무화	의무/NNG+화/XSN
△표준대리점계약서	△/SW+표준/NNG+대리점/NNG+계약서/NNG
권장	권장/NNG
△손해액의	△/SW+손해액/NNG+의/JKG
3배	3/SN+배/NNG
이내의	이내/NNG+의/JKG
징벌적	징벌/NNG+적/XSN
손해배상제	손해/NNG+배상/NNG+제/XSN
도입	도입/NNG
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


