# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.177
metadata : {}


# id : NWRW1800000033.177.1.1
그에게 ‘영재’는 돈줄이었다

그에게	그/NP+에게/JKB
따돌리기	따돌리/VV+기/ETN
위해	위하/VV+아/EC
‘중간	‘/SS+중간/NNG
선생님’들에게	선생/NNG+님/XSN+’/SS+들/XSN+에게/JKB
직접	직접/MAG
학생들을	학생/NNG+들/XSN+을/JKO
가르치고	가르치/VV+고/EC
있다는	있/VX+다는/ETM
소문을	소문/NNG+을/JKO
내라고	내/VV+라고/EC
시킨	시키/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.7.1
A 씨는 “시간강사가 교습을 한다고 소문이 나 있어 이 교수는 안심하고 불법 교습을 할 수 있었다”며 “일부 학생은 시험 직전 하루에 3, 4차례 불법 교습을 받기도 했다”고 전했다.

A	A/SL
씨는	씨/NNB+는/JX
“시간강사가	“/SS+시간/NNG+강사/NNG+가/JKS
교습을	교습/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
소문이	소문/NNG+이/JKS
나	나/VV+아/EC
있어	있/VX+어/EC
이	이/NNP
교수는	교수/NNG+는/JX
안심하고	안심/NNG+하/XSV+고/EC
불법	불법/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“일부	“/SS+일부/NNG
학생은	학생/NNG+은/JX
시험	시험/NNG
직전	직전/NNG
하루에	하루/NNG+에/JKB
3,	3/SN+,/SP
4차례	4/SN+차례/NNG
받기도	받/VV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.177.7.2
수험생 사이에서는 한예종 영재교육원에 들어간 다음 교수에게 집중 교습을 받아야 합격할 수 있다는 소문이 나 있어 불법 교습을 당연시하는 분위기였다.

수험생	수험/NNG+생/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
한예종	한예종/NNP
영재교육원에	영재/NNG+교육원/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
다음	다음/NNG
교수에게	교수/NNG+에게/JKB
집중	집중/NNG
교습을	교습/NNG+을/JKO
받아야	받/VV+아야/EC
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
소문이	소문/NNG+이/JKS
나	나/VV+아/EC
있어	있/VX+어/EC
불법	불법/NNG
당연시하는	당연/NNG+시/XSN+하/XSV+는/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.177.7.3
A 씨는 “교복을 입은 중고교생이 교수실에 드나들면 불법 교습이라는 의심을 살 수 있지만 영재교육원이나 예비학교 학생은 이런 시선을 피할 수 있어 이 교수가 이들을 먹잇감으로 삼은 것으로 보인다”고 설명했다.

A	A/SL
씨는	씨/NNB+는/JX
“교복을	“/SS+교복/NNG+을/JKO
입은	입/VV+은/ETM
중고교생이	중고교/NNG+생/XSN+이/JKS
교수실에	교수실/NNG+에/JKB
드나들면	드나들/VV+면/EC
불법	불법/NNG
교습이라는	교습/NNG+이/VCP+라는/ETM
의심을	의심/NNG+을/JKO
살	살/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
영재교육원이나	영재/NNG+교육원/NNG+이나/JC
예비학교	예비/NNG+학교/NNG
학생은	학생/NNG+은/JX
이런	이런/MMD
시선을	시선/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
있어	있/VA+어/EC
이	이/NNP
교수가	교수/NNG+가/JKS
이들을	이/NP+들/XSN+을/JKO
먹잇감으로	먹잇감/NNG+으로/JKB
삼은	삼/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.177.8.1
영재교육원은 음악, 무용 분야 등에서 한 해에 초중고교생 100여 명을 선발해 무료로 교육하는 한예종 부설 기관이다.

영재교육원은	영재/NNG+교육원/NNG+은/JX
음악,	음악/NNG+,/SP
무용	무용/NNG
분야	분야/NNG
등에서	등/NNB+에서/JKB
한	한/MMN
해에	해/NNB+에/JKB
초중고교생	초중고교/NNG+생/XSN
100여	100/SN+여/XSN
명을	명/NNB+을/JKO
선발해	선발/NNG+하/XSV+아/EC
무료로	무료/NNG+로/JKB
교육하는	교육/NNG+하/XSV+는/ETM
한예종	한예종/NNP
부설	부설/NNG
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.177.8.2
문화체육관광부의 설치 승인에 따라 2008년 설립됐다.

문화체육관광부의	문화/NNG+체육/NNG+관광부/NNG+의/JKG
설치	설치/NNG
승인에	승인/NNG+에/JKB
따라	따르/VV+아/EC
2008년	2008/SN+년/NNB
설립됐다.	설립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.8.3
예비학교는 영재교육원보다 앞서 설립돼 영재교육원과 함께 예술 영재 교육을 담당했지만 2009년 감사 결과 예비학교 선발 시험에서 교수들이 담합한 사실이 드러나고 영재교육원과 기능이 겹친다는 이유 등으로 지난해 초 폐지됐다.

예비학교는	예비/NNG+학교/NNG+는/JX
영재교육원보다	영재/NNG+교육원/NNG+보다/JKB
앞서	앞서/MAG
설립돼	설립/NNG+되/XSV+어/EC
영재교육원과	영재/NNG+교육원/NNG+과/JKB
함께	함께/MAG
예술	예술/NNG
영재	영재/NNG
교육을	교육/NNG+을/JKO
담당했지만	담당/NNG+하/XSV+았/EP+지만/EC
2009년	2009/SN+년/NNB
감사	감사/NNG
결과	결과/NNG
예비학교	예비/NNG+학교/NNG
선발	선발/NNG
시험에서	시험/NNG+에서/JKB
교수들이	교수/NNG+들/XSN+이/JKS
담합한	담합/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나고	드러나/VV+고/EC
기능이	기능/NNG+이/JKS
겹친다는	겹치/VV+ㄴ다는/ETM
이유	이유/NNG
등으로	등/NNB+으로/JKB
지난해	지난해/NNG
초	초/NNB
폐지됐다.	폐지/NNG+되/XSV+었/EP+다/EF+./SF


