# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.120
metadata : {}


# id : NWRW1800000038.120.1.1
代를 건너뛴 만남… "밥부터 먹자"고 한 사연

代를	代/SH+를/JKO
아꼈다.	아끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.3
훗날 회고록에서 백 장군에 대해 "아주 특별하고 존경할 만한 최상의 사령관"이라고 쓸 정도였다.

훗날	훗날/NNG
회고록에서	회고록/NNG+에서/JKB
백	백/NNP
장군에	장군/NNG+에/JKB
대해	대하/VV+아/EC
"아주	"/SS+아주/MAG
특별하고	특별/NNG+하/XSA+고/EC
존경할	존경/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
최상의	최상/NNG+의/JKG
사령관"이라고	사령관/NNG+"/SS+이라고/JKQ
쓸	쓰/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.4
그는 수시로 아이스박스에 아이스크림·샌드위치 등을 담아 백 장군에게 건넸다.

그는	그/NP+는/JX
수시로	수시로/MAG
아이스박스에	아이스박스/NNG+에/JKB
아이스크림·샌드위치	아이스크림/NNG+·/SP+샌드위치/NNG
등을	등/NNB+을/JKO
담아	담/VV+아/EC
백	백/NNP
장군에게	장군/NNG+에게/JKB
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.5
'밴 플리트식(式)' 애정표현이었다.

'밴	'/SS+밴/NNP
플리트식(式)'	플리트식/NNP+(/SS+式/SH+)/SS+'/SS
애정표현이었다.	애정/NNG+표현/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.6
수십만 대군을 이끄는 백 장군이 '행여나 배를 곯고 다니는 건 아닌가' 하는 노파심에서였다.

수십만	수십만/NR
대군을	대군/NNG+을/JKO
이끄는	이끌/VV+는/ETM
백	백/NNP
장군이	장군/NNG+이/JKS
'행여나	'/SS+행여나/MAG
배를	배/NNG+를/JKO
곯고	곯/VV+고/EC
다니는	다니/VV+는/ETM
건	거/NNB+ㄴ/JX
아닌가'	아니/VCN+ㄴ가/EF+'/SS
하는	하/VV+는/ETM
노파심에서였다.	노파심/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.7
밴 플리트 장군이 세상을 떠나기 1년 전, 플로리다에 사는 그를 문병 간 백 장군에게 그가 마지막으로 건넨 말도 "갈 때 우리 집에서 먹을 것 좀 챙겨가시게"였다.

밴	밴/NNP
플리트	플리트/NNP
장군이	장군/NNG+이/JKS
세상을	세상/NNG+을/JKO
떠나기	떠나/VV+기/ETN
1년	1/SN+년/NNB
전,	전/NNG+,/SP
플로리다에	플로리다/NNP+에/JKB
사는	살/VV+는/ETM
그를	그/NP+를/JKO
문병	문병/NNG
간	가/VV+ㄴ/ETM
백	백/NNP
장군에게	장군/NNG+에게/JKB
그가	그/NP+가/JKS
마지막으로	마지막/NNG+으로/JKB
건넨	건네/VV+ㄴ/ETM
말도	말/NNG+도/JX
"갈	"/SS+가/VV+ㄹ/ETM
때	때/NNG
우리	우리/NP
집에서	집/NNG+에서/JKB
먹을	먹/VV+을/ETM
것	것/NNB
좀	좀/MAG
챙겨가시게"였다.	챙기/VV+어/EC+가/VX+시/EP+게/EF+"/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.6.1
휴전 협정이 맺어진 지 60년이 지난 시점에 대(代)를 건너뛴 만남이었지만, 이날 두 사람은 시공을 초월한 모습이었다.

휴전	휴전/NNG
협정이	협정/NNG+이/JKS
맺어진	맺/VV+어/EC+지/VX+ㄴ/ETM
지	지/NNB
60년이	60/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
시점에	시점/NNG+에/JKB
대(代)를	대/NNG+(/SS+代/SH+)/SS+를/JKO
건너뛴	건너뛰/VV+ㄴ/ETM
만남이었지만,	만남/NNG+이/VCP+었/EP+지만/EC+,/SP
이날	이날/NNG
두	두/MMN
사람은	사람/NNG+은/JX
시공을	시공/NNG+을/JKO
초월한	초월/NNG+하/XSV+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.6.2
매크리스천 2세가 "할아버지로부터 장군님에 대한 좋은(wonderful) 얘기를 많이 들었다"고 하자, 백 장군은 밴 플리트 장군과 함께 찍은 사진 앨범을 꺼내 한장 한장 설명했다.

매크리스천	매크리스천/NNP
2세가	2/SN+세/NNB+가/JKS
"할아버지로부터	"/SS+할아버지/NNG+로부터/JKB
장군님에	장군/NNG+님/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
좋은(wonderful)	좋/VA+은/ETM+(/SS+wonderful/SL+)/SS
얘기를	얘기/NNG+를/JKO
많이	많이/MAG
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
백	백/NNP
장군은	장군/NNG+은/JX
밴	밴/NNP
플리트	플리트/NNP
장군과	장군/NNG+과/JKB
함께	함께/MAG
찍은	찍/VV+은/ETM
사진	사진/NNG
앨범을	앨범/NNG+을/JKO
꺼내	꺼내/VV+어/EC
한장	한/MMN+장/NNB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.6.3
백 장군은 앨범에 사인을 해 선물했다.

백	백/NNP
장군은	장군/NNG+은/JX
앨범에	앨범/NNG+에/JKB
사인을	사인/NNG+을/JKO
해	하/VV+아/EC
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.6.4
답례로 매크리스천 2세가 밴 플리트 장군의 미 8군 시절 사진을 건네자 백 장군이 사진에 거수경례를 했다.

답례로	답례/NNG+로/JKB
매크리스천	매크리스천/NNP
2세가	2/SN+세/NNB+가/JKS
밴	밴/NNP
플리트	플리트/NNP
장군의	장군/NNG+의/JKG
미	미/NNP
8군	8/SN+군/NNG
시절	시절/NNG
사진을	사진/NNG+을/JKO
건네자	건네/VV+자/EC
백	백/NNP
장군이	장군/NNG+이/JKS
사진에	사진/NNG+에/JKB
거수경례를	거수경례/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.7.1
"1951년 적은 도망가기 바빴지요."(매크리스천) "하지만 우리는 통일을 이루지 못했어요."(백장군) "당신은 승리자입니다.

"1951년	"/SS+1951/SN+년/NNB
적은	적/NNG+은/JX
도망가기	도망가/VV+기/ETN
바빴지요."(매크리스천)	바쁘/VA+았/EP+지요/EF+./SF+"/SS+(/SS+매크리스천/NNP+)/SS
"하지만	"/SS+하지만/MAJ
우리는	우리/NP+는/JX
통일을	통일/NNG+을/JKO
이루지	이루/VV+지/EC
못했어요."(백장군)	못하/VX+았/EP+어요/EF+./SF+"/SS+(/SS+백/NNP+장군/NNG+)/SS
"당신은	"/SS+당신/NP+은/JX
승리자입니다.	승리자/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.120.7.2
지금 한국을 보세요.

지금	지금/MAG
한국을	한국/NNP+을/JKO
보세요.	보/VV+시/EP+어요/EF+./SF


# id : NWRW1800000038.120.7.3
강한 나라, 강한 민주주의, 강한 경제를 이룩한 한국을…."

강한	강하/VA+ㄴ/ETM
나라,	나라/NNG+,/SP
민주주의,	민주주의/NNG+,/SP
경제를	경제/NNG+를/JKO
이룩한	이룩하/VV+ㄴ/ETM
한국을…."	한국/NNP+을/JKO+…/SE+./SF+"/SS


# id : NWRW1800000038.120.8.1
백 장군은 6·25전쟁에 폭격기 조종사로 참전했다가 실종된 밴 플리트 장군의 아들, 제임스 밴 플리트 2세 대위에 대한 얘기도 꺼냈다.

백	백/NNP
장군은	장군/NNG+은/JX
6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
폭격기	폭격기/NNG
조종사로	조종사/NNG+로/JKB
참전했다가	참전/NNG+하/XSV+았/EP+다가/EC
실종된	실종/NNG+되/XSV+ㄴ/ETM
밴	밴/NNP
플리트	플리트/NNP
장군의	장군/NNG+의/JKG
아들,	아들/NNG+,/SP
제임스	제임스/NNP
2세	2/SN+세/NNB
대위에	대위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
얘기도	얘기/NNG+도/JX
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.8.2
제임스 밴 플리트 2세 대위는 1952년 4월 4일 새벽 B-26기를 타고 군산기지를 출발해 북한 평양 부근 폭격에 나섰다가 실종됐다.

제임스	제임스/NNP
밴	밴/NNP
플리트	플리트/NNP
2세	2/SN+세/NNB
대위는	대위/NNG+는/JX
1952년	1952/SN+년/NNB
4월	4/SN+월/NNB
4일	4/SN+일/NNB
새벽	새벽/NNG
B-26기를	B-26기/NNG+를/JKO
타고	타/VV+고/EC
군산기지를	군산/NNP+기지/NNG+를/JKO
출발해	출발/NNG+하/XSV+아/EC
북한	북한/NNP
평양	평양/NNP
부근	부근/NNG
폭격에	폭격/NNG+에/JKB
나섰다가	나서/VV+었/EP+다가/EC
실종됐다.	실종/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.8.3
"밴 플리트 장군은 2군단 재창설식에 참석해 나와 미군 장성들을 부르더니 자신의 아들이 실종됐음을 알렸어요.

"밴	"/SS+밴/NNP
플리트	플리트/NNP
장군은	장군/NNG+은/JX
2군단	2/SN+군단/NNG
재창설식에	재/XPN+창설식/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
나와	나오/VV+아/EC
미군	미군/NNG
장성들을	장성/NNG+들/XSN+을/JKO
부르더니	부르/VV+더니/EC
자신의	자신/NNG+의/JKG
아들이	아들/NNG+이/JKS
실종됐음을	실종/NNG+되/XSV+었/EP+음/ETN+을/JKO
알렸어요.	알리/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.120.8.4
모두 함께 울었지요."

모두	모두/MAG
함께	함께/MAG
울었지요."	울/VV+었/EP+지요/EF+./SF+"/SS


# id : NWRW1800000038.120.9.1
매크리스천 2세는 백 장군에게 그만의 리더십을 물었다.

매크리스천	매크리스천/NNP
2세는	2/SN+세/NNB+는/JX
백	백/NNP
장군에게	장군/NNG+에게/JKB
그만의	그/NP+만/JX+의/JKG
리더십을	리더십/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.9.2
백장군은 손을 내저으며 "내게 리더십 같은 건 없다"며 작별 인사를 나눴다.

백장군은	백/NNP+장군/NNG+은/JX
손을	손/NNG+을/JKO
내저으며	내젓/VV+으며/EC
"내게	"/SS+나/NP+에게/JKB
리더십	리더십/NNG
같은	같/VA+은/ETM
건	거/NNB+ㄴ/JX
없다"며	없/VA+다/EF+"/SS+며/EC
작별	작별/NNG
인사를	인사/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.9.3
매크리스천이 떠난 후 백 장군에게 다시 한 번 그만의 '리더십'을 묻자 그가 답했다.

매크리스천이	매크리스천/NNP+이/JKS
떠난	떠나/VV+ㄴ/ETM
후	후/NNG
백	백/NNP
장군에게	장군/NNG+에게/JKB
다시	다시/MAG
한	한/MMN
번	번/NNB
그만의	그/NP+만/JX+의/JKG
'리더십'을	'/SS+리더십/NNG+'/SS+을/JKO
묻자	묻/VV+자/EC
그가	그/NP+가/JKS
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.9.4
"별게 있나요?

"별게	"/SS+별거/NNG+이/JKS
있나요?	있/VA+나/EF+요/JX+?/SF


# id : NWRW1800000038.120.9.5
무(無)에서 유(有)를 만드는 거지."

무(無)에서	무/NNG+(/SS+無/SH+)/SS+에서/JKB
유(有)를	유/NNG+(/SS+有/SH+)/SS+를/JKO
만드는	만들/VV+는/ETM
거지."	거/NNB+이/VCP+지/EF+./SF+"/SS


